lat,long,log10(Mo_nk),log10(Mo_zeng_b_bound),log10(Mo_zeng_orig),log10(Mo_abm)
31.7,-115.6,15.0110203555,15.1340814375,15.016,15.295
31.7,-115.5,14.9861534321,15.1917862476,15.058,15.267
31.7,-115.4,14.9733865052,15.2642982472,15.105,15.24
31.7,-115.3,14.9941851282,15.4657396592,15.148,15.178
31.7,-115.2,15.0597526942,15.4884096889,15.184,15.055
31.7,-115.1,15.1456003577,15.5226398176,15.215,14.982
31.7,-115,15.2225343934,15.5811870691,15.247,15.316
31.7,-114.9,15.3058455819,15.4703957888,15.279,15.61
31.7,-114.8,15.2956990175,15.5051906915,15.299,15.918
31.7,-114.7,15.2768063456,15.5278360452,15.289,16.301
31.7,-114.6,15.1524718103,15.63715938,15.241,16.324
31.8,-117.7,14.4908991341,14.5155957003,14.922,14.761
31.8,-117.6,14.769140911,14.5053670713,14.897,14.867
31.8,-117.5,14.9838336887,14.6396259192,14.895,14.927
31.8,-117.4,15.0111050298,14.713692103,14.893,15.071
31.8,-117.3,15.1218551822,14.7482733265,14.902,15.272
31.8,-117.2,15.1194208634,14.7682680165,14.911,15.322
31.8,-117.1,15.003632837,14.7727323316,14.918,15.324
31.8,-117,14.9414170105,14.767348843,14.919,15.03
31.8,-116.9,14.900754816,14.7527013202,14.929,14.874
31.8,-116.8,14.2787307427,14.7343356944,14.937,15.194
31.8,-116.7,14.8395597449,14.7178368675,14.946,15.459
31.8,-116.6,14.9962401532,14.7091002816,14.954,15.541
31.8,-116.5,14.9914653149,14.7183854186,14.964,15.535
31.8,-116.4,15.0387790696,14.755859617,14.973,15.4
31.8,-116.3,15.0369082229,14.8190633137,14.983,15.338
31.8,-116.2,14.9987256493,14.895869871,15.002,15.299
31.8,-116.1,15.0293837777,14.9781531158,15.031,15.286
31.8,-116,15.0440299099,15.0573998173,15.058,15.283
31.8,-115.9,15.043362278,15.1279142944,15.077,15.325
31.8,-115.8,15.006037955,15.1849751907,15.093,15.323
31.8,-115.7,15.0017769671,15.2284773544,15.114,15.298
31.8,-115.6,15.0428510426,15.2701195986,15.121,15.291
31.8,-115.5,15.068593981,15.3130653548,15.127,15.31
31.8,-115.4,15.0958664535,15.3538777791,15.139,15.362
31.8,-115.3,15.1446053387,15.3789971408,15.172,15.404
31.8,-115.2,15.1579702436,15.3789971408,15.197,15.39
31.8,-115.1,15.1992064792,15.3585059115,15.215,15.275
31.8,-115,15.306639441,15.327093167,15.223,14.852
31.8,-114.9,15.3451776165,15.2916573961,15.219,15.267
31.8,-114.8,15.3484606358,15.2319281101,15.241,16.102
31.8,-114.7,15.1602283572,15.1069384507,15.273,16.185
31.8,-114.6,15.2783419691,14.8063699363,14.937,15.968
31.8,-114.5,15.3242618721,14.5705896357,14.879,16.076
31.8,-114.4,15.2987875999,14.7248490876,14.884,16.03
31.9,-117.9,14.308991029,14.549260818,14.624,14.676
31.9,-117.8,14.4538532326,14.5173278823,14.967,14.821
31.9,-117.7,14.6896195927,14.5881147721,14.908,14.956
31.9,-117.6,14.7413013298,14.7092614786,14.887,15.013
31.9,-117.5,15.0217679727,14.7627685636,14.889,15.029
31.9,-117.4,15.1912553422,14.7851375638,14.891,15.113
31.9,-117.3,15.158241838,14.7883310243,14.896,15.272
31.9,-117.2,15.206690981,14.7820782835,14.903,15.32
31.9,-117.1,15.6118400952,14.7681124867,14.911,15.181
31.9,-117,15.4503261041,14.749450298,14.918,15.105
31.9,-116.9,15.4075268658,14.7248818201,14.925,15.209
31.9,-116.8,14.8817725521,14.6957267736,14.932,15.37
31.9,-116.7,14.7810297483,14.6758882757,14.939,15.439
31.9,-116.6,15.1030507474,14.6861892342,14.947,15.436
31.9,-116.5,15.1011281758,14.6967407047,14.955,15.346
31.9,-116.4,15.0657663876,14.708429399,14.963,15.347
31.9,-116.3,15.0411952337,14.7496976756,14.972,15.305
31.9,-116.2,15.0611507809,14.8449863499,15.002,15.274
31.9,-116.1,15.0417478717,14.9415064636,15.033,15.266
31.9,-116,14.9494046455,15.0361895888,15.064,15.263
31.9,-115.9,14.904904798,15.1264885707,15.094,15.27
31.9,-115.8,14.9129390868,15.2100240738,15.123,15.253
31.9,-115.7,14.9377184436,15.2840018679,15.151,15.252
31.9,-115.6,14.9594468627,15.3496659841,15.182,15.275
31.9,-115.5,15.0083020242,15.4068296136,15.206,15.328
31.9,-115.4,15.0649818217,15.4520625774,15.225,15.43
31.9,-115.3,15.0827135802,15.4815859364,15.242,15.547
31.9,-115.2,15.1426709779,15.4900146951,15.263,15.611
31.9,-115.1,15.2622374497,15.4699839261,15.288,15.616
31.9,-115,15.3526455187,15.4288957628,15.314,15.717
31.9,-114.9,15.4604618267,15.3972967767,15.421,16.173
31.9,-114.8,15.5321298707,15.4007106368,15.328,16.202
31.9,-114.7,15.0494893719,15.4731510831,14.743,16
31.9,-114.6,15.3488303724,14.9468107539,14.774,16.08
31.9,-114.5,15.4349519361,14.9024108712,14.87,16.035
31.9,-114.4,15.3174574057,15.169439299,14.995,15.744
31.9,-114.3,15.2093541349,15.3302107846,15.126,15.709
31.9,-114.2,15.0903286068,15.4324080314,15.201,15.597
32,-117.9,14.4839864647,14.652323714,14.621,14.838
32,-117.8,14.5824270175,14.5834594992,14.945,14.979
32,-117.7,14.7169960744,14.7393587045,14.892,14.979
32,-117.6,14.7271100016,14.7872407921,14.877,14.939
32,-117.5,15.0473917022,14.7978489814,14.881,14.878
32,-117.4,15.068297205,14.7920903808,14.886,14.973
32,-117.3,15.1671695904,14.7787154665,14.893,15.296
32,-117.2,15.3546653624,14.7615971077,14.898,15.184
32,-117.1,15.3997948226,14.7415297669,14.904,15.118
32,-117,14.6936478192,14.7173459088,14.91,15.118
32,-116.9,15.3160123042,14.687421935,14.916,15.212
32,-116.8,15.1756567473,14.6726426942,14.923,15.377
32,-116.7,14.8597385662,14.6814402434,14.929,15.377
32,-116.6,15.1153108949,14.690160626,14.937,15.288
32,-116.5,15.1490034519,14.698735422,14.944,15.281
32,-116.4,15.1590556035,14.7073742736,14.951,15.201
32,-116.3,15.0457922327,14.7160618024,14.965,15.151
32,-116.2,15.1010249404,14.815298754,14.995,15.177
32,-116.1,15.0686310637,14.921467973,15.027,15.174
32,-116,14.9584300865,15.0226345399,15.058,15.168
32,-115.9,14.8922115124,15.1201130714,15.09,15.164
32,-115.8,14.8403570592,15.212453961,15.123,15.175
32,-115.7,14.8397168123,15.2976073324,15.157,15.201
32,-115.6,14.8513256286,15.3749132367,15.193,15.245
32,-115.5,14.852522689,15.4421503957,15.227,15.313
32,-115.4,14.883576271,15.4966529393,15.257,15.426
32,-115.3,15.106666762,15.5455174076,15.288,15.603
32,-115.2,15.2426904741,15.5868235146,15.319,15.729
32,-115.1,15.3438023332,15.5942157024,15.328,15.787
32,-115,15.4678152154,15.5765025967,15.328,16.069
32,-114.9,15.6221932924,15.6357550961,15.46,16.254
32,-114.8,15.3100982719,15.7514176865,14.865,16.145
32,-114.7,15.4189803812,15.4058583993,14.857,15.549
32,-114.6,15.4170729225,15.2703993074,14.829,15.536
32,-114.5,15.3212047569,15.1466860556,14.969,15.351
32,-114.4,15.2174049744,15.109915863,15.057,15.478
32,-114.3,15.1279789889,15.1466860556,15.133,15.494
32,-114.2,15.0605845314,15.1933472564,15.193,15.445
32,-114.1,14.9487942732,15.2203173362,15.222,15.336
32,-114,14.8901973862,15.3036063906,15.245,15.23
32.1,-118,14.5616975327,14.6400140954,14.645,14.774
32.1,-117.9,14.6326597133,14.4848405908,14.724,14.951
32.1,-117.8,14.6511907586,14.7138096365,14.915,15.015
32.1,-117.7,14.715485222,14.787807488,14.877,14.941
32.1,-117.6,14.4263323017,14.7971774864,14.871,14.853
32.1,-117.5,14.7649453704,14.7880481101,14.876,14.871
32.1,-117.4,14.6989526322,14.7736548206,14.881,15.017
32.1,-117.3,15.1206068311,14.7572745308,14.886,15.294
32.1,-117.2,15.2506639195,14.7386537387,14.891,15.136
32.1,-117.1,14.9948404547,14.7169544086,14.896,15.114
32.1,-117,14.8226648792,14.6910461103,14.902,15.13
32.1,-116.9,15.1700268982,14.6713765152,14.907,15.381
32.1,-116.8,15.1218223768,14.6789460895,14.913,15.382
32.1,-116.7,15.1353553094,14.6867702901,14.919,15.374
32.1,-116.6,15.1171055028,14.6940608932,14.925,15.283
32.1,-116.5,15.200713734,14.7008248182,14.932,15.201
32.1,-116.4,15.207445854,14.7065897789,14.939,15.123
32.1,-116.3,15.178343739,14.7117734961,14.96,15.122
32.1,-116.2,15.1761781093,14.8088251698,14.992,15.087
32.1,-116.1,15.1607085723,14.9152256603,15.024,15.044
32.1,-116,15.0757293997,15.0166155476,15.055,15.035
32.1,-115.9,15.022593314,15.1150777167,15.086,15.063
32.1,-115.8,14.8802188876,15.209916953,15.118,15.116
32.1,-115.7,14.850817714,15.298940363,15.152,15.178
32.1,-115.6,14.7981670597,15.3797586158,15.19,15.237
32.1,-115.5,14.7532305782,15.447235577,15.229,15.288
32.1,-115.4,14.8608468812,15.4998519733,15.265,15.36
32.1,-115.3,15.0669964204,15.5650800442,15.311,15.364
32.1,-115.2,15.1966458868,15.6561557207,15.372,15.53
32.1,-115.1,15.4160743909,15.7215385809,15.416,15.749
32.1,-115,15.4915437792,15.7227326146,15.457,15.749
32.1,-114.9,15.586733545,15.517670854,15.208,15.556
32.1,-114.8,15.7559662765,15.6675556771,15.289,16.042
32.1,-114.7,15.5201558869,15.451571537,15.187,16.029
32.1,-114.6,15.4159410797,15.3498600822,15.06,15.547
32.1,-114.5,15.2309850717,15.2422183202,15.059,15.232
32.1,-114.4,15.1084635412,15.1474908208,15.115,15.224
32.1,-114.3,15.0331019367,15.0860037056,15.17,15.25
32.1,-114.2,14.9009730792,15.1163752612,15.196,15.219
32.1,-114.1,14.9418293351,15.1415124829,15.207,15.149
32.1,-114,14.8409086717,15.1699388089,15.228,15.073
32.1,-113.9,14.520562131,15.2321317413,15.252,14.994
32.1,-113.8,14.626278761,15.4451525513,15.346,14.918
32.2,-118,14.7108701666,14.5236944524,14.678,14.796
32.2,-117.9,14.7430783918,14.6258369923,14.952,14.885
32.2,-117.8,14.7492027794,14.760957482,14.888,14.888
32.2,-117.7,14.7865881762,14.7947180294,14.866,14.885
32.2,-117.6,14.9845588154,14.7848668155,14.865,14.983
32.2,-117.5,14.7498213115,14.7711684161,14.87,15.001
32.2,-117.4,14.7681791492,14.7556843339,14.874,15.14
32.2,-117.3,14.8548523624,14.7382651224,14.878,15.226
32.2,-117.2,14.9613546396,14.7187424355,14.883,15.123
32.2,-117.1,14.9267744679,14.6965747918,14.888,15.123
32.2,-117,14.7192649774,14.6726426942,14.892,15.347
32.2,-116.9,15.0142264294,14.6787095358,14.897,15.345
32.2,-116.8,15.0445789549,14.685114469,14.902,15.344
32.2,-116.7,15.1252860333,14.6918679936,14.907,15.319
32.2,-116.6,15.1527163111,14.698057027,14.913,15.215
32.2,-116.5,15.2172733261,14.7035321083,14.919,15.136
32.2,-116.4,15.2446481541,14.7073231541,14.927,15.113
32.2,-116.3,15.2707486902,14.7183023493,14.959,15.029
32.2,-116.2,15.2540402576,14.8204707568,14.992,14.934
32.2,-116.1,15.2397248043,14.9192925704,15.025,14.884
32.2,-116,15.2264194486,15.0153597554,15.056,14.898
32.2,-115.9,15.1765542596,15.1106570376,15.083,14.951
32.2,-115.8,14.9577269769,15.2051772874,15.11,15.038
32.2,-115.7,14.8992129405,15.2961384534,15.14,15.157
32.2,-115.6,14.81396108,15.3795230638,15.178,15.302
32.2,-115.5,14.7272646519,15.4423856879,15.221,15.46
32.2,-115.4,14.7026459069,15.4839294632,15.257,15.471
32.2,-115.3,14.7733914522,15.5339753084,15.305,15.383
32.2,-115.2,15.1714339009,15.6778988173,15.405,15.505
32.2,-115.1,15.4635495965,15.5497019874,15.551,15.738
32.2,-115,15.9612074541,15.7097192911,15.264,15.454
32.2,-114.9,15.8725990856,15.7339351793,15.296,16.08
32.2,-114.8,15.7166042585,15.5707063533,15.257,16.069
32.2,-114.7,15.5718485287,15.4344730932,15.202,15.869
32.2,-114.6,15.3672440711,15.3266635067,15.147,15.676
32.2,-114.5,15.2513461596,15.2283746904,15.12,15.473
32.2,-114.4,15.0731315649,15.1559126891,15.136,15.225
32.2,-114.3,14.8698943933,15.1295610023,15.176,15.072
32.2,-114.2,14.8103131844,15.1191898821,15.212,14.989
32.2,-114.1,14.9057635094,15.0962493832,15.232,14.929
32.2,-114,14.4828307235,15.1214613535,15.232,14.883
32.2,-113.9,14.3813136731,15.1709068089,15.224,14.843
32.2,-113.8,14.5673087423,15.3249817031,15.301,14.793
32.2,-113.7,14.4265763193,15.2299888365,15.252,14.736
32.3,-118.1,14.7534451657,14.6244574288,14.669,14.543
32.3,-118,14.7865242807,14.458093696,14.992,14.593
32.3,-117.9,14.8123785112,14.7070759915,14.907,14.638
32.3,-117.8,14.7186926368,14.7883805153,14.866,14.953
32.3,-117.7,14.9479921615,14.7832173092,14.857,15.086
32.3,-117.6,14.9557310333,14.7705648407,14.86,15.125
32.3,-117.5,14.7468287317,14.7559662765,14.863,15.16
32.3,-117.4,14.9493802471,14.7396118959,14.867,15.173
32.3,-117.3,15.324940602,14.7214726076,14.871,15.218
32.3,-117.2,15.1387446639,14.7016197865,14.875,15.197
32.3,-117.1,14.8556100028,14.6799545454,14.879,15.273
32.3,-117,15.051923916,14.6813407518,14.882,15.312
32.3,-116.9,15.1602583862,14.6862071245,14.886,15.312
32.3,-116.8,15.2479978021,14.6912495165,14.89,15.293
32.3,-116.7,15.2744349701,14.6967407047,14.895,15.279
32.3,-116.6,15.2491738894,14.7020426003,14.9,15.181
32.3,-116.5,15.2030600976,14.7067689732,14.905,15.142
32.3,-116.4,15.2539192606,14.7099141389,14.925,15.021
32.3,-116.3,15.3174783139,14.7486221045,14.959,14.872
32.3,-116.2,15.3401465509,14.8377399099,14.996,14.742
32.3,-116.1,15.355777071,14.9264916454,15.031,14.698
32.3,-116,15.3496853978,15.013974177,15.062,14.838
32.3,-115.9,15.2747580544,15.1023993999,15.085,15
32.3,-115.8,15.1014377351,15.1941534362,15.103,15.103
32.3,-115.7,14.9539335679,15.2858947125,15.123,15.178
32.3,-115.6,14.9026826449,15.3734269622,15.158,15.369
32.3,-115.5,14.8278214277,15.4499872206,15.209,15.394
32.3,-115.4,15.1939867631,15.4830307012,15.246,15.214
32.3,-115.3,15.339133306,15.4509262028,15.282,15.208
32.3,-115.2,15.6901694898,15.3896444311,15.472,15.413
32.3,-115.1,16.2638253655,15.2921009385,15.267,15.485
32.3,-115,16.0804821791,15.5142687584,15.194,15.677
32.3,-114.9,15.8212579859,15.5783182406,15.188,15.651
32.3,-114.8,15.6933311562,15.4418678767,15.18,15.868
32.3,-114.7,15.5295201814,15.3368398253,15.159,15.811
32.3,-114.6,15.3608205352,15.2445987013,15.134,15.663
32.3,-114.5,15.1606485744,15.1682911889,15.124,15.482
32.3,-114.4,15.0193240372,15.1149777448,15.134,15.276
32.3,-114.3,14.9058390379,15.0943313493,15.161,15.033
32.3,-114.2,14.8984289707,15.0949251011,15.193,14.815
32.3,-114.1,14.5160459385,15.1033247071,15.221,14.743
32.3,-114,14.2054209157,15.1081589513,15.24,14.701
32.3,-113.9,14.2033049161,15.1000257301,15.22,14.67
32.3,-113.8,14.3294995758,15.2313676314,15.252,14.639
32.3,-113.7,14.3243853565,15.147119576,15.169,14.6
32.3,-113.6,14.332034277,15.1444185186,15.105,14.548
32.4,-118.1,14.8066750588,14.4708806975,14.68,14.711
32.4,-118,14.8367986681,14.6111707975,14.939,14.771
32.4,-117.9,14.727720143,14.7788166586,14.873,14.967
32.4,-117.8,14.9439641705,14.7818917432,14.852,14.969
32.4,-117.7,14.9381142612,14.7716389171,14.85,15.075
32.4,-117.6,14.9026391726,14.7576996251,14.854,15.123
32.4,-117.5,14.7999398757,14.7424580327,14.857,15.184
32.4,-117.4,15.2425662728,14.7255686328,14.86,15.293
32.4,-117.3,15.2748964455,14.7071100913,14.863,15.294
32.4,-117.2,14.8925064303,14.6872970378,14.866,15.214
32.4,-117.1,14.8074200127,14.6860639819,14.869,15.297
32.4,-117,15.137132476,14.6904087436,14.872,15.315
32.4,-116.9,15.278090224,14.6939115288,14.874,15.306
32.4,-116.8,15.2774487593,14.6972903839,14.877,15.294
32.4,-116.7,15.265383925,14.7011792773,14.881,15.266
32.4,-116.6,15.25166255,14.7053419036,14.885,15.185
32.4,-116.5,15.2500294497,14.7094141364,14.89,15.057
32.4,-116.4,15.2435588896,14.7130871424,14.921,14.9
32.4,-116.3,15.3203540328,14.7710359958,14.96,14.707
32.4,-116.2,15.3874076249,14.8515029528,15.002,14.504
32.4,-116.1,15.4775553322,14.9315595671,15.042,14.571
32.4,-116,15.464265934,15.0086427476,15.075,14.835
32.4,-115.9,15.3836897254,15.0854689699,15.095,15.014
32.4,-115.8,15.2086025745,15.1699094419,15.103,15.1
32.4,-115.7,14.9134058477,15.2616434533,15.109,15.178
32.4,-115.6,14.8536434653,15.3554323625,15.136,15.401
32.4,-115.5,14.2709349129,15.4255831248,15.197,15.207
32.4,-115.4,14.7541724414,15.4673860926,15.243,15.326
32.4,-115.3,16.0717347639,15.3795049392,15.285,15.326
32.4,-115.2,16.2816468579,15.6524977528,15.538,15.369
32.4,-115.1,16.1830134631,15.5007029124,15.205,15.5
32.4,-115,15.8778664127,15.4768026553,15.163,15.526
32.4,-114.9,15.754279516,15.4533336318,15.129,15.518
32.4,-114.8,15.6025266071,15.3585819967,15.109,15.68
32.4,-114.7,15.4226062528,15.2414219517,15.101,15.647
32.4,-114.6,15.2318517237,15.1327718293,15.098,15.555
32.4,-114.5,15.1341771076,15.0755834552,15.102,15.421
32.4,-114.4,14.9796576174,15.038937919,15.116,15.256
32.4,-114.3,14.9470217801,15.0254697191,15.138,15.052
32.4,-114.2,14.7463539185,15.0273496078,15.165,14.822
32.4,-114.1,14.0505730768,15.0408395947,15.191,14.631
32.4,-114,14.2146584389,15.0613393668,15.213,14.549
32.4,-113.9,14.1411674686,15.0518468383,15.213,14.495
32.4,-113.8,14.1093422696,15.1293675957,15.201,14.465
32.4,-113.7,14.2257743481,15.0981589835,15.204,14.444
32.4,-113.6,14.191087553,15.0817792268,15.159,14.423
32.5,-118.2,14.7938252944,14.5073430476,14.681,14.95
32.5,-118.1,14.8452159039,14.4905203094,14.959,14.954
32.5,-118,14.7120517144,14.7030677234,14.893,14.974
32.5,-117.9,14.7590102406,14.7799714674,14.849,15.086
32.5,-117.8,14.8716838299,14.773647507,14.843,15.09
32.5,-117.7,14.8311079719,14.7608897018,14.845,15.104
32.5,-117.6,14.7256421555,14.7466964589,14.848,15.164
32.5,-117.5,14.5642635341,14.7313550374,14.851,15.276
32.5,-117.4,15.1996729167,14.7145057894,14.854,15.331
32.5,-117.3,14.90156729,14.6962427757,14.856,15.33
32.5,-117.2,14.8396602746,14.6923533226,14.857,15.337
32.5,-117.1,15.2622611927,14.6966795863,14.859,15.311
32.5,-117,15.3245499477,14.6999330695,14.86,15.325
32.5,-116.9,15.2904353137,14.7019477187,14.862,15.327
32.5,-116.8,15.2724682105,14.7035492982,14.864,15.304
32.5,-116.7,15.2476541758,14.7054531613,14.866,15.217
32.5,-116.6,15.2568860446,14.7076553235,14.869,15.104
32.5,-116.5,15.2682034186,14.7103712643,14.881,14.982
32.5,-116.4,15.2301678163,14.7145476907,14.915,14.832
32.5,-116.3,15.2764158447,14.7802452839,14.959,14.631
32.5,-116.2,15.3747666703,14.8581640975,15.01,14.356
32.5,-116.1,15.6286034696,14.9348618945,15.058,14.354
32.5,-116,15.5670028265,15.0025116313,15.095,14.785
32.5,-115.9,15.5331999072,15.0595634179,15.113,15.122
32.5,-115.8,15.2556824785,15.123557658,15.112,15.131
32.5,-115.7,15.235200077,15.2011512277,15.101,15.379
32.5,-115.6,14.2928539225,15.2973665138,15.113,15.176
32.5,-115.5,14.8422596666,15.403000344,15.188,15.08
32.5,-115.4,16.0891983668,15.5079367886,15.24,15.248
32.5,-115.3,15.9811070315,15.3961121306,15.393,15.418
32.5,-115.2,15.6987093494,15.6231148451,15.275,15.455
32.5,-115.1,16.0559514053,15.5444401373,15.218,15.461
32.5,-115,15.810380395,15.4654720809,15.162,15.461
32.5,-114.9,15.6787641366,15.3873008224,15.115,15.492
32.5,-114.8,15.471497072,15.3066608766,15.079,15.516
32.5,-114.7,15.2985692737,15.2165881111,15.063,15.498
32.5,-114.6,15.1786316754,15.131329894,15.062,15.427
32.5,-114.5,15.0437158581,15.0470800728,15.073,15.32
32.5,-114.4,15.034267397,14.9613356507,15.09,15.193
32.5,-114.3,14.8669899139,14.916811765,15.112,15.028
32.5,-114.2,14.2005221918,14.9257245269,15.136,14.84
32.5,-114.1,14.1702323702,14.948349382,15.159,14.623
32.5,-114,13.94494633,14.9778104555,15.18,14.459
32.5,-113.9,14.0267783287,14.9853950349,15.185,14.365
32.5,-113.8,14.0401670365,15.0077051144,15.15,14.3
32.5,-113.7,14.1744668589,15.0432836656,15.19,14.289
32.5,-113.6,14.1183639443,15.0366288954,15.16,14.298
32.6,-118.2,14.8186283205,14.4110132905,14.953,14.977
32.6,-118.1,14.7268086825,14.6417714707,14.905,14.947
32.6,-118,14.7127422739,14.7733621792,14.861,14.738
32.6,-117.9,14.738994483,14.7763088345,14.836,14.768
32.6,-117.8,14.7280045826,14.7654450181,14.837,14.953
32.6,-117.7,14.1731571202,14.752117622,14.84,15.058
32.6,-117.6,14.4030175142,14.7383444601,14.843,15.044
32.6,-117.5,14.9142532208,14.7237429174,14.845,15.027
32.6,-117.4,14.8646890341,14.7079872391,14.847,15.019
32.6,-117.3,14.6788824147,14.7006345014,14.848,15.323
32.6,-117.2,14.9638444708,14.7051449932,14.849,15.251
32.6,-117.1,15.2692326638,14.708607836,14.849,15.287
32.6,-117,15.2793246654,14.7106334709,14.849,15.324
32.6,-116.9,15.2410730808,14.7111405182,14.849,15.303
32.6,-116.8,15.2033593015,14.7105827336,14.849,15.223
32.6,-116.7,15.2061509816,14.7094141364,14.849,15.132
32.6,-116.6,15.2333515277,14.7079191745,14.853,15.048
32.6,-116.5,15.1880843737,14.707706404,14.869,14.962
32.6,-116.4,15.1731279699,14.7110644989,14.903,14.862
32.6,-116.3,15.2158753955,14.7738083785,14.955,14.73
32.6,-116.2,15.4449343442,14.8568436401,15.016,14.642
32.6,-116.1,15.6619924217,14.9405563266,15.075,14.629
32.6,-116,15.7283050734,15.0047081965,15.118,14.971
32.6,-115.9,15.6565485609,15.0334639661,15.131,15.186
32.6,-115.8,15.5603012588,15.0469241742,15.115,15.425
32.6,-115.7,15.7286945897,15.0768588101,15.077,15.447
32.6,-115.6,15.2477523825,15.1355778533,15.032,15.749
32.6,-115.5,16.158241838,15.2770817821,15.123,15.672
32.6,-115.4,16.1263911916,15.4322956924,15.25,15.611
32.6,-115.3,15.912556818,15.5655526814,15.058,15.604
32.6,-115.2,16.0066799277,15.6518592692,15.282,15.206
32.6,-115.1,15.8736925288,15.5368991795,15.214,15.501
32.6,-115,15.7710874973,15.4443727362,15.153,15.466
32.6,-114.9,15.5113485155,15.3700317127,15.106,15.37
32.6,-114.8,15.355106553,15.2946866243,15.07,15.391
32.6,-114.7,15.2245848537,15.2037398086,15.048,15.374
32.6,-114.6,15.1671695904,15.1096460311,15.043,15.314
32.6,-114.5,14.9509876105,15.0357098378,15.051,15.233
32.6,-114.4,14.8944766776,14.9615824413,15.067,15.124
32.6,-114.3,14.4651001706,14.8864456013,15.088,14.977
32.6,-114.2,14.3675609044,14.8105886816,15.11,14.811
32.6,-114.1,14.3481490344,14.8221288341,15.131,14.621
32.6,-114,14.1108253101,14.8732624594,15.15,14.398
32.6,-113.9,14.0410372079,14.899141729,15.156,14.287
32.6,-113.8,14.0079183906,14.8637331638,15.101,14.19
32.6,-113.7,13.6848184417,15.1364351705,15.161,14.124
32.6,-113.6,13.9097164532,14.9790929006,15.137,14.163
32.7,-118.3,14.7505469628,14.4156743346,14.899,14.724
32.7,-118.2,14.8243927095,14.5966740524,14.892,14.759
32.7,-118.1,14.8300366293,14.7260748702,14.86,14.829
32.7,-118,14.8633704514,14.7781802024,14.839,14.795
32.7,-117.9,14.812920038,14.7712125472,14.831,14.789
32.7,-117.8,14.5527047099,14.7584425403,14.833,14.976
32.7,-117.7,14.502208552,14.7455900153,14.836,15.125
32.7,-117.6,15.0144365278,14.7329081744,14.838,15.198
32.7,-117.5,14.9626581378,14.7200682988,14.84,15.202
32.7,-117.4,14.6547250819,14.7111236262,14.84,15.006
32.7,-117.3,14.8068648047,14.716203741,14.84,15.229
32.7,-117.2,14.9013220721,14.7202337475,14.84,15.226
32.7,-117.1,15.2397748152,14.7228148409,14.839,15.247
32.7,-117,15.1963143854,14.7234064109,14.837,15.247
32.7,-116.9,15.1173044466,14.7220083514,14.844,15.227
32.7,-116.8,15.089799173,14.718468472,14.848,15.144
32.7,-116.7,15.0882069881,14.7126917824,14.847,15.083
32.7,-116.6,14.9786004515,14.7049736941,14.845,15.04
32.7,-116.5,14.895444647,14.6991089563,14.853,15.001
32.7,-116.4,15.1103202968,14.6998377259,14.887,14.951
32.7,-116.3,15.188759793,14.7515793102,14.947,14.927
32.7,-116.2,15.5173014886,14.8439238591,15.02,14.968
32.7,-116.1,15.6442612902,14.9350384585,15.086,14.96
32.7,-116,15.8410276779,14.9971853565,15.128,14.903
32.7,-115.9,15.8484970181,15.0052234249,15.127,15.375
32.7,-115.8,15.9125461946,14.9785867644,15.087,15.518
32.7,-115.7,16.0137638547,14.943721991,15.003,15.601
