"Fault Model FM3.2",,,,,,,,,,,,,,,,,,,,
FID,Minisection,Name,ELon1,NLat1,ELon2,NLat2,CREEPS?,"ABM slip rate","ABM rake","NeoKinema slip rate","Neokinema rake","NeoKinema dip","Zeng slip rate","Zeng rake","Geologic rate (mm/yr)","Geologic lower bound (mm/yr)","Geologic upper bound (mm/yr)","Geo rake","Geo dip","Geo dip dir"
42,42.11,"Round Valley",-118.65061,37.40476,-118.65119,37.413692,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.12,"Round Valley",-118.65119,37.413692,-118.63719,37.44611,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.13,"Round Valley",-118.63719,37.44611,-118.64157,37.481274,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.14,"Round Valley",-118.64157,37.481274,-118.65043,37.51517,F,3.2919,-170.27,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.15,"Round Valley",-118.65043,37.51517,-118.67178,37.52474,F,3.2919,-170.27,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.16,"Round Valley",-118.67178,37.52474,-118.70231,37.539726,F,3.2919,-170.27,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.17,"Round Valley",-118.70231,37.539726,-118.73086,37.54858,F,3.2919,-170.27,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.18,"Round Valley",-118.73086,37.54858,-118.74232,37.560276,F,3.2919,-170.27,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
44,44.01,"White Mountains",-118.16626,37.022095,-118.16659,37.039764,F,0.61109,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.02,"White Mountains",-118.16659,37.039764,-118.18756,37.06858,F,0.63691,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.03,"White Mountains",-118.18756,37.06858,-118.22367,37.171883,F,0.70664,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.04,"White Mountains",-118.22367,37.171883,-118.25827,37.24149,F,0.67556,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.05,"White Mountains",-118.25827,37.24149,-118.27922,37.30249,F,0.65894,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.06,"White Mountains",-118.27922,37.30249,-118.293015,37.33345,F,0.63315,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.07,"White Mountains",-118.293015,37.33345,-118.305145,37.37849,F,0.64208,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.08,"White Mountains",-118.305145,37.37849,-118.31811,37.43014,F,0.64684,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.09,"White Mountains",-118.31811,37.43014,-118.33015,37.484745,F,0.64657,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.1,"White Mountains",-118.33015,37.484745,-118.3357,37.527542,F,0.63152,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.11,"White Mountains",-118.3357,37.527542,-118.34866,37.575504,F,0.6375,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.12,"White Mountains",-118.34866,37.575504,-118.36718,37.66848,F,0.67042,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.13,"White Mountains",-118.36718,37.66848,-118.37551,37.735626,F,0.65115,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
44,44.14,"White Mountains",-118.37551,37.735626,-118.41131,37.78391,F,0.64735,180,0.857,-158.9,55,0.40162,-161.1139,0.7,0.2,1,180,90,81.84
