ENTRY DATE,WG_FAULT_ID,WG SITE ID
2006/10/26 14:50:58,109,260
2006/10/26 14:51:01,109,261
2006/10/26 14:51:05,109,262
2006/10/26 14:51:07,109,263
2006/10/26 14:51:10,109,264
2006/10/26 14:51:13,109,265
2006/10/26 14:50:28,211,252
2006/10/26 14:50:31,116,253
2006/10/26 14:50:34,116,254
2006/10/26 14:50:37,116,255
2006/10/26 14:50:40,116,256
2006/10/26 14:50:43,85,257
2006/10/26 14:50:52,109,258
2006/10/26 14:50:09,235,246
2006/10/26 14:50:12,235,247
2006/10/26 14:50:16,235,248
2006/10/26 14:50:18,235,249
2006/10/26 14:50:21,130,250
2006/10/26 14:50:25,130,251
2006/10/26 14:50:03,235,244
2006/10/26 14:50:06,235,245
2006/10/26 14:49:41,234,237
2006/10/26 14:49:44,235,238
2006/10/26 14:49:47,235,239
2006/10/26 14:49:50,235,240
2006/10/26 14:49:53,235,241
2006/10/26 14:49:56,235,242
2006/10/26 14:49:59,235,243
2006/10/26 14:49:18,235,230
2006/10/26 14:49:21,235,231
2006/10/26 14:49:24,235,232
2006/10/26 14:49:28,235,233
2006/10/26 14:49:31,235,234
2006/10/26 14:49:34,235,235
2006/10/26 14:49:38,235,236
2006/10/26 14:48:58,78,223
2006/10/26 14:49:00,78,224
2006/10/26 14:49:04,220,225
2006/10/26 14:49:07,220,226
2006/10/26 14:49:09,220,227
2006/10/26 14:49:12,220,228
2006/10/26 14:49:15,235,229
2006/10/26 14:48:51,108,221
2006/10/26 14:48:54,97,222
2006/10/26 14:48:31,341,214
2006/10/26 14:48:33,84,215
2006/10/26 14:48:36,108,216
2006/10/26 14:48:40,108,217
2006/10/26 14:48:42,108,218
2006/10/26 14:48:45,108,219
2006/10/26 14:48:48,108,220
2006/10/26 14:48:20,49,210
2006/10/26 14:48:23,341,211
2006/10/26 14:48:26,48,212
2006/10/26 14:48:28,341,213
2006/10/26 14:48:09,48,206
2006/10/26 14:48:12,48,207
2006/10/26 14:48:15,49,208
2006/10/26 14:48:18,341,209
2006/10/26 14:47:50,124,199
2006/10/26 14:47:53,219,200
2006/10/26 14:47:56,219,201
2006/10/26 14:47:58,219,202
2006/10/26 14:48:01,184,203
2006/10/26 14:48:04,184,204
2006/10/26 14:48:06,341,205
2006/10/26 14:45:50,282,187
2006/10/26 14:45:52,282,187
2006/10/26 14:45:54,282,187
2006/10/26 14:45:56,12,188
2006/10/26 14:45:59,293,189
2006/10/26 14:46:01,293,189
2006/10/26 14:46:03,293,189
2006/10/26 14:46:05,293,189
2006/10/26 14:46:09,226,190
2006/10/26 14:46:11,226,190
2006/10/26 14:46:13,226,190
2006/10/26 14:46:08,226,190
2006/10/26 14:54:27,226,190
2006/10/26 14:54:30,226,190
2006/10/26 14:46:16,53,191
2006/10/26 14:46:19,53,192
2006/10/26 14:47:27,296,193
2006/10/26 14:47:30,236,194
2006/10/26 14:47:31,236,194
2006/10/26 14:47:37,236,194
2006/10/26 14:47:34,236,195
2006/10/26 14:47:35,236,195
2006/10/26 14:47:40,125,196
2006/10/26 14:47:44,214,197
2006/10/26 14:47:47,124,198
2006/10/26 14:44:21,301,168
2006/10/26 14:52:33,301,168
2006/10/26 14:44:24,294,169
2006/10/26 14:44:27,67,170
2006/10/26 14:45:03,67,170
2006/10/26 14:44:32,283,171
2006/10/26 14:44:34,283,171
2006/10/26 14:44:36,283,171
2006/10/26 14:44:38,283,171
2006/10/26 14:44:40,283,171
2006/10/26 14:44:43,27,172
2006/10/26 14:44:45,27,172
2006/10/26 14:44:47,27,172
2006/10/26 14:44:50,27,173
2006/10/26 14:44:53,57,174
2006/10/26 14:44:55,57,174
2006/10/26 14:45:06,26,175
2006/10/26 14:45:09,286,176
2006/10/26 14:45:11,286,176
2006/10/26 14:53:01,286,176
2006/10/26 14:45:27,301,177
2006/10/26 14:45:29,301,177
2006/10/26 14:53:06,301,177
2006/10/26 14:53:10,301,177
2006/10/26 14:45:14,301,177
2006/10/26 14:52:54,301,177
2006/10/26 14:45:17,301,178
2006/10/26 14:45:21,295,179
2006/10/26 14:45:23,295,179
2006/10/26 14:45:26,300,180
2006/10/26 14:52:57,300,180
2006/10/26 14:45:32,294,181
2006/10/26 14:52:51,294,181
2006/10/26 14:45:35,295,182
2006/10/26 14:45:38,295,183
2006/10/26 14:45:41,295,184
2006/10/26 14:45:44,32,185
2006/10/26 14:52:59,32,185
2006/10/26 14:45:47,300,186
2006/10/26 14:53:03,300,186
2006/10/26 14:43:13,1,150
2006/10/26 14:43:16,6,151
2006/10/26 14:43:19,7,152
2006/10/26 14:43:21,68,153
2006/10/26 14:43:24,68,153
2006/10/26 14:43:25,68,153
2006/10/26 14:43:28,68,153
2006/10/26 14:43:30,68,153
2006/10/26 14:43:33,69,154
2006/10/26 14:43:35,69,155
2006/10/26 14:43:37,69,155
2006/10/26 14:43:40,14,156
2006/10/26 14:43:43,149,157
2006/10/26 14:43:46,8,158
2006/10/26 14:43:48,8,158
2006/10/26 14:43:53,47,159
2006/10/26 14:43:51,47,159
2006/10/26 14:50:45,47,159
2006/10/26 14:50:48,47,159
2006/10/26 14:43:55,109,160
2006/10/26 14:43:58,58,161
2006/10/26 14:44:00,58,161
2006/10/26 14:43:05,90,148
2006/10/26 14:43:08,3,149
2006/10/26 14:43:10,3,149
2006/10/26 14:44:02,152,162
2006/10/26 14:52:06,152,162
2006/10/26 14:44:05,282,163
2006/10/26 14:44:08,27,164
2006/10/26 14:44:57,27,165
2006/10/26 14:44:59,27,165
2006/10/26 14:45:01,27,165
2006/10/26 14:44:11,27,165
2006/10/26 14:44:14,67,166
2006/10/26 14:44:29,67,166
2006/10/26 14:44:17,56,167
2006/10/26 14:44:19,56,167
2006/10/26 14:41:43,253,138
2006/10/26 14:41:50,283,140
2006/10/26 14:41:53,301,141
2006/10/26 14:42:42,295,142
2006/10/26 14:42:44,295,142
2006/10/26 14:42:47,24,143
2006/10/26 14:42:50,4,144
2006/10/26 14:42:53,5,145
2006/10/26 14:42:55,5,145
2006/10/26 14:42:58,4,146
2006/10/26 14:43:00,4,146
2006/10/26 14:43:02,57,147
2006/10/26 14:41:21,296,132
2006/10/26 14:41:23,296,132
2006/10/26 14:41:25,293,133
2006/10/26 14:41:27,99,133
2006/10/26 14:41:30,293,134
2006/10/26 14:41:33,80,135
2006/10/26 14:41:39,300,137
2006/10/26 14:41:40,300,137
2006/10/26 14:41:00,12,126
2006/10/26 14:41:03,299,127
2006/10/26 14:41:08,26,128
2006/10/26 14:41:12,10,129
2006/10/26 14:41:15,245,130
2006/10/26 14:41:18,301,131
2006/10/26 14:40:40,30,120
2006/10/26 14:40:44,30,121
2006/10/26 14:40:47,30,122
2006/10/26 14:40:51,119,123
2006/10/26 14:40:54,236,124
2006/10/26 14:40:57,67,125
2006/10/26 14:40:22,67,114
2006/10/26 14:40:25,67,115
2006/10/26 14:40:29,67,116
2006/10/26 14:40:32,283,117
2006/10/26 14:40:35,123,118
2006/10/26 14:40:38,143,119
2006/10/26 14:39:56,90,108
2006/10/26 14:39:59,225,109
2006/10/26 14:40:09,239,111
2006/10/26 14:40:15,81,112
2006/10/26 14:40:20,244,113
2006/10/26 14:39:17,116,102
2006/10/26 14:39:20,116,103
2006/10/26 14:39:33,208,106
2006/10/26 14:40:11,208,106
2006/10/26 14:39:37,93,107
2006/10/26 14:38:54,25,96
2006/10/26 14:38:57,68,97
2006/10/26 14:38:58,68,97
2006/10/26 14:39:01,55,98
2006/10/26 14:39:06,253,99
2006/10/26 14:39:09,253,99
2006/10/26 14:39:12,253,100
2006/10/26 14:39:15,125,101
2006/10/26 14:39:22,46,90
2006/10/26 14:38:37,231,91
2006/10/26 14:38:39,341,92
2006/10/26 14:38:44,36,93
2006/10/26 14:38:47,296,94
2006/10/26 14:38:51,10,95
