segment Malawi
-14.216 33.379
-14.211 33.375
-14.212 33.365
-14.217 33.355
-14.216 33.347
-14.214 33.345
-14.212 33.342
-14.205 33.337
-14.194 33.334
-14.182 33.329
-14.163 33.315
-14.162 33.307
-14.155 33.305
-14.151 33.304
-14.146 33.296
-14.141 33.294
-14.124 33.302
-14.104 33.303
-14.093 33.313
-14.08 33.314
-14.05 33.3
-14.042 33.297
-14.036 33.295
-14.026 33.283
-14.021 33.259
-14.004 33.247
-13.998 33.24
-13.998 33.23
-14.002 33.22
-14.004 33.209
-13.992 33.197
-13.978 33.189
-13.967 33.189
-13.955 33.183
-13.951 33.179
-13.935 33.152
-13.937 33.143
-13.958 33.132
-13.961 33.126
-13.959 33.11
-13.96 33.104
-13.977 33.081
-13.99 33.069
-14.015 33.067
-14.025 33.063
-14.033 33.054
-14.037 33.051
-14.049 33.041
-14.05 33.038
-14.046 33.029
-14.028 33.012
-14.025 33.002
-14.014 32.992
-14 32.99
-13.982 32.992
-13.973 32.997
-13.968 33.002
-13.966 33.004
-13.956 33.003
-13.948 33
-13.939 32.987
-13.935 32.974
-13.934 32.962
-13.937 32.95
-13.935 32.947
-13.928 32.943
-13.913 32.947
-13.904 32.953
-13.891 32.947
-13.873 32.937
-13.868 32.929
-13.866 32.923
-13.862 32.916
-13.85 32.903
-13.839 32.897
-13.822 32.895
-13.813 32.889
-13.801 32.871
-13.802 32.867
-13.803 32.863
-13.797 32.861
-13.791 32.861
-13.793 32.848
-13.782 32.834
-13.78 32.815
-13.797 32.811
-13.796 32.805
-13.789 32.801
-13.786 32.797
-13.777 32.79
-13.775 32.784
-13.776 32.778
-13.776 32.774
-13.773 32.77
-13.766 32.777
-13.748 32.782
-13.747 32.794
-13.734 32.805
-13.728 32.806
-13.722 32.816
-13.724 32.83
-13.719 32.84
-13.714 32.844
-13.709 32.843
-13.704 32.839
-13.688 32.827
-13.669 32.8
-13.652 32.799
-13.64 32.787
-13.636 32.774
-13.637 32.76
-13.645 32.755
-13.645 32.751
-13.644 32.747
-13.64 32.736
-13.64 32.727
-13.633 32.717
-13.632 32.705
-13.621 32.69
-13.618 32.68
-13.613 32.675
-13.608 32.674
-13.596 32.684
-13.577 32.681
-13.576 32.684
-13.574 32.69
-13.567 32.69
-13.565 32.693
-13.565 32.706
-13.576 32.721
-13.575 32.724
-13.579 32.731
-13.578 32.736
-13.579 32.748
-13.574 32.752
-13.558 32.759
-13.55 32.766
-13.551 32.782
-13.551 32.783
-13.547 32.793
-13.541 32.798
-13.536 32.804
-13.532 32.822
-13.519 32.837
-13.515 32.845
-13.507 32.847
-13.496 32.844
-13.485 32.843
-13.463 32.843
-13.461 32.844
-13.458 32.845
-13.456 32.849
-13.456 32.861
-13.459 32.876
-13.456 32.883
-13.449 32.889
-13.408 32.915
-13.396 32.92
-13.384 32.923
-13.382 32.923
-13.353 32.923
-13.324 32.934
-13.32 32.932
-13.303 32.939
-13.295 32.938
-13.29 32.941
-13.273 32.945
-13.262 32.953
-13.26 32.955
-13.259 32.958
-13.26 32.968
-13.258 32.97
-13.246 32.974
-13.241 32.979
-13.228 32.982
-13.223 32.991
-13.221 33.001
-13.214 33.014
-13.211 33.017
-13.203 33.014
-13.199 33.011
-13.185 33.006
-13.178 33.001
-13.17 32.996
-13.157 32.981
-13.124 32.975
-13.11 32.974
-13.104 32.979
-13.098 32.98
-13.076 32.98
-13.066 32.989
-13.063 32.991
-13.055 32.996
-13.043 32.995
-13.034 32.988
-13.027 32.987
-13.023 32.992
-13.005 32.999
-12.998 33.007
-12.988 33.012
-12.98 33.011
-12.963 33.012
-12.953 33.015
-12.946 33.017
-12.936 33.017
-12.917 33.025
-12.911 33.026
-12.903 33.022
-12.894 33.02
-12.887 33.016
-12.88 33
-12.86 32.98
-12.854 32.971
-12.854 32.97
-12.847 32.961
-12.843 32.957
-12.834 32.956
-12.779 32.958
-12.756 32.96
-12.749 32.964
-12.741 32.975
-12.74 32.976
-12.723 32.991
-12.702 33.006
-12.695 33.008
-12.668 33.011
-12.658 33.015
-12.653 33.02
-12.652 33.026
-12.635 33.036
-12.627 33.04
-12.612 33.056
-12.609 33.066
-12.601 33.074
-12.598 33.083
-12.594 33.086
-12.596 33.091
-12.608 33.1
-12.612 33.107
-12.611 33.115
-12.599 33.129
-12.598 33.134
-12.597 33.137
-12.595 33.153
-12.601 33.169
-12.612 33.178
-12.617 33.179
-12.636 33.174
-12.642 33.176
-12.642 33.181
-12.638 33.189
-12.633 33.193
-12.611 33.199
-12.609 33.202
-12.604 33.207
-12.598 33.217
-12.598 33.223
-12.593 33.232
-12.583 33.238
-12.553 33.263
-12.542 33.262
-12.537 33.271
-12.537 33.281
-12.535 33.292
-12.534 33.295
-12.53 33.302
-12.526 33.315
-12.531 33.324
-12.536 33.331
-12.54 33.333
-12.545 33.339
-12.55 33.351
-12.552 33.355
-12.553 33.361
-12.549 33.37
-12.536 33.383
-12.527 33.395
-12.526 33.399
-12.521 33.41
-12.516 33.414
-12.502 33.416
-12.477 33.434
-12.47 33.448
-12.466 33.449
-12.46 33.459
-12.46 33.471
-12.454 33.477
-12.451 33.479
-12.443 33.477
-12.425 33.472
-12.418 33.473
-12.414 33.476
-12.413 33.483
-12.41 33.488
-12.409 33.497
-12.406 33.501
-12.397 33.506
-12.392 33.512
-12.387 33.522
-12.372 33.543
-12.369 33.546
-12.359 33.548
-12.358 33.548
-12.343 33.542
-12.332 33.532
-12.332 33.527
-12.342 33.515
-12.342 33.512
-12.334 33.502
-12.333 33.486
-12.323 33.476
-12.323 33.454
-12.327 33.448
-12.338 33.433
-12.341 33.423
-12.341 33.408
-12.34 33.395
-12.343 33.382
-12.349 33.37
-12.348 33.366
-12.319 33.363
-12.31 33.359
-12.307 33.357
-12.299 33.351
-12.29 33.339
-12.282 33.334
-12.266 33.331
-12.257 33.328
-12.256 33.318
-12.25 33.311
-12.238 33.308
-12.23 33.308
-12.206 33.312
-12.186 33.309
-12.166 33.309
-12.161 33.305
-12.16 33.288
-12.155 33.273
-12.152 33.267
-12.151 33.266
-12.142 33.261
-12.128 33.26
-12.118 33.261
-12.113 33.262
-12.085 33.27
-12.058 33.279
-12.042 33.288
-12.04 33.289
-12.027 33.293
-12.017 33.301
-12.001 33.309
-11.997 33.309
-11.986 33.31
-11.977 33.308
-11.97 33.31
-11.954 33.311
-11.934 33.319
-11.918 33.323
-11.897 33.323
-11.884 33.317
-11.877 33.311
-11.873 33.307
-11.865 33.305
-11.858 33.306
-11.842 33.315
-11.822 33.329
-11.808 33.334
-11.799 33.334
-11.789 33.331
-11.784 33.327
-11.767 33.323
-11.762 33.323
-11.758 33.324
-11.722 33.315
-11.71 33.317
-11.667 33.315
-11.636 33.317
-11.63 33.318
-11.611 33.316
-11.595 33.311
-11.591 33.307
-11.586 33.292
-11.583 33.292
-11.578 33.289
-11.576 33.285
-11.583 33.279
-11.578 33.26
-11.586 33.242
-11.587 33.24
-11.589 33.224
-11.554 33.225
-11.548 33.231
-11.539 33.236
-11.537 33.24
-11.529 33.249
-11.512 33.252
-11.503 33.251
-11.493 33.241
-11.47 33.248
-11.46 33.247
-11.45 33.242
-11.443 33.234
-11.43 33.227
-11.423 33.228
-11.415 33.231
-11.41 33.232
-11.401 33.24
-11.403 33.245
-11.407 33.249
-11.414 33.25
-11.417 33.253
-11.434 33.273
-11.436 33.278
-11.436 33.284
-11.432 33.289
