segment Madagascar
-13.499 48.352
-13.497 48.34
-13.489 48.329
-13.471 48.321
-13.468 48.32
-13.46 48.319
-13.447 48.326
-13.445 48.329
-13.444 48.333
-13.439 48.34
-13.437 48.345
-13.449 48.362
-13.466 48.37
-13.474 48.371
-13.483 48.369
-13.492 48.361
-13.499 48.352
segment Madagascar
-13.511 48.447
-13.511 48.444
-13.51 48.438
-13.514 48.43
-13.512 48.429
-13.509 48.431
-13.505 48.442
-13.506 48.448
-13.509 48.449
-13.511 48.447
segment Madagascar
-13.526 48.528
-13.526 48.535
-13.524 48.542
-13.527 48.539
-13.529 48.534
-13.528 48.528
-13.526 48.527
-13.526 48.528
segment Madagascar
-13.524 48.433
-13.527 48.437
-13.53 48.442
-13.532 48.443
-13.535 48.442
-13.535 48.438
-13.533 48.435
-13.526 48.43
-13.524 48.43
-13.524 48.433
segment Madagascar
-13.538 48.373
-13.536 48.372
-13.534 48.373
-13.534 48.383
-13.536 48.384
-13.538 48.38
-13.538 48.373
segment Madagascar
-13.595 47.827
-13.592 47.818
-13.595 47.814
-13.595 47.81
-13.594 47.809
-13.592 47.811
-13.588 47.819
-13.583 47.817
-13.582 47.82
-13.593 47.828
-13.595 47.827
segment Madagascar
-13.726 48.189
-13.725 48.186
-13.721 48.184
-13.719 48.179
-13.717 48.18
-13.714 48.186
-13.723 48.191
-13.726 48.191
-13.726 48.189
segment Madagascar
-13.741 48.317
-13.739 48.316
-13.738 48.318
-13.736 48.325
-13.738 48.33
-13.74 48.329
-13.741 48.317
segment Madagascar
-13.744 48.333
-13.742 48.338
-13.742 48.341
-13.746 48.343
-13.75 48.342
-13.753 48.338
-13.753 48.331
-13.749 48.33
-13.744 48.333
segment Madagascar
-13.756 48.334
-13.756 48.336
-13.759 48.337
-13.765 48.325
-13.758 48.324
-13.755 48.328
-13.756 48.334
segment Madagascar
-13.957 47.766
-13.956 47.764
-13.954 47.761
-13.948 47.763
-13.944 47.761
-13.938 47.763
-13.931 47.768
-13.933 47.771
-13.945 47.776
-13.957 47.766
segment Madagascar
-13.951 47.979
-13.945 47.974
-13.938 47.976
-13.938 47.979
-13.947 47.981
-13.951 47.979
segment Madagascar
-14.057 47.831
-14.056 47.82
-14.048 47.806
-14.042 47.786
-14.029 47.785
-14.02 47.782
-14.013 47.777
-14.007 47.776
-13.997 47.781
-13.993 47.784
-13.973 47.786
-13.971 47.789
-13.982 47.793
-13.991 47.801
-13.997 47.804
-14.004 47.803
-14.01 47.804
-14.027 47.817
-14.057 47.831
segment Madagascar
-14.118 47.738
-14.117 47.745
-14.11 47.753
-14.11 47.756
-14.119 47.76
-14.123 47.757
-14.127 47.748
-14.127 47.742
-14.124 47.739
-14.118 47.738
segment Madagascar
-14.184 47.823
-14.184 47.82
-14.179 47.812
-14.179 47.8
-14.175 47.796
-14.16 47.799
-14.155 47.796
-14.15 47.796
-14.15 47.799
-14.158 47.806
-14.159 47.81
-14.156 47.816
-14.158 47.818
-14.161 47.818
-14.166 47.819
-14.17 47.827
-14.174 47.829
-14.181 47.826
-14.184 47.823
segment Madagascar
-14.373 47.637
-14.37 47.634
-14.361 47.638
-14.36 47.641
-14.365 47.647
-14.369 47.646
-14.372 47.642
-14.373 47.637
segment Madagascar
-14.584 47.583
-14.583 47.583
-14.581 47.581
-14.562 47.577
-14.556 47.573
-14.551 47.583
-14.549 47.584
-14.53 47.58
-14.525 47.582
-14.522 47.586
-14.515 47.589
-14.51 47.598
-14.511 47.6
-14.514 47.603
-14.515 47.608
-14.519 47.61
-14.523 47.611
-14.533 47.606
-14.537 47.606
-14.54 47.606
-14.543 47.612
-14.541 47.615
-14.552 47.617
-14.551 47.62
-14.546 47.622
-14.545 47.627
-14.548 47.63
-14.56 47.628
-14.565 47.632
-14.569 47.632
-14.582 47.617
-14.582 47.609
-14.573 47.607
-14.574 47.604
-14.579 47.601
-14.578 47.596
-14.583 47.588
-14.584 47.583
segment Madagascar
-12.032 49.176
-12.03 49.177
-12.029 49.178
-12.009 49.182
-12.01 49.187
-12.019 49.189
-12.026 49.195
-12.022 49.201
-12.024 49.213
-12.021 49.212
-12.018 49.206
-12.015 49.21
-12.01 49.204
-12.011 49.202
-12.014 49.2
-12.014 49.198
-12.009 49.193
-12.006 49.192
-11.999 49.196
-11.998 49.2
-12.001 49.212
-12.002 49.216
-12.007 49.218
-12.017 49.215
-12.019 49.217
-12.016 49.22
-12.003 49.226
-12.002 49.231
-11.999 49.234
-11.997 49.234
-11.998 49.229
-11.993 49.228
-11.993 49.226
-11.991 49.224
-11.987 49.225
-11.987 49.222
-11.992 49.219
-11.993 49.216
-11.99 49.21
-11.993 49.207
-11.992 49.205
-11.989 49.203
-11.985 49.204
-11.973 49.216
-11.97 49.221
-11.968 49.225
-11.957 49.235
-11.957 49.24
-11.954 49.241
-11.95 49.24
-11.946 49.241
-11.945 49.247
-11.95 49.248
-11.95 49.251
-11.946 49.252
-11.949 49.271
-11.952 49.274
-11.958 49.277
-11.966 49.27
-11.967 49.272
-11.967 49.275
-11.964 49.279
-11.963 49.285
-11.967 49.289
-11.963 49.293
-11.968 49.294
-11.977 49.296
-11.988 49.303
-11.991 49.301
-11.995 49.294
-11.998 49.294
-12 49.31
-12.007 49.312
-12.028 49.312
-12.031 49.309
-12.032 49.31
-12.029 49.318
-12.031 49.321
-12.045 49.325
-12.05 49.32
-12.046 49.314
-12.051 49.314
-12.054 49.317
-12.055 49.321
-12.053 49.327
-12.055 49.33
-12.055 49.339
-12.058 49.341
-12.066 49.335
-12.068 49.34
-12.083 49.342
-12.087 49.345
-12.09 49.35
-12.099 49.356
-12.103 49.356
-12.106 49.355
-12.112 49.344
-12.116 49.341
-12.122 49.34
-12.133 49.341
-12.141 49.344
-12.145 49.348
-12.146 49.353
-12.149 49.355
-12.163 49.355
-12.186 49.36
-12.188 49.363
-12.189 49.364
-12.192 49.366
-12.197 49.363
-12.2 49.365
-12.199 49.369
-12.202 49.371
-12.209 49.37
-12.215 49.368
-12.215 49.366
-12.208 49.364
-12.203 49.357
-12.19 49.348
-12.179 49.336
-12.169 49.334
-12.164 49.328
-12.164 49.319
-12.158 49.316
-12.157 49.313
-12.16 49.308
-12.167 49.3
-12.171 49.298
-12.175 49.298
-12.187 49.303
-12.199 49.299
-12.203 49.303
-12.207 49.303
-12.206 49.298
-12.202 49.295
-12.189 49.294
-12.182 49.285
-12.181 49.279
-12.182 49.278
-12.186 49.279
-12.189 49.277
-12.188 49.274
-12.179 49.274
-12.176 49.272
-12.176 49.269
-12.177 49.266
-12.178 49.264
-12.175 49.259
-12.173 49.26
-12.161 49.261
-12.157 49.259
-12.151 49.255
-12.146 49.256
-12.144 49.255
-12.144 49.25
-12.147 49.244
-12.153 49.237
-12.161 49.236
-12.173 49.225
-12.178 49.224
-12.19 49.228
-12.191 49.23
-12.186 49.235
-12.186 49.239
-12.188 49.241
-12.193 49.243
-12.193 49.242
-12.204 49.24
-12.208 49.237
-12.208 49.232
-12.222 49.218
-12.226 49.218
-12.229 49.22
-12.23 49.225
-12.225 49.234
-12.226 49.236
-12.231 49.237
-12.226 49.243
-12.225 49.248
-12.227 49.256
-12.229 49.256
-12.231 49.251
-12.234 49.253
-12.235 49.258
-12.23 49.263
-12.23 49.268
-12.234 49.272
-12.234 49.273
-12.235 49.283
-12.237 49.284
-12.253 49.282
-12.252 49.277
-12.254 49.274
-12.271 49.268
-12.274 49.264
-12.272 49.26
-12.273 49.257
-12.275 49.255
-12.283 49.257
-12.289 49.254
-12.278 49.237
-12.271 49.233
-12.258 49.229
-12.253 49.228
-12.247 49.223
-12.245 49.219
-12.246 49.215
-12.253 49.208
-12.258 49.211
-12.264 49.208
-12.262 49.203
-12.268 49.203
-12.273 49.207
-12.278 49.206
-12.28 49.202
-12.282 49.197
-12.284 49.198
-12.284 49.201
-12.288 49.202
-12.288 49.198
-12.292 49.196
-12.297 49.196
-12.296 49.206
-12.306 49.216
-12.312 49.212
-12.315 49.222
-12.297 49.228
-12.294 49.231
-12.293 49.238
-12.289 49.242
-12.289 49.245
-12.296 49.25
-12.296 49.254
-12.292 49.258
-12.291 49.266
-12.277 49.275
-12.272 49.279
-12.27 49.283
-12.26 49.289
-12.259 49.298
-12.265 49.299
-12.268 49.301
-12.267 49.305
-12.267 49.308
-12.269 49.31
-12.277 49.31
-12.277 49.313
-12.281 49.315
-12.284 49.315
-12.285 49.313
-12.29 49.307
-12.3 49.305
-12.303 49.308
-12.302 49.312
-12.305 49.316
-12.301 49.32
-12.301 49.323
-12.306 49.327
-12.306 49.331
-12.303 49.34
-12.298 49.344
-12.293 49.351
-12.29 49.354
-12.272 49.355
-12.268 49.353
-12.267 49.349
-12.264 49.344
-12.251 49.342
-12.248 49.338
-12.229 49.348
-12.222 49.358
-12.224 49.367
-12.237 49.379
-12.236 49.384
-12.237 49.387
-12.248 49.393
-12.253 49.399
-12.256 49.395
-12.261 49.395
-12.266 49.395
-12.27 49.397
-12.267 49.399
-12.268 49.403
-12.273 49.403
-12.278 49.402
-12.278 49.399
-12.284 49.397
-12.287 49.399
-12.288 49.404
-12.286 49.408
-12.29 49.411
-12.292 49.408
-12.295 49.407
-12.295 49.411
-12.302 49.415
-12.315 49.414
-12.318 49.416
-12.32 49.424
-12.321 49.425
-12.323 49.423
-12.325 49.423
-12.328 49.42
-12.33 49.419
-12.338 49.423
-12.338 49.426
-12.334 49.428
-12.333 49.428
-12.334 49.431
-12.344 49.443
-12.35 49.447
-12.354 49.448
-12.368 49.443
