segment Namibia
-17.889 24.767
-17.891 24.757
-17.898 24.75
-17.899 24.747
-17.896 24.744
-17.89 24.743
-17.889 24.741
-17.89 24.738
-17.89 24.736
-17.896 24.732
-17.899 24.734
-17.905 24.729
-17.909 24.728
-17.913 24.73
-17.916 24.728
-17.916 24.721
-17.924 24.717
-17.934 24.708
-17.943 24.707
-17.944 24.703
-17.943 24.699
-17.938 24.695
-17.947 24.684
-17.948 24.679
-17.947 24.676
-17.943 24.671
-17.942 24.667
-17.945 24.662
-17.949 24.66
-17.951 24.661
-17.952 24.667
-17.955 24.668
-17.959 24.666
-17.967 24.656
-17.975 24.651
-17.978 24.647
-17.979 24.639
-17.982 24.632
-17.989 24.625
-18.002 24.618
-18.015 24.617
-18.018 24.615
-18.039 24.597
-18.049 24.592
-18.065 24.575
-18.067 24.562
-18.065 24.55
-18.065 24.531
-18.061 24.521
-18.059 24.509
-18.046 24.502
-18.047 24.489
-18.042 24.489
-18.039 24.488
-18.038 24.487
-18.037 24.482
-18.033 24.48
-18.022 24.487
-18.016 24.489
-18.012 24.488
-17.998 24.47
-17.988 24.466
-17.984 24.457
-17.981 24.455
-17.967 24.458
-17.962 24.456
-17.962 24.453
-17.97 24.451
-17.969 24.445
-17.959 24.428
-17.953 24.424
-17.954 24.42
-17.956 24.417
-17.953 24.409
-17.961 24.404
-17.962 24.401
-17.96 24.397
-17.952 24.391
-17.951 24.382
-17.952 24.375
-17.951 24.368
-17.955 24.364
-17.96 24.362
-17.962 24.353
-17.962 24.352
-17.972 24.348
-17.977 24.342
-17.985 24.339
-17.991 24.331
-17.996 24.324
-17.998 24.311
-18.002 24.307
-18.01 24.304
-18.028 24.299
-18.031 24.296
-18.031 24.291
-18.027 24.286
-18.011 24.277
-18.01 24.272
-18.012 24.259
-18.02 24.244
-18.023 24.231
-18.02 24.217
-18.017 24.201
-18.019 24.195
-18.034 24.188
-18.036 24.183
-18.038 24.178
-18.036 24.174
-18.04 24.171
-18.044 24.172
-18.047 24.17
-18.064 24.158
-18.075 24.148
-18.09 24.128
-18.097 24.125
-18.104 24.117
-18.119 24.093
-18.117 24.078
-18.115 24.073
-18.115 24.071
-18.114 24.066
-18.112 24.062
-18.114 24.059
-18.122 24.062
-18.128 24.063
-18.132 24.061
-18.135 24.058
-18.139 24.038
-18.147 24.033
-18.15 24.021
-18.156 24.015
-18.169 24.008
-18.172 24.004
-18.174 23.997
-18.172 23.993
-18.181 23.987
-18.19 23.982
-18.194 23.977
-18.193 23.966
