segment Mozam
-21.607 35.33
-21.604 35.33
-21.603 35.333
-21.606 35.337
-21.612 35.342
-21.617 35.343
-21.624 35.34
-21.624 35.335
segment Mozam
-21.706 35.496
-21.702 35.493
-21.692 35.494
-21.69 35.498
-21.695 35.5
-21.701 35.499
-21.706 35.496
segment Mozam
-21.829 35.503
-21.827 35.5
-21.821 35.497
-21.814 35.497
-21.805 35.499
-21.804 35.504
-21.821 35.504
-21.829 35.503
segment Mozam
-21.923 35.457
-21.922 35.453
-21.912 35.444
-21.911 35.437
-21.908 35.431
-21.908 35.429
-21.904 35.427
-21.893 35.429
-21.887 35.427
-21.876 35.423
-21.867 35.414
-21.864 35.415
-21.861 35.42
-21.852 35.426
-21.852 35.432
-21.845 35.445
-21.85 35.452
-21.85 35.455
-21.84 35.46
-21.822 35.46
-21.819 35.46
-21.814 35.463
-21.813 35.465
-21.815 35.468
-21.821 35.469
-21.833 35.467
-21.856 35.463
-21.903 35.449
-21.918 35.457
-21.923 35.457
segment Mozam
-21.883 35.479
-21.878 35.471
-21.875 35.469
-21.872 35.47
-21.872 35.472
-21.876 35.478
-21.88 35.481
-21.883 35.479
segment Mozam
-21.979 35.423
-21.978 35.421
-21.975 35.419
-21.969 35.42
-21.965 35.424
-21.955 35.427
-21.954 35.431
-21.956 35.434
-21.976 35.437
-21.978 35.436
-21.977 35.433
-21.972 35.431
-21.979 35.423
segment Mozam
-22.159 35.534
-22.154 35.529
-22.145 35.527
-22.137 35.531
-22.136 35.534
-22.154 35.537
-22.158 35.536
-22.159 35.534
segment Mozam
-22.187 35.525
-22.184 35.523
-22.181 35.524
-22.175 35.528
-22.176 35.53
-22.181 35.532
-22.184 35.53
-22.187 35.525
segment Mozam
-23.8 35.426
-23.795 35.424
-23.788 35.426
-23.788 35.436
-23.79 35.437
-23.799 35.43
-23.8 35.426
segment Mozam
-23.817 35.421
-23.814 35.417
-23.811 35.418
-23.809 35.42
-23.809 35.426
-23.813 35.429
-23.816 35.426
-23.817 35.421
segment Mozam
-23.864 35.442
-23.86 35.436
-23.854 35.432
-23.849 35.431
-23.843 35.434
-23.842 35.438
-23.846 35.442
-23.858 35.446
-23.864 35.442
segment Mozam
-16.339 39.793
-16.338 39.791
-16.319 39.784
-16.316 39.785
-16.311 39.792
-16.31 39.798
-16.314 39.8
-16.336 39.795
-16.339 39.793
segment Mozam
-16.335 39.782
-16.333 39.778
-16.327 39.776
-16.322 39.776
-16.323 39.778
-16.334 39.784
-16.335 39.782
segment Mozam
-16.427 39.86
-16.425 39.858
-16.423 39.858
-16.42 39.881
-16.417 39.891
-16.414 39.894
-16.413 39.898
-16.418 39.898
-16.421 39.893
-16.426 39.881
-16.425 39.876
-16.427 39.86
segment Mozam
-16.954 39.072
-16.951 39.067
-16.949 39.066
-16.94 39.068
-16.937 39.08
-16.941 39.081
-16.949 39.077
-16.954 39.072
segment Mozam
-17.122 39.078
-17.12 39.075
-17.117 39.076
-17.114 39.08
-17.114 39.086
-17.117 39.088
-17.12 39.086
-17.121 39.084
-17.122 39.078
segment Mozam
-18.021 36.924
-18.019 36.921
-18.013 36.916
-18.011 36.917
-18.011 36.921
-18.013 36.928
-18.016 36.93
-18.02 36.928
-18.021 36.924
segment Mozam
-18.21 36.8
-18.207 36.796
-18.204 36.796
-18.199 36.8
-18.199 36.802
-18.204 36.804
-18.209 36.802
-18.21 36.8
segment Mozam
-18.207 36.767
-18.212 36.775
-18.212 36.78
-18.21 36.785
-18.213 36.787
-18.218 36.779
-18.217 36.774
-18.213 36.769
-18.207 36.767
segment Mozam
-18.227 36.787
-18.225 36.786
-18.219 36.8
-18.221 36.8
-18.223 36.799
-18.226 36.793
-18.227 36.787
segment Mozam
-18.581 36.486
-18.577 36.48
-18.569 36.477
-18.568 36.479
-18.57 36.482
-18.574 36.483
-18.58 36.487
-18.581 36.486
segment Mozam
-18.715 36.398
-18.715 36.393
-18.712 36.391
-18.706 36.392
-18.694 36.389
-18.691 36.393
-18.689 36.393
-18.689 36.389
-18.687 36.388
-18.681 36.385
-18.676 36.385
-18.672 36.389
-18.669 36.396
-18.661 36.398
-18.662 36.401
-18.666 36.401
-18.66 36.41
-18.655 36.412
-18.652 36.416
-18.654 36.417
-18.703 36.406
-18.715 36.398
segment Mozam
-18.873 36.27
-18.876 36.273
-18.879 36.277
-18.879 36.282
-18.882 36.288
-18.88 36.294
-18.884 36.295
-18.894 36.285
-18.895 36.267
-18.894 36.244
-18.898 36.216
-18.898 36.21
-18.903 36.189
-18.904 36.17
-18.908 36.154
-18.905 36.148
-18.897 36.158
-18.892 36.18
-18.889 36.187
-18.884 36.199
-18.885 36.202
-18.879 36.207
-18.871 36.222
-18.864 36.231
-18.853 36.239
-18.842 36.24
-18.838 36.242
-18.837 36.245
-18.84 36.247
-18.846 36.255
-18.873 36.27
segment Mozam
-18.911 35.986
-18.914 35.987
-18.915 35.982
-18.925 35.971
-18.925 35.966
-18.922 35.964
-18.918 35.965
-18.913 35.978
-18.911 35.986
segment Mozam
-18.917 36.137
-18.915 36.135
-18.912 36.137
-18.912 36.149
-18.916 36.144
-18.917 36.137
segment Mozam
-18.94 35.982
-18.938 35.977
-18.934 35.971
-18.93 35.975
-18.929 35.98
-18.931 35.981
-18.934 35.978
-18.938 35.983
-18.94 35.982
segment Mozam
-19.091 35.732
-19.097 35.728
-19.109 35.714
-19.115 35.704
-19.107 35.701
-19.097 35.703
-19.098 35.705
-19.103 35.708
-19.103 35.711
-19.097 35.718
-19.095 35.72
-19.091 35.732
segment Mozam
-15.445 40.561
-15.418 40.575
-15.422 40.577
-15.44 40.568
-15.444 40.568
-15.444 40.572
-15.446 40.572
-15.449 40.568
-15.453 40.565
-15.452 40.562
-15.445 40.561
segment Mozam
-10.798 40.651
-10.793 40.65
-10.779 40.641
-10.773 40.633
-10.768 40.639
-10.77 40.645
-10.769 40.654
-10.771 40.657
-10.777 40.658
-10.792 40.656
-10.798 40.651
segment Mozam
-10.877 40.644
-10.864 40.647
-10.854 40.646
-10.85 40.649
-10.844 40.65
-10.844 40.652
-10.849 40.654
-10.856 40.661
-10.856 40.662
-10.855 40.664
-10.851 40.67
-10.852 40.663
-10.848 40.662
-10.846 40.659
-10.838 40.658
-10.83 40.652
-10.827 40.654
-10.833 40.661
-10.835 40.67
-10.841 40.678
-10.846 40.679
-10.851 40.677
-10.875 40.653
-10.877 40.644
segment Mozam
-11.044 40.648
-11.044 40.644
-11.039 40.637
-11.038 40.636
-11.039 40.62
-11.037 40.616
-11.031 40.609
-11.028 40.611
-11.028 40.622
-11.034 40.636
-11.034 40.644
-11.031 40.659
-11.027 40.673
-11.018 40.691
-11.011 40.697
-10.997 40.711
-10.996 40.715
-10.999 40.718
-11.008 40.723
-11.012 40.722
-11.018 40.717
-11.024 40.708
-11.031 40.692
-11.031 40.686
-11.035 40.674
-11.032 40.67
-11.036 40.665
-11.038 40.657
-11.044 40.648
segment Mozam
-11.188 40.656
-11.187 40.653
-11.184 40.654
-11.175 40.662
-11.164 40.666
-11.15 40.674
-11.147 40.685
-11.152 40.695
-11.155 40.695
-11.164 40.698
-11.168 40.696
-11.175 40.683
-11.176 40.677
-11.175 40.672
-11.176 40.669
-11.182 40.665
-11.183 40.66
-11.188 40.656
segment Mozam
-11.195 40.641
-11.199 40.627
-11.199 40.614
-11.195 40.604
-11.182 40.586
-11.18 40.587
-11.187 40.602
-11.188 40.608
-11.194 40.618
-11.195 40.641
segment Mozam
-11.366 40.63
-11.364 40.646
-11.367 40.648
-11.37 40.639
-11.37 40.625
-11.371 40.624
-11.37 40.621
-11.366 40.624
-11.366 40.63
segment Mozam
-11.821 40.599
-11.819 40.597
-11.818 40.599
-11.816 40.606
-11.818 40.61
-11.82 40.608
-11.819 40.606
-11.821 40.599
segment Mozam
-11.976 40.574
-11.976 40.584
-11.973 40.589
-11.978 40.59
-11.984 40.588
-11.989 40.589
-11.998 40.582
-11.998 40.581
-11.984 40.578
-11.98 40.572
-11.976 40.57
-11.976 40.574
segment Mozam
-12.24 40.608
-12.253 40.593
-12.255 40.587
-12.254 40.584
-12.247 40.579
-12.238 40.581
-12.228 40.58
-12.223 40.576
-12.22 40.577
-12.222 40.58
-12.22 40.582
-12.214 40.577
-12.214 40.572
-12.214 40.571
-12.209 40.566
-12.203 40.566
-12.202 40.561
-12.197 40.556
-12.194 40.559
-12.191 40.567
-12.186 40.573
-12.184 40.577
-12.186 40.585
-12.185 40.59
-12.197 40.601
-12.208 40.608
-12.228 40.61
-12.24 40.608
segment Mozam
-12.326 40.5
-12.317 40.501
-12.303 40.494
-12.287 40.488
-12.28 40.488
-12.279 40.492
-12.287 40.498
-12.297 40.497
-12.322 40.507
-12.332 40.504
-12.335 40.506
-12.338 40.505
-12.336 40.501
-12.33 40.5
-12.326 40.5
segment Mozam
-12.36 40.587
-12.358 40.589
-12.35 40.591
-12.345 40.59
-12.346 40.584
-12.344 40.581
-12.343 40.58
-12.336 40.579
-12.332 40.58
-12.329 40.586
-12.327 40.591
-12.322 40.594
-12.321 40.598
-12.33 40.609
-12.33 40.616
-12.333 40.618
-12.34 40.618
-12.354 40.622
-12.359 40.622
-12.36 40.619
-12.346 40.614
-12.351 40.61
-12.346 40.605
-12.352 40.603
-12.354 40.608
-12.36 40.612
-12.361 40.612
-12.368 40.609
-12.369 40.606
-12.37 40.604
-12.367 40.601
-12.369 40.598
-12.376 40.596
-12.376 40.59
-12.378 40.59
-12.386 40.596
-12.391 40.593
-12.389 40.587
-12.393 40.583
-12.395 40.575
-12.387 40.571
-12.381 40.567
-12.381 40.574
-12.379 40.577
-12.376 40.58
-12.373 40.58
-12.372 40.564
-12.365 40.55
-12.36 40.546
-12.357 40.546
-12.356 40.552
-12.347 40.562
-12.346 40.568
-12.356 40.572
-12.358 40.568
-12.358 40.56
-12.361 40.558
-12.363 40.56
-12.365 40.564
-12.364 40.569
-12.361 40.573
-12.361 40.577
-12.353 40.581
-12.359 40.584
-12.36 40.587
segment Mozam
-12.384 40.528
-12.383 40.523
-12.38 40.521
-12.375 40.522
-12.374 40.524
-12.381 40.531
-12.384 40.528
segment Mozam
-12.461 40.607
-12.461 40.603
-12.459 40.599
-12.454 40.597
-12.45 40.594
-12.449 40.592
-12.436 40.594
-12.426 40.589
-12.408 40.592
-12.403 40.595
-12.404 40.602
-12.412 40.609
-12.415 40.616
-12.425 40.618
-12.432 40.621
-12.439 40.618
-12.452 40.615
-12.459 40.611
-12.461 40.607
segment Mozam
-12.488 40.631
-12.485 40.625
-12.482 40.624
-12.477 40.627
-12.472 40.626
-12.471 40.629
-12.473 40.631
-12.488 40.631
segment Mozam
-12.496 40.608
-12.497 40.602
-12.495 40.599
-12.488 40.597
-12.487 40.601
-12.491 40.602
-12.496 40.608
segment Mozam
-10.477 40.443
-10.475 40.444
-10.472 40.452
-10.473 40.46
-10.477 40.464
-10.483 40.467
-10.483 40.47
-10.48 40.472
-10.48 40.482
-10.483 40.49
-10.483 40.491
-10.486 40.494
-10.488 40.498
-10.484 40.5
-10.482 40.503
-10.482 40.51
-10.485 40.517
-10.484 40.519
-10.49 40.525
-10.499 40.527
-10.513 40.528
-10.536 40.534
-10.546 40.535
-10.551 40.533
-10.553 40.53
-10.55 40.528
-10.55 40.524
-10.553 40.52
-10.558 40.51
-10.563 40.509
-10.565 40.513
-10.569 40.512
-10.571 40.512
-10.577 40.512
-10.579 40.508
-10.587 40.51
-10.586 40.514
-10.576 40.528
-10.577 40.535
-10.584 40.55
-10.589 40.554
-10.593 40.559
-10.597 40.572
-10.6 40.576
-10.602 40.576
-10.608 40.573
-10.611 40.572
-10.617 40.565
-10.621 40.564
-10.63 40.566
-10.641 40.565
-10.642 40.566
-10.645 40.567
-10.661 40.574
-10.664 40.577
-10.669 40.597
-10.67 40.603
-10.679 40.634
-10.686 40.64
-10.694 40.642
-10.702 40.639
-10.703 40.637
-10.701 40.633
-10.704 40.626
-10.701 40.62
-10.7 40.616
-10.698 40.608
-10.699 40.602
-10.699 40.596
-10.691 40.585
-10.692 40.578
-10.697 40.567
-10.698 40.564
-10.712 40.546
-10.726 40.531
-10.728 40.525
-10.731 40.524
-10.74 40.512
-10.74 40.505
-10.746 40.503
-10.747 40.502
-10.744 40.499
-10.743 40.496
-10.746 40.494
-10.752 40.491
-10.754 40.488
-10.758 40.481
-10.764 40.48
-10.774 40.481
-10.779 40.491
-10.778 40.495
-10.785 40.508
-10.792 40.522
-10.823 40.577
-10.826 40.589
-10.827 40.61
-10.831 40.613
-10.834 40.614
-10.839 40.608
-10.846 40.608
-10.849 40.608
-10.853 40.605
-10.856 40.601
-10.862 40.594
-10.868 40.585
-10.889 40.542
-10.906 40.523
-10.91 40.516
-10.919 40.509
-10.93 40.507
-10.935 40.503
-10.941 40.495
-10.944 40.494
-10.96 40.492
-10.979 40.496
-10.984 40.495
-10.99 40.489
-10.995 40.482
-10.997 40.483
-10.998 40.487
-11.001 40.487
-11.004 40.49
-10.997 40.496
-10.996 40.5
-10.999 40.505
-11.001 40.506
-11.005 40.504
-11.007 40.506
-11.009 40.517
-11.014 40.521
-11.016 40.533
-11.021 40.538
-11.026 40.548
-11.028 40.553
-11.03 40.56
-11.029 40.563
-11.033 40.57
-11.036 40.567
-11.048 40.567
-11.053 40.563
-11.064 40.562
-11.086 40.55
-11.091 40.542
-11.099 40.537
-11.108 40.529
-11.113 40.528
-11.121 40.517
-11.128 40.508
-11.15 40.489
-11.162 40.486
-11.176 40.487
-11.184 40.489
-11.192 40.495
-11.194 40.499
-11.2 40.504
-11.203 40.501
-11.213 40.478
-11.214 40.477
-11.217 40.474
-11.229 40.451
-11.236 40.431
-11.239 40.427
-11.249 40.422
-11.274 40.417
-11.285 40.412
-11.302 40.4
-11.307 40.396
-11.316 40.386
-11.326 40.379
-11.326 40.376
-11.325 40.374
-11.316 40.37
-11.324 40.362
-11.333 40.356
-11.334 40.36
-11.348 40.366
-11.357 40.376
-11.357 40.379
-11.352 40.384
-11.351 40.39
-11.355 40.396
-11.369 40.412
-11.377 40.415
-11.386 40.416
-11.386 40.42
-11.384 40.425
-11.393 40.424
-11.397 40.431
-11.395 40.434
-11.395 40.438
-11.396 40.441
-11.404 40.446
-11.402 40.449
-11.403 40.45
-11.403 40.453
-11.403 40.455
-11.397 40.459
-11.395 40.463
-11.396 40.469
-11.401 40.476
-11.401 40.477
-11.404 40.479
-11.419 40.47
-11.432 40.468
-11.44 40.463
-11.447 40.463
-11.453 40.458
-11.455 40.458
-11.462 40.46
-11.466 40.457
-11.467 40.461
-11.471 40.462
-11.484 40.459
-11.495 40.453
-11.507 40.442
-11.511 40.442
-11.515 40.444
-11.519 40.449
-11.53 40.458
-11.535 40.448
-11.538 40.447
-11.539 40.439
-11.555 40.425
-11.557 40.422
-11.567 40.425
-11.572 40.426
-11.579 40.424
-11.585 40.427
-11.602 40.45
-11.615 40.46
-11.62 40.46
-11.625 40.458
-11.628 40.447
-11.631 40.442
-11.633 40.436
-11.632 40.433
-11.644 40.431
-11.652 40.424
-11.652 40.435
-11.654 40.438
-11.652 40.44
-11.655 40.442
-11.66 40.442
-11.663 40.44
-11.669 40.442
-11.671 40.436
-11.676 40.44
-11.689 40.443
-11.695 40.435
-11.696 40.44
-11.701 40.441
-11.715 40.44
-11.725 40.438
-11.743 40.444
-11.749 40.453
-11.749 40.463
-11.747 40.468
-11.749 40.469
-11.765 40.468
-11.774 40.465
-11.779 40.462
-11.775 40.459
-11.769 40.461
-11.766 40.457
-11.772 40.454
-11.783 40.454
-11.785 40.458
-11.78 40.464
-11.783 40.468
-11.79 40.468
-11.801 40.464
-11.806 40.464
-11.812 40.463
-11.817 40.459
-11.826 40.463
-11.824 40.468
-11.833 40.472
-11.844 40.483
-11.85 40.49
-11.852 40.504
-11.856 40.515
-11.858 40.516
-11.862 40.512
-11.863 40.51
-11.868 40.502
-11.887 40.488
-11.897 40.484
-11.91 40.484
-11.927 40.487
-11.934 40.487
-11.939 40.488
-11.957 40.494
-11.975 40.504
-11.977 40.505
-11.984 40.512
-11.988 40.52
-11.992 40.522
-12 40.544
-12.003 40.544
-12.005 40.541
-12.009 40.532
-12.019 40.516
-12.031 40.505
-12.042 40.495
-12.058 40.495
-12.062 40.491
-12.067 40.492
-12.068 40.496
-12.073 40.501
-12.087 40.508
-12.092 40.509
-12.117 40.495
-12.122 40.492
-12.129 40.492
-12.137 40.486
-12.144 40.484
-12.15 40.485
-12.18 40.497
-12.205 40.514
-12.207 40.512
-12.208 40.512
-12.214 40.503
-12.212 40.493
-12.215 40.49
-12.223 40.482
-12.23 40.484
-12.235 40.487
-12.237 40.49
-12.233 40.494
-12.224 40.497
-12.223 40.498
-12.225 40.499
-12.23 40.499
-12.25 40.485
-12.255 40.483
-12.259 40.481
-12.263 40.483
-12.234 40.5
-12.227 40.506
-12.232 40.506
-12.233 40.506
-12.268 40.489
-12.269 40.485
-12.267 40.483
-12.265 40.476
-12.26 40.469
-12.255 40.467
-12.245 40.469
-12.242 40.467
-12.239 40.467
-12.235 40.469
-12.23 40.469
-12.23 40.465
-12.245 40.465
-12.25 40.464
-12.251 40.462
-12.247 40.46
-12.235 40.46
-12.232 40.457
-12.237 40.45
-12.242 40.452
-12.252 40.45
-12.26 40.447
-12.275 40.431
-12.279 40.429
-12.283 40.429
-12.283 40.438
-12.275 40.443
-12.264 40.453
-12.26 40.454
-12.257 40.459
-12.265 40.461
-12.266 40.461
-12.277 40.48
-12.292 40.486
-12.296 40.483
-12.302 40.485
-12.309 40.491
-12.323 40.497
-12.333 40.496
-12.335 40.495
-12.338 40.498
-12.342 40.498
-12.342 40.499
-12.347 40.5
-12.357 40.498
-12.369 40.496
-12.383 40.499
-12.381 40.502
-12.379 40.513
-12.383 40.515
-12.391 40.514
-12.391 40.521
-12.395 40.524
-12.389 40.526
-12.391 40.531
-12.402 40.534
-12.386 40.536
-12.385 40.54
-12.388 40.545
-12.388 40.549
-12.385 40.55
-12.385 40.552
-12.392 40.561
-12.397 40.562
-12.401 40.56
-12.408 40.55
-12.414 40.535
-12.437 40.504
-12.446 40.498
-12.46 40.497
-12.468 40.491
-12.472 40.488
-12.476 40.491
-12.484 40.485
-12.486 40.481
-12.484 40.48
-12.475 40.484
-12.473 40.482
-12.468 40.471
-12.465 40.469
-12.461 40.47
-12.46 40.478
-12.459 40.49
-12.456 40.491
-12.454 40.488
-12.454 40.487
-12.457 40.478
-12.455 40.475
-12.451 40.474
-12.451 40.471
-12.455 40.47
-12.452 40.462
-12.452 40.456
-12.457 40.452
-12.463 40.457
-12.466 40.458
-12.471 40.451
-12.474 40.456
-12.474 40.46
-12.469 40.465
-12.469 40.467
-12.47 40.467
-12.477 40.468
-12.476 40.474
-12.48 40.475
-12.489 40.471
-12.49 40.465
-12.484 40.462
-12.484 40.459
-12.488 40.456
-12.496 40.454
-12.498 40.45
-12.5 40.441
-12.507 40.439
-12.508 40.438
-12.511 40.433
-12.514 40.431
-12.534 40.436
-12.542 40.434
-12.551 40.428
-12.55 40.433
-12.549 40.438
-12.543 40.444
-12.539 40.456
-12.539 40.462
-12.545 40.465
-12.547 40.469
-12.542 40.474
-12.537 40.47
-12.523 40.452
-12.519 40.45
-12.515 40.44
-12.51 40.441
-12.508 40.447
-12.503 40.452
-12.501 40.458
-12.507 40.462
-12.507 40.465
-12.512 40.47
-12.511 40.472
-12.516 40.478
-12.52 40.48
-12.529 40.481
-12.531 40.484
-12.53 40.484
-12.528 40.486
-12.529 40.523
-12.529 40.53
-12.529 40.531
-12.528 40.552
-12.529 40.56
-12.532 40.565
-12.541 40.566
-12.548 40.564
-12.556 40.549
-12.585 40.551
-12.606 40.561
-12.611 40.562
-12.624 40.564
-12.626 40.567
-12.625 40.572
-12.633 40.574
-12.636 40.576
-12.635 40.581
-12.635 40.582
-12.638 40.591
-12.638 40.599
-12.632 40.602
-12.646 40.616
-12.651 40.617
-12.667 40.612
-12.668 40.61
-12.665 40.607
-12.665 40.604
-12.658 40.597
-12.657 40.595
-12.654 40.591
-12.654 40.584
-12.649 40.577
-12.649 40.571
-12.647 40.568
-12.65 40.565
-12.653 40.568
-12.669 40.563
-12.676 40.564
-12.687 40.564
-12.705 40.568
-12.713 40.567
-12.715 40.569
-12.711 40.585
-12.71 40.586
-12.702 40.597
-12.703 40.601
-12.709 40.606
-12.72 40.613
-12.726 40.615
-12.73 40.613
-12.738 40.612
-12.74 40.61
-12.744 40.607
-12.75 40.604
-12.753 40.606
-12.753 40.611
-12.751 40.613
-12.75 40.613
-12.746 40.625
-12.748 40.63
-12.754 40.631
-12.783 40.623
-12.793 40.618
-12.8 40.611
-12.81 40.589
-12.815 40.582
-12.813 40.581
-12.809 40.582
-12.801 40.574
-12.812 40.565
-12.815 40.562
-12.822 40.563
-12.829 40.559
-12.83 40.554
-12.836 40.55
-12.838 40.548
-12.852 40.545
-12.872 40.533
-12.896 40.528
-12.905 40.52
-12.924 40.514
-12.927 40.512
-12.926 40.506
-12.921 40.503
-12.91 40.501
-12.903 40.502
-12.893 40.503
-12.892 40.505
-12.891 40.51
-12.883 40.511
-12.882 40.51
-12.882 40.508
-12.889 40.504
-12.881 40.495
-12.882 40.49
-12.882 40.487
-12.877 40.48
-12.883 40.465
-12.875 40.463
-12.876 40.461
-12.885 40.456
-12.886 40.451
-12.893 40.447
-12.897 40.441
-12.907 40.434
-12.907 40.432
-12.915 40.426
-12.919 40.425
-12.92 40.422
-12.916 40.415
-12.91 40.409
-12.914 40.409
-12.92 40.405
-12.922 40.407
-12.924 40.411
-12.931 40.411
-12.952 40.404
-12.966 40.409
-12.983 40.421
-12.985 40.421
-12.986 40.418
-12.988 40.418
-12.996 40.421
-12.996 40.424
-12.999 40.427
-13.005 40.43
-13.007 40.434
-13.008 40.435
-13.013 40.436
-13.026 40.431
-13.03 40.433
-13.03 40.434
-13.031 40.439
-13.025 40.453
-13.025 40.457
-13.027 40.458
-13.028 40.458
-13.03 40.462
-13.031 40.471
-13.03 40.476
-13.032 40.477
-13.032 40.481
-13.03 40.481
-13.031 40.483
-13.034 40.486
-13.042 40.484
-13.046 40.495
-13.039 40.501
-13.036 40.503
-13.029 40.506
-13.005 40.51
-12.986 40.511
-12.981 40.508
-12.974 40.501
-12.969 40.491
-12.966 40.481
-12.964 40.479
-12.963 40.48
-12.96 40.488
-12.949 40.499
-12.95 40.504
-12.953 40.508
-12.959 40.514
-12.962 40.529
-12.97 40.539
-12.971 40.545
-12.967 40.551
-12.963 40.571
-12.964 40.586
-12.969 40.589
-12.99 40.588
-13.004 40.58
-13.007 40.578
-13.027 40.573
-13.059 40.555
-13.078 40.551
-13.091 40.551
-13.116 40.554
-13.124 40.553
-13.125 40.554
-13.153 40.561
-13.162 40.56
-13.176 40.562
-13.185 40.559
-13.198 40.56
-13.215 40.557
-13.241 40.561
-13.245 40.56
-13.247 40.557
-13.252 40.562
-13.263 40.564
-13.271 40.564
-13.284 40.562
-13.285 40.564
-13.297 40.566
-13.31 40.566
-13.317 40.573
-13.32 40.579
-13.336 40.583
-13.343 40.583
-13.355 40.587
-13.361 40.586
-13.37 40.585
-13.381 40.582
-13.395 40.574
-13.411 40.555
-13.423 40.545
-13.437 40.54
-13.467 40.536
-13.47 40.532
-13.477 40.535
-13.489 40.529
-13.5 40.527
-13.499 40.516
-13.505 40.497
-13.509 40.475
-13.509 40.471
-13.504 40.465
-13.506 40.464
-13.518 40.462
-13.521 40.474
-13.521 40.494
-13.517 40.512
-13.511 40.527
-13.532 40.541
-13.539 40.546
-13.554 40.558
-13.56 40.566
-13.563 40.576
-13.563 40.586
-13.558 40.592
-13.544 40.597
-13.544 40.6
-13.547 40.603
-13.557 40.605
-13.561 40.603
-13.564 40.596
-13.574 40.594
-13.577 40.591
-13.577 40.588
-13.583 40.567
