segment Botswana
-21.654 28.65
-21.657 28.656
-21.664 28.663
-21.679 28.671
-21.682 28.677
-21.686 28.694
-21.698 28.722
-21.701 28.734
-21.704 28.745
-21.715 28.77
-21.735 28.795
-21.735 28.797
-21.737 28.819
-21.739 28.839
-21.742 28.847
-21.75 28.855
-21.758 28.87
-21.759 28.878
-21.763 28.891
-21.764 28.891
-21.765 28.907
-21.767 28.912
-21.771 28.929
-21.776 28.943
-21.777 28.964
-21.773 28.975
-21.772 28.985
-21.776 29
-21.772 29
-21.773 29.002
-21.781 29.007
-21.788 29.017
-21.79 29.018
-21.798 29.051
-21.803 29.062
-21.82 29.077
-21.827 29.066
-21.84 29.055
-21.855 29.046
-21.862 29.04
-21.876 29.034
-21.884 29.033
-21.894 29.027
-21.91 29.024
-21.932 29.022
-21.951 29.023
-21.955 29.023
-21.98 29.03
-21.997 29.037
-22.011 29.047
-22.023 29.055
-22.032 29.064
-22.049 29.084
-22.062 29.107
-22.066 29.115
-22.072 29.135
-22.077 29.147
-22.076 29.157
-22.077 29.172
-22.079 29.177
-22.08 29.186
-22.075 29.197
-22.07 29.224
-22.061 29.248
-22.061 29.251
-22.066 29.257
-22.075 29.265
-22.096 29.275
-22.11 29.28
-22.122 29.287
-22.129 29.297
-22.135 29.303
-22.16 29.334
-22.176 29.346
-22.181 29.352
-22.194 29.36
-22.197 29.361
-22.198 29.353
-22.198 29.342
-22.204 29.334
-22.203 29.327
-22.192 29.318
-22.189 29.314
-22.191 29.304
-22.188 29.286
-22.191 29.279
-22.193 29.271
-22.191 29.265
-22.19 29.258
-22.192 29.255
-22.187 29.239
-22.181 29.221
-22.182 29.221
-22.181 29.213
-22.182 29.2
-22.185 29.189
-22.208 29.161
-22.214 29.151
-22.214 29.145
-22.214 29.142
-22.214 29.133
-22.214 29.124
-22.214 29.111
-22.215 29.111
-22.214 29.096
-22.22 29.087
-22.222 29.069
-22.22 29.066
-22.217 29.047
-22.217 29.033
-22.226 29.024
-22.231 29.013
-22.247 29.01
-22.259 29.004
-22.267 29
-22.281 28.994
-22.288 28.975
-22.299 28.972
-22.308 28.965
-22.32 28.962
-22.333 28.961
-22.336 28.962
-22.365 28.971
-22.373 28.972
-22.38 28.969
-22.399 28.953
-22.404 28.95
-22.434 28.941
-22.443 28.93
-22.46 28.916
-22.46 28.908
-22.449 28.888
-22.446 28.875
-22.446 28.866
-22.454 28.849
-22.454 28.846
-22.463 28.83
-22.468 28.828
-22.479 28.832
-22.485 28.829
-22.487 28.826
-22.488 28.819
-22.501 28.773
-22.504 28.743
-22.509 28.727
-22.513 28.718
-22.514 28.707
-22.529 28.693
-22.532 28.677
-22.535 28.669
-22.547 28.657
-22.559 28.629
-22.56 28.626
-22.56 28.623
-22.561 28.61
-22.565 28.598
-22.564 28.585
-22.561 28.574
-22.564 28.554
-22.576 28.54
-22.581 28.524
-22.587 28.513
-22.586 28.505
-22.578 28.492
-22.572 28.47
-22.572 28.455
-22.571 28.449
-22.573 28.411
-22.573 28.377
-22.577 28.346
-22.58 28.34
-22.587 28.336
-22.597 28.327
-22.601 28.323
-22.609 28.301
-22.618 28.279
-22.624 28.273
-22.642 28.267
-22.647 28.261
-22.662 28.227
-22.671 28.202
-22.678 28.194
-22.69 28.187
-22.704 28.169
-22.712 28.161
-22.716 28.159
-22.753 28.164
-22.759 28.162
-22.769 28.155
-22.787 28.126
-22.794 28.117
-22.804 28.11
-22.817 28.096
-22.824 28.086
-22.829 28.057
-22.832 28.052
-22.838 28.046
-22.845 28.044
-22.852 28.044
-22.867 28.048
-22.873 28.048
-22.879 28.049
-22.892 28.054
-22.902 28.049
-22.909 28.045
-22.921 28.031
-22.931 28.019
-22.944 27.99
-22.959 27.975
-22.963 27.965
-22.96 27.946
-22.964 27.941
-22.968 27.939
-22.989 27.949
-22.995 27.95
-23 27.947
-23.006 27.94
-23.013 27.938
-23.031 27.94
-23.045 27.94
-23.058 27.935
-23.07 27.922
-23.077 27.917
-23.09 27.895
-23.1 27.871
-23.105 27.857
-23.115 27.84
-23.113 27.824
-23.121 27.817
-23.133 27.82
-23.138 27.816
-23.142 27.806
-23.15 27.791
-23.151 27.788
-23.145 27.78
-23.144 27.777
-23.139 27.773
-23.14 27.769
-23.144 27.767
-23.15 27.771
-23.161 27.783
-23.17 27.788
-23.173 27.789
-23.179 27.787
-23.19 27.77
-23.205 27.755
-23.211 27.751
-23.213 27.752
-23.225 27.752
-23.23 27.75
-23.236 27.744
-23.241 27.735
-23.242 27.728
-23.241 27.72
-23.231 27.714
-23.223 27.703
-23.222 27.701
-23.21 27.697
-23.207 27.692
-23.207 27.68
-23.209 27.676
-23.214 27.67
-23.223 27.666
-23.233 27.652
-23.234 27.634
-23.233 27.627
-23.229 27.617
-23.223 27.608
-23.224 27.603
-23.229 27.598
-23.231 27.598
-23.235 27.597
-23.25 27.602
-23.256 27.6
-23.26 27.595
-23.265 27.582
-23.271 27.576
-23.278 27.579
-23.284 27.579
-23.307 27.572
-23.316 27.564
-23.32 27.565
-23.33 27.57
-23.334 27.57
-23.339 27.569
-23.354 27.563
-23.363 27.555
-23.37 27.544
-23.383 27.534
-23.388 27.526
-23.39 27.516
-23.39 27.464
-23.39 27.45
-23.393 27.443
-23.4 27.434
-23.418 27.43
-23.425 27.426
-23.428 27.42
-23.428 27.413
-23.427 27.406
-23.422 27.4
-23.417 27.401
-23.406 27.41
-23.4 27.412
-23.398 27.412
-23.396 27.406
-23.397 27.392
-23.403 27.38
-23.408 27.379
-23.421 27.383
-23.427 27.381
-23.431 27.377
-23.433 27.359
-23.43 27.352
-23.428 27.35
-23.423 27.349
-23.414 27.354
-23.409 27.353
-23.405 27.346
-23.406 27.333
-23.409 27.328
-23.419 27.32
-23.429 27.318
-23.439 27.314
-23.453 27.312
-23.458 27.309
-23.465 27.297
-23.467 27.288
-23.477 27.281
-23.48 27.277
-23.484 27.249
-23.489 27.243
-23.493 27.241
-23.501 27.238
-23.504 27.236
-23.503 27.228
-23.493 27.217
-23.492 27.211
-23.499 27.206
-23.505 27.195
-23.511 27.194
-23.515 27.194
-23.517 27.198
-23.521 27.209
-23.524 27.213
-23.528 27.214
-23.536 27.207
-23.54 27.198
-23.54 27.189
-23.538 27.183
-23.53 27.176
-23.531 27.171
-23.54 27.167
-23.54 27.161
-23.527 27.152
-23.525 27.147
-23.526 27.142
-23.529 27.138
-23.535 27.136
-23.545 27.139
-23.551 27.147
-23.555 27.155
-23.557 27.157
-23.561 27.158
-23.568 27.156
-23.574 27.152
-23.575 27.148
-23.574 27.136
-23.57 27.128
-23.57 27.121
-23.573 27.114
-23.581 27.108
-23.599 27.102
-23.602 27.098
-23.602 27.088
-23.612 27.085
-23.615 27.083
-23.618 27.075
-23.616 27.064
-23.623 27.065
-23.637 27.078
-23.644 27.082
-23.65 27.083
-23.656 27.081
-23.661 27.077
-23.674 27.062
-23.68 27.045
-23.684 27.034
-23.676 27.033
-23.666 27.039
-23.661 27.036
-23.66 27.034
-23.661 27.025
-23.645 27.02
-23.642 27.016
-23.643 27.01
-23.648 27.006
-23.655 27.004
-23.669 27.001
-23.69 27.002
-23.692 26.998
-23.701 26.983
-23.707 26.977
-23.734 26.968
-23.75 26.967
-23.753 26.964
-23.781 26.965
-23.785 26.963
-23.794 26.956
-23.801 26.953
-23.814 26.951
-23.823 26.952
-23.83 26.959
-23.834 26.96
-23.84 26.957
-23.85 26.94
-23.853 26.938
-23.858 26.938
-23.861 26.941
-23.86 26.953
-23.878 26.955
-23.89 26.948
-23.895 26.945
-23.911 26.941
-23.925 26.934
-23.934 26.933
-23.958 26.933
-23.969 26.929
-23.977 26.919
-23.984 26.915
-24 26.916
-24.011 26.918
-24.018 26.918
-24.029 26.913
-24.052 26.899
-24.059 26.897
-24.072 26.897
-24.081 26.894
-24.088 26.889
-24.101 26.87
-24.122 26.87
-24.125 26.869
-24.133 26.867
-24.141 26.869
-24.145 26.879
-24.154 26.882
-24.159 26.884
-24.164 26.882
-24.177 26.868
-24.182 26.87
-24.199 26.881
-24.206 26.878
-24.218 26.865
-24.223 26.864
-24.232 26.868
-24.242 26.868
-24.248 26.871
-24.26 26.865
-24.266 26.859
-24.27 26.854
-24.272 26.846
-24.272 26.831
-24.275 26.827
-24.285 26.822
-24.291 26.814
-24.295 26.801
-24.305 26.786
-24.306 26.771
-24.31 26.762
-24.312 26.759
-24.304 26.745
-24.303 26.74
-24.307 26.734
-24.316 26.725
-24.317 26.723
-24.319 26.72
-24.317 26.712
-24.323 26.708
-24.334 26.704
-24.336 26.701
-24.335 26.695
-24.34 26.684
-24.353 26.676
-24.358 26.676
-24.366 26.675
-24.372 26.675
-24.378 26.677
-24.39 26.669
-24.391 26.666
-24.389 26.652
-24.392 26.64
-24.393 26.64
-24.399 26.623
-24.403 26.616
-24.407 26.604
-24.407 26.596
-24.414 26.594
-24.427 26.584
-24.433 26.573
-24.447 26.567
-24.448 26.559
-24.457 26.557
-24.46 26.555
-24.46 26.548
-24.461 26.546
-24.468 26.544
-24.475 26.538
-24.486 26.52
-24.504 26.51
-24.519 26.506
-24.53 26.498
-24.58 26.48
-24.588 26.475
-24.605 26.457
-24.608 26.454
-24.609 26.446
-24.614 26.442
-24.615 26.431
-24.617 26.429
-24.632 26.425
-24.636 26.422
-24.637 26.417
-24.637 26.409
-24.637 26.401
-24.638 26.399
-24.639 26.39
-24.643 26.369
-24.648 26.348
-24.648 26.342
-24.667 26.256
-24.67 26.243
-24.672 26.241
-24.673 26.232
-24.695 26.131
-24.693 26.126
-24.693 26.123
-24.693 26.122
-24.698 26.112
-24.71 26.056
-24.713 26.05
-24.714 26.04
-24.719 26.026
-24.721 26.012
-24.72 25.99
-24.719 25.948
-24.721 25.934
-24.724 25.929
-24.743 25.912
-24.754 25.898
-24.753 25.887
-24.754 25.87
-24.755 25.869
-24.764 25.862
