segment Zimbabwe
-16.677 32.702
-16.68 32.704
-16.686 32.709
-16.692 32.725
-16.708 32.767
-16.709 32.77
-16.707 32.781
-16.708 32.804
-16.705 32.809
-16.706 32.817
-16.709 32.826
-16.7 32.833
-16.699 32.843
-16.708 32.853
-16.709 32.869
-16.719 32.886
-16.72 32.893
-16.716 32.902
-16.711 32.907
-16.709 32.912
-16.702 32.92
-16.701 32.923
-16.704 32.928
-16.703 32.95
-16.705 32.962
-16.705 32.971
-16.707 32.979
-16.755 32.972
-16.773 32.967
-16.793 32.957
-16.803 32.954
-16.805 32.952
-16.825 32.942
-16.837 32.939
-16.837 32.938
-16.889 32.914
-16.894 32.912
-16.9 32.904
-16.903 32.895
-16.905 32.885
-16.91 32.877
-16.911 32.862
-16.915 32.851
-16.916 32.845
-16.921 32.836
-16.927 32.836
-16.932 32.838
-16.946 32.848
-16.948 32.85
-16.961 32.86
-16.964 32.863
-16.979 32.874
-17.001 32.891
-17.015 32.901
-17.018 32.903
-17.036 32.914
-17.05 32.922
-17.054 32.928
-17.069 32.938
-17.132 32.967
-17.147 32.972
-17.167 32.981
-17.179 32.987
-17.197 32.99
-17.244 32.994
-17.26 32.996
-17.284 32.997
-17.298 32.997
-17.301 32.997
-17.309 32.997
-17.314 33.001
-17.316 33.008
-17.335 33.033
-17.347 33.045
-17.358 33.034
-17.367 33.03
-17.377 33.02
-17.387 33.015
-17.401 33.007
-17.415 33.002
-17.439 32.998
-17.445 32.997
-17.453 32.998
-17.455 32.986
-17.456 32.984
-17.472 32.973
-17.481 32.962
-17.494 32.959
-17.516 32.96
-17.527 32.963
-17.542 32.974
-17.552 32.976
-17.563 32.981
-17.567 32.99
-17.568 33
-17.569 33.009
-17.591 33.034
-17.603 33.043
-17.613 33.042
-17.627 33.042
-17.636 33.039
-17.647 33.026
-17.67 33.018
-17.671 33.018
-17.702 33.012
-17.704 33.012
-17.714 33.014
-17.72 33.02
-17.723 33.013
-17.721 33.008
-17.72 33.003
-17.725 33.002
-17.738 33.002
-17.746 33.007
-17.75 33.016
-17.754 33.022
-17.758 33.026
-17.763 33.027
-17.769 33.014
-17.781 33.016
-17.786 33.014
-17.795 33.01
-17.802 33.01
-17.803 32.999
-17.805 32.99
-17.802 32.975
-17.802 32.969
-17.818 32.96
-17.847 32.962
-17.855 32.961
-17.878 32.953
-17.891 32.953
-17.907 32.954
-17.911 32.956
-17.913 32.964
-17.914 32.972
-17.917 32.977
-17.923 32.977
-17.926 32.974
-17.933 32.971
-17.934 32.971
-17.954 32.969
-17.963 32.963
-17.96 32.951
-17.963 32.948
-17.974 32.943
-17.989 32.942
-18.001 32.946
-18.011 32.949
-18.016 32.948
-18.032 32.949
-18.043 32.955
-18.052 32.959
-18.072 32.959
-18.108 32.974
-18.117 32.974
-18.128 32.97
-18.142 32.972
-18.15 32.975
-18.155 32.978
-18.157 32.987
-18.162 32.993
-18.169 32.998
-18.177 32.997
-18.185 32.996
-18.192 32.996
-18.201 32.998
-18.202 32.998
-18.217 33.002
-18.219 33.004
-18.229 33.008
-18.235 33.009
-18.24 33.009
-18.252 33.004
-18.259 33.001
-18.269 32.998
-18.273 32.998
-18.283 33
-18.286 33
-18.291 33
-18.305 33.002
-18.318 33.013
-18.325 33.031
-18.334 33.04
-18.343 33.039
-18.349 33.043
-18.358 33.054
-18.362 33.055
-18.38 33.047
-18.383 33.042
-18.384 33.034
-18.391 33.024
-18.417 33.017
-18.42 33.017
-18.431 33.016
-18.444 33.023
-18.457 33.023
-18.466 33.021
-18.474 33.014
-18.482 32.999
-18.483 32.998
-18.49 32.979
-18.489 32.974
-18.478 32.964
-18.478 32.96
-18.491 32.945
-18.494 32.936
-18.494 32.931
-18.502 32.92
-18.503 32.915
-18.499 32.904
-18.506 32.899
-18.507 32.892
-18.512 32.888
-18.522 32.885
-18.532 32.89
-18.543 32.895
-18.558 32.896
-18.568 32.893
-18.579 32.886
-18.583 32.889
-18.585 32.893
-18.591 32.899
-18.601 32.903
-18.606 32.903
-18.621 32.909
-18.621 32.91
-18.662 32.937
-18.69 32.954
-18.698 32.955
-18.714 32.949
-18.73 32.939
-18.744 32.933
-18.753 32.932
-18.766 32.928
-18.776 32.921
-18.787 32.909
-18.796 32.892
-18.797 32.878
-18.794 32.871
-18.792 32.866
-18.787 32.861
-18.784 32.853
-18.779 32.843
-18.778 32.836
-18.778 32.827
-18.781 32.814
-18.79 32.797
-18.797 32.789
-18.8 32.777
-18.814 32.759
-18.817 32.748
-18.816 32.74
-18.818 32.734
-18.834 32.712
-18.844 32.704
-18.857 32.705
-18.877 32.719
-18.891 32.724
-18.925 32.731
-18.929 32.73
-18.934 32.712
-18.936 32.702
-18.941 32.7
-18.979 32.708
-18.992 32.709
-19.002 32.71
-19.017 32.715
-19.018 32.715
-19.025 32.723
-19.029 32.74
-19.029 32.757
-19.028 32.765
-19.021 32.78
-19.017 32.801
-19.017 32.819
-19.016 32.828
-19.016 32.833
-19.025 32.845
-19.031 32.847
-19.055 32.849
-19.065 32.851
-19.077 32.858
-19.079 32.866
-19.082 32.871
-19.098 32.877
-19.113 32.878
-19.126 32.872
-19.148 32.867
-19.172 32.864
-19.22 32.852
-19.234 32.849
-19.255 32.849
-19.279 32.853
-19.294 32.85
-19.313 32.832
-19.317 32.824
-19.326 32.818
-19.335 32.809
-19.354 32.785
-19.361 32.776
-19.371 32.776
-19.381 32.783
-19.387 32.786
-19.394 32.785
-19.394 32.784
-19.409 32.778
-19.431 32.78
-19.45 32.776
-19.458 32.777
-19.467 32.782
-19.475 32.793
-19.477 32.803
-19.478 32.829
-19.476 32.835
-19.476 32.845
-19.484 32.845
-19.498 32.843
-19.519 32.84
-19.528 32.841
-19.541 32.851
-19.553 32.852
-19.588 32.848
-19.609 32.848
-19.624 32.853
-19.653 32.841
-19.669 32.834
-19.677 32.835
-19.681 32.839
-19.685 32.85
-19.683 32.873
-19.685 32.876
-19.685 32.89
-19.681 32.903
-19.679 32.916
-19.674 32.925
-19.669 32.938
-19.664 32.95
-19.655 32.963
-19.655 32.969
-19.658 32.973
-19.67 32.977
-19.672 32.978
-19.685 32.981
-19.692 32.979
-19.708 32.963
-19.712 32.957
-19.717 32.956
-19.723 32.959
-19.725 32.961
-19.747 32.992
-19.75 32.999
-19.753 33.006
-19.756 33.02
-19.767 33.039
-19.781 33.053
-19.795 33.055
-19.799 33.056
-19.821 33.047
-19.833 33.048
-19.841 33.045
-19.853 33.044
-19.888 33.036
-19.924 33.03
-19.95 33.027
-19.964 33.025
-20 33.016
-20.002 33.016
-20.011 33.014
-20.019 33.011
-20.022 33.006
-20.024 33.001
-20.027 33
-20.028 32.997
-20.031 32.981
-20.034 32.972
-20.037 32.969
-20.04 32.956
-20.041 32.947
-20.044 32.926
-20.048 32.92
-20.054 32.917
-20.063 32.912
-20.074 32.919
-20.091 32.92
-20.105 32.92
-20.115 32.92
-20.12 32.91
-20.119 32.903
-20.116 32.894
-20.113 32.893
-20.11 32.89
-20.103 32.887
-20.103 32.881
-20.106 32.878
-20.112 32.868
-20.156 32.856
-20.161 32.856
-20.18 32.871
-20.189 32.871
-20.193 32.87
-20.198 32.856
-20.2 32.847
-20.205 32.843
-20.219 32.839
-20.223 32.84
-20.231 32.849
-20.236 32.863
-20.24 32.867
-20.252 32.866
-20.274 32.861
-20.287 32.864
-20.296 32.855
-20.303 32.846
-20.315 32.833
-20.327 32.822
-20.339 32.807
-20.353 32.8
-20.359 32.799
-20.364 32.801
-20.371 32.801
-20.383 32.792
-20.391 32.785
-20.395 32.781
-20.411 32.765
-20.435 32.744
-20.449 32.734
-20.467 32.722
-20.517 32.695
-20.537 32.683
-20.547 32.677
-20.555 32.669
-20.562 32.658
-20.561 32.653
-20.56 32.646
-20.56 32.62
-20.559 32.615
-20.561 32.604
-20.561 32.567
-20.566 32.557
-20.588 32.528
-20.592 32.524
-20.6 32.512
-20.605 32.505
-20.608 32.504
-20.619 32.492
-20.627 32.489
-20.658 32.485
-20.661 32.485
-20.675 32.486
-20.701 32.495
-20.724 32.494
-20.733 32.496
-20.779 32.497
-20.807 32.498
-20.833 32.503
-20.847 32.508
-20.864 32.512
-20.872 32.515
-20.889 32.519
-20.908 32.517
-20.914 32.517
-20.965 32.495
-20.993 32.481
-21.001 32.475
-21.012 32.468
-21.015 32.466
-21.029 32.455
-21.037 32.45
-21.046 32.439
-21.082 32.406
-21.087 32.402
-21.099 32.388
-21.109 32.381
-21.122 32.376
-21.137 32.367
-21.142 32.37
-21.146 32.376
-21.155 32.385
-21.163 32.4
-21.17 32.406
-21.176 32.406
-21.189 32.396
-21.193 32.395
-21.207 32.399
-21.218 32.413
-21.227 32.422
-21.236 32.427
-21.251 32.431
-21.258 32.437
-21.282 32.458
-21.311 32.476
-21.321 32.48
-21.328 32.48
-21.324 32.469
-21.316 32.461
-21.311 32.453
-21.309 32.44
-21.312 32.426
-21.316 32.417
-21.318 32.411
-21.328 32.4
-21.361 32.368
-21.405 32.324
-21.457 32.273
-21.486 32.245
-21.502 32.23
-21.524 32.209
-21.573 32.16
-21.593 32.143
-21.622 32.113
-21.652 32.085
-21.703 32.036
-21.705 32.034
-21.72 32.02
-21.733 32.008
-21.742 31.999
-21.743 31.998
-21.787 31.955
-21.807 31.936
-21.83 31.914
-21.84 31.904
-21.882 31.865
-21.884 31.86
-21.888 31.856
-21.942 31.804
-21.947 31.796
-21.959 31.786
-22 31.747
-22.006 31.741
-22.023 31.725
-22.049 31.699
-22.067 31.683
-22.069 31.68
-22.1 31.65
-22.126 31.625
-22.141 31.611
-22.149 31.603
-22.16 31.59
-22.18 31.572
-22.215 31.537
-22.221 31.529
-22.229 31.523
-22.241 31.511
-22.251 31.504
-22.256 31.498
-22.267 31.487
-22.27 31.481
-22.284 31.47
-22.354 31.4
-22.359 31.395
-22.372 31.382
-22.381 31.369
-22.394 31.349
-22.418 31.311
-22.406 31.295
-22.391 31.283
-22.378 31.274
-22.37 31.269
-22.36 31.259
-22.358 31.252
-22.363 31.221
-22.363 31.211
-22.36 31.201
-22.357 31.196
-22.337 31.18
-22.328 31.165
-22.326 31.157
-22.326 31.15
-22.328 31.139
-22.345 31.085
-22.344 31.076
-22.341 31.064
-22.338 31.054
-22.334 31.043
-22.329 31.024
-22.323 31.008
-22.323 31.001
-22.324 30.998
-22.327 30.991
-22.326 30.984
-22.313 30.961
-22.313 30.951
-22.3 30.931
-22.299 30.914
-22.298 30.909
-22.297 30.898
-22.299 30.88
-22.295 30.862
-22.294 30.859
-22.292 30.852
-22.291 30.844
-22.291 30.827
-22.293 30.81
-22.299 30.789
-22.301 30.784
-22.301 30.776
-22.303 30.766
-22.307 30.734
-22.313 30.716
-22.314 30.713
-22.315 30.711
-22.315 30.699
-22.312 30.684
-22.31 30.672
-22.308 30.665
-22.31 30.657
-22.315 30.65
-22.32 30.643
-22.324 30.639
-22.33 30.634
-22.332 30.627
-22.325 30.613
-22.322 30.604
-22.319 30.599
-22.317 30.582
-22.318 30.569
-22.322 30.561
-22.325 30.549
-22.324 30.534
-22.322 30.524
-22.318 30.511
-22.316 30.505
-22.315 30.495
-22.314 30.484
-22.319 30.467
-22.323 30.461
-22.329 30.443
-22.334 30.429
-22.34 30.407
-22.344 30.379
-22.346 30.351
-22.347 30.349
-22.345 30.308
-22.351 30.297
-22.351 30.288
-22.345 30.275
-22.334 30.264
-22.313 30.25
-22.308 30.243
-22.301 30.236
-22.294 30.223
-22.293 30.211
-22.295 30.202
-22.297 30.182
-22.297 30.163
-22.302 30.147
-22.309 30.133
-22.309 30.124
-22.298 30.109
-22.287 30.098
-22.286 30.096
-22.279 30.085
-22.273 30.078
-22.267 30.068
-22.263 30.062
-22.257 30.057
-22.253 30.046
-22.253 30.041
-22.255 30.029
-22.252 30.021
-22.235 30.013
-22.23 30.011
-22.227 30
-22.225 29.993
-22.222 29.973
-22.216 29.958
-22.209 29.946
-22.197 29.932
-22.192 29.924
-22.19 29.913
-22.19 29.898
-22.19 29.878
-22.191 29.876
-22.189 29.873
-22.178 29.86
-22.174 29.854
-22.172 29.843
-22.173 29.83
-22.172 29.825
-22.162 29.802
-22.143 29.772
-22.141 29.764
-22.142 29.743
-22.143 29.739
-22.142 29.715
-22.137 29.697
-22.138 29.68
-22.139 29.673
-22.136 29.667
-22.13 29.656
-22.127 29.648
-22.132 29.634
-22.136 29.623
-22.148 29.613
-22.155 29.608
-22.155 29.6
-22.149 29.591
-22.145 29.586
-22.142 29.577
-22.142 29.571
-22.147 29.56
-22.148 29.557
-22.15 29.545
-22.153 29.534
-22.16 29.531
-22.169 29.528
-22.175 29.523
-22.177 29.516
-22.173 29.493
-22.168 29.477
-22.167 29.46
-22.169 29.451
-22.175 29.422
-22.181 29.406
-22.188 29.392
-22.191 29.379
-22.195 29.377
-22.197 29.373
-22.198 29.369
-22.197 29.363
-22.197 29.361
-22.194 29.36
-22.181 29.352
-22.176 29.346
-22.16 29.334
-22.135 29.303
-22.129 29.297
-22.122 29.287
-22.11 29.28
-22.096 29.275
-22.075 29.265
-22.066 29.257
-22.061 29.251
-22.061 29.248
-22.07 29.224
-22.075 29.197
-22.08 29.186
-22.079 29.177
-22.077 29.172
-22.076 29.157
-22.077 29.147
-22.072 29.135
-22.066 29.115
-22.062 29.107
-22.049 29.084
-22.032 29.064
-22.023 29.055
-22.011 29.047
-21.997 29.037
-21.98 29.03
-21.955 29.023
-21.951 29.023
-21.932 29.022
-21.91 29.024
-21.894 29.027
-21.884 29.033
-21.876 29.034
-21.862 29.04
-21.855 29.046
-21.84 29.055
-21.827 29.066
-21.82 29.077
-21.803 29.062
-21.798 29.051
-21.79 29.018
-21.788 29.017
-21.781 29.007
-21.773 29.002
-21.772 29
-21.776 29
-21.772 28.985
-21.773 28.975
-21.777 28.964
-21.776 28.943
-21.771 28.929
-21.767 28.912
-21.765 28.907
-21.764 28.891
-21.763 28.891
-21.759 28.878
-21.758 28.87
-21.75 28.855
-21.742 28.847
-21.739 28.839
-21.737 28.819
-21.735 28.797
-21.735 28.795
-21.715 28.77
-21.704 28.745
-21.701 28.734
-21.698 28.722
-21.686 28.694
-21.682 28.677
-21.679 28.671
-21.664 28.663
-21.657 28.656
-21.654 28.65
-21.654 28.632
-21.648 28.62
-21.648 28.619
-21.646 28.603
-21.634 28.589
-21.631 28.581
-21.63 28.571
-21.632 28.567
-21.64 28.564
-21.645 28.559
-21.646 28.554
-21.644 28.546
-21.646 28.541
-21.659 28.528
-21.665 28.515
-21.668 28.498
-21.667 28.49
-21.659 28.479
-21.652 28.466
-21.651 28.457
-21.643 28.451
-21.639 28.428
-21.635 28.405
-21.625 28.391
-21.607 28.367
-21.609 28.361
-21.614 28.355
-21.613 28.348
-21.606 28.336
-21.603 28.328
-21.598 28.277
-21.598 28.267
-21.598 28.265
-21.602 28.258
-21.603 28.226
-21.61 28.213
-21.611 28.2
-21.602 28.177
-21.599 28.162
-21.597 28.146
-21.594 28.138
-21.591 28.129
-21.589 28.119
-21.586 28.11
-21.588 28.078
-21.582 28.068
-21.58 28.05
-21.582 28.03
-21.58 28.024
-21.573 28.016
-21.562 28.01
-21.549 28.001
-21.534 27.993
-21.529 27.994
-21.525 28
-21.521 28
-21.52 27.996
-21.525 27.983
-21.524 27.976
-21.514 27.967
-21.506 27.97
-21.494 27.983
-21.49 27.985
-21.486 27.982
-21.482 27.977
-21.482 27.965
-21.479 27.961
-21.474 27.958
-21.469 27.959
-21.466 27.964
-21.464 27.971
-21.461 27.974
-21.456 27.975
-21.449 27.973
-21.443 27.968
-21.434 27.956
-21.43 27.954
-21.424 27.959
-21.419 27.96
-21.414 27.958
-21.405 27.949
-21.38 27.935
-21.363 27.917
-21.355 27.916
-21.338 27.918
-21.32 27.913
-21.312 27.904
-21.311 27.904
-21.303 27.901
-21.29 27.882
-21.286 27.881
-21.271 27.866
-21.244 27.853
-21.214 27.828
-21.2 27.815
-21.182 27.813
-21.178 27.791
-21.173 27.784
-21.17 27.782
-21.162 27.775
-21.159 27.771
-21.155 27.753
-21.152 27.749
-21.143 27.744
-21.134 27.731
-21.124 27.727
-21.119 27.723
-21.113 27.712
-21.107 27.705
-21.1 27.701
-21.088 27.698
-21.079 27.695
-21.066 27.686
-21.062 27.686
-21.058 27.688
-21.048 27.7
-21.04 27.703
-21.032 27.7
-21.015 27.689
-21.012 27.691
-21.002 27.704
-20.998 27.706
-20.988 27.701
-20.982 27.704
-20.968 27.712
-20.959 27.707
-20.948 27.693
-20.942 27.689
-20.936 27.689
-20.931 27.691
-20.913 27.703
-20.907 27.703
-20.904 27.701
-20.885 27.689
-20.88 27.69
-20.865 27.698
-20.856 27.708
-20.849 27.713
-20.834 27.715
-20.821 27.719
-20.803 27.722
-20.795 27.732
-20.781 27.727
-20.772 27.729
-20.764 27.732
-20.758 27.734
-20.752 27.734
-20.727 27.726
-20.713 27.732
-20.699 27.725
-20.691 27.717
-20.678 27.712
-20.672 27.708
-20.665 27.706
-20.655 27.707
-20.647 27.706
-20.644 27.705
-20.628 27.708
-20.611 27.704
-20.603 27.705
-20.598 27.709
-20.594 27.716
-20.587 27.722
-20.583 27.722
-20.578 27.719
-20.574 27.719
-20.571 27.722
-20.554 27.729
-20.545 27.73
-20.534 27.729
-20.519 27.722
-20.515 27.716
-20.5 27.703
-20.492 27.69
-20.49 27.684
-20.5 27.666
-20.502 27.656
-20.501 27.646
-20.495 27.638
-20.484 27.624
-20.482 27.613
-20.485 27.601
-20.495 27.583
-20.495 27.572
-20.491 27.555
-20.489 27.545
-20.479 27.506
-20.477 27.488
-20.473 27.476
-20.475 27.463
-20.48 27.45
-20.486 27.44
-20.486 27.43
-20.485 27.418
-20.485 27.387
-20.482 27.373
-20.475 27.364
-20.474 27.358
-20.489 27.328
-20.495 27.312
-20.501 27.296
-20.5 27.287
-20.498 27.285
-20.488 27.284
-20.475 27.286
-20.457 27.287
-20.434 27.294
-20.419 27.296
-20.397 27.296
-20.386 27.298
-20.366 27.297
-20.342 27.298
-20.312 27.298
-20.3 27.298
-20.283 27.292
-20.262 27.288
-20.238 27.284
-20.228 27.281
-20.226 27.281
-20.216 27.269
-20.211 27.262
-20.195 27.26
-20.169 27.247
-20.147 27.245
-20.142 27.243
-20.138 27.233
-20.125 27.23
-20.119 27.223
-20.106 27.217
-20.101 27.215
-20.087 27.202
-20.084 27.191
-20.086 27.177
-20.085 27.172
-20.088 27.147
-20.088 27.13
-20.087 27.118
-20.084 27.109
-20.074 27.101
-20.054 27.092
-20.04 27.086
-20.034 27.077
-20.03 27.067
-20.022 27.056
-20.023 27.056
-20.023 27.04
-20.021 27.029
-20.024 27.024
-20.026 27.017
-20.024 27.006
-20.023 27.001
-20.02 26.994
-20.021 26.976
-20.02 26.968
-20.012 26.952
-20.01 26.935
-20.002 26.922
-20 26.916
-20 26.915
-19.997 26.91
-19.996 26.902
-19.999 26.894
-19.999 26.889
-19.992 26.876
-19.991 26.874
-19.991 26.859
-19.986 26.851
-19.989 26.847
-19.988 26.843
-19.984 26.837
-19.982 26.821
-19.982 26.809
-19.98 26.804
-19.977 26.802
-19.967 26.807
-19.953 26.799
-19.949 26.793
-19.948 26.789
-19.949 26.786
-19.949 26.78
-19.948 26.777
-19.939 26.757
-19.94 26.739
-19.944 26.727
-19.944 26.717
-19.921 26.704
-19.907 26.701
-19.899 26.699
-19.895 26.695
-19.89 26.683
-19.886 26.665
-19.882 26.644
-19.883 26.638
-19.888 26.622
-19.888 26.616
-19.878 26.61
-19.868 26.605
-19.855 26.597
-19.837 26.584
-19.809 26.575
-19.801 26.569
-19.789 26.55
-19.788 26.536
-19.779 26.528
-19.776 26.523
-19.772 26.506
-19.761 26.492
-19.757 26.469
-19.755 26.439
-19.751 26.431
-19.738 26.417
-19.729 26.41
-19.712 26.406
-19.691 26.396
-19.687 26.39
-19.679 26.388
-19.675 26.384
-19.674 26.378
-19.677 26.366
-19.679 26.351
-19.679 26.347
-19.665 26.32
-19.66 26.32
-19.65 26.324
-19.623 26.346
-19.617 26.346
-19.608 26.333
-19.583 26.308
-19.581 26.303
-19.58 26.295
-19.588 26.262
-19.589 26.244
-19.583 26.229
-19.57 26.213
-19.566 26.205
-19.564 26.19
-19.562 26.184
-19.551 26.173
-19.549 26.169
-19.546 26.166
-19.538 26.16
-19.512 26.153
-19.498 26.145
-19.443 26.137
-19.437 26.134
-19.429 26.121
-19.425 26.115
-19.402 26.113
-19.394 26.114
-19.379 26.107
-19.364 26.103
-19.342 26.09
-19.304 26.077
-19.288 26.068
-19.276 26.071
-19.271 26.071
-19.264 26.063
-19.264 26.059
-19.251 26.052
-19.237 26.038
-19.231 26.038
-19.22 26.043
-19.201 26.031
-19.191 26.027
-19.184 26.019
-19.167 26.009
-19.158 26.001
-19.147 25.986
-19.137 25.976
-19.113 25.966
-19.107 25.963
-19.098 25.961
-19.093 25.958
-19.074 25.96
-19.061 25.967
-19.047 25.981
-19.044 25.985
-19.04 25.992
-19.031 25.994
-18.994 25.986
-18.994 25.985
-18.991 25.986
-18.991 25.984
-18.977 25.978
-18.96 25.967
-18.945 25.963
-18.935 25.956
-18.919 25.947
-18.91 25.941
-18.909 25.933
-18.905 25.919
-18.894 25.904
-18.889 25.894
-18.883 25.89
-18.865 25.866
-18.861 25.853
-18.856 25.846
-18.846 25.826
-18.844 25.82
-18.827 25.822
-18.817 25.821
-18.806 25.811
-18.788 25.801
-18.757 25.79
-18.742 25.793
-18.728 25.788
-18.716 25.787
-18.705 25.79
-18.697 25.791
-18.69 25.797
-18.681 25.791
-18.663 25.785
-18.64 25.786
-18.635 25.784
-18.628 25.778
-18.612 25.755
-18.604 25.749
-18.603 25.741
-18.599 25.73
-18.6 25.716
-18.598 25.71
-18.584 25.695
-18.557 25.674
-18.539 25.664
-18.532 25.661
-18.509 25.65
-18.5 25.643
-18.495 25.636
-18.492 25.62
-18.488 25.609
-18.48 25.602
-18.451 25.582
-18.424 25.561
-18.386 25.522
-18.379 25.519
-18.361 25.514
-18.299 25.492
-18.296 25.49
-18.258 25.467
-18.235 25.461
-18.221 25.453
-18.217 25.448
-18.206 25.443
-18.18 25.429
-18.159 25.421
-18.123 25.396
-18.118 25.389
-18.116 25.372
-18.112 25.367
-18.095 25.362
-18.09 25.356
-18.082 25.328
-18.078 25.322
-18.065 25.317
-18.058 25.31
-18.03 25.292
-18.011 25.282
-17.989 25.276
-17.974 25.274
-17.957 25.268
-17.932 25.246
-17.918 25.237
-17.911 25.237
-17.9 25.241
-17.89 25.237
-17.877 25.238
-17.87 25.24
-17.843 25.252
-17.832 25.256
-17.812 25.259
-17.8 25.263
-17.798 25.269
-17.799 25.27
-17.801 25.274
-17.812 25.285
-17.82 25.294
-17.825 25.304
-17.825 25.311
-17.834 25.328
-17.842 25.342
-17.843 25.343
-17.842 25.349
-17.839 25.359
-17.84 25.367
-17.845 25.373
-17.854 25.38
-17.855 25.388
-17.849 25.411
-17.848 25.429
-17.853 25.434
-17.854 25.442
-17.848 25.451
-17.847 25.458
-17.85 25.465
-17.851 25.479
-17.853 25.485
-17.854 25.488
-17.869 25.509
-17.871 25.515
-17.868 25.529
-17.863 25.535
-17.849 25.544
-17.843 25.552
-17.842 25.557
-17.843 25.564
-17.848 25.573
-17.847 25.585
-17.854 25.595
-17.846 25.609
-17.845 25.613
-17.847 25.621
-17.847 25.628
-17.844 25.637
-17.842 25.644
-17.834 25.657
-17.819 25.671
-17.818 25.672
-17.815 25.685
-17.816 25.701
-17.821 25.704
-17.834 25.705
-17.84 25.707
-17.838 25.719
-17.84 25.723
-17.852 25.75
-17.854 25.768
-17.862 25.778
-17.867 25.786
-17.878 25.797
-17.886 25.8
-17.89 25.809
-17.889 25.828
-17.891 25.837
-17.894 25.842
-17.901 25.844
-17.914 25.849
-17.919 25.854
-17.927 25.856
-17.93 25.858
-17.931 25.86
-17.939 25.85
-17.944 25.848
-17.95 25.85
-17.951 25.859
-17.953 25.863
-17.955 25.864
-17.965 25.86
-17.968 25.862
-17.975 25.865
-17.977 25.867
-17.977 25.877
-17.985 25.883
-17.984 25.89
-17.99 25.91
-18 25.916
-18.001 25.92
-17.998 25.927
-17.996 25.94
-18.001 25.952
-18.002 25.954
-17.999 25.958
-17.999 25.961
-18.006 25.971
-18.006 25.974
-18.004 25.981
-17.999 25.99
-17.989 25.992
-17.986 25.995
-17.985 26.002
-17.978 26.014
-17.979 26.02
-17.983 26.03
-17.983 26.036
-17.975 26.046
-17.975 26.05
-17.981 26.059
-17.982 26.063
-17.979 26.073
-17.985 26.091
-17.965 26.097
-17.954 26.105
-17.95 26.1
-17.944 26.095
-17.935 26.098
-17.931 26.104
-17.93 26.111
-17.926 26.128
-17.916 26.145
-17.914 26.168
-17.905 26.19
-17.893 26.208
-17.888 26.226
-17.892 26.227
-17.902 26.224
