segment Gambia
13.499 -14.216
13.501 -14.211
13.509 -14.2
13.524 -14.169
13.534 -14.144
13.539 -14.134
13.543 -14.125
13.543 -14.12
13.553 -14.085
13.551 -14.083
13.549 -14.053
13.549 -14.035
13.558 -14.01
13.56 -14.005
13.568 -13.986
13.573 -13.964
13.573 -13.956
13.57 -13.955
13.556 -13.919
13.54 -13.893
13.529 -13.878
13.505 -13.86
13.478 -13.832
13.46 -13.819
13.453 -13.815
13.447 -13.805
13.437 -13.799
13.424 -13.798
13.406 -13.802
13.387 -13.808
13.366 -13.818
13.351 -13.829
13.349 -13.831
13.339 -13.841
13.322 -13.868
13.315 -13.888
13.313 -13.901
13.315 -13.904
13.313 -13.92
13.314 -13.935
13.313 -13.947
13.312 -13.948
13.308 -13.963
13.295 -13.985
13.289 -14.003
13.286 -14.026
13.284 -14.034
13.283 -14.048
13.286 -14.055
13.286 -14.063
13.285 -14.071
13.282 -14.096
13.281 -14.098
13.276 -14.114
13.27 -14.12
13.236 -14.127
13.227 -14.134
13.222 -14.142
13.22 -14.153
13.22 -14.157
13.219 -14.172
13.219 -14.189
13.219 -14.198
13.216 -14.239
13.217 -14.245
13.233 -14.266
13.236 -14.28
13.234 -14.299
13.234 -14.312
13.228 -14.351
13.229 -14.355
13.229 -14.369
13.233 -14.386
13.244 -14.409
13.256 -14.426
13.26 -14.431
13.273 -14.446
13.295 -14.464
13.297 -14.469
13.298 -14.499
13.302 -14.511
13.301 -14.514
13.305 -14.531
13.309 -14.542
13.311 -14.547
13.326 -14.568
13.341 -14.581
13.345 -14.588
13.342 -14.602
13.331 -14.623
13.331 -14.643
13.333 -14.654
13.334 -14.66
13.357 -14.705
13.374 -14.734
13.388 -14.75
13.403 -14.759
13.407 -14.761
13.413 -14.769
13.416 -14.776
13.414 -14.78
13.414 -14.804
13.416 -14.816
13.423 -14.83
13.439 -14.853
13.442 -14.864
13.443 -14.875
13.444 -14.889
13.447 -14.907
13.452 -14.923
13.452 -14.93
13.456 -14.94
13.466 -14.959
13.473 -14.97
13.485 -14.995
13.486 -14.996
13.489 -15
13.523 -15.048
13.549 -15.076
13.552 -15.076
13.565 -15.087
13.569 -15.089
13.589 -15.1
13.589 -15.111
13.577 -15.14
13.563 -15.164
13.563 -15.167
13.554 -15.176
13.549 -15.183
13.541 -15.19
13.531 -15.199
13.52 -15.206
13.496 -15.214
13.485 -15.215
13.477 -15.219
13.457 -15.217
13.444 -15.219
13.43 -15.225
13.424 -15.229
13.413 -15.236
13.385 -15.265
13.379 -15.272
13.376 -15.276
13.369 -15.281
13.36 -15.296
13.345 -15.353
13.343 -15.374
13.344 -15.384
13.348 -15.39
13.358 -15.404
13.364 -15.415
13.366 -15.423
13.364 -15.431
13.369 -15.449
13.376 -15.461
13.376 -15.47
13.386 -15.501
13.387 -15.51
13.383 -15.521
13.372 -15.537
13.346 -15.571
13.343 -15.573
13.338 -15.588
13.337 -15.604
13.343 -15.623
13.343 -15.625
13.353 -15.649
13.358 -15.671
13.358 -15.688
13.346 -15.725
13.345 -15.732
13.342 -15.747
13.338 -15.767
13.34 -15.79
13.341 -15.808
13.232 -15.81
13.159 -15.812
13.159 -15.866
13.16 -15.987
13.161 -15.995
13.162 -15.999
13.16 -16.006
13.159 -16.058
13.162 -16.072
13.16 -16.078
13.161 -16.123
13.161 -16.159
13.16 -16.219
13.161 -16.252
13.162 -16.373
13.16 -16.381
13.159 -16.388
13.161 -16.396
13.162 -16.51
13.164 -16.639
13.164 -16.653
13.162 -16.672
13.164 -16.688
13.162 -16.691
13.156 -16.708
13.152 -16.713
13.147 -16.715
13.141 -16.712
13.136 -16.711
13.13 -16.712
13.126 -16.719
13.117 -16.726
13.115 -16.733
13.116 -16.734
13.117 -16.738
