segment Senegal
16.585 -15.483
16.592 -15.478
16.597 -15.469
16.596 -15.461
16.592 -15.452
16.575 -15.437
16.564 -15.435
16.554 -15.432
16.549 -15.427
16.545 -15.419
16.543 -15.406
16.55 -15.388
16.558 -15.377
16.566 -15.369
16.568 -15.364
16.568 -15.343
16.57 -15.337
16.583 -15.319
16.585 -15.313
16.583 -15.292
16.578 -15.278
16.578 -15.271
16.578 -15.263
16.576 -15.257
16.569 -15.247
16.565 -15.24
16.564 -15.233
16.568 -15.223
16.583 -15.2
16.59 -15.186
16.599 -15.178
16.601 -15.172
16.597 -15.16
16.596 -15.157
16.595 -15.151
16.593 -15.149
16.59 -15.138
16.59 -15.124
16.593 -15.11
16.596 -15.103
16.6 -15.099
16.61 -15.095
16.612 -15.095
16.617 -15.097
16.622 -15.102
16.625 -15.106
16.625 -15.112
16.63 -15.123
16.634 -15.126
16.64 -15.127
16.648 -15.124
16.651 -15.123
16.663 -15.115
16.673 -15.105
16.676 -15.099
16.676 -15.092
16.675 -15.085
16.672 -15.079
16.655 -15.067
16.635 -15.056
16.632 -15.051
16.63 -15.041
16.631 -15.034
16.633 -15.031
16.636 -15.023
16.65 -15.009
16.68 -15.001
16.681 -15
16.687 -14.997
16.69 -14.992
16.692 -14.983
16.692 -14.978
16.688 -14.971
16.684 -14.968
16.681 -14.963
16.672 -14.956
16.664 -14.953
16.662 -14.952
16.643 -14.948
16.635 -14.944
16.634 -14.937
16.635 -14.932
16.651 -14.916
16.651 -14.912
16.647 -14.909
16.638 -14.907
16.635 -14.904
16.635 -14.897
16.636 -14.895
16.644 -14.891
16.661 -14.885
16.663 -14.882
16.663 -14.879
16.663 -14.874
16.641 -14.856
16.643 -14.837
16.637 -14.829
16.636 -14.825
16.638 -14.823
16.65 -14.821
16.655 -14.817
16.656 -14.811
16.635 -14.789
16.634 -14.786
16.634 -14.785
16.657 -14.771
16.659 -14.768
16.658 -14.763
16.655 -14.757
16.649 -14.75
16.645 -14.748
16.641 -14.75
16.633 -14.75
16.624 -14.739
16.624 -14.735
16.633 -14.737
16.635 -14.734
16.637 -14.728
16.649 -14.728
16.65 -14.72
16.647 -14.717
16.644 -14.713
16.643 -14.707
16.643 -14.704
16.643 -14.702
16.652 -14.679
16.649 -14.663
16.652 -14.651
16.651 -14.639
16.646 -14.634
16.641 -14.633
16.636 -14.635
16.634 -14.638
16.632 -14.647
16.624 -14.638
16.623 -14.634
16.631 -14.628
16.632 -14.624
16.633 -14.62
16.629 -14.606
16.623 -14.598
16.627 -14.593
16.628 -14.588
16.626 -14.583
16.627 -14.565
16.624 -14.554
16.642 -14.549
16.645 -14.546
16.648 -14.541
16.643 -14.534
16.634 -14.526
16.632 -14.521
16.63 -14.519
16.629 -14.51
16.62 -14.497
16.62 -14.493
16.622 -14.487
16.624 -14.485
16.625 -14.482
16.629 -14.477
16.629 -14.452
16.63 -14.445
16.634 -14.44
16.646 -14.435
16.65 -14.43
16.654 -14.419
16.653 -14.413
16.651 -14.412
16.64 -14.404
16.639 -14.394
16.639 -14.38
16.638 -14.364
16.637 -14.363
16.644 -14.343
16.643 -14.333
16.638 -14.326
16.63 -14.323
16.606 -14.322
16.586 -14.329
16.577 -14.33
16.57 -14.326
16.57 -14.324
16.575 -14.314
16.575 -14.31
16.577 -14.297
16.588 -14.282
16.587 -14.278
16.583 -14.271
16.575 -14.267
16.555 -14.269
16.538 -14.265
16.52 -14.256
16.52 -14.253
16.533 -14.257
16.534 -14.256
16.542 -14.254
16.549 -14.247
16.552 -14.24
16.552 -14.233
16.55 -14.224
16.544 -14.209
16.536 -14.199
16.53 -14.195
16.518 -14.196
16.512 -14.195
16.498 -14.165
16.496 -14.163
16.48 -14.151
16.476 -14.145
16.475 -14.143
16.479 -14.135
16.479 -14.127
16.476 -14.125
16.469 -14.13
16.465 -14.132
16.456 -14.129
16.451 -14.121
16.449 -14.114
16.444 -14.108
16.431 -14.101
16.427 -14.097
16.417 -14.077
16.412 -14.072
16.4 -14.063
16.392 -14.054
16.39 -14.05
16.384 -14.045
16.378 -14.038
16.353 -14.021
16.35 -14.012
16.352 -14.003
16.349 -13.994
16.341 -13.981
16.337 -13.967
16.331 -13.96
16.32 -13.956
16.319 -13.955
16.31 -13.952
16.307 -13.951
16.305 -13.954
16.303 -13.96
16.304 -13.979
16.302 -13.982
16.296 -13.983
16.276 -13.978
16.278 -13.959
16.272 -13.948
16.267 -13.945
16.257 -13.957
16.244 -13.961
16.232 -13.965
16.224 -13.965
16.223 -13.962
16.234 -13.945
16.236 -13.939
16.236 -13.936
16.23 -13.926
16.232 -13.916
16.23 -13.912
16.225 -13.91
16.219 -13.911
16.205 -13.908
16.196 -13.902
16.193 -13.897
16.194 -13.891
16.196 -13.883
16.197 -13.877
16.195 -13.873
16.188 -13.867
16.183 -13.866
16.177 -13.867
16.167 -13.871
16.159 -13.873
16.149 -13.87
16.139 -13.862
16.129 -13.859
16.126 -13.849
16.123 -13.847
16.111 -13.845
16.107 -13.84
16.121 -13.832
16.134 -13.818
16.137 -13.814
16.14 -13.805
16.143 -13.788
16.144 -13.763
16.149 -13.745
16.156 -13.738
16.173 -13.725
16.181 -13.716
16.18 -13.708
16.175 -13.701
16.17 -13.698
16.161 -13.698
16.155 -13.699
16.144 -13.709
16.135 -13.713
16.131 -13.712
16.122 -13.708
16.114 -13.701
16.101 -13.691
16.096 -13.685
16.095 -13.677
16.105 -13.661
16.108 -13.654
16.105 -13.637
16.108 -13.629
16.112 -13.622
16.117 -13.609
16.129 -13.59
16.135 -13.577
16.135 -13.566
16.133 -13.55
16.127 -13.527
16.129 -13.513
16.131 -13.506
16.146 -13.486
16.145 -13.481
16.137 -13.471
16.132 -13.468
16.125 -13.471
16.122 -13.478
16.119 -13.492
16.111 -13.503
16.108 -13.506
16.099 -13.511
16.096 -13.512
16.089 -13.507
16.081 -13.497
16.08 -13.489
16.086 -13.482
16.103 -13.471
16.106 -13.465
16.107 -13.458
16.103 -13.453
16.087 -13.447
16.083 -13.443
16.078 -13.436
16.077 -13.434
16.067 -13.403
16.054 -13.374
16.05 -13.371
16.042 -13.37
16.021 -13.375
16.012 -13.375
16.005 -13.372
16 -13.375
15.995 -13.375
15.972 -13.374
15.962 -13.366
15.946 -13.357
15.922 -13.327
15.914 -13.322
15.903 -13.332
15.893 -13.336
15.886 -13.333
15.879 -13.327
15.877 -13.321
15.876 -13.318
15.869 -13.311
15.861 -13.305
15.841 -13.309
15.831 -13.306
15.814 -13.3
15.802 -13.289
15.786 -13.271
15.784 -13.272
15.783 -13.277
15.787 -13.284
15.785 -13.29
15.781 -13.294
15.772 -13.297
15.758 -13.292
15.708 -13.233
15.698 -13.222
15.694 -13.216
15.689 -13.215
15.681 -13.217
15.673 -13.224
15.669 -13.23
15.675 -13.244
15.674 -13.251
15.668 -13.255
15.662 -13.255
15.644 -13.25
15.617 -13.236
15.613 -13.232
15.609 -13.227
15.607 -13.221
15.621 -13.202
15.622 -13.192
15.62 -13.183
15.608 -13.16
15.587 -13.117
15.577 -13.097
15.572 -13.095
15.565 -13.097
15.556 -13.092
15.544 -13.092
15.517 -13.103
15.51 -13.105
15.5 -13.104
15.493 -13.098
15.479 -13.073
15.473 -13.06
15.471 -13.046
15.478 -13.021
15.489 -13.005
15.491 -12.999
15.493 -12.984
15.501 -12.969
15.499 -12.964
15.494 -12.963
15.483 -12.965
15.47 -12.96
15.454 -12.964
15.444 -12.96
15.44 -12.95
15.441 -12.939
15.439 -12.934
15.435 -12.93
15.43 -12.93
15.417 -12.942
15.402 -12.948
15.392 -12.948
15.371 -12.946
15.357 -12.943
15.341 -12.923
15.337 -12.912
15.336 -12.903
15.332 -12.888
15.322 -12.865
15.302 -12.846
15.292 -12.84
15.281 -12.837
15.266 -12.839
15.257 -12.845
15.256 -12.847
15.253 -12.855
15.256 -12.867
15.266 -12.885
15.265 -12.892
15.26 -12.898
15.253 -12.899
15.244 -12.895
15.23 -12.874
15.217 -12.861
15.198 -12.85
15.195 -12.846
15.197 -12.838
15.206 -12.827
15.211 -12.819
15.212 -12.811
15.21 -12.803
15.202 -12.794
15.193 -12.791
15.181 -12.791
15.163 -12.792
15.151 -12.792
15.147 -12.789
15.141 -12.78
15.136 -12.767
15.129 -12.755
15.117 -12.74
15.109 -12.73
15.098 -12.715
15.092 -12.702
15.081 -12.692
15.08 -12.689
15.084 -12.686
15.092 -12.685
15.098 -12.68
15.1 -12.666
15.099 -12.658
15.091 -12.638
15.083 -12.618
15.068 -12.596
15.06 -12.588
15.033 -12.56
15.029 -12.554
15.021 -12.536
15.014 -12.503
15.01 -12.493
15.002 -12.482
15 -12.48
14.998 -12.478
14.993 -12.474
14.985 -12.469
14.955 -12.46
14.896 -12.453
14.891 -12.451
14.881 -12.441
14.87 -12.432
14.848 -12.403
14.839 -12.388
14.828 -12.364
14.825 -12.336
14.82 -12.328
14.812 -12.32
14.793 -12.303
14.778 -12.287
14.767 -12.262
14.765 -12.251
14.761 -12.242
14.75 -12.243
14.738 -12.238
14.735 -12.234
14.732 -12.222
14.725 -12.215
14.721 -12.214
14.716 -12.212
14.702 -12.214
14.696 -12.213
14.692 -12.207
14.691 -12.199
14.692 -12.189
14.683 -12.177
14.684 -12.167
14.681 -12.164
14.678 -12.162
14.675 -12.165
14.666 -12.179
14.657 -12.181
14.651 -12.155
14.648 -12.151
14.645 -12.148
14.637 -12.147
14.621 -12.149
14.615 -12.153
14.61 -12.165
14.607 -12.172
14.604 -12.175
14.582 -12.179
14.572 -12.186
14.555 -12.188
14.55 -12.191
14.548 -12.198
14.548 -12.212
14.543 -12.218
14.537 -12.22
14.524 -12.218
14.515 -12.22
14.498 -12.225
14.49 -12.225
14.48 -12.22
14.478 -12.218
14.473 -12.206
14.47 -12.204
14.458 -12.208
14.453 -12.208
14.43 -12.195
14.417 -12.202
14.407 -12.205
14.402 -12.204
14.399 -12.196
14.391 -12.187
14.39 -12.183
14.392 -12.178
14.391 -12.171
14.382 -12.158
14.382 -12.15
14.388 -12.132
14.387 -12.13
14.384 -12.128
14.373 -12.129
14.369 -12.127
14.372 -12.116
14.371 -12.11
14.371 -12.104
14.369 -12.1
14.362 -12.097
14.356 -12.1
14.349 -12.103
14.334 -12.098
14.332 -12.1
14.333 -12.106
14.331 -12.109
14.327 -12.111
14.324 -12.108
14.325 -12.101
14.323 -12.101
14.313 -12.102
14.306 -12.1
14.303 -12.096
14.287 -12.047
14.284 -12.04
14.282 -12.025
14.263 -12.023
14.212 -12.003
14.205 -12.002
14.191 -11.994
14.17 -11.988
14.162 -11.987
14.154 -11.987
14.122 -11.991
14.101 -11.989
14.093 -11.991
14.047 -12.014
14.041 -12.014
14.028 -12.016
14 -12.014
13.986 -12.008
13.968 -11.995
13.952 -11.976
13.949 -11.97
13.942 -11.965
13.939 -11.961
13.939 -11.957
13.928 -11.944
13.921 -11.941
13.9 -11.941
13.876 -11.949
13.863 -11.95
13.848 -11.949
13.829 -11.952
13.824 -11.951
13.821 -11.953
13.814 -11.956
13.784 -11.981
13.776 -11.993
13.763 -12.006
13.755 -12.017
13.74 -12.039
13.736 -12.05
13.716 -12.079
13.7 -12.071
13.686 -12.059
13.678 -12.055
13.628 -12.041
13.61 -12.032
13.605 -12.027
13.593 -12.015
13.587 -12.007
13.571 -11.999
13.544 -11.982
13.534 -11.974
13.525 -11.965
13.521 -11.958
13.518 -11.953
13.513 -11.938
13.502 -11.922
13.48 -11.897
13.461 -11.876
13.451 -11.871
13.443 -11.87
13.433 -11.872
13.424 -11.877
13.413 -11.883
13.395 -11.889
13.384 -11.895
13.381 -11.892
13.38 -11.887
13.377 -11.878
13.371 -11.873
13.362 -11.868
13.353 -11.856
13.352 -11.854
13.335 -11.842
13.329 -11.84
13.318 -11.841
13.31 -11.839
13.304 -11.832
13.304 -11.813
13.308 -11.805
13.314 -11.8
13.327 -11.797
13.331 -11.793
13.335 -11.777
13.338 -11.773
13.355 -11.771
13.372 -11.758
13.381 -11.751
13.385 -11.75
13.4 -11.752
13.409 -11.743
13.408 -11.718
13.403 -11.708
13.399 -11.705
13.386 -11.702
13.383 -11.698
13.382 -11.673
13.382 -11.669
13.389 -11.645
13.387 -11.637
13.381 -11.634
13.375 -11.634
13.367 -11.641
13.36 -11.644
13.356 -11.644
13.353 -11.619
13.36 -11.609
13.359 -11.605
13.349 -11.603
13.342 -11.605
13.334 -11.603
13.323 -11.599
13.314 -11.595
13.304 -11.597
13.301 -11.595
13.298 -11.585
13.286 -11.572
13.283 -11.558
13.278 -11.552
13.274 -11.549
13.261 -11.546
13.251 -11.534
13.246 -11.534
13.228 -11.547
13.217 -11.55
13.203 -11.548
13.195 -11.545
13.192 -11.54
13.19 -11.519
13.188 -11.513
13.185 -11.509
13.174 -11.508
13.151 -11.524
13.146 -11.522
13.137 -11.509
13.115 -11.502
13.111 -11.497
13.111 -11.496
13.109 -11.491
13.095 -11.482
13.094 -11.453
13.09 -11.444
13.08 -11.437
13.074 -11.435
13.066 -11.437
13.057 -11.441
13.053 -11.441
13.045 -11.434
13.031 -11.421
13.019 -11.421
13.016 -11.42
13.012 -11.413
13.006 -11.408
13.002 -11.409
13.001 -11.416
12.998 -11.42
12.993 -11.422
12.988 -11.421
12.981 -11.415
12.977 -11.415
12.967 -11.42
12.965 -11.419
12.964 -11.414
12.968 -11.407
12.968 -11.405
12.961 -11.398
12.96 -11.393
12.962 -11.39
12.97 -11.388
12.982 -11.389
12.986 -11.389
12.989 -11.386
12.99 -11.383
12.988 -11.373
12.986 -11.371
12.984 -11.368
12.974 -11.363
12.957 -11.363
12.939 -11.357
12.937 -11.356
12.932 -11.358
12.931 -11.361
12.926 -11.384
12.926 -11.391
12.929 -11.397
12.929 -11.401
12.926 -11.406
12.917 -11.408
12.911 -11.405
12.904 -11.394
12.902 -11.394
12.884 -11.409
12.875 -11.412
12.869 -11.411
12.861 -11.403
12.857 -11.402
12.854 -11.403
12.843 -11.416
12.837 -11.412
12.825 -11.411
12.824 -11.408
12.824 -11.4
12.827 -11.392
12.826 -11.391
12.822 -11.393
12.813 -11.394
12.796 -11.388
12.789 -11.391
12.777 -11.391
12.772 -11.4
12.769 -11.401
12.759 -11.391
12.755 -11.388
12.749 -11.385
12.745 -11.389
12.741 -11.388
12.733 -11.376
12.731 -11.375
12.725 -11.393
12.727 -11.406
12.726 -11.426
12.723 -11.429
12.703 -11.431
12.698 -11.431
12.696 -11.435
12.699 -11.441
12.697 -11.443
12.683 -11.445
12.674 -11.452
12.667 -11.452
12.663 -11.452
12.661 -11.449
12.661 -11.442
12.662 -11.434
12.66 -11.431
12.654 -11.424
12.632 -11.416
12.626 -11.414
12.621 -11.419
12.615 -11.431
12.614 -11.431
12.611 -11.432
12.608 -11.431
12.604 -11.43
12.59 -11.415
12.586 -11.413
12.566 -11.419
12.564 -11.421
12.565 -11.431
12.565 -11.442
12.563 -11.445
12.547 -11.451
12.541 -11.449
12.545 -11.439
12.544 -11.436
12.54 -11.433
12.53 -11.432
12.526 -11.431
12.524 -11.429
12.52 -11.417
12.533 -11.415
12.536 -11.412
12.537 -11.41
12.536 -11.409
12.534 -11.398
12.532 -11.394
12.53 -11.392
12.525 -11.398
12.523 -11.397
12.518 -11.389
12.508 -11.384
12.495 -11.387
12.488 -11.386
12.483 -11.382
12.483 -11.379
12.487 -11.377
12.493 -11.378
12.5 -11.376
12.503 -11.369
12.502 -11.365
12.497 -11.363
12.49 -11.362
12.483 -11.362
12.48 -11.364
12.468 -11.357
12.465 -11.358
12.46 -11.366
12.454 -11.369
12.447 -11.378
12.442 -11.38
12.428 -11.375
12.424 -11.375
12.414 -11.379
12.415 -11.401
12.418 -11.409
12.432 -11.433
12.441 -11.46
12.442 -11.478
12.443 -11.531
12.44 -11.55
12.433 -11.581
12.428 -11.6
12.427 -11.6
12.427 -11.604
12.424 -11.639
12.425 -11.648
12.423 -11.664
12.42 -11.672
12.41 -11.688
12.397 -11.703
12.393 -11.712
12.392 -11.723
12.388 -11.762
12.394 -11.786
12.393 -11.814
12.397 -11.849
12.398 -11.85
12.402 -11.861
12.419 -11.882
12.42 -11.887
12.427 -11.894
12.431 -11.903
12.43 -11.913
12.425 -11.932
12.422 -11.934
12.407 -11.959
12.406 -11.961
12.401 -11.978
12.397 -11.999
12.397 -12.017
12.4 -12.025
12.407 -12.036
12.411 -12.037
12.423 -12.05
12.419 -12.073
12.418 -12.076
12.421 -12.082
12.422 -12.089
12.421 -12.097
12.412 -12.113
12.395 -12.13
12.389 -12.14
12.368 -12.159
12.368 -12.166
12.363 -12.173
12.361 -12.178
12.361 -12.186
12.359 -12.189
12.358 -12.211
12.355 -12.235
12.331 -12.292
12.327 -12.298
12.324 -12.306
12.323 -12.31
12.311 -12.331
12.307 -12.344
12.307 -12.353
12.311 -12.36
12.321 -12.368
12.325 -12.369
12.333 -12.376
12.337 -12.377
12.356 -12.39
12.365 -12.4
12.369 -12.404
12.374 -12.414
12.382 -12.435
12.392 -12.45
12.399 -12.474
12.401 -12.489
12.398 -12.497
12.397 -12.506
12.389 -12.518
12.371 -12.544
12.368 -12.555
12.369 -12.565
12.382 -12.577
12.395 -12.584
12.399 -12.59
12.405 -12.606
12.419 -12.616
12.426 -12.622
12.431 -12.634
12.433 -12.648
12.433 -12.673
12.432 -12.715
12.43 -12.719
12.429 -12.738
12.43 -12.74
12.435 -12.755
12.442 -12.759
12.458 -12.761
12.466 -12.77
12.471 -12.772
12.472 -12.777
12.476 -12.782
12.476 -12.787
12.473 -12.8
12.476 -12.81
12.487 -12.834
12.491 -12.838
12.496 -12.842
12.511 -12.842
12.516 -12.846
12.523 -12.869
12.527 -12.874
12.535 -12.879
12.541 -12.888
12.54 -12.893
12.542 -12.9
12.542 -12.905
12.537 -12.923
12.531 -12.931
12.527 -12.933
12.521 -12.936
12.487 -12.94
12.477 -12.948
12.463 -12.967
12.462 -12.969
12.464 -12.974
12.474 -13.002
12.474 -13.004
12.477 -13.016
12.478 -13.029
12.475 -13.04
12.474 -13.051
12.477 -13.059
12.478 -13.061
12.482 -13.066
12.491 -13.071
12.502 -13.073
12.515 -13.072
12.53 -13.077
12.534 -13.075
12.542 -13.066
12.561 -13.06
12.575 -13.052
12.582 -13.051
12.591 -13.052
12.61 -13.056
12.619 -13.057
12.625 -13.065
12.639 -13.073
12.64 -13.078
12.639 -13.08
12.63 -13.088
12.626 -13.097
12.627 -13.101
12.628 -13.103
12.634 -13.111
12.635 -13.119
12.642 -13.134
12.642 -13.139
12.635 -13.145
12.64 -13.153
12.64 -13.154
12.639 -13.172
12.637 -13.18
12.628 -13.185
12.628 -13.188
12.637 -13.197
12.642 -13.209
12.646 -13.211
12.649 -13.213
12.648 -13.222
12.64 -13.233
12.64 -13.237
12.645 -13.247
12.649 -13.263
12.649 -13.275
12.652 -13.288
12.652 -13.291
12.647 -13.295
12.646 -13.297
12.642 -13.305
12.642 -13.324
12.645 -13.333
12.652 -13.336
12.655 -13.339
12.654 -13.342
12.65 -13.346
12.653 -13.35
12.66 -13.351
12.662 -13.393
12.666 -13.452
12.666 -13.453
12.665 -13.462
12.667 -13.467
12.675 -13.579
12.675 -13.58
12.676 -13.709
12.676 -13.739
12.676 -13.805
12.677 -13.823
12.676 -13.823
12.676 -13.861
12.676 -13.866
12.676 -13.992
12.676 -13.995
12.677 -14.006
12.677 -14.08
12.675 -14.087
12.676 -14.114
12.678 -14.123
12.677 -14.154
12.675 -14.159
12.677 -14.169
12.677 -14.252
12.677 -14.27
12.676 -14.31
12.675 -14.31
12.676 -14.318
12.677 -14.379
12.677 -14.508
12.677 -14.637
12.678 -14.766
12.678 -14.767
12.677 -14.782
12.679 -14.894
12.679 -14.895
12.677 -14.902
12.678 -14.909
12.677 -14.943
12.679 -15
12.68 -15.023
12.68 -15.035
12.679 -15.057
12.681 -15.072
12.678 -15.102
12.68 -15.112
12.68 -15.151
12.68 -15.164
12.681 -15.179
12.677 -15.187
12.677 -15.195
12.66 -15.235
12.638 -15.269
12.636 -15.272
12.627 -15.29
12.612 -15.33
12.601 -15.346
12.582 -15.366
12.573 -15.378
12.563 -15.391
12.557 -15.402
12.551 -15.407
12.535 -15.43
12.522 -15.452
12.518 -15.469
12.514 -15.471
12.509 -15.486
12.507 -15.492
12.503 -15.499
12.502 -15.506
12.493 -15.531
12.487 -15.542
12.484 -15.545
12.456 -15.602
12.451 -15.612
12.449 -15.614
12.443 -15.628
12.439 -15.631
12.428 -15.666
12.424 -15.69
12.424 -15.704
12.426 -15.724
12.432 -15.761
12.432 -15.77
12.432 -15.779
12.434 -15.785
12.434 -15.801
12.437 -15.815
12.444 -15.861
12.445 -15.897
12.442 -15.935
12.44 -15.949
12.44 -15.958
12.446 -15.976
12.468 -16.043
12.468 -16.057
12.469 -16.063
12.463 -16.101
12.454 -16.132
12.453 -16.15
12.451 -16.153
12.451 -16.166
12.45 -16.169
12.456 -16.188
12.457 -16.201
12.456 -16.215
12.452 -16.226
12.437 -16.25
12.42 -16.284
12.415 -16.291
12.408 -16.304
12.406 -16.306
12.393 -16.329
12.379 -16.361
12.371 -16.373
12.364 -16.381
12.361 -16.39
12.36 -16.396
12.357 -16.468
12.35 -16.494
12.349 -16.507
12.352 -16.509
12.353 -16.523
12.356 -16.546
12.355 -16.556
12.352 -16.56
12.347 -16.583
12.346 -16.592
12.347 -16.603
12.355 -16.649
12.355 -16.652
12.356 -16.673
12.354 -16.68
12.346 -16.698
12.333 -16.714
12.328 -16.718
12.328 -16.72
12.329 -16.725
12.336 -16.73
12.342 -16.736
12.352 -16.741
12.371 -16.745
12.377 -16.748
12.386 -16.763
12.394 -16.772
12.413 -16.782
12.442 -16.791
12.454 -16.793
12.458 -16.796
12.463 -16.797
12.475 -16.798
12.484 -16.796
12.503 -16.789
12.521 -16.779
12.543 -16.762
12.544 -16.757
12.537 -16.751
12.54 -16.743
12.545 -16.744
12.55 -16.741
12.552 -16.723
12.556 -16.714
12.557 -16.705
12.553 -16.702
12.542 -16.708
12.542 -16.699
12.543 -16.691
12.542 -16.689
12.538 -16.686
12.539 -16.681
12.546 -16.682
12.557 -16.679
12.56 -16.674
12.567 -16.658
12.569 -16.65
12.573 -16.643
12.579 -16.636
12.6 -16.622
12.615 -16.613
12.622 -16.601
12.625 -16.599
12.633 -16.591
12.634 -16.586
12.634 -16.585
12.634 -16.579
12.628 -16.568
12.619 -16.557
12.613 -16.551
12.603 -16.546
12.592 -16.544
12.588 -16.535
12.591 -16.533
12.595 -16.528
12.597 -16.522
12.597 -16.512
12.595 -16.503
12.595 -16.502
12.592 -16.477
12.587 -16.466
12.563 -16.425
12.56 -16.416
12.559 -16.401
12.573 -16.401
12.578 -16.414
12.582 -16.426
12.586 -16.429
12.598 -16.426
12.601 -16.428
12.597 -16.433
12.596 -16.436
12.613 -16.453
12.619 -16.47
12.625 -16.477
12.625 -16.481
12.627 -16.487
12.632 -16.493
12.636 -16.494
12.637 -16.502
12.632 -16.504
12.621 -16.499
12.619 -16.5
12.64 -16.519
12.652 -16.533
12.666 -16.559
12.67 -16.574
12.668 -16.579
12.669 -16.584
12.666 -16.59
12.667 -16.595
12.666 -16.596
12.656 -16.616
12.656 -16.624
12.642 -16.635
12.633 -16.64
12.616 -16.659
12.611 -16.666
12.604 -16.68
12.603 -16.686
12.588 -16.709
12.584 -16.724
12.58 -16.731
12.578 -16.736
12.564 -16.753
12.563 -16.757
12.564 -16.763
12.567 -16.768
12.57 -16.77
12.573 -16.772
12.585 -16.775
12.608 -16.772
12.621 -16.775
12.622 -16.775
12.626 -16.774
12.638 -16.778
12.66 -16.781
12.683 -16.779
12.693 -16.775
12.705 -16.781
12.704 -16.781
12.707 -16.786
12.71 -16.786
12.725 -16.782
12.729 -16.783
12.74 -16.79
12.779 -16.778
12.786 -16.774
12.792 -16.775
12.799 -16.772
12.805 -16.773
12.806 -16.776
12.808 -16.777
12.816 -16.777
12.833 -16.776
12.83 -16.78
12.82 -16.782
12.79 -16.785
12.775 -16.784
12.77 -16.785
12.766 -16.788
12.769 -16.791
12.793 -16.791
12.802 -16.789
12.803 -16.789
12.806 -16.79
12.818 -16.787
12.834 -16.783
12.843 -16.784
12.88 -16.77
12.888 -16.768
