segment Zambia
-11.782 28.446
-11.769 28.447
-11.756 28.443
-11.743 28.435
-11.738 28.429
-11.73 28.415
-11.726 28.414
-11.72 28.417
-11.715 28.425
-11.713 28.429
-11.707 28.431
-11.7 28.435
-11.695 28.432
-11.687 28.422
-11.678 28.418
-11.673 28.418
-11.658 28.431
-11.646 28.431
-11.635 28.425
-11.622 28.407
-11.599 28.39
-11.585 28.381
-11.575 28.381
-11.556 28.385
-11.526 28.389
-11.516 28.395
-11.504 28.399
-11.475 28.394
-11.466 28.399
-11.457 28.412
-11.446 28.419
-11.433 28.419
-11.421 28.427
-11.413 28.429
-11.404 28.426
-11.393 28.424
-11.385 28.427
-11.382 28.43
-11.381 28.439
-11.379 28.449
-11.375 28.457
-11.371 28.458
-11.357 28.454
-11.346 28.457
-11.334 28.449
-11.325 28.448
-11.294 28.456
-11.29 28.463
-11.285 28.47
-11.278 28.473
-11.267 28.474
-11.259 28.479
-11.244 28.487
-11.236 28.486
-11.22 28.482
-11.206 28.485
-11.194 28.493
-11.182 28.497
-11.16 28.498
-11.15 28.496
-11.14 28.492
-11.13 28.485
-11.116 28.479
-11.105 28.476
-11.097 28.481
-11.086 28.491
-11.081 28.493
-11.068 28.493
-11.054 28.495
-11.045 28.501
-11.031 28.508
-11.018 28.51
-11.005 28.51
-10.989 28.507
-10.975 28.508
-10.965 28.513
-10.961 28.516
-10.951 28.533
-10.943 28.538
-10.933 28.54
-10.867 28.545
-10.852 28.547
-10.832 28.554
-10.821 28.561
-10.807 28.577
-10.792 28.582
-10.775 28.598
-10.768 28.604
-10.758 28.608
-10.737 28.606
-10.726 28.61
-10.719 28.618
-10.715 28.63
-10.716 28.642
-10.719 28.654
-10.719 28.662
-10.717 28.665
-10.711 28.668
-10.695 28.668
-10.687 28.673
-10.686 28.677
-10.68 28.689
-10.675 28.693
-10.663 28.697
-10.647 28.693
-10.638 28.687
-10.631 28.677
-10.623 28.668
-10.619 28.666
-10.61 28.664
-10.595 28.665
-10.567 28.673
-10.561 28.671
-10.55 28.664
-10.536 28.643
-10.529 28.637
-10.518 28.634
-10.513 28.634
-10.49 28.639
-10.48 28.637
-10.472 28.636
-10.45 28.643
-10.437 28.643
-10.42 28.638
-10.398 28.626
-10.391 28.624
-10.376 28.622
-10.357 28.624
-10.338 28.631
-10.314 28.637
-10.306 28.636
-10.296 28.63
-10.285 28.614
-10.277 28.61
-10.257 28.598
-10.248 28.589
-10.238 28.58
-10.231 28.577
-10.224 28.578
-10.212 28.582
-10.202 28.59
-10.195 28.599
-10.183 28.607
-10.171 28.609
-10.163 28.618
-10.157 28.622
-10.129 28.622
-10.094 28.626
-10.073 28.624
-10.05 28.632
-10.038 28.629
-10.022 28.636
-10.015 28.634
-10 28.63
-9.999 28.63
-9.99 28.633
-9.97 28.627
-9.957 28.625
-9.914 28.643
-9.909 28.646
-9.897 28.654
-9.889 28.657
-9.875 28.657
-9.864 28.66
-9.849 28.669
-9.841 28.671
-9.821 28.671
-9.816 28.674
-9.814 28.694
-9.806 28.697
-9.8 28.696
-9.789 28.687
-9.778 28.674
-9.772 28.671
-9.76 28.671
-9.756 28.668
-9.752 28.643
-9.747 28.634
-9.73 28.624
-9.721 28.623
-9.706 28.629
-9.692 28.627
-9.667 28.629
-9.655 28.627
-9.634 28.613
-9.626 28.611
-9.611 28.617
-9.602 28.615
-9.587 28.602
-9.58 28.586
-9.573 28.596
-9.573 28.609
-9.568 28.62
-9.56 28.623
-9.555 28.623
-9.553 28.617
-9.556 28.608
-9.564 28.593
-9.564 28.586
-9.557 28.577
-9.547 28.574
-9.5 28.572
-9.491 28.57
-9.484 28.565
-9.481 28.559
-9.478 28.542
-9.477 28.539
-9.473 28.536
-9.464 28.535
-9.456 28.53
-9.451 28.521
-9.444 28.516
-9.434 28.515
-9.41 28.522
-9.396 28.531
-9.383 28.534
-9.381 28.534
-9.373 28.532
-9.361 28.527
-9.357 28.523
-9.354 28.507
-9.361 28.497
-9.389 28.479
-9.403 28.464
-9.417 28.437
-9.42 28.426
-9.42 28.417
-9.414 28.398
-9.407 28.388
-9.406 28.385
-9.405 28.385
-9.393 28.373
-9.388 28.368
-9.376 28.361
-9.363 28.358
-9.334 28.36
-9.308 28.364
-9.295 28.368
-9.277 28.377
-9.245 28.394
-9.222 28.418
-9.199 28.446
-9.171 28.483
-9.157 28.505
-9.135 28.54
-9.118 28.569
-9.11 28.583
-9.087 28.617
-9.072 28.647
-9.061 28.663
-9.034 28.696
-9 28.73
-8.984 28.748
-8.967 28.761
-8.953 28.771
-8.899 28.816
-8.86 28.847
-8.846 28.858
-8.845 28.86
-8.841 28.86
-8.795 28.897
-8.784 28.901
-8.764 28.913
-8.745 28.928
-8.719 28.943
-8.694 28.953
-8.65 28.963
-8.636 28.964
-8.622 28.963
-8.601 28.959
-8.569 28.948
-8.522 28.925
-8.496 28.907
-8.481 28.899
-8.477 28.901
-8.476 28.901
-8.475 28.902
-8.472 28.909
-8.47 28.927
-8.459 29.002
-8.454 29.036
-8.45 29.069
-8.449 29.078
-8.437 29.156
-8.43 29.206
-8.424 29.255
-8.416 29.307
-8.411 29.346
-8.405 29.381
-8.403 29.399
-8.396 29.447
-8.394 29.464
-8.39 29.488
-8.387 29.515
-8.384 29.535
-8.377 29.588
-8.372 29.619
-8.367 29.656
-8.363 29.68
-8.355 29.739
-8.351 29.774
-8.347 29.8
-8.346 29.817
-8.344 29.832
-8.341 29.861
-8.331 29.912
-8.33 29.927
-8.328 29.937
-8.322 29.97
-8.317 29.992
-8.316 30
-8.312 30.123
-8.31 30.135
-8.308 30.143
-8.3 30.214
-8.294 30.253
-8.294 30.261
-8.294 30.263
-8.291 30.283
-8.291 30.293
-8.29 30.293
-8.282 30.352
-8.281 30.366
-8.278 30.386
-8.272 30.428
-8.268 30.44
-8.269 30.447
-8.261 30.511
-8.258 30.533
-8.257 30.537
-8.252 30.554
-8.254 30.58
-8.249 30.597
-8.245 30.636
-8.241 30.667
-8.233 30.713
-8.227 30.761
-8.226 30.769
-8.224 30.774
-8.26 30.789
-8.311 30.807
-8.333 30.823
-8.409 30.878
-8.418 30.887
-8.434 30.899
-8.451 30.911
-8.474 30.932
-8.498 30.95
-8.506 30.953
-8.53 30.974
-8.534 30.976
-8.538 30.978
-8.577 31.011
-8.592 31.028
-8.606 31.05
-8.608 31.059
-8.615 31.069
-8.622 31.078
-8.63 31.1
-8.633 31.136
-8.631 31.15
-8.626 31.16
-8.61 31.18
-8.607 31.183
-8.606 31.184
-8.597 31.188
-8.594 31.193
-8.588 31.21
-8.587 31.211
-8.59 31.227
-8.598 31.237
-8.599 31.248
-8.601 31.253
-8.605 31.257
-8.614 31.259
-8.619 31.264
-8.624 31.266
-8.632 31.275
-8.631 31.281
-8.63 31.294
-8.613 31.31
-8.609 31.32
-8.612 31.324
-8.618 31.328
-8.612 31.335
-8.616 31.347
-8.616 31.35
-8.608 31.357
-8.608 31.361
-8.607 31.363
-8.6 31.364
-8.593 31.362
-8.589 31.364
-8.588 31.372
-8.587 31.375
-8.599 31.378
-8.605 31.386
-8.622 31.392
-8.631 31.398
-8.633 31.405
-8.638 31.413
-8.64 31.44
-8.638 31.452
-8.64 31.459
-8.647 31.465
-8.655 31.474
-8.663 31.475
-8.684 31.49
-8.685 31.497
-8.683 31.504
-8.681 31.527
-8.684 31.536
-8.688 31.542
-8.69 31.552
-8.702 31.563
-8.71 31.57
-8.746 31.582
-8.761 31.583
-8.787 31.579
-8.809 31.57
-8.82 31.575
-8.824 31.576
-8.839 31.585
-8.846 31.598
-8.847 31.6
-8.858 31.61
-8.868 31.629
-8.88 31.659
-8.897 31.669
-8.905 31.674
-8.911 31.68
-8.912 31.692
-8.916 31.7
-8.917 31.709
-8.915 31.725
-8.916 31.729
-8.923 31.735
-8.92 31.738
-8.919 31.739
-8.915 31.749
-8.903 31.757
-8.895 31.766
-8.894 31.771
-8.891 31.78
-8.889 31.804
-8.89 31.822
-8.892 31.83
-8.893 31.83
-8.904 31.868
-8.913 31.893
-8.913 31.894
-8.937 31.947
-8.942 31.947
-8.959 31.938
-8.983 31.931
-9.001 31.937
-9.006 31.939
-9.012 31.939
-9.018 31.937
-9.028 31.945
-9.037 31.954
-9.053 31.961
-9.06 31.97
-9.065 31.973
-9.071 31.984
-9.076 31.996
-9.072 32.009
-9.068 32.015
-9.066 32.015
-9.062 32.016
-9.057 32.032
-9.051 32.061
-9.051 32.091
-9.056 32.109
-9.061 32.122
-9.063 32.136
-9.064 32.147
-9.062 32.161
-9.075 32.171
-9.08 32.179
-9.103 32.207
-9.112 32.226
-9.123 32.241
-9.125 32.243
-9.125 32.247
-9.131 32.258
-9.134 32.267
-9.132 32.274
-9.13 32.309
-9.132 32.326
-9.13 32.362
-9.129 32.365
-9.126 32.373
-9.125 32.387
-9.121 32.402
-9.122 32.409
-9.121 32.412
-9.118 32.431
-9.132 32.448
-9.134 32.461
-9.141 32.476
-9.145 32.482
-9.153 32.494
-9.172 32.487
-9.191 32.499
-9.24 32.535
-9.248 32.539
-9.255 32.541
-9.254 32.551
-9.246 32.574
-9.246 32.584
-9.249 32.596
-9.258 32.619
-9.272 32.647
-9.274 32.654
-9.275 32.662
-9.273 32.709
-9.274 32.721
-9.28 32.736
-9.281 32.746
-9.285 32.752
-9.296 32.761
-9.307 32.766
-9.312 32.768
-9.318 32.768
-9.319 32.776
-9.318 32.784
-9.322 32.79
-9.328 32.8
-9.343 32.81
-9.354 32.828
-9.364 32.849
-9.372 32.861
-9.373 32.865
-9.374 32.867
-9.367 32.883
-9.366 32.892
-9.384 32.893
-9.389 32.896
-9.391 32.904
-9.379 32.911
-9.397 32.925
-9.4 32.932
-9.401 32.954
-9.404 32.953
-9.412 32.947
-9.426 32.944
-9.487 32.948
-9.491 32.954
-9.484 32.967
-9.483 32.97
-9.481 32.975
-9.484 32.982
-9.492 32.988
-9.495 32.994
-9.496 33.012
-9.501 33.022
-9.507 33.027
-9.525 33.029
-9.536 33.024
-9.558 33.011
-9.56 33.011
-9.575 33.012
-9.584 33.008
-9.589 33.008
-9.599 33.005
-9.612 33.003
-9.641 33.005
-9.65 33.028
-9.649 33.038
-9.642 33.044
-9.633 33.05
-9.633 33.058
-9.635 33.062
-9.649 33.07
-9.665 33.083
-9.679 33.086
-9.686 33.093
-9.687 33.099
-9.686 33.101
-9.678 33.103
-9.661 33.111
-9.655 33.111
-9.648 33.111
-9.646 33.119
-9.636 33.115
-9.632 33.109
-9.624 33.109
-9.61 33.113
-9.601 33.121
-9.602 33.125
-9.611 33.134
-9.61 33.141
-9.613 33.152
-9.614 33.157
-9.607 33.175
-9.605 33.181
-9.606 33.196
-9.62 33.213
-9.628 33.217
-9.642 33.219
-9.654 33.227
-9.685 33.224
-9.699 33.225
-9.717 33.226
-9.732 33.236
-9.754 33.263
-9.768 33.272
-9.8 33.28
-9.805 33.283
-9.807 33.284
-9.81 33.29
-9.809 33.301
-9.815 33.308
-9.822 33.329
-9.823 33.337
-9.827 33.346
-9.838 33.353
-9.849 33.358
-9.856 33.365
-9.861 33.368
-9.878 33.37
-9.883 33.371
-9.907 33.382
-9.916 33.379
-9.92 33.376
-9.926 33.366
-9.937 33.357
-9.943 33.349
-9.952 33.346
-9.971 33.345
-9.986 33.339
-9.997 33.334
-10 33.333
-10.045 33.319
-10.054 33.318
-10.065 33.319
-10.088 33.339
-10.091 33.349
-10.092 33.352
-10.094 33.354
-10.1 33.36
-10.103 33.365
-10.103 33.377
-10.106 33.386
-10.121 33.408
-10.126 33.42
-10.149 33.437
-10.164 33.451
-10.171 33.459
-10.174 33.479
-10.179 33.494
-10.188 33.503
-10.207 33.518
-10.213 33.529
-10.212 33.535
-10.224 33.557
-10.228 33.56
-10.237 33.563
-10.266 33.551
-10.279 33.551
-10.294 33.548
-10.301 33.541
-10.306 33.538
-10.318 33.539
-10.33 33.535
-10.339 33.542
-10.35 33.55
-10.372 33.548
-10.376 33.55
-10.382 33.556
-10.402 33.563
-10.406 33.563
-10.409 33.567
-10.429 33.577
-10.438 33.589
-10.442 33.599
-10.449 33.619
-10.47 33.63
-10.479 33.631
-10.493 33.621
-10.5 33.625
-10.498 33.634
-10.504 33.64
-10.52 33.647
-10.527 33.658
-10.53 33.669
-10.541 33.674
-10.546 33.674
-10.553 33.679
-10.57 33.679
-10.577 33.682
-10.578 33.687
-10.569 33.705
-10.575 33.706
-10.585 33.701
-10.598 33.687
-10.603 33.686
-10.606 33.685
-10.622 33.664
-10.626 33.651
-10.63 33.646
-10.642 33.639
-10.66 33.623
-10.661 33.616
-10.657 33.602
-10.661 33.597
-10.67 33.593
-10.672 33.592
-10.681 33.584
-10.704 33.57
-10.714 33.56
-10.733 33.55
-10.737 33.544
-10.734 33.538
-10.735 33.532
-10.74 33.532
-10.756 33.534
-10.766 33.531
-10.766 33.53
-10.768 33.526
-10.778 33.517
-10.779 33.51
-10.786 33.504
-10.791 33.496
-10.794 33.483
-10.801 33.473
-10.816 33.46
-10.821 33.453
-10.821 33.443
-10.815 33.423
-10.813 33.416
-10.811 33.403
-10.813 33.389
-10.824 33.376
-10.829 33.364
-10.829 33.335
-10.851 33.322
-10.858 33.32
-10.859 33.319
-10.87 33.311
-10.873 33.302
-10.876 33.286
-10.868 33.284
-10.866 33.279
-10.866 33.274
-10.869 33.266
-10.889 33.247
-10.894 33.246
-10.897 33.248
-10.907 33.251
-10.908 33.256
-10.904 33.261
-10.903 33.262
-10.906 33.271
-10.899 33.277
-10.901 33.281
-10.921 33.299
-10.93 33.304
-10.936 33.31
-10.943 33.313
-10.991 33.308
-11.01 33.311
-11.028 33.319
-11.037 33.318
-11.044 33.32
-11.053 33.329
-11.067 33.332
-11.073 33.338
-11.074 33.339
-11.085 33.348
-11.091 33.358
-11.1 33.366
-11.119 33.376
-11.129 33.372
-11.138 33.374
-11.145 33.379
-11.143 33.392
-11.148 33.403
-11.151 33.405
-11.161 33.406
-11.169 33.402
-11.175 33.401
-11.186 33.393
-11.203 33.392
-11.223 33.383
-11.231 33.382
-11.238 33.377
-11.253 33.36
-11.265 33.356
-11.271 33.353
-11.277 33.35
-11.287 33.348
-11.305 33.337
-11.316 33.326
-11.331 33.309
-11.332 33.309
-11.336 33.307
-11.343 33.309
-11.356 33.317
-11.361 33.318
-11.367 33.313
-11.369 33.303
-11.367 33.295
-11.369 33.289
-11.377 33.283
-11.384 33.284
-11.394 33.291
-11.396 33.292
-11.422 33.294
-11.432 33.289
-11.436 33.284
-11.436 33.278
-11.434 33.273
-11.417 33.253
-11.414 33.25
-11.407 33.249
-11.403 33.245
-11.401 33.24
-11.41 33.232
-11.415 33.231
-11.423 33.228
-11.43 33.227
-11.443 33.234
-11.45 33.242
-11.46 33.247
-11.47 33.248
-11.493 33.241
-11.503 33.251
-11.512 33.252
-11.529 33.249
-11.537 33.24
-11.539 33.236
-11.548 33.231
-11.554 33.225
-11.589 33.224
-11.587 33.24
-11.586 33.242
-11.578 33.26
-11.583 33.279
-11.576 33.285
-11.578 33.289
-11.583 33.292
-11.586 33.292
-11.591 33.307
-11.595 33.311
-11.611 33.316
-11.63 33.318
-11.636 33.317
-11.667 33.315
-11.71 33.317
-11.722 33.315
-11.758 33.324
-11.762 33.323
-11.767 33.323
-11.784 33.327
-11.789 33.331
-11.799 33.334
-11.808 33.334
-11.822 33.329
-11.842 33.315
-11.858 33.306
-11.865 33.305
-11.873 33.307
-11.877 33.311
-11.884 33.317
-11.897 33.323
-11.918 33.323
-11.934 33.319
-11.954 33.311
-11.97 33.31
-11.977 33.308
-11.986 33.31
-11.997 33.309
-12.001 33.309
-12.017 33.301
-12.027 33.293
-12.04 33.289
-12.042 33.288
-12.058 33.279
-12.085 33.27
-12.113 33.262
-12.118 33.261
-12.128 33.26
-12.142 33.261
-12.151 33.266
-12.152 33.267
-12.155 33.273
-12.16 33.288
-12.161 33.305
-12.166 33.309
-12.186 33.309
-12.206 33.312
-12.23 33.308
-12.238 33.308
-12.25 33.311
-12.256 33.318
-12.257 33.328
-12.266 33.331
-12.282 33.334
-12.29 33.339
-12.299 33.351
-12.307 33.357
-12.31 33.359
-12.319 33.363
-12.348 33.366
-12.349 33.37
-12.343 33.382
-12.34 33.395
-12.341 33.408
-12.341 33.423
-12.338 33.433
-12.327 33.448
-12.323 33.454
-12.323 33.476
-12.333 33.486
-12.334 33.502
-12.342 33.512
-12.342 33.515
-12.332 33.527
-12.332 33.532
-12.343 33.542
-12.358 33.548
-12.359 33.548
-12.369 33.546
-12.372 33.543
-12.387 33.522
-12.392 33.512
-12.397 33.506
-12.406 33.501
-12.409 33.497
-12.41 33.488
-12.413 33.483
-12.414 33.476
-12.418 33.473
-12.425 33.472
-12.443 33.477
-12.451 33.479
-12.454 33.477
-12.46 33.471
-12.46 33.459
-12.466 33.449
-12.47 33.448
-12.477 33.434
-12.502 33.416
-12.516 33.414
-12.521 33.41
-12.526 33.399
-12.527 33.395
-12.536 33.383
-12.549 33.37
-12.553 33.361
-12.552 33.355
-12.55 33.351
-12.545 33.339
-12.54 33.333
-12.536 33.331
-12.531 33.324
-12.526 33.315
-12.53 33.302
-12.534 33.295
-12.535 33.292
-12.537 33.281
-12.537 33.271
-12.542 33.262
-12.553 33.263
-12.583 33.238
-12.593 33.232
-12.598 33.223
-12.598 33.217
-12.604 33.207
-12.609 33.202
-12.611 33.199
-12.633 33.193
-12.638 33.189
-12.642 33.181
-12.642 33.176
-12.636 33.174
-12.617 33.179
-12.612 33.178
-12.601 33.169
-12.595 33.153
-12.597 33.137
-12.598 33.134
-12.599 33.129
-12.611 33.115
-12.612 33.107
-12.608 33.1
-12.596 33.091
-12.594 33.086
-12.598 33.083
-12.601 33.074
-12.609 33.066
-12.612 33.056
-12.627 33.04
-12.635 33.036
-12.652 33.026
-12.653 33.02
-12.658 33.015
-12.668 33.011
-12.695 33.008
-12.702 33.006
-12.723 32.991
-12.74 32.976
-12.741 32.975
-12.749 32.964
-12.756 32.96
-12.779 32.958
-12.834 32.956
-12.843 32.957
-12.847 32.961
-12.854 32.97
-12.854 32.971
-12.86 32.98
-12.88 33
-12.887 33.016
-12.894 33.02
-12.903 33.022
-12.911 33.026
-12.917 33.025
-12.936 33.017
-12.946 33.017
-12.953 33.015
-12.963 33.012
-12.98 33.011
-12.988 33.012
-12.998 33.007
-13.005 32.999
-13.023 32.992
-13.027 32.987
-13.034 32.988
-13.043 32.995
-13.055 32.996
-13.063 32.991
-13.066 32.989
-13.076 32.98
-13.098 32.98
-13.104 32.979
-13.11 32.974
-13.124 32.975
-13.157 32.981
-13.17 32.996
-13.178 33.001
-13.185 33.006
-13.199 33.011
-13.203 33.014
-13.211 33.017
-13.214 33.014
-13.221 33.001
-13.223 32.991
-13.228 32.982
-13.241 32.979
-13.246 32.974
-13.258 32.97
-13.26 32.968
-13.259 32.958
-13.26 32.955
-13.262 32.953
-13.273 32.945
-13.29 32.941
-13.295 32.938
-13.303 32.939
-13.32 32.932
-13.324 32.934
-13.353 32.923
-13.382 32.923
-13.384 32.923
-13.396 32.92
-13.408 32.915
-13.449 32.889
-13.456 32.883
-13.459 32.876
-13.456 32.861
-13.456 32.849
-13.458 32.845
-13.461 32.844
-13.463 32.843
-13.485 32.843
-13.496 32.844
-13.507 32.847
-13.515 32.845
-13.519 32.837
-13.532 32.822
-13.536 32.804
-13.541 32.798
-13.547 32.793
-13.551 32.783
-13.551 32.782
-13.55 32.766
-13.558 32.759
-13.574 32.752
-13.579 32.748
-13.578 32.736
-13.579 32.731
-13.575 32.724
-13.576 32.721
-13.565 32.706
-13.565 32.693
-13.567 32.69
-13.574 32.69
-13.576 32.684
-13.577 32.681
-13.596 32.684
-13.608 32.674
-13.613 32.675
-13.618 32.68
-13.621 32.69
-13.632 32.705
-13.633 32.717
-13.64 32.727
-13.64 32.736
-13.644 32.747
-13.645 32.751
-13.645 32.755
-13.637 32.76
-13.636 32.774
-13.64 32.787
-13.652 32.799
-13.669 32.8
-13.688 32.827
-13.704 32.839
-13.709 32.843
-13.714 32.844
-13.719 32.84
-13.724 32.83
-13.722 32.816
-13.728 32.806
-13.734 32.805
-13.747 32.794
-13.748 32.782
-13.766 32.777
-13.773 32.77
-13.776 32.774
-13.776 32.778
-13.775 32.784
-13.777 32.79
-13.786 32.797
-13.789 32.801
-13.796 32.805
-13.797 32.811
-13.78 32.815
-13.782 32.834
-13.793 32.848
-13.791 32.861
-13.797 32.861
-13.803 32.863
-13.802 32.867
-13.801 32.871
-13.813 32.889
-13.822 32.895
-13.839 32.897
-13.85 32.903
-13.862 32.916
-13.866 32.923
-13.868 32.929
-13.873 32.937
-13.891 32.947
-13.904 32.953
-13.913 32.947
-13.928 32.943
-13.935 32.947
-13.937 32.95
-13.934 32.962
-13.935 32.974
-13.939 32.987
-13.948 33
-13.956 33.003
-13.966 33.004
-13.968 33.002
-13.973 32.997
-13.982 32.992
-14 32.99
-14.014 32.992
-14.025 33.002
-14.028 33.012
-14.046 33.029
-14.05 33.038
-14.049 33.041
-14.037 33.051
-14.033 33.054
-14.025 33.063
-14.015 33.067
-13.99 33.069
-13.977 33.081
-13.96 33.104
-13.959 33.11
-13.961 33.126
-13.958 33.132
-13.937 33.143
-13.935 33.152
-13.951 33.179
-13.955 33.183
-13.967 33.189
-13.978 33.189
-13.992 33.197
-14.004 33.209
-14.015 33.176
-14.046 33.084
-14.053 33.07
-14.059 33.054
-14.098 32.948
-14.101 32.934
-14.102 32.933
-14.106 32.922
-14.107 32.914
-14.133 32.843
-14.143 32.811
-14.149 32.794
-14.162 32.759
-14.187 32.69
-14.187 32.689
-14.19 32.678
-14.199 32.655
-14.214 32.611
-14.232 32.568
-14.246 32.536
-14.248 32.527
-14.283 32.451
-14.283 32.45
-14.294 32.396
-14.3 32.358
-14.305 32.334
-14.305 32.323
-14.305 32.321
-14.308 32.315
-14.323 32.242
-14.336 32.205
-14.338 32.198
-14.342 32.183
-14.35 32.164
-14.349 32.159
-14.37 32.098
-14.38 32.076
-14.389 32.056
-14.392 32.032
-14.404 31.976
-14.412 31.951
-14.413 31.948
-14.419 31.932
-14.468 31.835
-14.473 31.826
-14.478 31.811
-14.492 31.751
-14.494 31.749
-14.494 31.737
-14.5 31.711
-14.506 31.683
-14.529 31.639
-14.55 31.606
-14.552 31.6
-14.554 31.595
-14.58 31.548
-14.589 31.535
-14.591 31.528
-14.612 31.491
-14.616 31.482
-14.62 31.472
-14.62 31.465
-14.627 31.427
-14.643 31.356
-14.65 31.325
-14.659 31.267
-14.669 31.229
-14.68 31.189
-14.685 31.183
-14.687 31.171
-14.708 31.107
-14.717 31.078
-14.716 31.071
-14.722 31.059
-14.723 31.048
-14.726 31.042
-14.729 31.029
-14.728 31.024
-14.739 30.983
-14.749 30.944
-14.77 30.857
-14.784 30.799
-14.808 30.739
-14.81 30.734
-14.833 30.669
-14.836 30.665
-14.847 30.628
-14.854 30.613
-14.857 30.608
-14.86 30.594
-14.865 30.586
-14.878 30.551
-14.888 30.517
-14.895 30.505
-14.901 30.492
-14.917 30.455
-14.921 30.451
-14.948 30.394
-14.955 30.376
-14.96 30.365
-14.964 30.347
-14.964 30.337
-14.97 30.322
-14.973 30.306
-14.976 30.299
-14.987 30.251
-14.989 30.242
-14.997 30.217
-15 30.218
-15.009 30.221
-15.019 30.228
-15.038 30.234
-15.044 30.233
-15.05 30.225
-15.059 30.222
-15.063 30.221
-15.074 30.224
-15.081 30.223
-15.09 30.221
-15.097 30.221
-15.113 30.233
-15.118 30.233
-15.137 30.229
-15.142 30.232
-15.146 30.238
-15.155 30.245
-15.167 30.248
-15.181 30.257
-15.194 30.26
-15.195 30.26
-15.207 30.256
-15.214 30.256
-15.225 30.266
-15.251 30.28
-15.279 30.318
-15.286 30.323
-15.291 30.326
-15.292 30.327
-15.306 30.34
-15.311 30.35
-15.317 30.357
-15.33 30.367
-15.334 30.371
-15.343 30.376
-15.367 30.38
-15.381 30.386
-15.396 30.384
-15.402 30.384
-15.421 30.382
-15.449 30.39
-15.473 30.401
-15.48 30.4
-15.489 30.394
-15.513 30.381
-15.527 30.373
-15.545 30.365
-15.553 30.366
-15.573 30.388
-15.576 30.39
-15.596 30.403
-15.607 30.408
-15.618 30.418
-15.623 30.413
-15.637 30.39
-15.647 30.366
-15.65 30.359
-15.65 30.344
-15.647 30.337
-15.645 30.318
-15.646 30.287
-15.639 30.273
-15.637 30.272
-15.627 30.265
-15.626 30.26
-15.636 30.249
-15.656 30.226
-15.662 30.216
-15.66 30.209
-15.656 30.205
-15.649 30.203
-15.631 30.185
-15.62 30.167
-15.619 30.147
-15.619 30.14
-15.62 30.125
-15.627 30.096
-15.627 30.06
-15.629 30.046
-15.634 30.031
-15.634 30.019
-15.636 30
-15.641 29.982
-15.643 29.967
-15.641 29.962
-15.623 29.935
-15.622 29.927
-15.623 29.909
-15.622 29.902
-15.62 29.896
-15.612 29.877
-15.612 29.861
-15.609 29.842
-15.609 29.821
-15.61 29.797
-15.615 29.776
-15.621 29.761
-15.629 29.747
-15.642 29.716
-15.644 29.698
-15.658 29.649
