segment Libya
32.212 23.371
32.202 23.385
32.196 23.398
32.181 23.427
32.179 23.434
32.18 23.455
32.184 23.467
32.179 23.473
32.178 23.48
32.18 23.501
32.176 23.51
32.177 23.517
32.181 23.527
32.182 23.535
32.182 23.538
32.18 23.544
32.184 23.555
32.178 23.569
32.178 23.577
32.18 23.589
32.18 23.612
32.181 23.647
32.187 23.658
32.188 23.669
32.184 23.683
32.181 23.717
32.172 23.767
32.169 23.78
32.165 23.786
32.16 23.793
32.151 23.831
32.139 23.841
32.14 23.841
32.141 23.847
32.131 23.862
32.128 23.873
32.124 23.929
32.121 23.934
32.118 23.935
32.113 23.933
32.11 23.934
32.116 23.943
32.117 23.949
32.112 23.966
32.099 24.006
32.093 24.017
32.09 24.019
32.082 24.013
32.077 24.015
32.075 24.012
32.075 24.007
32.08 23.996
32.081 23.976
32.077 23.973
32.074 23.974
32.07 23.979
32.066 23.991
32.066 23.993
32.059 24.021
32.055 24.03
32.032 24.06
32.026 24.073
32.022 24.086
32.021 24.104
32.016 24.122
32.016 24.123
32.01 24.16
32.009 24.182
32.003 24.2
32.003 24.207
32.01 24.232
32.01 24.258
32.012 24.267
32.013 24.271
32.013 24.277
32.01 24.281
32 24.29
31.994 24.289
31.994 24.321
31.992 24.33
31.993 24.334
32 24.344
32 24.358
32 24.359
31.993 24.361
31.992 24.367
31.998 24.377
31.998 24.381
31.993 24.385
31.994 24.392
31.996 24.408
31.995 24.412
31.991 24.415
31.993 24.421
31.987 24.425
31.988 24.427
31.995 24.428
31.992 24.439
31.995 24.445
31.996 24.45
31.99 24.46
31.992 24.505
31.991 24.511
31.987 24.518
31.987 24.52
31.986 24.524
31.981 24.53
31.981 24.547
31.982 24.552
31.988 24.562
31.993 24.589
31.996 24.599
32 24.61
32.005 24.612
32.011 24.628
32.019 24.643
32.027 24.668
32.025 24.678
32.028 24.696
32.027 24.726
32.027 24.736
32.022 24.767
32.02 24.773
32.013 24.782
32.008 24.802
32.007 24.805
32.005 24.81
32 24.812
31.993 24.821
31.992 24.832
31.987 24.843
31.986 24.864
31.985 24.867
31.982 24.873
31.979 24.876
31.978 24.881
31.979 24.895
31.975 24.904
31.973 24.918
31.973 24.928
31.975 24.932
31.974 24.936
31.969 24.942
31.969 24.948
31.973 24.954
31.968 24.962
31.967 24.983
31.962 24.991
31.959 25
31.959 25.002
31.95 25.01
31.935 25.033
31.926 25.04
31.919 25.041
31.878 25.032
31.857 25.031
31.848 25.032
31.84 25.036
31.811 25.061
31.799 25.062
31.795 25.065
31.789 25.075
31.783 25.076
31.773 25.084
31.765 25.093
31.76 25.094
31.752 25.091
31.75 25.092
31.748 25.093
31.748 25.097
31.751 25.108
31.749 25.111
31.738 25.114
31.731 25.121
31.727 25.122
31.721 25.126
31.706 25.126
31.697 25.133
31.689 25.134
31.666 25.148
31.656 25.151
31.651 25.149
31.649 25.148
31.656 25.142
31.667 25.143
31.667 25.132
31.644 25.118
31.632 25.102
31.62 25.09
31.61 25.084
31.596 25.079
31.583 25.076
31.557 25.071
31.542 25.063
31.539 25.057
31.503 25
31.48 24.964
31.461 24.941
31.459 24.939
31.406 24.861
31.396 24.859
31.372 24.861
31.369 24.862
31.343 24.867
31.324 24.881
31.304 24.887
31.262 24.888
31.247 24.886
31.193 24.879
31.167 24.878
31.134 24.883
31.123 24.889
31.091 24.904
31.066 24.919
31.006 24.942
30.999 24.945
30.965 24.951
30.937 24.963
30.913 24.981
30.888 24.989
30.882 24.99
30.862 24.99
30.833 25
30.778 25.018
30.765 25.016
30.73 25
30.713 24.992
30.69 24.989
30.644 24.979
30.599 24.955
30.577 24.949
30.561 24.95
30.545 24.948
30.529 24.942
30.481 24.927
30.448 24.89
30.428 24.875
30.422 24.872
30.395 24.858
30.369 24.834
30.331 24.783
30.326 24.782
30.288 24.77
30.265 24.76
30.226 24.735
30.211 24.726
30.182 24.709
30.149 24.698
30.105 24.744
30.096 24.753
30 24.786
29.986 24.79
29.919 24.813
29.886 24.82
29.864 24.819
29.815 24.817
29.789 24.819
29.742 24.843
29.715 24.857
29.631 24.896
29.625 24.897
29.623 24.898
29.609 24.895
29.587 24.875
29.548 24.858
29.534 24.86
29.51 24.871
29.481 24.883
29.46 24.9
29.431 24.91
29.396 24.929
29.346 24.957
29.279 24.984
29.268 24.989
29.25 24.999
29.2 25
29.165 25
29.082 25
29.03 25
29.018 25
28.998 25
28.915 25
28.832 25
28.778 25
28.748 25
28.665 25
28.582 25
28.499 25
28.415 25
28.332 25
28.273 25
28.249 25
28.165 25
28.147 25
28.082 25
27.999 25
27.916 25
27.894 25
27.832 25
27.749 25
27.666 25
27.642 25
27.582 25
27.516 25
27.499 25
27.455 25
27.416 25
27.39 25
27.332 25
27.249 25
27.166 25
27.082 25
26.999 25
26.974 25
26.916 25
26.833 25
26.749 25
26.666 25
26.583 25
26.499 25
26.416 25
26.333 25
26.25 25
26.166 25
26.083 25
26 25
25.916 25
25.833 25
25.75 25
25.666 25
25.583 25
25.5 25
25.416 25
25.371 25
25.333 25
25.25 25
25.167 25
25.119 25
25.083 25
25 25
24.915 25
24.831 25
24.748 25
24.7 25
24.665 25
24.614 25
24.581 25
24.498 25
24.473 25
24.362 25
24.248 25
24.165 25
24.11 25
24.082 25
23.998 25
23.915 25
23.895 25
23.832 25
23.769 25
23.748 25
23.665 25
23.643 25
23.582 25
23.536 25
23.517 25
23.499 25
23.415 25
23.391 25
23.332 25
23.265 25
23.249 25
23.165 25
23.139 25
23.082 25
23.013 25
22.999 25
22.916 25
22.887 25
22.832 25
22.749 25
22.666 25
22.635 25
22.582 25
22.499 25
22.416 25
22.382 25
22.332 25
22.249 25
22.166 25
22.13 25
22.082 25
21.999 25
21.964 25
21.916 25
21.833 25
21.749 25
21.711 25
21.666 25
21.583 25
21.499 25
21.459 25
21.416 25
21.333 25
21.25 25
21.222 25
21.206 25
21.185 25
21.166 25
21.083 25
21.017 25
21 25
20.954 25
20.916 25
20.897 25
20.894 25
20.88 25
20.833 25
20.75 25
20.702 25
20.666 25
20.645 25
20.612 25
20.583 25
20.5 25
20.45 25
20.416 25
20.333 25
20.25 25
20.223 25
20.197 25
20.167 25
20.083 25
20.032 25
20 25
20 24.998
20 24.915
20 24.831
20 24.748
20 24.665
20 24.581
20 24.498
20 24.415
20 24.332
20 24.248
20 24.165
20 24.082
20 24
19.9 24
19.8 24
19.7 24
19.6 24
19.508 24
19.538 23.935
19.599 23.819
19.62 23.778
19.633 23.757
19.658 23.705
19.66 23.702
19.667 23.691
19.721 23.586
19.722 23.586
19.74 23.547
19.782 23.468
19.798 23.439
19.813 23.406
19.816 23.403
19.843 23.352
19.863 23.313
19.866 23.303
19.877 23.286
19.881 23.277
19.903 23.235
19.946 23.152
19.947 23.146
19.954 23.133
19.958 23.127
19.963 23.117
19.977 23.091
19.993 23.057
19.996 23.055
20 23.047
20.024 23.001
20.084 22.883
20.126 22.803
20.132 22.795
20.145 22.766
20.169 22.722
20.199 22.661
20.207 22.649
20.207 22.648
20.218 22.623
20.237 22.59
20.238 22.584
20.251 22.56
20.269 22.525
20.271 22.518
20.296 22.476
20.296 22.472
20.31 22.449
20.312 22.444
20.314 22.439
20.358 22.353
20.366 22.342
20.372 22.326
20.375 22.318
20.384 22.305
20.385 22.301
20.419 22.237
20.422 22.228
20.433 22.209
20.438 22.2
20.44 22.194
20.456 22.168
20.457 22.161
20.492 22.092
20.494 22.088
20.511 22.058
20.514 22.051
20.554 21.975
20.563 21.959
20.572 21.939
20.584 21.919
20.585 21.914
20.587 21.908
20.599 21.89
20.603 21.878
20.614 21.858
20.628 21.83
20.633 21.825
20.642 21.802
20.654 21.783
20.659 21.767
20.668 21.754
20.673 21.741
20.674 21.74
20.705 21.681
20.715 21.659
20.717 21.652
20.726 21.639
20.734 21.623
20.768 21.554
20.77 21.549
20.793 21.505
20.794 21.499
20.807 21.48
20.855 21.381
20.865 21.361
20.915 21.263
20.934 21.221
20.939 21.216
20.974 21.145
20.996 21.102
21.007 21.082
21.013 21.069
21.034 21.026
21.087 20.922
21.093 20.907
21.139 20.813
21.152 20.788
21.21 20.669
21.268 20.555
21.302 20.486
21.374 20.351
21.545 20
22.111 18.84
22.15 18.761
22.168 18.726
22.184 18.687
22.194 18.671
22.208 18.641
22.233 18.586
22.266 18.521
22.27 18.513
22.271 18.507
22.311 18.423
22.323 18.402
22.323 18.4
22.324 18.395
22.379 18.279
22.396 18.244
22.407 18.226
22.408 18.219
22.437 18.159
22.457 18.117
22.469 18.088
