Scenario	Station	Time Step (sec)	Units	JB Distance (km)	Closest Distance (km)	Vs30	Lon	Lat
1	s0165	0.025	cm/s/s	8.7847	33.883	270	-118.208	33.8833
1	s0166	0.025	cm/s/s	6.9153	33.899	270	-118.1965	33.8986
1	s0167	0.025	cm/s/s	5.1542	33.914	270	-118.185	33.9138
1	s0168	0.025	cm/s/s	3.6528	33.929	270	-118.1736	33.9291
1	s0169	0.025	cm/s/s	2.7904	33.944	270	-118.1621	33.9443
1	s0170	0.025	cm/s/s	1.564	33.96	270	-118.1506	33.9596
1	s0171	0.025	cm/s/s	0	33.975	270	-118.1391	33.9748
1	s0172	0.025	cm/s/s	0	33.99	415	-118.1276	33.9901
1	s0173	0.025	cm/s/s	0	34.005	415	-118.1161	34.0054
1	s0174	0.025	cm/s/s	0	34.021	415	-118.1047	34.0206
1	s0175	0.025	cm/s/s	0	34.036	415	-118.0932	34.0359
1	s0176	0.025	cm/s/s	0	34.051	270	-118.0817	34.0511
1	s0177	0.025	cm/s/s	0	34.066	270	-118.0702	34.0664
1	s0178	0.025	cm/s/s	0	34.082	270	-118.0587	34.0816
1	s0179	0.025	cm/s/s	8.3543	33.874	270	-118.1896	33.8738
1	s0180	0.025	cm/s/s	6.361	33.889	270	-118.1781	33.8891
1	s0181	0.025	cm/s/s	4.3945	33.904	270	-118.1667	33.9043
1	s0182	0.025	cm/s/s	2.4525	33.92	270	-118.1552	33.9196
1	s0183	0.025	cm/s/s	0.8771	33.935	270	-118.1437	33.9348
1	s0184	0.025	cm/s/s	0.2894	33.95	270	-118.1322	33.9501
1	s0185	0.025	cm/s/s	0	33.965	270	-118.1207	33.9653
1	s0186	0.025	cm/s/s	0	33.981	270	-118.1092	33.9806
1	s0187	0.025	cm/s/s	0	33.996	270	-118.0978	33.9958
1	s0188	0.025	cm/s/s	0	34.011	270	-118.0863	34.0111
1	s0189	0.025	cm/s/s	0	34.026	270	-118.0748	34.0263
1	s0190	0.025	cm/s/s	0	34.042	270	-118.0633	34.0416
1	s0191	0.025	cm/s/s	0	34.057	270	-118.0518	34.0568
1	s0192	0.025	cm/s/s	0	34.072	270	-118.0403	34.0721
1	s0193	0.025	cm/s/s	8.3926	33.864	270	-118.1712	33.8643
1	s0194	0.025	cm/s/s	6.4265	33.88	270	-118.1598	33.8795
1	s0195	0.025	cm/s/s	4.4702	33.895	270	-118.1483	33.8948
1	s0196	0.025	cm/s/s	2.5599	33.91	270	-118.1368	33.91
1	s0197	0.025	cm/s/s	0.6418	33.925	270	-118.1253	33.9253
1	s0198	0.025	cm/s/s	0	33.94	270	-118.1138	33.9405
1	s0199	0.025	cm/s/s	0	33.956	270	-118.1023	33.9558
1	s0200	0.025	cm/s/s	0	33.971	270	-118.0909	33.971
1	s0201	0.025	cm/s/s	0	33.986	270	-118.0794	33.9863
1	s0202	0.025	cm/s/s	0	34.001	270	-118.0679	34.0015
1	s0203	0.025	cm/s/s	0	34.017	270	-118.0564	34.0168
1	s0204	0.025	cm/s/s	0	34.032	270	-118.0449	34.032
1	s0205	0.025	cm/s/s	0	34.047	270	-118.0334	34.0473
1	s0206	0.025	cm/s/s	8.8852	33.855	270	-118.1529	33.8547
1	s0207	0.025	cm/s/s	6.9664	33.87	270	-118.1414	33.87
1	s0208	0.025	cm/s/s	5.0588	33.885	270	-118.1299	33.8852
1	s0209	0.025	cm/s/s	3.1397	33.901	270	-118.1184	33.9005
1	s0210	0.025	cm/s/s	1.2218	33.916	270	-118.1069	33.9158
1	s0211	0.025	cm/s/s	0	33.931	270	-118.0955	33.931
1	s0212	0.025	cm/s/s	0	33.946	270	-118.084	33.9463
1	s0213	0.025	cm/s/s	0	33.961	270	-118.0725	33.9615
1	s0214	0.025	cm/s/s	0	33.977	270	-118.061	33.9768
1	s0215	0.025	cm/s/s	0	33.992	415	-118.0495	33.992
1	s0216	0.025	cm/s/s	0	34.007	415	-118.038	34.0073
1	s0217	0.025	cm/s/s	0	34.022	415	-118.0266	34.0225
1	s0218	0.025	cm/s/s	0	34.038	270	-118.0151	34.0378
1	s0219	0.025	cm/s/s	0	34.053	270	-118.0036	34.053
1	s0220	0.025	cm/s/s	9.4653	33.845	270	-118.1345	33.8452
1	s0221	0.025	cm/s/s	7.5471	33.861	270	-118.123	33.8605
1	s0222	0.025	cm/s/s	5.6389	33.876	270	-118.1115	33.8757
1	s0223	0.025	cm/s/s	3.7207	33.891	270	-118.1	33.891
1	s0224	0.025	cm/s/s	1.8157	33.906	270	-118.0886	33.9062
1	s0225	0.025	cm/s/s	0	33.922	270	-118.0771	33.9215
1	s0226	0.025	cm/s/s	0	33.937	415	-118.0656	33.9367
1	s0227	0.025	cm/s/s	0	33.952	415	-118.0541	33.952
1	s0228	0.025	cm/s/s	0	33.967	270	-118.0426	33.9672
1	s0229	0.025	cm/s/s	0	33.982	415	-118.0311	33.9825
1	s0230	0.025	cm/s/s	0	33.998	415	-118.0197	33.9977
1	s0231	0.025	cm/s/s	0	34.013	415	-118.0082	34.013
1	s0232	0.025	cm/s/s	0	34.028	415	-117.9967	34.0282
1	s0233	0.025	cm/s/s	0	34.043	270	-117.9852	34.0435
1	s0234	0.025	cm/s/s	8.1378	33.851	270	-118.1046	33.8509
1	s0235	0.025	cm/s/s	6.2198	33.866	270	-118.0931	33.8662
1	s0236	0.025	cm/s/s	4.3149	33.881	270	-118.0817	33.8814
1	s0237	0.025	cm/s/s	2.3958	33.897	270	-118.0702	33.8967
1	s0238	0.025	cm/s/s	0.4885	33.912	270	-118.0587	33.9119
1	s0239	0.025	cm/s/s	0	33.927	415	-118.0472	33.9272
1	s0240	0.025	cm/s/s	0	33.942	270	-118.0357	33.9424
1	s0241	0.025	cm/s/s	0	33.958	270	-118.0242	33.9577
1	s0242	0.025	cm/s/s	0	33.973	415	-118.0128	33.9729
1	s0243	0.025	cm/s/s	0	33.988	415	-118.0013	33.9882
1	s0244	0.025	cm/s/s	0	34.004	415	-117.9898	34.0035
1	s0245	0.025	cm/s/s	0	34.019	270	-117.9783	34.0187
1	s0246	0.025	cm/s/s	0	34.034	270	-117.9668	34.034
1	s0247	0.025	cm/s/s	8.7213	33.841	270	-118.0863	33.8414
1	s0248	0.025	cm/s/s	6.8022	33.857	270	-118.0748	33.8567
1	s0249	0.025	cm/s/s	4.8949	33.872	270	-118.0633	33.8719
1	s0250	0.025	cm/s/s	2.9768	33.887	270	-118.0518	33.8872
1	s0251	0.025	cm/s/s	1.0683	33.902	270	-118.0403	33.9024
1	s0252	0.025	cm/s/s	0	33.918	415	-118.0288	33.9177
1	s0253	0.025	cm/s/s	0	33.933	415	-118.0173	33.9329
1	s0254	0.025	cm/s/s	0	33.948	270	-118.0059	33.9482
1	s0255	0.025	cm/s/s	0	33.963	415	-117.9944	33.9634
1	s0256	0.025	cm/s/s	0	33.979	415	-117.9829	33.9787
1	s0257	0.025	cm/s/s	0	33.994	270	-117.9714	33.9939
1	s0258	0.025	cm/s/s	0	34.009	270	-117.9599	34.0092
1	s0259	0.025	cm/s/s	0	34.024	270	-117.9484	34.0244
1	s0260	0.025	cm/s/s	9.3014	33.832	270	-118.0679	33.8319
1	s0261	0.025	cm/s/s	7.3938	33.847	270	-118.0564	33.8471
1	s0262	0.025	cm/s/s	5.4747	33.862	270	-118.0449	33.8624
1	s0263	0.025	cm/s/s	3.5674	33.878	270	-118.0334	33.8776
1	s0264	0.025	cm/s/s	1.6492	33.893	415	-118.0219	33.8929
1	s0265	0.025	cm/s/s	0	33.908	415	-118.0105	33.9081
1	s0266	0.025	cm/s/s	0	33.923	415	-117.999	33.9234
1	s0267	0.025	cm/s/s	0	33.939	415	-117.9875	33.9386
1	s0268	0.025	cm/s/s	0	33.954	415	-117.976	33.9539
1	s0269	0.025	cm/s/s	0	33.969	415	-117.9645	33.9691
1	s0270	0.025	cm/s/s	0	33.984	415	-117.953	33.9844
1	s0271	0.025	cm/s/s	0	34	270	-117.9416	33.9996
1	s0272	0.025	cm/s/s	0	34.015	270	-117.9301	34.0149
1	s0273	0.025	cm/s/s	0	34.03	270	-117.9186	34.0302
1	s0274	0.025	cm/s/s	7.9738	33.838	270	-118.038	33.8376
1	s0275	0.025	cm/s/s	6.0663	33.853	270	-118.0265	33.8528
1	s0276	0.025	cm/s/s	4.1484	33.868	270	-118.015	33.8681
1	s0277	0.025	cm/s/s	2.2319	33.883	415	-118.0036	33.8834
1	s0278	0.025	cm/s/s	0.3246	33.899	415	-117.9921	33.8986
1	s0279	0.025	cm/s/s	0	33.914	415	-117.9806	33.9139
1	s0280	0.025	cm/s/s	0	33.929	415	-117.9691	33.9291
1	s0281	0.025	cm/s/s	0	33.944	415	-117.9576	33.9444
1	s0282	0.025	cm/s/s	0	33.96	415	-117.9461	33.9596
1	s0283	0.025	cm/s/s	0	33.975	415	-117.9347	33.9749
1	s0284	0.025	cm/s/s	0	33.99	270	-117.9232	33.9901
1	s0285	0.025	cm/s/s	0	34.005	270	-117.9117	34.0054
1	s0286	0.025	cm/s/s	0	34.021	415	-117.9002	34.0206
1	s0287	0.025	cm/s/s	8.5548	33.828	270	-118.0196	33.8281
1	s0288	0.025	cm/s/s	6.6476	33.843	270	-118.0081	33.8433
1	s0289	0.025	cm/s/s	4.7308	33.859	270	-117.9967	33.8586
1	s0290	0.025	cm/s/s	2.8235	33.874	270	-117.9852	33.8738
1	s0291	0.025	cm/s/s	0.9043	33.889	415	-117.9737	33.8891
1	s0292	0.025	cm/s/s	0	33.904	415	-117.9622	33.9043
1	s0293	0.025	cm/s/s	0	33.92	415	-117.9507	33.9196
1	s0294	0.025	cm/s/s	0	33.935	415	-117.9392	33.9348
1	s0295	0.025	cm/s/s	0	33.95	415	-117.9278	33.9501
1	s0296	0.025	cm/s/s	0	33.965	415	-117.9163	33.9653
1	s0297	0.025	cm/s/s	0	33.981	270	-117.9048	33.9806
1	s0298	0.025	cm/s/s	0	33.996	270	-117.8933	33.9958
1	s0299	0.025	cm/s/s	0	34.011	270	-117.8818	34.0111
1	s0300	0.025	cm/s/s	9.1478	33.819	270	-118.0013	33.8185
1	s0301	0.025	cm/s/s	7.2299	33.834	270	-117.9898	33.8338
1	s0302	0.025	cm/s/s	5.3224	33.849	270	-117.9783	33.849
1	s0303	0.025	cm/s/s	3.4032	33.864	270	-117.9668	33.8643
1	s0304	0.025	cm/s/s	1.496	33.88	415	-117.9553	33.8795
1	s0305	0.025	cm/s/s	0	33.895	415	-117.9438	33.8948
1	s0306	0.025	cm/s/s	0	33.91	415	-117.9324	33.91
1	s0307	0.025	cm/s/s	0	33.925	415	-117.9209	33.9253
1	s0308	0.025	cm/s/s	0	33.941	415	-117.9094	33.9406
1	s0309	0.025	cm/s/s	0	33.956	415	-117.8979	33.9558
1	s0310	0.025	cm/s/s	0	33.971	415	-117.8864	33.9711
1	s0311	0.025	cm/s/s	0	33.986	415	-117.8749	33.9863
1	s0312	0.025	cm/s/s	0	34.002	270	-117.8634	34.0016
1	s0313	0.025	cm/s/s	0	34.017	270	-117.852	34.0168
1	s0314	0.025	cm/s/s	7.8097	33.824	270	-117.9714	33.8243
1	s0315	0.025	cm/s/s	5.9024	33.84	270	-117.9599	33.8395
1	s0316	0.025	cm/s/s	3.9845	33.855	270	-117.9484	33.8548
1	s0317	0.025	cm/s/s	2.076	33.87	270	-117.9369	33.87
1	s0318	0.025	cm/s/s	0.1604	33.885	270	-117.9255	33.8853
1	s0319	0.025	cm/s/s	0	33.901	415	-117.914	33.9005
1	s0320	0.025	cm/s/s	0	33.916	415	-117.9025	33.9158
1	s0321	0.025	cm/s/s	0	33.931	415	-117.891	33.931
1	s0322	0.025	cm/s/s	0	33.946	415	-117.8795	33.9463
1	s0323	0.025	cm/s/s	0	33.961	415	-117.868	33.9615
1	s0324	0.025	cm/s/s	0	33.977	415	-117.8566	33.9768
1	s0325	0.025	cm/s/s	0	33.992	415	-117.8451	33.992
1	s0326	0.025	cm/s/s	0	34.007	415	-117.8336	34.0073
1	s0327	0.025	cm/s/s	8.4016	33.815	270	-117.953	33.8147
1	s0328	0.025	cm/s/s	6.4824	33.83	270	-117.9415	33.83
1	s0329	0.025	cm/s/s	4.5751	33.845	270	-117.93	33.8452
1	s0330	0.025	cm/s/s	2.6596	33.861	270	-117.9186	33.8605
1	s0331	0.025	cm/s/s	0.7511	33.876	270	-117.9071	33.8757
1	s0332	0.025	cm/s/s	0	33.891	415	-117.8956	33.891
1	s0333	0.025	cm/s/s	0	33.906	415	-117.8841	33.9062
1	s0334	0.025	cm/s/s	0	33.922	415	-117.8726	33.9215
1	s0335	0.025	cm/s/s	0	33.937	415	-117.8611	33.9367
1	s0336	0.025	cm/s/s	0	33.952	415	-117.8497	33.952
1	s0337	0.025	cm/s/s	0.4567	33.967	415	-117.8382	33.9672
1	s0338	0.025	cm/s/s	1.0432	33.982	415	-117.8267	33.9825
1	s0339	0.025	cm/s/s	1.6316	33.998	415	-117.8152	33.9977
1	s0340	0.025	cm/s/s	8.9825	33.805	270	-117.9346	33.8052
1	s0341	0.025	cm/s/s	7.0766	33.82	270	-117.9232	33.8204
1	s0342	0.025	cm/s/s	5.1585	33.836	270	-117.9117	33.8357
1	s0343	0.025	cm/s/s	3.25	33.851	270	-117.9002	33.8509
1	s0344	0.025	cm/s/s	1.332	33.866	270	-117.8887	33.8662
1	s0345	0.025	cm/s/s	0	33.882	270	-117.8772	33.8815
1	s0346	0.025	cm/s/s	0.0314	33.897	270	-117.8657	33.8967
1	s0347	0.025	cm/s/s	0.617	33.912	415	-117.8542	33.912
1	s0348	0.025	cm/s/s	1.1974	33.927	415	-117.8428	33.9272
1	s0349	0.025	cm/s/s	1.7839	33.943	415	-117.8313	33.9425
1	s0350	0.025	cm/s/s	2.3723	33.958	415	-117.8198	33.9577
1	s0351	0.025	cm/s/s	2.9586	33.973	415	-117.8083	33.973
1	s0352	0.025	cm/s/s	3.547	33.988	415	-117.7968	33.9882
1	s0353	0.025	cm/s/s	7.6564	33.811	270	-117.9048	33.8109
1	s0354	0.025	cm/s/s	5.7385	33.826	270	-117.8933	33.8262
1	s0355	0.025	cm/s/s	3.8355	33.841	270	-117.8818	33.8414
1	s0356	0.025	cm/s/s	2.0621	33.857	270	-117.8703	33.8567
1	s0357	0.025	cm/s/s	1.3605	33.872	270	-117.8588	33.8719
1	s0358	0.025	cm/s/s	1.9384	33.887	415	-117.8474	33.8872
1	s0359	0.025	cm/s/s	2.5265	33.902	415	-117.8359	33.9024
1	s0360	0.025	cm/s/s	3.113	33.918	415	-117.8244	33.9177
1	s0361	0.025	cm/s/s	3.7024	33.933	415	-117.8129	33.9329
1	s0362	0.025	cm/s/s	4.2877	33.948	415	-117.8014	33.9482
1	s0363	0.025	cm/s/s	4.8761	33.963	415	-117.7899	33.9634
1	s0364	0.025	cm/s/s	8.2894	33.801	270	-117.8864	33.8014
1	s0365	0.025	cm/s/s	6.5091	33.817	270	-117.8749	33.8166
1	s0366	0.025	cm/s/s	4.8861	33.832	270	-117.8634	33.8319
1	s0367	0.025	cm/s/s	3.6753	33.847	270	-117.8519	33.8471
1	s0368	0.025	cm/s/s	3.3196	33.862	270	-117.8405	33.8624
1	s0369	0.025	cm/s/s	3.8566	33.878	415	-117.829	33.8776
1	s0370	0.025	cm/s/s	4.4431	33.893	415	-117.8175	33.8929
1	s0371	0.025	cm/s/s	5.0313	33.908	415	-117.806	33.9081
