segment Switzerland
46.108 8.691
46.114 8.685
46.115 8.684
46.119 8.658
46.128 8.647
46.128 8.631
46.13 8.616
46.139 8.61
46.147 8.6
46.153 8.594
46.16 8.588
46.167 8.587
46.177 8.573
46.189 8.564
46.215 8.54
46.222 8.531
46.227 8.518
46.228 8.518
46.236 8.488
46.244 8.474
46.257 8.454
46.259 8.452
46.274 8.455
46.298 8.434
46.305 8.434
46.305 8.435
46.322 8.443
46.328 8.452
46.336 8.459
46.351 8.46
46.361 8.466
46.372 8.467
46.375 8.464
46.386 8.459
46.406 8.467
46.409 8.467
46.422 8.461
46.438 8.464
46.448 8.461
46.461 8.449
46.464 8.443
46.464 8.421
46.462 8.406
46.457 8.393
46.449 8.362
46.447 8.356
46.444 8.348
46.433 8.327
46.428 8.303
46.42 8.293
46.414 8.29
46.409 8.292
46.405 8.303
46.402 8.316
46.392 8.32
46.38 8.311
46.374 8.295
46.365 8.267
46.351 8.252
46.345 8.233
46.323 8.219
46.308 8.199
46.304 8.187
46.304 8.161
46.309 8.144
46.308 8.134
46.301 8.123
46.282 8.105
46.274 8.095
46.267 8.086
46.264 8.087
46.252 8.113
46.237 8.133
46.231 8.138
46.206 8.149
46.192 8.164
46.187 8.163
46.169 8.15
46.153 8.153
46.149 8.149
46.143 8.129
46.136 8.12
46.121 8.111
46.117 8.101
46.117 8.071
46.108 8.046
46.094 8.03
46.084 8.024
46.074 8.024
46.057 8.032
46.05 8.029
46.038 8.013
46.028 8.008
46.011 7.995
46.004 7.986
46.005 7.95
46.004 7.906
45.999 7.894
45.979 7.873
45.979 7.874
45.968 7.87
45.963 7.866
45.946 7.867
45.942 7.867
45.935 7.859
45.933 7.847
45.936 7.818
45.935 7.81
45.929 7.801
45.93 7.794
45.948 7.765
45.95 7.757
45.949 7.745
45.947 7.745
45.939 7.73
45.938 7.723
45.938 7.713
45.941 7.709
45.947 7.704
45.961 7.702
45.965 7.682
45.97 7.673
45.976 7.671
45.981 7.664
45.986 7.649
45.98 7.617
45.98 7.599
45.983 7.586
45.987 7.578
45.995 7.571
46 7.564
45.998 7.546
45.985 7.539
45.978 7.538
45.971 7.53
45.971 7.529
45.971 7.522
45.973 7.509
45.973 7.502
45.964 7.49
45.963 7.473
45.958 7.471
45.949 7.472
45.945 7.468
45.939 7.442
45.92 7.416
45.919 7.41
45.919 7.396
45.917 7.388
45.908 7.382
45.918 7.355
45.922 7.347
45.922 7.339
45.92 7.324
45.927 7.301
45.926 7.293
45.923 7.285
45.907 7.272
45.898 7.254
45.899 7.241
45.898 7.221
45.895 7.212
45.887 7.201
45.88 7.202
45.875 7.204
45.869 7.203
45.867 7.197
45.869 7.185
45.887 7.156
45.886 7.145
45.881 7.134
45.866 7.117
45.867 7.103
45.871 7.099
45.883 7.096
45.892 7.083
45.892 7.084
45.904 7.078
45.93 7.048
45.93 7.049
45.936 7.043
45.937 7.036
45.943 7.037
45.954 7.042
45.963 7.039
45.966 7.031
45.968 7.013
45.972 7.005
45.976 7.004
45.987 7.017
46.011 7.001
46.021 6.984
46.031 6.978
46.045 6.961
46.059 6.953
46.064 6.942
46.069 6.934
46.082 6.926
46.081 6.919
46.06 6.894
46.059 6.885
46.061 6.875
46.069 6.872
46.079 6.873
46.097 6.888
46.105 6.885
46.114 6.889
46.124 6.892
46.13 6.892
46.134 6.886
46.139 6.854
46.141 6.841
46.139 6.801
46.147 6.782
46.151 6.777
46.162 6.776
46.173 6.783
46.184 6.8
46.19 6.804
46.21 6.8
46.223 6.802
46.231 6.809
46.245 6.816
46.253 6.83
46.269 6.844
46.294 6.851
46.301 6.846
46.308 6.825
46.318 6.819
46.319 6.813
46.326 6.804
46.328 6.796
46.333 6.789
46.341 6.787
46.346 6.775
46.356 6.762
46.362 6.761
46.365 6.764
46.373 6.783
46.38 6.793
46.388 6.792
46.397 6.792
46.406 6.798
46.417 6.806
46.425 6.808
46.431 6.806
46.44 6.775
46.442 6.759
46.451 6.717
46.454 6.696
46.455 6.696
46.46 6.669
46.46 6.626
46.458 6.581
46.462 6.517
46.461 6.5
46.454 6.487
46.444 6.47
46.434 6.45
46.422 6.422
46.417 6.391
46.417 6.387
46.41 6.348
46.408 6.326
46.397 6.301
46.387 6.289
46.367 6.253
46.361 6.244
46.318 6.208
46.313 6.209
46.311 6.221
46.301 6.232
46.291 6.234
46.291 6.232
46.28 6.224
46.261 6.249
46.259 6.259
46.264 6.272
46.27 6.284
46.264 6.29
46.263 6.294
46.253 6.296
46.243 6.29
46.236 6.285
46.229 6.274
46.225 6.263
46.213 6.22
46.194 6.194
46.175 6.173
46.165 6.139
46.155 6.122
