segment Bulgaria
43.825 23.549
43.817 23.57
43.808 23.592
43.802 23.61
43.8 23.623
43.801 23.637
43.805 23.657
43.811 23.68
43.812 23.69
43.814 23.704
43.815 23.719
43.813 23.745
43.811 23.756
43.808 23.763
43.804 23.768
43.795 23.779
43.789 23.8
43.787 23.812
43.786 23.827
43.78 23.839
43.771 23.859
43.762 23.886
43.759 23.895
43.759 23.904
43.756 23.913
43.755 23.924
43.753 23.94
43.754 23.974
43.751 23.983
43.752 23.99
43.743 24.015
43.735 24.029
43.731 24.04
43.729 24.047
43.727 24.055
43.722 24.068
43.721 24.076
43.717 24.087
43.713 24.093
43.706 24.117
43.706 24.123
43.705 24.13
43.701 24.149
43.695 24.158
43.692 24.167
43.69 24.18
43.69 24.19
43.69 24.209
43.693 24.219
43.693 24.229
43.695 24.249
43.701 24.278
43.702 24.285
43.703 24.295
43.704 24.302
43.705 24.319
43.703 24.331
43.702 24.345
43.707 24.364
43.718 24.389
43.721 24.399
43.723 24.406
43.725 24.414
43.739 24.435
43.745 24.447
43.751 24.459
43.759 24.477
43.762 24.489
43.765 24.498
43.768 24.511
43.77 24.53
43.769 24.536
43.767 24.546
43.768 24.552
43.766 24.56
43.763 24.581
43.759 24.602
43.755 24.616
43.75 24.632
43.74 24.651
43.73 24.669
43.723 24.688
43.722 24.698
43.719 24.711
43.717 24.732
43.717 24.737
43.716 24.747
43.717 24.755
43.72 24.77
43.721 24.782
43.72 24.788
43.72 24.792
43.721 24.808
43.722 24.82
43.723 24.832
43.718 24.852
43.716 24.859
43.715 24.876
43.718 24.891
43.719 24.906
43.725 24.924
43.729 24.941
43.733 24.952
43.737 24.976
43.738 24.985
43.738 24.994
43.736 25
43.732 25.012
43.719 25.033
43.71 25.047
43.702 25.063
43.697 25.08
43.693 25.102
43.693 25.116
43.694 25.132
43.697 25.143
43.701 25.153
43.704 25.165
43.707 25.177
43.704 25.192
43.699 25.213
43.694 25.246
43.689 25.265
43.67 25.289
43.665 25.297
43.658 25.325
43.652 25.332
43.642 25.341
43.634 25.353
43.628 25.372
43.627 25.388
43.63 25.418
43.635 25.447
43.64 25.46
43.644 25.475
43.65 25.487
43.652 25.498
43.651 25.514
43.648 25.538
43.649 25.563
43.654 25.584
43.681 25.634
43.691 25.653
43.697 25.663
43.7 25.672
43.702 25.685
43.702 25.694
43.701 25.704
43.7 25.718
43.702 25.732
43.705 25.749
43.709 25.76
43.715 25.769
43.717 25.777
43.72 25.789
43.731 25.798
43.746 25.809
43.755 25.816
43.758 25.828
43.763 25.842
43.768 25.86
43.774 25.87
43.781 25.88
43.787 25.886
43.795 25.891
43.803 25.897
43.813 25.91
43.823 25.918
43.832 25.924
43.845 25.932
43.851 25.938
43.857 25.946
43.865 25.954
43.869 25.96
43.877 25.98
43.882 25.993
43.892 26.006
43.898 26.018
43.904 26.033
43.914 26.062
43.919 26.069
43.926 26.072
43.937 26.077
43.948 26.082
43.956 26.089
43.968 26.105
43.979 26.119
43.99 26.137
43.994 26.152
43.995 26.167
43.994 26.18
43.992 26.195
43.996 26.213
44.001 26.232
44.01 26.245
44.011 26.251
44.015 26.267
44.022 26.276
44.029 26.287
44.035 26.302
44.04 26.319
44.042 26.338
44.044 26.353
44.046 26.364
44.048 26.374
44.051 26.388
44.052 26.399
44.048 26.412
44.046 26.418
44.047 26.432
44.046 26.444
44.05 26.458
44.05 26.47
44.05 26.483
44.058 26.507
44.066 26.54
44.068 26.553
44.067 26.567
44.064 26.594
44.063 26.609
44.065 26.627
44.068 26.647
44.071 26.661
44.079 26.681
44.084 26.696
44.086 26.708
44.086 26.718
44.085 26.731
44.083 26.742
44.087 26.763
44.093 26.783
44.106 26.812
44.115 26.833
44.124 26.854
44.127 26.86
44.13 26.878
44.135 26.889
44.141 26.905
44.142 26.916
44.142 26.93
44.139 26.936
44.141 26.951
44.142 26.962
44.143 26.975
44.144 26.984
44.144 26.996
44.144 27.008
44.149 27.018
44.152 27.032
44.151 27.046
44.15 27.058
44.145 27.072
44.143 27.078
44.144 27.086
44.146 27.096
44.149 27.108
44.15 27.125
44.151 27.137
44.149 27.153
44.142 27.164
44.136 27.173
44.132 27.182
44.129 27.197
44.127 27.213
44.127 27.23
44.127 27.245
44.133 27.262
44.135 27.273
44.134 27.282
44.133 27.287
44.128 27.289
44.122 27.29
44.115 27.29
44.108 27.291
44.1 27.294
44.091 27.299
44.086 27.303
44.081 27.312
44.077 27.321
44.077 27.334
44.074 27.355
44.067 27.37
44.055 27.379
44.038 27.395
44.028 27.409
44.026 27.426
44.026 27.443
44.03 27.465
44.035 27.491
44.035 27.5
44.032 27.508
44.03 27.529
44.028 27.548
44.024 27.576
44.022 27.595
44.024 27.619
44.027 27.629
44.034 27.637
44.044 27.644
44.048 27.65
44.051 27.657
44.048 27.661
44.043 27.666
44.025 27.685
44.019 27.69
44.01 27.696
43.997 27.701
43.988 27.704
43.98 27.711
43.969 27.721
43.962 27.731
43.96 27.74
43.96 27.759
43.964 27.778
43.968 27.808
43.971 27.826
43.97 27.835
43.97 27.846
43.978 27.858
43.985 27.87
43.997 27.886
44.008 27.904
44.011 27.916
44.009 27.929
44.002 27.939
43.991 27.945
43.978 27.946
43.962 27.952
43.944 27.96
43.93 27.968
43.915 27.977
43.902 27.984
43.875 27.992
43.861 27.997
43.851 28.006
43.848 28.014
43.844 28.026
43.835 28.049
43.818 28.101
43.798 28.159
43.788 28.191
43.786 28.207
43.781 28.224
43.775 28.242
43.77 28.268
43.763 28.327
43.757 28.361
43.749 28.398
43.742 28.419
43.741 28.427
43.738 28.449
43.735 28.477
43.736 28.496
43.737 28.51
43.736 28.535
43.737 28.555
43.737 28.584
43.728 28.576
43.724 28.575
43.71 28.584
43.706 28.584
43.703 28.582
43.7 28.576
43.694 28.571
43.687 28.57
43.685 28.569
43.675 28.571
43.671 28.57
43.666 28.573
43.651 28.58
43.645 28.589
43.642 28.59
43.636 28.582
43.627 28.581
43.624 28.58
43.61 28.574
43.599 28.577
43.574 28.59
43.566 28.596
43.559 28.605
43.539 28.612
43.525 28.609
43.51 28.599
43.508 28.598
43.492 28.59
43.454 28.561
43.432 28.541
43.424 28.531
43.414 28.504
43.41 28.502
43.405 28.499
43.393 28.481
43.384 28.475
43.364 28.469
43.369 28.463
43.381 28.454
43.385 28.446
43.387 28.438
43.387 28.423
43.393 28.41
43.402 28.397
43.404 28.395
43.41 28.383
43.413 28.371
43.417 28.365
43.417 28.358
43.416 28.354
43.416 28.347
43.421 28.329
43.417 28.276
43.407 28.249
43.409 28.238
43.407 28.233
43.404 28.222
43.402 28.199
43.402 28.188
43.404 28.177
43.41 28.165
43.41 28.162
43.407 28.15
43.375 28.097
43.365 28.09
43.341 28.072
43.331 28.074
43.303 28.056
43.268 28.046
43.259 28.038
43.252 28.036
43.249 28.031
43.248 28.029
43.234 28.022
43.223 28.008
43.221 28.001
43.223 27.987
43.219 27.975
43.217 27.963
43.209 27.933
43.205 27.93
43.201 27.932
43.198 27.93
43.199 27.92
43.196 27.917
43.194 27.907
43.191 27.909
43.191 27.92
43.188 27.922
43.183 27.921
43.179 27.923
43.177 27.926
43.178 27.933
43.176 27.953
43.165 27.956
43.149 27.953
43.145 27.951
43.136 27.947
43.134 27.944
43.129 27.94
43.087 27.928
43.073 27.923
43.065 27.918
43.062 27.911
43.046 27.9
43.029 27.896
42.992 27.899
42.964 27.906
42.943 27.914
42.938 27.914
42.929 27.91
42.925 27.905
42.92 27.904
42.91 27.908
42.906 27.907
42.901 27.906
42.894 27.909
42.874 27.905
42.867 27.906
42.861 27.91
42.859 27.906
42.86 27.899
42.857 27.894
42.848 27.891
42.832 27.892
42.803 27.898
42.787 27.906
42.777 27.909
42.773 27.907
42.766 27.899
42.757 27.896
42.734 27.901
42.715 27.909
42.711 27.908
42.709 27.907
42.707 27.903
42.707 27.89
42.708 27.846
42.711 27.838
42.711 27.825
42.709 27.817
42.71 27.811
42.709 27.803
42.71 27.792
42.716 27.771
42.715 27.743
42.715 27.735
42.713 27.731
42.693 27.718
42.688 27.717
42.685 27.715
42.678 27.718
42.671 27.724
42.666 27.734
42.664 27.731
42.663 27.727
42.659 27.721
42.653 27.719
42.654 27.715
42.658 27.707
42.659 27.703
42.657 27.698
42.652 27.692
42.642 27.683
42.641 27.681
42.645 27.679
42.643 27.658
42.644 27.654
42.643 27.65
42.634 27.645
42.627 27.642
42.61 27.639
42.581 27.644
42.581 27.64
42.578 27.643
42.571 27.649
42.563 27.655
42.562 27.652
42.564 27.643
42.57 27.631
42.57 27.617
42.566 27.608
42.57 27.599
42.569 27.591
42.567 27.586
42.56 27.578
42.559 27.572
42.564 27.542
42.56 27.52
42.554 27.511
42.537 27.5
42.528 27.497
42.514 27.492
42.508 27.491
42.495 27.49
42.494 27.477
42.493 27.474
42.493 27.463
42.489 27.458
42.481 27.455
42.47 27.457
42.461 27.463
42.454 27.471
42.449 27.471
42.442 27.47
42.434 27.473
42.432 27.476
42.435 27.481
42.441 27.483
42.449 27.48
42.455 27.484
42.46 27.481
42.467 27.485
42.452 27.498
42.451 27.502
42.446 27.509
42.445 27.515
42.442 27.517
42.435 27.514
42.438 27.529
42.443 27.535
42.449 27.535
42.454 27.539
42.454 27.544
42.456 27.546
42.46 27.544
42.462 27.543
42.464 27.545
42.463 27.551
42.456 27.565
42.453 27.576
42.454 27.585
42.457 27.588
42.462 27.586
42.472 27.592
42.466 27.596
42.456 27.608
42.453 27.614
42.453 27.627
42.458 27.633
42.465 27.634
42.459 27.642
42.454 27.643
42.456 27.651
42.457 27.653
42.458 27.655
42.457 27.658
42.455 27.657
42.45 27.658
42.448 27.652
42.444 27.657
42.437 27.662
42.436 27.654
42.43 27.65
42.421 27.658
42.415 27.675
42.415 27.679
42.42 27.685
42.42 27.689
42.423 27.694
42.432 27.703
42.43 27.707
42.418 27.712
42.413 27.718
42.414 27.725
42.416 27.728
42.417 27.729
42.417 27.732
42.412 27.736
42.406 27.731
42.408 27.72
42.4 27.714
42.394 27.715
42.391 27.717
42.386 27.73
42.383 27.73
42.378 27.72
42.374 27.718
42.369 27.719
42.357 27.729
42.351 27.738
42.336 27.745
42.333 27.756
42.333 27.762
42.34 27.766
42.341 27.776
42.34 27.781
42.341 27.789
42.339 27.793
42.334 27.789
42.331 27.789
42.326 27.78
42.323 27.789
42.32 27.791
42.316 27.801
42.313 27.803
42.313 27.795
42.312 27.792
42.308 27.783
42.295 27.771
42.294 27.765
42.292 27.763
42.275 27.767
42.272 27.773
42.27 27.772
42.271 27.764
42.27 27.762
42.259 27.76
42.253 27.763
42.248 27.775
42.25 27.779
42.249 27.781
42.242 27.791
42.239 27.792
42.239 27.784
42.236 27.784
42.231 27.791
42.23 27.791
42.221 27.801
42.221 27.808
42.213 27.826
42.206 27.829
42.202 27.836
42.198 27.839
42.197 27.845
42.194 27.846
42.192 27.855
42.189 27.852
42.186 27.853
42.184 27.859
42.178 27.86
42.175 27.866
42.172 27.863
42.17 27.865
42.168 27.872
42.163 27.876
42.166 27.88
42.164 27.883
42.156 27.883
42.154 27.888
42.153 27.892
42.15 27.896
42.148 27.906
42.133 27.913
42.132 27.92
42.129 27.921
42.127 27.917
42.124 27.918
42.117 27.922
42.108 27.931
42.109 27.956
42.103 27.956
42.1 27.961
42.09 27.964
42.087 27.971
42.084 27.97
42.073 27.982
42.071 27.984
42.07 27.993
42.065 28.001
42.061 27.995
42.058 27.994
42.045 28.01
42.041 28.009
42.032 28.019
42.026 28.02
42.024 28.023
42.01 28.026
42.004 28.035
41.99 28.044
41.988 28.04
41.987 28.031
41.986 28.017
41.987 27.998
41.994 27.988
41.995 27.987
41.994 27.982
41.99 27.979
41.984 27.96
41.989 27.958
41.986 27.951
41.989 27.939
41.982 27.935
41.983 27.931
41.985 27.928
41.981 27.921
41.982 27.915
41.987 27.907
41.989 27.906
41.995 27.909
41.997 27.907
41.997 27.906
41.998 27.894
42.008 27.876
42.01 27.873
42.01 27.868
42.009 27.866
42 27.866
41.998 27.862
41.997 27.859
42.005 27.858
42.005 27.854
41.997 27.852
41.998 27.844
42.001 27.836
41.994 27.828
41.985 27.825
41.98 27.827
41.979 27.83
41.974 27.83
41.972 27.83
41.969 27.829
41.966 27.831
41.965 27.833
41.966 27.834
41.968 27.837
41.968 27.839
41.966 27.841
41.96 27.842
41.957 27.84
41.955 27.836
41.956 27.831
41.96 27.828
41.959 27.82
41.951 27.821
41.949 27.819
41.95 27.815
41.956 27.812
41.959 27.809
41.956 27.797
41.96 27.791
41.959 27.787
41.961 27.786
41.968 27.792
41.97 27.79
41.972 27.783
41.968 27.777
41.973 27.767
41.973 27.757
41.973 27.75
41.975 27.747
41.978 27.75
41.981 27.753
41.982 27.751
41.985 27.741
41.981 27.738
41.981 27.737
41.98 27.735
41.983 27.727
41.983 27.726
41.985 27.704
41.983 27.704
41.979 27.708
41.978 27.707
41.977 27.706
41.979 27.693
41.977 27.688
41.97 27.686
41.97 27.685
41.969 27.682
41.965 27.68
41.964 27.677
41.969 27.675
41.963 27.665
41.964 27.663
41.968 27.661
41.967 27.654
41.962 27.645
41.966 27.644
41.965 27.642
41.963 27.636
41.965 27.628
41.964 27.625
41.962 27.626
41.957 27.634
41.949 27.619
41.947 27.614
41.954 27.613
41.955 27.608
41.942 27.592
41.942 27.588
41.947 27.582
41.947 27.579
41.942 27.58
41.933 27.572
41.932 27.58
41.929 27.58
41.925 27.569
41.923 27.569
41.922 27.577
41.92 27.578
41.918 27.579
41.913 27.576
41.911 27.563
41.918 27.553
41.924 27.546
41.931 27.541
41.94 27.536
41.947 27.532
41.954 27.525
41.96 27.518
41.962 27.515
41.961 27.509
41.96 27.499
41.961 27.49
41.965 27.483
41.968 27.48
41.973 27.475
41.976 27.472
41.977 27.469
41.976 27.461
41.977 27.449
41.982 27.444
41.99 27.441
41.994 27.439
41.997 27.435
41.996 27.433
41.995 27.427
41.997 27.423
42.003 27.42
42.006 27.417
42.009 27.413
42.012 27.409
42.019 27.4
42.026 27.395
42.03 27.392
42.035 27.391
42.039 27.389
42.044 27.386
42.048 27.384
42.054 27.381
42.058 27.376
42.062 27.369
42.064 27.359
42.064 27.352
42.065 27.343
42.067 27.342
42.069 27.343
42.075 27.342
42.081 27.339
42.087 27.333
42.088 27.327
42.091 27.319
42.093 27.313
42.097 27.306
42.098 27.302
42.099 27.294
42.101 27.288
42.103 27.284
42.106 27.278
42.108 27.274
42.106 27.268
42.105 27.265
42.106 27.256
42.108 27.25
42.104 27.242
42.102 27.231
42.094 27.225
42.09 27.223
42.087 27.217
42.084 27.209
42.081 27.208
42.074 27.21
42.07 27.213
42.065 27.21
42.065 27.203
42.068 27.198
42.07 27.194
42.073 27.191
42.074 27.187
42.074 27.183
42.07 27.172
42.071 27.164
42.072 27.15
42.075 27.141
42.08 27.134
42.085 27.129
42.088 27.126
42.091 27.117
42.091 27.106
42.093 27.096
42.095 27.089
42.097 27.082
42.095 27.074
42.09 27.065
42.087 27.056
42.087 27.044
42.085 27.034
42.083 27.033
42.074 27.034
42.067 27.034
42.059 27.029
42.051 27.022
42.046 27.016
42.041 27.005
42.04 26.999
42.039 26.991
42.035 26.986
42.026 26.987
42.019 26.986
42.01 26.979
42.004 26.971
42.004 26.963
42.004 26.953
42.004 26.946
42.001 26.939
41.996 26.922
41.994 26.904
41.994 26.886
41.992 26.871
41.991 26.866
41.985 26.857
41.979 26.854
41.976 26.849
41.974 26.844
41.974 26.837
41.976 26.831
41.98 26.815
41.983 26.805
41.986 26.801
41.989 26.797
41.99 26.794
41.988 26.79
41.98 26.779
41.974 26.771
41.969 26.766
41.965 26.762
41.963 26.76
41.964 26.756
41.967 26.753
41.967 26.749
41.965 26.742
41.966 26.733
41.968 26.726
41.97 26.723
41.97 26.717
41.969 26.71
41.97 26.703
41.972 26.697
41.973 26.687
41.973 26.68
41.972 26.671
41.974 26.661
41.976 26.65
41.979 26.642
41.981 26.637
41.982 26.633
41.982 26.628
41.979 26.626
41.975 26.624
41.968 26.624
41.966 26.621
41.962 26.613
41.958 26.602
41.955 26.595
41.948 26.587
41.944 26.581
41.939 26.576
41.935 26.573
41.93 26.57
41.926 26.57
41.923 26.572
41.921 26.575
41.916 26.58
41.912 26.584
41.907 26.587
41.902 26.585
41.897 26.58
41.892 26.574
41.888 26.573
41.885 26.576
41.881 26.581
41.88 26.582
41.875 26.575
41.871 26.568
41.865 26.562
41.858 26.556
41.853 26.552
41.849 26.55
41.845 26.549
41.841 26.544
41.836 26.535
41.835 26.525
41.836 26.506
41.837 26.483
41.835 26.465
41.835 26.444
41.836 26.416
41.836 26.393
41.836 26.381
41.833 26.375
41.825 26.37
41.817 26.365
41.8 26.357
41.793 26.351
41.783 26.345
41.772 26.342
41.759 26.337
41.748 26.338
41.739 26.346
41.72 26.362
41.719 26.355
41.726 26.339
41.727 26.333
41.726 26.328
41.72 26.317
41.719 26.311
41.721 26.294
41.728 26.272
41.729 26.267
41.74 26.243
41.757 26.232
41.752 26.225
41.751 26.225
41.747 26.224
41.744 26.224
41.74 26.214
41.741 26.204
41.747 26.19
41.751 26.183
41.755 26.177
41.754 26.168
41.749 26.144
41.747 26.135
41.742 26.128
41.738 26.123
41.73 26.121
41.725 26.118
41.723 26.113
41.724 26.103
41.724 26.093
41.722 26.085
41.718 26.074
41.716 26.069
41.711 26.07
41.705 26.067
41.701 26.067
41.69 26.071
41.682 26.072
41.676 26.069
41.67 26.071
41.664 26.075
41.655 26.079
41.65 26.085
41.645 26.094
41.64 26.098
41.637 26.1
41.635 26.106
41.635 26.113
41.634 26.117
41.632 26.121
41.633 26.126
41.635 26.133
41.634 26.136
41.629 26.141
41.616 26.153
41.609 26.155
41.598 26.155
41.584 26.155
41.571 26.156
41.564 26.156
41.562 26.16
41.56 26.169
41.561 26.178
41.558 26.183
41.551 26.187
41.539 26.189
41.531 26.189
41.52 26.183
41.513 26.18
41.503 26.177
41.5 26.17
41.495 26.163
41.489 26.16
41.486 26.162
41.479 26.17
41.472 26.18
41.469 26.186
41.463 26.193
41.455 26.2
41.45 26.203
41.448 26.203
41.445 26.199
41.444 26.193
41.441 26.18
41.433 26.17
41.425 26.168
41.411 26.169
41.396 26.161
41.388 26.153
41.382 26.145
41.379 26.142
41.374 26.141
41.366 26.135
41.364 26.127
41.364 26.114
41.362 26.102
41.36 26.098
41.356 26.09
41.355 26.081
41.358 26.071
41.357 26.061
41.359 26.051
41.357 26.036
41.355 26.023
41.353 26.017
41.345 26.01
41.338 26.005
41.329 25.998
41.326 25.989
41.323 25.977
41.326 25.956
41.326 25.948
41.323 25.941
41.317 25.933
41.314 25.922
41.311 25.906
41.31 25.89
41.313 25.884
41.319 25.877
41.324 25.879
41.327 25.878
41.332 25.876
41.333 25.869
41.335 25.861
41.339 25.859
41.343 25.85
41.348 25.844
41.351 25.836
41.349 25.83
41.345 25.826
41.341 25.818
41.339 25.811
41.338 25.8
41.335 25.796
41.331 25.793
41.327 25.79
41.326 25.787
41.324 25.78
41.326 25.774
41.328 25.772
41.327 25.767
41.325 25.764
41.322 25.762
41.323 25.748
41.323 25.737
41.316 25.725
41.311 25.723
41.3 25.722
41.297 25.721
41.298 25.715
41.3 25.71
41.303 25.706
41.308 25.7
41.311 25.689
41.312 25.68
41.318 25.66
41.316 25.65
41.312 25.638
41.309 25.628
41.311 25.617
41.313 25.599
41.32 25.591
41.323 25.583
41.323 25.571
41.321 25.565
41.313 25.555
41.304 25.547
41.289 25.541
41.284 25.537
41.284 25.531
41.287 25.523
41.29 25.518
41.291 25.511
41.291 25.504
41.292 25.497
41.293 25.487
41.293 25.483
41.289 25.478
41.287 25.472
41.287 25.465
41.286 25.452
41.284 25.445
41.277 25.44
41.273 25.434
41.27 25.422
41.266 25.411
41.264 25.401
41.263 25.381
41.261 25.374
41.256 25.366
41.253 25.36
41.251 25.352
41.248 25.343
41.245 25.334
41.246 25.328
41.249 25.32
41.25 25.313
41.248 25.306
41.245 25.296
41.242 25.289
41.244 25.282
41.25 25.264
41.251 25.256
41.254 25.244
41.257 25.237
41.264 25.237
41.268 25.235
41.273 25.233
41.289 25.223
41.295 25.215
41.298 25.203
41.302 25.194
41.31 25.19
41.316 25.187
41.318 25.185
41.321 25.174
41.322 25.167
41.328 25.152
41.33 25.142
41.339 25.136
41.346 25.131
41.351 25.121
41.349 25.115
41.345 25.11
41.345 25.1
41.346 25.091
41.352 25.082
41.359 25.076
41.367 25.068
41.372 25.061
41.373 25.051
41.374 25.04
41.376 25.027
41.379 25.019
41.381 25
41.383 24.991
41.384 24.984
41.387 24.979
41.392 24.971
41.395 24.964
41.395 24.955
41.397 24.948
41.4 24.945
41.406 24.939
41.412 24.932
41.415 24.924
41.415 24.916
41.413 24.91
41.406 24.9
41.402 24.893
41.399 24.883
41.398 24.874
41.402 24.869
41.404 24.865
41.405 24.855
41.405 24.84
41.405 24.833
41.403 24.829
41.398 24.828
41.395 24.83
41.389 24.832
41.384 24.83
41.38 24.826
41.374 24.825
41.37 24.826
41.365 24.825
41.359 24.822
41.357 24.817
41.356 24.81
41.359 24.806
41.363 24.802
41.365 24.799
41.369 24.788
41.372 24.781
41.377 24.777
41.384 24.77
41.389 24.76
41.393 24.755
41.4 24.752
41.409 24.75
41.416 24.748
41.422 24.742
41.426 24.734
41.428 24.721
41.427 24.711
41.427 24.701
41.429 24.695
41.43 24.691
41.43 24.686
41.427 24.679
41.426 24.676
41.425 24.671
41.426 24.669
41.43 24.669
41.432 24.67
41.436 24.671
41.441 24.668
41.443 24.665
41.443 24.661
41.441 24.66
41.439 24.655
41.436 24.651
41.437 24.645
41.439 24.64
41.439 24.636
41.438 24.633
41.436 24.631
41.433 24.63
41.431 24.63
41.43 24.626
41.433 24.621
41.439 24.615
41.447 24.609
41.453 24.606
41.459 24.607
41.465 24.608
41.47 24.606
41.475 24.596
41.477 24.592
41.48 24.586
41.484 24.582
41.491 24.576
41.499 24.573
41.505 24.572
41.51 24.572
41.514 24.571
41.519 24.575
41.524 24.574
41.528 24.573
41.531 24.568
41.532 24.565
41.535 24.563
41.538 24.564
41.543 24.563
41.547 24.56
41.549 24.558
41.553 24.558
41.556 24.562
41.56 24.562
41.562 24.561
41.563 24.557
41.566 24.554
41.57 24.549
41.575 24.542
41.574 24.537
41.573 24.533
41.571 24.525
41.568 24.515
41.565 24.508
41.563 24.503
41.563 24.497
41.564 24.49
41.561 24.484
41.559 24.482
41.555 24.479
41.554 24.474
41.552 24.472
41.548 24.472
41.542 24.472
41.537 24.472
41.534 24.466
41.533 24.461
41.535 24.451
41.537 24.441
41.538 24.43
41.542 24.42
41.545 24.411
41.546 24.403
41.542 24.393
41.538 24.387
41.535 24.382
41.532 24.379
41.528 24.376
41.527 24.372
41.529 24.366
41.533 24.361
41.534 24.357
41.531 24.34
41.526 24.326
41.521 24.32
41.522 24.314
41.527 24.309
41.533 24.308
41.54 24.308
41.548 24.31
41.554 24.31
41.559 24.304
41.562 24.299
41.563 24.294
41.564 24.289
41.565 24.284
41.569 24.282
41.571 24.282
41.576 24.285
41.578 24.284
41.579 24.278
41.58 24.272
41.58 24.265
41.575 24.256
41.574 24.25
41.572 24.248
41.567 24.248
41.563 24.245
41.561 24.243
41.559 24.234
41.56 24.225
41.559 24.22
41.555 24.216
41.55 24.213
41.547 24.211
41.545 24.206
41.543 24.2
41.54 24.197
41.538 24.196
41.535 24.197
41.531 24.199
41.527 24.198
41.524 24.194
41.524 24.187
41.527 24.185
41.531 24.183
41.535 24.18
41.538 24.176
41.542 24.171
41.546 24.168
41.547 24.163
41.547 24.158
41.545 24.153
41.544 24.148
41.548 24.14
41.552 24.13
41.555 24.12
41.558 24.114
41.558 24.107
41.556 24.101
41.551 24.095
41.542 24.083
41.536 24.075
41.533 24.07
41.531 24.069
41.527 24.069
41.522 24.069
41.517 24.071
41.513 24.072
41.507 24.071
41.503 24.07
41.497 24.071
41.491 24.074
41.485 24.078
41.479 24.08
41.475 24.079
41.471 24.076
41.467 24.068
41.463 24.06
41.461 24.057
41.462 24.05
41.465 24.041
41.468 24.037
41.47 24.033
41.473 24.028
41.475 24.026
41.474 24.023
41.471 24.022
41.467 24.022
41.463 24.016
41.46 24.006
41.458 23.998
41.455 23.995
41.452 23.99
41.45 23.989
41.446 23.985
41.444 23.98
41.445 23.977
41.447 23.971
41.453 23.962
41.456 23.955
41.461 23.951
41.466 23.95
41.471 23.946
41.477 23.939
41.481 23.935
41.484 23.931
41.487 23.927
41.486 23.922
41.483 23.916
41.479 23.917
41.47 23.915
41.464 23.912
41.461 23.909
41.459 23.904
41.459 23.901
41.46 23.894
41.458 23.887
41.457 23.882
41.454 23.871
41.451 23.865
41.446 23.861
41.445 23.854
41.445 23.844
41.443 23.836
41.445 23.822
41.446 23.814
41.441 23.808
41.43 23.8
41.421 23.793
41.416 23.789
41.41 23.787
41.408 23.78
41.407 23.77
41.411 23.755
41.413 23.742
41.412 23.724
41.41 23.714
41.411 23.702
