segment Hungary
48.105 22.818
48.114 22.819
48.117 22.822
48.117 22.832
48.113 22.838
48.105 22.839
48.096 22.841
48.093 22.84
48.084 22.847
48.08 22.852
48.08 22.859
48.077 22.863
48.055 22.874
48.053 22.878
48.049 22.883
48.043 22.889
48.031 22.888
48.025 22.885
48.019 22.873
48.012 22.872
48 22.892
48 22.857
47.994 22.851
47.988 22.852
47.982 22.859
47.978 22.872
47.972 22.88
47.969 22.888
47.966 22.894
47.963 22.898
47.959 22.906
47.955 22.895
47.947 22.886
47.939 22.878
47.93 22.87
47.92 22.864
47.913 22.86
47.908 22.846
47.903 22.828
47.899 22.814
47.894 22.803
47.89 22.795
47.891 22.785
47.891 22.779
47.889 22.775
47.881 22.77
47.869 22.77
47.86 22.776
47.85 22.783
47.846 22.784
47.842 22.778
47.838 22.771
47.836 22.763
47.836 22.755
47.837 22.747
47.837 22.728
47.834 22.721
47.83 22.715
47.822 22.706
47.816 22.701
47.808 22.697
47.798 22.691
47.79 22.681
47.783 22.668
47.778 22.657
47.778 22.646
47.774 22.624
47.772 22.608
47.77 22.59
47.769 22.575
47.774 22.557
47.785 22.539
47.792 22.522
47.797 22.514
47.804 22.495
47.807 22.48
47.803 22.457
47.8 22.453
47.795 22.448
47.786 22.444
47.773 22.439
47.757 22.436
47.75 22.434
47.744 22.433
47.743 22.429
47.744 22.418
47.747 22.404
47.747 22.394
47.748 22.379
47.75 22.365
47.755 22.352
47.758 22.342
47.76 22.334
47.759 22.332
47.755 22.326
47.748 22.319
47.743 22.312
47.74 22.303
47.739 22.298
47.736 22.288
47.732 22.283
47.726 22.278
47.717 22.274
47.707 22.268
47.702 22.259
47.697 22.251
47.692 22.243
47.683 22.237
47.673 22.231
47.66 22.222
47.649 22.212
47.643 22.204
47.639 22.201
47.631 22.197
47.623 22.195
47.613 22.193
47.603 22.191
47.596 22.183
47.593 22.175
47.592 22.166
47.593 22.159
47.594 22.151
47.595 22.144
47.595 22.138
47.592 22.132
47.568 22.109
47.561 22.096
47.555 22.075
47.551 22.062
47.545 22.051
47.533 22.037
47.521 22.029
47.508 22.022
47.493 22.018
47.483 22.017
47.473 22.017
47.467 22.024
47.46 22.028
47.449 22.034
47.437 22.037
47.423 22.036
47.407 22.033
47.394 22.026
47.389 22.017
47.385 22.006
47.384 21.991
47.382 21.977
47.38 21.961
47.374 21.95
47.365 21.939
47.357 21.932
47.345 21.93
47.334 21.926
47.333 21.925
47.329 21.92
47.311 21.892
47.306 21.887
47.297 21.886
47.281 21.886
47.272 21.884
47.268 21.883
47.259 21.873
47.254 21.87
47.25 21.864
47.241 21.859
47.236 21.857
47.231 21.86
47.225 21.866
47.22 21.872
47.213 21.875
47.206 21.874
47.196 21.867
47.191 21.863
47.186 21.854
47.181 21.839
47.177 21.829
47.17 21.82
47.161 21.817
47.152 21.815
47.143 21.815
47.136 21.81
47.133 21.806
47.127 21.802
47.121 21.801
47.116 21.798
47.112 21.793
47.11 21.771
47.107 21.761
47.103 21.75
47.098 21.741
47.095 21.734
47.091 21.732
47.086 21.729
47.078 21.723
47.069 21.713
47.063 21.706
47.056 21.698
47.052 21.694
47.048 21.684
47.045 21.674
47.043 21.666
47.037 21.662
47.028 21.667
47.019 21.678
47.012 21.689
47.008 21.694
47.002 21.695
46.998 21.693
46.993 21.685
46.989 21.682
46.983 21.681
46.977 21.685
46.97 21.688
46.964 21.686
46.961 21.684
46.959 21.672
46.956 21.666
46.95 21.663
46.943 21.656
46.94 21.652
46.938 21.64
46.936 21.626
46.934 21.621
46.932 21.616
46.927 21.613
46.92 21.613
46.911 21.618
46.909 21.621
46.902 21.623
46.893 21.621
46.888 21.62
46.878 21.617
46.87 21.611
46.864 21.608
46.86 21.6
46.854 21.574
46.851 21.567
46.846 21.556
46.843 21.545
46.838 21.538
46.831 21.533
46.822 21.532
46.81 21.53
46.795 21.525
46.78 21.515
46.769 21.504
46.764 21.5
46.76 21.498
46.754 21.497
46.751 21.498
46.749 21.504
46.745 21.513
46.739 21.525
46.734 21.536
46.731 21.54
46.727 21.54
46.722 21.535
46.715 21.528
46.709 21.519
46.703 21.513
46.696 21.507
46.691 21.506
46.688 21.501
46.688 21.497
46.692 21.491
46.694 21.484
46.693 21.474
46.69 21.464
46.691 21.458
46.692 21.45
46.69 21.444
46.686 21.437
46.681 21.437
46.677 21.437
46.672 21.442
46.667 21.448
46.665 21.454
46.66 21.458
46.657 21.46
46.653 21.454
46.65 21.443
46.648 21.432
46.643 21.425
46.635 21.424
46.626 21.42
46.622 21.415
46.622 21.406
46.621 21.398
46.624 21.392
46.632 21.383
46.634 21.378
46.634 21.37
46.632 21.361
46.63 21.349
46.626 21.333
46.621 21.329
46.613 21.323
46.602 21.317
46.592 21.311
46.586 21.313
46.582 21.318
46.579 21.325
46.574 21.325
46.568 21.323
46.562 21.317
46.558 21.312
46.553 21.311
46.548 21.308
46.542 21.3
46.539 21.293
46.534 21.29
46.527 21.284
46.519 21.278
46.512 21.274
46.504 21.271
46.495 21.271
46.485 21.274
46.483 21.28
46.479 21.291
46.477 21.302
46.472 21.311
46.466 21.315
46.456 21.319
46.452 21.319
46.447 21.317
46.441 21.309
46.437 21.303
46.433 21.301
46.427 21.301
46.422 21.301
46.416 21.299
46.415 21.295
46.414 21.289
46.415 21.282
46.42 21.276
46.422 21.263
46.421 21.251
46.42 21.246
46.416 21.238
46.411 21.228
46.405 21.218
46.399 21.215
46.387 21.206
46.367 21.2
46.359 21.199
46.353 21.202
46.346 21.204
46.339 21.201
46.334 21.195
46.33 21.19
46.321 21.184
46.312 21.185
46.304 21.18
46.3 21.173
46.3 21.163
46.3 21.156
46.301 21.148
46.303 21.136
46.3 21.128
46.297 21.121
46.295 21.12
46.288 21.115
46.282 21.113
46.275 21.109
46.27 21.105
46.265 21.098
46.26 21.09
46.257 21.084
46.253 21.079
46.248 21.072
46.245 21.066
46.245 21.061
46.247 21.048
46.257 21.038
46.263 21.032
46.265 21.027
46.266 21.016
46.264 20.997
46.262 20.98
46.262 20.97
46.267 20.96
46.274 20.952
46.278 20.941
46.279 20.933
46.277 20.928
46.272 20.926
46.266 20.924
46.264 20.92
46.268 20.908
46.278 20.893
46.284 20.881
46.286 20.872
46.286 20.858
46.284 20.845
46.282 20.834
46.279 20.82
46.275 20.803
46.27 20.789
46.264 20.777
46.256 20.766
46.247 20.759
46.24 20.755
46.231 20.754
46.223 20.757
46.216 20.761
46.209 20.762
46.205 20.76
46.205 20.752
46.206 20.749
46.206 20.741
46.205 20.735
46.2 20.73
46.193 20.729
46.183 20.726
46.172 20.72
46.168 20.714
46.164 20.705
46.162 20.696
46.159 20.693
46.154 20.687
46.153 20.679
46.153 20.671
46.151 20.663
46.145 20.657
46.139 20.65
46.135 20.645
46.136 20.636
46.138 20.631
46.146 20.617
46.15 20.61
46.156 20.601
46.163 20.583
46.175 20.558
46.184 20.535
46.188 20.518
46.193 20.503
46.19 20.496
46.185 20.494
46.18 20.496
46.172 20.498
46.165 20.497
46.158 20.491
46.153 20.478
46.149 20.457
46.147 20.442
46.149 20.431
46.155 20.414
46.158 20.404
46.159 20.387
46.16 20.38
46.167 20.371
46.169 20.367
46.168 20.359
46.165 20.351
46.162 20.342
46.158 20.333
46.155 20.316
46.154 20.301
46.151 20.289
46.145 20.277
46.136 20.272
46.128 20.27
46.129 20.259
46.13 20.251
46.132 20.242
46.137 20.231
46.143 20.223
46.151 20.215
46.159 20.202
46.161 20.194
46.159 20.183
46.154 20.169
46.151 20.161
46.15 20.155
46.155 20.139
46.158 20.129
46.162 20.122
46.169 20.117
46.177 20.11
46.179 20.103
46.177 20.098
46.174 20.094
46.168 20.089
46.153 20.075
46.152 20.071
46.148 20.051
46.151 20.042
46.157 20.038
46.162 20.037
46.169 20.03
46.173 20.019
46.177 20
46.178 19.995
46.177 19.963
46.177 19.952
46.174 19.943
46.163 19.912
46.158 19.898
46.151 19.875
46.147 19.856
46.141 19.846
46.134 19.835
46.133 19.826
46.137 19.818
46.149 19.787
46.151 19.773
46.155 19.76
46.167 19.739
46.178 19.725
46.186 19.709
46.187 19.699
46.188 19.685
46.191 19.674
46.191 19.67
46.188 19.664
46.182 19.656
46.173 19.636
46.173 19.616
46.175 19.601
46.176 19.586
46.178 19.575
46.175 19.566
46.174 19.563
46.164 19.558
46.154 19.544
46.154 19.535
46.152 19.522
46.148 19.514
46.143 19.511
46.137 19.516
46.13 19.523
46.126 19.528
46.118 19.527
46.113 19.52
46.108 19.505
46.106 19.49
46.103 19.48
46.095 19.476
46.088 19.472
46.082 19.468
46.075 19.457
46.072 19.452
46.067 19.443
46.058 19.436
46.051 19.426
46.048 19.417
46.046 19.407
46.044 19.399
46.041 19.395
46.038 19.386
46.04 19.383
46.045 19.377
46.048 19.374
46.049 19.367
46.05 19.36
46.046 19.348
46.041 19.336
46.033 19.322
46.028 19.312
46.024 19.301
46.02 19.294
46.015 19.292
46.007 19.297
46.003 19.305
45.999 19.308
45.996 19.304
45.996 19.294
45.996 19.282
45.997 19.263
45.997 19.251
46 19.24
46.003 19.237
46.004 19.23
46.001 19.219
45.998 19.211
45.995 19.206
45.994 19.193
45.994 19.178
45.998 19.161
46.003 19.152
46.008 19.146
46.015 19.144
46.022 19.145
46.028 19.143
46.035 19.138
46.038 19.131
46.041 19.123
46.038 19.116
46.033 19.108
46.022 19.096
46.011 19.087
46.008 19.083
46.001 19.077
45.994 19.072
45.987 19.079
45.977 19.082
45.974 19.082
45.97 19.076
45.969 19.066
45.969 19.051
45.968 19.041
45.965 19.028
45.961 19.019
45.956 19.011
45.953 19
45.951 18.996
45.946 18.994
45.942 18.999
45.933 19
45.928 18.991
45.93 18.982
45.924 18.963
45.924 18.956
45.928 18.942
45.932 18.922
45.932 18.911
45.924 18.896
45.915 18.878
45.916 18.869
45.91 18.865
45.907 18.835
45.915 18.823
45.904 18.809
45.897 18.806
45.883 18.809
45.88 18.806
45.88 18.795
45.889 18.777
45.891 18.757
45.898 18.738
45.901 18.723
45.915 18.698
45.915 18.677
45.912 18.666
45.908 18.662
45.897 18.662
45.889 18.64
45.883 18.638
45.872 18.647
45.87 18.625
45.856 18.623
45.848 18.617
45.837 18.616
45.829 18.602
45.82 18.597
45.814 18.584
45.809 18.574
45.802 18.572
45.797 18.559
45.797 18.558
45.796 18.558
45.79 18.545
45.791 18.545
45.791 18.533
45.782 18.52
45.781 18.509
45.789 18.495
45.789 18.491
45.783 18.485
45.767 18.476
45.763 18.465
45.763 18.455
45.749 18.448
45.746 18.441
45.744 18.405
45.75 18.401
45.762 18.385
45.764 18.365
45.759 18.354
45.747 18.345
45.752 18.327
45.756 18.298
45.756 18.289
45.755 18.28
45.762 18.263
45.762 18.243
45.777 18.221
45.781 18.206
45.783 18.197
45.783 18.187
45.777 18.175
45.776 18.17
45.778 18.164
45.782 18.157
45.785 18.154
45.787 18.144
45.787 18.124
45.782 18.121
45.768 18.105
45.767 18.089
45.769 18.07
45.776 18.043
45.78 18.023
45.779 18.02
45.794 18.001
45.794 17.995
45.794 17.992
45.793 17.991
45.79 17.98
45.792 17.97
45.792 17.956
45.791 17.944
45.79 17.937
45.789 17.927
45.792 17.91
45.791 17.902
45.78 17.883
45.769 17.869
45.771 17.86
45.784 17.854
45.794 17.836
45.802 17.834
45.807 17.833
45.812 17.827
45.81 17.824
45.807 17.818
45.804 17.811
45.815 17.788
45.818 17.761
45.828 17.748
45.834 17.716
45.839 17.697
45.838 17.673
45.847 17.659
45.869 17.651
45.892 17.637
45.91 17.619
45.924 17.595
45.936 17.576
45.938 17.562
45.939 17.532
45.941 17.526
45.943 17.509
45.947 17.473
45.952 17.448
45.952 17.438
45.948 17.434
45.935 17.437
45.935 17.436
45.936 17.43
45.931 17.432
45.926 17.426
45.926 17.418
45.938 17.41
45.941 17.404
45.93 17.394
45.929 17.388
45.934 17.381
45.944 17.381
45.947 17.379
45.948 17.37
45.944 17.35
45.946 17.344
45.954 17.34
45.962 17.341
45.956 17.357
45.955 17.372
45.957 17.384
45.962 17.388
45.963 17.365
45.968 17.361
45.97 17.365
45.981 17.37
45.985 17.369
45.99 17.362
45.979 17.359
45.975 17.355
45.976 17.348
45.989 17.334
45.978 17.332
45.969 17.321
45.968 17.317
45.974 17.314
45.983 17.319
45.988 17.317
45.983 17.307
45.981 17.297
45.987 17.291
45.998 17.303
46.001 17.299
46.005 17.262
46.01 17.257
46.013 17.256
46.014 17.257
46.021 17.27
46.021 17.284
46.026 17.294
46.032 17.288
46.035 17.275
46.034 17.265
46.03 17.255
46.041 17.253
46.049 17.262
46.054 17.263
46.058 17.259
46.059 17.246
46.06 17.24
46.066 17.251
46.069 17.253
46.079 17.242
46.084 17.22
46.091 17.217
46.099 17.218
46.11 17.213
46.115 17.203
46.114 17.193
46.111 17.184
46.118 17.177
46.126 17.175
46.139 17.18
46.155 17.174
46.159 17.162
46.17 17.156
46.172 17.131
46.176 17.126
46.179 17.109
46.185 17.102
46.187 17.084
46.202 17.05
46.209 17.027
46.222 16.998
46.225 16.971
46.233 16.972
46.238 16.968
46.241 16.943
46.255 16.94
46.255 16.932
46.258 16.926
46.262 16.92
46.275 16.907
46.279 16.901
46.279 16.899
46.284 16.893
46.295 16.89
46.3 16.888
46.321 16.881
46.329 16.882
46.331 16.883
46.333 16.892
46.335 16.881
46.337 16.877
46.341 16.877
46.343 16.869
46.349 16.871
46.352 16.87
46.351 16.864
46.354 16.86
46.36 16.856
46.362 16.847
46.367 16.842
46.368 16.841
46.367 16.835
46.37 16.831
46.37 16.824
46.374 16.82
46.376 16.814
46.382 16.813
46.383 16.811
46.385 16.804
46.384 16.795
46.378 16.786
46.383 16.776
46.376 16.771
46.379 16.766
46.386 16.761
46.386 16.751
46.401 16.746
46.401 16.742
46.398 16.739
46.393 16.735
46.39 16.728
46.394 16.724
46.407 16.716
46.431 16.695
46.443 16.684
46.443 16.673
46.446 16.667
46.448 16.671
46.452 16.678
46.455 16.676
46.458 16.671
46.461 16.661
46.463 16.648
46.474 16.593
46.489 16.551
46.495 16.54
46.498 16.535
46.501 16.526
46.507 16.535
46.512 16.534
46.52 16.525
46.531 16.529
46.535 16.52
46.549 16.519
46.55 16.518
46.562 16.509
46.561 16.491
46.567 16.482
46.579 16.478
46.594 16.457
46.598 16.453
46.609 16.439
46.613 16.426
46.628 16.411
46.631 16.399
46.631 16.392
46.643 16.385
46.651 16.39
46.659 16.392
46.66 16.396
46.657 16.404
46.658 16.413
46.663 16.418
46.683 16.419
46.686 16.422
46.689 16.42
46.695 16.411
46.696 16.384
46.698 16.373
46.703 16.372
46.711 16.377
46.719 16.367
46.714 16.358
46.718 16.35
46.732 16.344
46.741 16.333
46.748 16.328
46.754 16.321
46.761 16.322
46.769 16.328
46.774 16.327
46.776 16.314
46.789 16.31
46.795 16.315
46.798 16.33
46.806 16.338
46.813 16.336
46.82 16.34
46.83 16.345
46.837 16.344
46.846 16.339
46.848 16.327
46.858 16.316
46.858 16.314
46.859 16.303
46.87 16.292
46.873 16.281
46.875 16.258
46.875 16.245
46.878 16.234
46.872 16.217
46.869 16.192
46.861 16.18
46.86 16.161
46.856 16.144
46.857 16.133
46.861 16.123
46.872 16.112
46.883 16.134
46.89 16.143
46.906 16.159
46.913 16.173
46.916 16.175
46.944 16.2
46.947 16.22
46.949 16.226
46.953 16.23
46.954 16.236
46.96 16.235
46.964 16.243
46.966 16.267
46.975 16.273
46.987 16.27
46.997 16.276
47.014 16.284
47.015 16.292
47.007 16.3
47.003 16.308
47.006 16.319
47.004 16.338
47.009 16.357
47.01 16.37
47.006 16.381
47.004 16.395
47.007 16.409
47.006 16.419
47.001 16.426
46.998 16.435
47.005 16.453
47.001 16.46
46.998 16.478
47 16.494
47.001 16.51
47.007 16.516
47.011 16.515
47.016 16.503
47.03 16.476
47.031 16.464
47.029 16.45
47.031 16.446
47.043 16.455
47.051 16.478
47.053 16.504
47.061 16.518
47.066 16.518
47.07 16.508
47.072 16.493
47.078 16.475
47.089 16.475
47.096 16.468
47.101 16.47
47.106 16.487
47.111 16.492
47.114 16.499
47.123 16.505
47.129 16.523
47.133 16.528
47.143 16.523
47.15 16.514
47.148 16.492
47.147 16.453
47.155 16.451
47.161 16.454
47.169 16.469
47.179 16.46
47.188 16.445
47.19 16.431
47.193 16.425
47.2 16.422
47.211 16.418
47.216 16.422
47.216 16.434
47.219 16.437
47.236 16.44
47.244 16.444
47.251 16.436
47.256 16.457
47.257 16.471
47.261 16.477
47.268 16.48
47.279 16.485
47.284 16.493
47.308 16.48
47.314 16.475
47.331 16.469
47.34 16.461
47.344 16.448
47.352 16.438
47.356 16.437
47.358 16.441
47.36 16.453
47.367 16.46
47.38 16.456
47.393 16.456
47.393 16.454
47.401 16.449
47.41 16.454
47.412 16.459
47.409 16.483
47.404 16.489
47.4 16.488
47.397 16.498
47.393 16.503
47.409 16.524
47.408 16.559
47.41 16.565
47.411 16.576
47.421 16.588
47.422 16.597
47.427 16.609
47.43 16.622
47.439 16.629
47.458 16.66
47.471 16.671
47.478 16.671
47.486 16.661
47.494 16.654
47.501 16.656
47.505 16.666
47.504 16.68
47.509 16.691
47.52 16.705
47.528 16.706
47.535 16.713
47.541 16.71
47.544 16.703
47.559 16.688
47.561 16.677
47.566 16.67
47.573 16.678
47.58 16.677
47.591 16.669
47.605 16.667
47.61 16.658
47.619 16.653
47.625 16.643
47.626 16.628
47.617 16.599
47.619 16.589
47.619 16.576
47.622 16.568
47.623 16.566
47.633 16.545
47.638 16.53
47.643 16.523
47.643 16.517
47.638 16.504
47.64 16.496
47.646 16.488
47.65 16.473
47.651 16.456
47.657 16.44
47.658 16.43
47.662 16.428
47.667 16.432
47.667 16.433
47.675 16.445
47.675 16.444
47.688 16.447
47.691 16.45
47.692 16.457
47.682 16.467
47.68 16.473
47.681 16.478
47.689 16.481
47.7 16.498
47.707 16.518
47.71 16.526
47.71 16.542
47.711 16.543
47.722 16.552
47.734 16.547
47.737 16.541
47.751 16.558
47.753 16.568
47.752 16.579
47.755 16.589
47.751 16.599
47.759 16.613
47.759 16.618
47.755 16.626
47.756 16.636
47.755 16.643
47.746 16.654
47.741 16.666
47.739 16.697
47.736 16.708
47.728 16.719
47.713 16.729
47.698 16.743
47.683 16.753
47.681 16.771
47.68 16.817
47.681 16.83
47.686 16.835
47.698 16.842
47.706 16.854
47.707 16.859
47.716 16.866
47.716 16.872
47.694 16.875
47.688 16.881
47.689 16.891
47.688 16.913
47.694 16.949
47.698 16.987
47.711 17.091
47.722 17.076
47.731 17.072
47.757 17.07
47.779 17.068
47.794 17.06
47.8 17.072
47.806 17.081
47.826 17.059
47.836 17.063
47.843 17.058
47.86 17.023
47.865 17.024
47.867 17.028
47.867 17.05
47.871 17.064
47.873 17.072
47.88 17.094
47.893 17.105
47.905 17.103
47.918 17.114
47.929 17.097
47.935 17.1
47.945 17.106
47.955 17.12
47.961 17.12
47.967 17.101
47.978 17.111
48 17.157
48.008 17.163
48.017 17.193
48.016 17.218
48.019 17.252
48 17.269
47.987 17.279
47.99 17.317
47.98 17.33
47.975 17.349
47.975 17.37
47.942 17.414
47.917 17.452
47.886 17.479
47.866 17.514
47.848 17.533
47.828 17.561
47.812 17.58
47.814 17.61
47.808 17.629
47.794 17.656
47.78 17.688
47.77 17.706
47.751 17.72
47.747 17.74
47.745 17.768
47.735 17.785
47.739 17.807
47.738 17.828
47.738 17.842
47.739 17.853
47.74 17.861
47.739 17.87
47.737 17.881
47.733 17.894
47.734 17.903
47.738 17.914
47.738 17.941
47.755 17.962
47.753 17.972
47.75 17.981
47.743 18.003
47.743 18.008
47.744 18.015
47.75 18.025
47.752 18.041
47.753 18.06
47.753 18.079
47.752 18.096
47.749 18.111
47.747 18.127
47.741 18.156
47.734 18.192
47.736 18.24
47.733 18.273
47.728 18.296
47.73 18.323
47.737 18.352
47.74 18.389
47.746 18.415
47.761 18.447
47.759 18.475
47.748 18.495
47.749 18.515
47.759 18.537
47.765 18.568
47.761 18.6
47.751 18.639
47.752 18.68
47.775 18.713
47.784 18.736
47.807 18.743
47.814 18.761
47.816 18.797
47.816 18.824
47.809 18.87
47.813 18.872
47.827 18.866
47.832 18.859
47.834 18.852
47.835 18.842
47.839 18.836
47.844 18.831
47.852 18.828
47.855 18.823
47.856 18.819
47.858 18.812
47.862 18.805
47.873 18.797
47.879 18.789
47.887 18.786
47.909 18.784
47.934 18.786
47.97 18.792
47.982 18.793
47.985 18.8
47.988 18.813
47.99 18.819
47.994 18.822
47.995 18.828
47.999 18.83
48 18.83
48.006 18.831
48.014 18.829
48.017 18.827
48.021 18.828
48.024 18.835
48.029 18.838
48.036 18.833
48.039 18.826
48.044 18.832
48.048 18.843
48.05 18.852
48.05 18.857
48.05 18.865
48.05 18.873
48.05 18.88
48.052 18.886
48.055 18.892
48.056 18.897
48.058 18.9
48.059 18.906
48.064 18.913
48.07 18.92
48.076 18.929
48.076 18.936
48.075 18.946
48.079 18.954
48.079 18.959
48.072 18.966
48.068 18.972
48.067 18.983
48.06 18.993
48.059 19.002
48.071 19.036
48.07 19.045
48.06 19.068
48.059 19.078
48.066 19.088
48.07 19.1
48.068 19.123
48.068 19.135
48.07 19.15
48.07 19.159
48.064 19.174
48.063 19.186
48.061 19.212
48.061 19.234
48.056 19.246
48.056 19.253
48.077 19.274
48.075 19.282
48.075 19.291
48.08 19.298
48.081 19.307
48.085 19.312
48.086 19.315
48.089 19.345
48.089 19.372
48.089 19.388
48.091 19.398
48.086 19.41
48.09 19.429
48.099 19.454
48.104 19.461
48.104 19.467
48.1 19.469
48.091 19.468
48.087 19.477
48.089 19.482
48.091 19.482
48.096 19.491
48.103 19.496
48.109 19.497
48.11 19.497
