segment Austria
47.41 16.565
47.408 16.559
47.409 16.524
47.393 16.503
47.397 16.498
47.4 16.488
47.404 16.489
47.409 16.483
47.412 16.459
47.41 16.454
47.401 16.449
47.393 16.454
47.393 16.456
47.38 16.456
47.367 16.46
47.36 16.453
47.358 16.441
47.356 16.437
47.352 16.438
47.344 16.448
47.34 16.461
47.331 16.469
47.314 16.475
47.308 16.48
47.284 16.493
47.279 16.485
47.268 16.48
47.261 16.477
47.257 16.471
47.256 16.457
47.251 16.436
47.244 16.444
47.236 16.44
47.219 16.437
47.216 16.434
47.216 16.422
47.211 16.418
47.2 16.422
47.193 16.425
47.19 16.431
47.188 16.445
47.179 16.46
47.169 16.469
47.161 16.454
47.155 16.451
47.147 16.453
47.148 16.492
47.15 16.514
47.143 16.523
47.133 16.528
47.129 16.523
47.123 16.505
47.114 16.499
47.111 16.492
47.106 16.487
47.101 16.47
47.096 16.468
47.089 16.475
47.078 16.475
47.072 16.493
47.07 16.508
47.066 16.518
47.061 16.518
47.053 16.504
47.051 16.478
47.043 16.455
47.031 16.446
47.029 16.45
47.031 16.464
47.03 16.476
47.016 16.503
47.011 16.515
47.007 16.516
47.001 16.51
47 16.494
46.998 16.478
47.001 16.46
47.005 16.453
46.998 16.435
47.001 16.426
47.006 16.419
47.007 16.409
47.004 16.395
47.006 16.381
47.01 16.37
47.009 16.357
47.004 16.338
47.006 16.319
47.003 16.308
47.007 16.3
47.015 16.292
47.014 16.284
46.997 16.276
46.987 16.27
46.975 16.273
46.966 16.267
46.964 16.243
46.96 16.235
46.954 16.236
46.953 16.23
46.949 16.226
46.947 16.22
46.944 16.2
46.916 16.175
46.913 16.173
46.906 16.159
46.89 16.143
46.883 16.134
46.872 16.112
46.865 16.098
46.866 16.091
46.852 16.066
46.843 16.061
46.842 16.042
46.838 16.034
46.841 16.03
46.839 16.016
46.834 16.002
46.835 15.991
46.832 15.987
46.824 15.986
46.818 15.988
46.812 15.995
46.803 15.989
46.792 15.989
46.781 15.984
46.77 15.989
46.76 15.987
46.741 15.987
46.715 16.011
46.692 16.038
46.681 16.04
46.661 16.035
46.67 16.008
46.676 16
46.684 15.989
46.686 15.987
46.685 15.966
46.686 15.952
46.696 15.934
46.713 15.901
46.718 15.88
46.719 15.86
46.719 15.835
46.715 15.812
46.702 15.788
46.694 15.76
46.698 15.743
46.698 15.73
46.696 15.718
46.697 15.702
46.704 15.686
46.707 15.671
46.704 15.659
46.695 15.656
46.691 15.645
46.685 15.631
46.682 15.622
46.683 15.611
46.685 15.607
46.688 15.605
46.681 15.571
46.675 15.563
46.671 15.549
46.663 15.55
46.651 15.557
46.636 15.547
46.622 15.52
46.619 15.515
46.616 15.506
46.618 15.495
46.613 15.474
46.616 15.468
46.632 15.458
46.642 15.459
46.641 15.449
46.643 15.436
46.657 15.417
46.651 15.373
46.651 15.351
46.651 15.342
46.656 15.329
46.654 15.329
46.654 15.311
46.654 15.297
46.652 15.287
46.645 15.274
46.642 15.238
46.645 15.225
46.645 15.206
46.656 15.187
46.656 15.17
46.659 15.149
46.653 15.127
46.657 15.119
46.657 15.104
46.649 15.087
46.648 15.083
46.656 15.067
46.653 15.039
46.652 15.039
46.643 15.022
46.642 15.016
46.635 15.008
46.625 15
46.622 14.996
46.618 14.994
46.607 14.985
46.601 14.981
46.607 14.976
46.626 14.97
46.63 14.956
46.626 14.943
46.618 14.919
46.608 14.92
46.607 14.913
46.612 14.891
46.612 14.882
46.607 14.868
46.598 14.865
46.582 14.853
46.573 14.84
46.566 14.833
46.553 14.835
46.549 14.83
46.539 14.829
46.527 14.821
46.515 14.821
46.509 14.817
46.5 14.788
46.499 14.778
46.502 14.772
46.503 14.757
46.501 14.748
46.505 14.741
46.5 14.734
46.504 14.726
46.502 14.718
46.497 14.713
46.497 14.714
46.487 14.712
46.481 14.703
46.468 14.697
46.466 14.694
46.467 14.681
46.464 14.678
46.456 14.678
46.453 14.673
46.447 14.657
46.447 14.632
46.443 14.618
46.443 14.61
46.44 14.604
46.434 14.587
46.428 14.581
46.421 14.582
46.406 14.591
46.391 14.579
46.383 14.581
46.378 14.562
46.382 14.554
46.393 14.55
46.419 14.529
46.43 14.516
46.423 14.504
46.422 14.504
46.417 14.491
46.416 14.483
46.427 14.46
46.426 14.46
46.431 14.443
46.437 14.433
46.442 14.438
46.449 14.432
46.449 14.425
46.441 14.375
46.441 14.354
46.434 14.336
46.435 14.316
46.439 14.31
46.445 14.284
46.446 14.276
46.435 14.242
46.435 14.235
46.443 14.224
46.444 14.192
46.437 14.159
46.445 14.152
46.455 14.14
46.478 14.12
46.488 14.096
46.489 14.082
46.495 14.058
46.496 14.045
46.483 14.018
46.483 14.009
46.49 13.997
46.491 13.993
46.502 13.976
46.518 13.93
46.52 13.906
46.521 13.874
46.518 13.837
46.511 13.813
46.51 13.795
46.52 13.769
46.522 13.751
46.524 13.716
46.525 13.689
46.529 13.667
46.535 13.654
46.538 13.643
46.546 13.615
46.548 13.592
46.542 13.582
46.542 13.572
46.55 13.564
46.555 13.549
46.552 13.524
46.556 13.511
46.565 13.506
46.568 13.501
46.561 13.474
46.562 13.468
46.559 13.451
46.563 13.421
46.566 13.41
46.573 13.403
46.579 13.381
46.579 13.372
46.571 13.367
46.57 13.366
46.571 13.342
46.57 13.342
46.559 13.323
46.557 13.315
46.561 13.292
46.562 13.257
46.557 13.242
46.557 13.237
46.565 13.221
46.575 13.193
46.592 13.161
46.598 13.101
46.603 13.084
46.601 13.071
46.598 13.045
46.597 13.03
46.601 13.015
46.603 12.982
46.607 12.969
46.607 12.951
46.611 12.933
46.612 12.902
46.613 12.902
46.61 12.884
46.606 12.855
46.609 12.837
46.616 12.835
46.629 12.834
46.632 12.829
46.635 12.809
46.646 12.795
46.651 12.768
46.651 12.757
46.638 12.737
46.637 12.73
46.65 12.715
46.658 12.694
46.66 12.671
46.657 12.657
46.656 12.644
46.663 12.628
46.664 12.619
46.661 12.604
46.659 12.575
46.657 12.566
46.659 12.556
46.666 12.539
46.675 12.531
46.677 12.525
46.68 12.517
46.679 12.485
46.687 12.47
46.69 12.455
46.69 12.443
46.692 12.436
46.699 12.424
46.707 12.404
46.715 12.389
46.722 12.383
46.736 12.375
46.766 12.361
46.78 12.348
46.787 12.318
46.786 12.288
46.795 12.281
46.801 12.288
46.804 12.288
46.819 12.284
46.842 12.308
46.848 12.297
46.871 12.288
46.876 12.281
46.89 12.273
46.892 12.269
46.894 12.255
46.894 12.245
46.879 12.216
46.885 12.208
46.895 12.203
46.895 12.204
46.906 12.191
46.909 12.183
46.911 12.164
46.91 12.164
46.916 12.149
46.927 12.155
46.932 12.162
46.932 12.163
46.943 12.164
46.953 12.155
46.963 12.139
46.966 12.136
46.984 12.134
47.008 12.122
47.016 12.128
47.027 12.147
47.028 12.163
47.031 12.179
47.034 12.201
47.046 12.211
47.057 12.217
47.069 12.233
47.073 12.233
47.083 12.226
47.088 12.215
47.088 12.208
47.095 12.184
47.093 12.174
47.087 12.159
47.085 12.145
47.078 12.118
47.08 12.098
47.078 12.089
47.064 12.073
47.062 12.057
47.064 12.045
47.063 12.035
47.052 12.018
47.054 11.993
47.054 11.973
47.055 11.973
47.048 11.963
47.041 11.949
47.042 11.944
47.038 11.923
47.021 11.889
47.021 11.878
47.013 11.861
47.005 11.849
47.003 11.843
46.996 11.826
46.995 11.81
46.995 11.785
46.991 11.772
46.977 11.75
46.977 11.739
46.98 11.73
46.999 11.702
47 11.694
46.998 11.684
46.997 11.667
46.997 11.657
47.012 11.631
47.015 11.62
47.01 11.595
47.003 11.57
46.992 11.548
46.99 11.537
47.008 11.504
47.014 11.492
47.017 11.474
47.011 11.466
47.001 11.461
46.993 11.442
46.983 11.432
46.977 11.423
46.973 11.41
46.973 11.396
46.976 11.386
46.992 11.361
46.996 11.351
46.996 11.346
46.992 11.34
46.992 11.335
46.996 11.325
46.994 11.311
46.989 11.302
46.989 11.281
46.981 11.259
46.98 11.254
46.979 11.253
46.977 11.245
46.974 11.233
46.973 11.22
46.969 11.208
46.972 11.191
46.966 11.162
46.963 11.157
46.959 11.157
46.944 11.158
46.938 11.149
46.936 11.137
46.932 11.106
46.924 11.103
46.915 11.093
46.894 11.095
46.889 11.093
46.866 11.072
46.854 11.069
46.838 11.072
46.828 11.073
46.823 11.069
46.809 11.044
46.798 11.034
46.778 11.021
46.77 11.015
46.775 11.005
46.768 10.987
46.769 10.97
46.773 10.963
46.776 10.933
46.774 10.914
46.767 10.89
46.767 10.877
46.776 10.85
46.78 10.831
46.777 10.818
46.778 10.808
46.782 10.802
46.793 10.795
46.796 10.79
46.795 10.773
46.791 10.762
46.791 10.746
46.794 10.733
46.797 10.729
46.804 10.733
46.823 10.758
46.831 10.757
46.834 10.752
46.838 10.735
46.848 10.717
46.85 10.697
46.859 10.688
46.865 10.685
46.874 10.666
46.874 10.659
46.868 10.641
46.866 10.615
46.862 10.602
46.853 10.583
46.842 10.557
46.841 10.549
46.844 10.547
46.85 10.55
46.852 10.548
46.852 10.535
46.848 10.521
46.847 10.505
46.852 10.49
46.858 10.478
46.862 10.47
46.872 10.467
46.887 10.466
46.898 10.472
46.917 10.478
46.919 10.488
46.929 10.489
46.94 10.491
46.951 10.472
46.955 10.463
46.956 10.455
46.958 10.444
46.964 10.431
46.966 10.424
46.969 10.425
46.979 10.421
47.001 10.393
47.002 10.388
46.998 10.373
46.992 10.348
46.986 10.34
46.963 10.331
46.954 10.322
46.949 10.308
46.944 10.304
46.932 10.311
46.922 10.293
46.923 10.291
46.924 10.278
46.932 10.255
46.931 10.25
46.921 10.24
46.921 10.241
46.909 10.237
46.909 10.236
46.902 10.229
46.902 10.231
46.879 10.232
46.873 10.228
46.872 10.206
46.869 10.19
46.853 10.155
46.849 10.135
46.849 10.116
46.847 10.105
46.864 10.08
46.864 10.062
46.868 10.054
46.883 10.042
46.898 10.022
46.902 10.006
46.902 10
46.902 9.994
46.909 9.982
46.915 9.976
46.915 9.961
46.916 9.95
46.914 9.942
46.92 9.922
46.927 9.907
46.929 9.899
46.93 9.899
46.934 9.887
46.934 9.883
46.941 9.875
46.946 9.875
46.959 9.878
46.968 9.871
46.985 9.881
46.999 9.89
47.011 9.873
47.018 9.877
47.025 9.874
47.026 9.865
47.016 9.833
47.024 9.812
47.03 9.798
47.031 9.798
47.04 9.783
47.043 9.768
47.042 9.756
47.046 9.741
47.047 9.718
47.049 9.718
47.053 9.7
47.061 9.667
47.062 9.642
47.057 9.627
47.061 9.606
47.062 9.604
47.071 9.607
47.081 9.614
47.092 9.63
47.098 9.632
47.12 9.624
47.13 9.627
47.154 9.618
47.155 9.606
47.168 9.594
47.174 9.579
47.173 9.572
47.177 9.569
47.184 9.574
47.194 9.572
47.206 9.581
47.211 9.58
47.22 9.567
47.225 9.56
47.23 9.555
47.244 9.563
47.249 9.56
47.274 9.536
47.285 9.55
47.304 9.561
47.31 9.567
47.311 9.573
47.317 9.584
47.326 9.592
47.327 9.593
47.334 9.594
47.348 9.603
47.369 9.622
47.373 9.624
47.375 9.625
47.377 9.649
47.378 9.664
47.381 9.669
47.384 9.67
47.388 9.673
47.392 9.669
47.4 9.658
47.404 9.653
47.416 9.656
47.437 9.651
47.445 9.653
47.453 9.659
47.461 9.649
47.462 9.641
47.464 9.629
47.473 9.615
47.473 9.612
47.469 9.606
47.469 9.601
47.475 9.593
47.485 9.586
47.492 9.576
47.499 9.57
47.511 9.557
47.539 9.544
47.543 9.544
47.538 9.567
47.529 9.59
47.526 9.628
47.527 9.669
47.529 9.691
47.534 9.722
47.535 9.733
47.556 9.743
47.571 9.754
47.581 9.761
47.589 9.768
47.593 9.787
47.591 9.805
47.584 9.819
47.573 9.825
47.561 9.824
47.554 9.816
47.549 9.819
47.548 9.852
47.534 9.871
47.546 9.89
47.547 9.902
47.544 9.91
47.534 9.924
47.535 9.929
47.541 9.941
47.54 9.951
47.537 9.958
47.546 9.965
47.55 9.97
47.547 9.976
47.519 9.977
47.505 9.991
47.497 9.993
47.491 10
47.489 10.003
47.49 10.031
47.487 10.048
47.471 10.052
47.471 10.054
47.456 10.072
47.457 10.092
47.455 10.095
47.441 10.097
47.434 10.1
47.428 10.095
47.418 10.079
47.415 10.069
47.393 10.087
47.386 10.092
47.364 10.097
47.364 10.104
47.367 10.11
47.377 10.12
47.378 10.125
47.37 10.143
47.372 10.162
47.378 10.167
47.392 10.167
47.394 10.18
47.396 10.186
47.389 10.198
47.389 10.209
47.391 10.221
47.388 10.227
47.383 10.233
47.375 10.232
47.359 10.22
47.351 10.211
47.333 10.201
47.327 10.202
47.319 10.212
47.313 10.213
47.305 10.201
47.296 10.179
47.289 10.171
47.283 10.171
47.276 10.178
47.278 10.2
47.282 10.214
47.281 10.231
47.293 10.26
47.301 10.283
47.303 10.295
47.311 10.316
47.314 10.334
47.32 10.343
47.34 10.353
47.349 10.361
47.36 10.38
47.371 10.385
47.379 10.395
47.385 10.418
47.39 10.43
47.395 10.432
47.407 10.429
47.413 10.435
47.43 10.458
47.433 10.466
47.439 10.474
47.443 10.474
47.453 10.462
47.475 10.464
47.482 10.46
47.489 10.44
47.506 10.429
47.51 10.43
47.537 10.442
47.56 10.449
47.567 10.444
47.567 10.443
47.573 10.433
47.582 10.432
47.586 10.435
47.588 10.445
47.589 10.474
47.585 10.477
47.575 10.467
47.571 10.467
47.561 10.457
47.558 10.459
47.544 10.491
47.538 10.512
47.537 10.527
47.539 10.555
47.538 10.568
47.54 10.574
47.563 10.588
47.568 10.601
47.569 10.607
47.566 10.627
47.564 10.635
47.565 10.655
47.563 10.683
47.549 10.701
47.539 10.732
47.538 10.75
47.535 10.758
47.524 10.768
47.522 10.771
47.52 10.781
47.521 10.798
47.53 10.822
47.531 10.822
47.533 10.84
47.532 10.84
47.538 10.862
47.538 10.886
47.534 10.901
47.524 10.913
47.52 10.915
47.516 10.911
47.51 10.877
47.507 10.873
47.495 10.866
47.488 10.873
47.487 10.884
47.49 10.898
47.488 10.925
47.484 10.933
47.475 10.935
47.463 10.946
47.438 10.981
47.433 10.982
47.424 10.979
47.424 10.981
47.418 10.977
47.418 10.975
47.411 10.972
47.405 10.978
47.402 10.987
47.402 10.995
47.405 11.006
47.401 11.026
47.402 11.039
47.403 11.066
47.402 11.097
47.403 11.113
47.407 11.121
47.417 11.121
47.422 11.135
47.43 11.168
47.434 11.196
47.439 11.202
47.439 11.223
47.439 11.24
47.436 11.245
47.433 11.248
47.422 11.233
47.409 11.225
47.404 11.226
47.405 11.251
47.404 11.264
47.406 11.27
47.411 11.284
47.421 11.289
47.431 11.289
47.437 11.295
47.438 11.314
47.444 11.325
47.454 11.331
47.456 11.34
47.455 11.359
47.451 11.366
47.455 11.376
47.454 11.389
47.456 11.395
47.452 11.412
47.449 11.426
47.462 11.413
47.475 11.411
47.472 11.393
47.475 11.385
47.481 11.384
47.488 11.389
47.493 11.402
47.514 11.419
47.522 11.439
47.516 11.455
47.513 11.488
47.512 11.488
47.513 11.504
47.518 11.514
47.517 11.533
47.518 11.553
47.522 11.57
47.531 11.588
47.546 11.584
47.559 11.588
47.586 11.607
47.592 11.615
47.592 11.634
47.596 11.639
47.588 11.656
47.589 11.665
47.589 11.684
47.591 11.698
47.591 11.747
47.594 11.774
47.594 11.783
47.594 11.785
47.589 11.809
47.586 11.839
47.587 11.844
47.594 11.848
47.604 11.85
47.606 11.853
47.606 11.873
47.612 11.888
47.618 11.914
47.618 11.952
47.619 11.97
47.617 11.977
47.623 11.986
47.626 11.999
47.625 12.01
47.616 12.022
47.62 12.043
47.618 12.05
47.621 12.064
47.612 12.091
47.614 12.117
47.61 12.136
47.617 12.161
47.625 12.206
47.647 12.199
47.658 12.193
47.68 12.178
47.688 12.171
47.702 12.165
47.703 12.175
47.707 12.182
47.711 12.188
47.713 12.206
47.72 12.221
47.739 12.242
47.744 12.254
47.744 12.26
47.737 12.265
47.707 12.247
47.694 12.245
47.687 12.249
47.683 12.255
47.681 12.264
47.695 12.29
47.7 12.33
47.695 12.356
47.689 12.366
47.688 12.374
47.691 12.388
47.699 12.417
47.7 12.43
47.696 12.441
47.681 12.444
47.65 12.473
47.65 12.475
47.64 12.488
47.631 12.494
47.627 12.5
47.627 12.511
47.628 12.511
47.638 12.535
47.639 12.553
47.636 12.574
47.64 12.578
47.664 12.592
47.672 12.601
47.678 12.618
47.679 12.629
47.674 12.642
47.674 12.65
47.686 12.669
47.685 12.688
47.682 12.705
47.681 12.705
47.678 12.718
47.678 12.743
47.675 12.75
47.668 12.756
47.67 12.771
47.674 12.779
47.666 12.78
47.656 12.767
47.648 12.769
47.636 12.776
47.635 12.777
47.632 12.789
47.63 12.797
47.614 12.82
47.611 12.822
47.608 12.804
47.584 12.781
47.578 12.78
47.572 12.783
47.552 12.809
47.549 12.828
47.551 12.847
47.547 12.852
47.547 12.851
47.536 12.856
47.532 12.864
47.526 12.883
47.511 12.893
47.501 12.917
47.494 12.939
47.481 12.967
47.48 12.978
47.486 12.982
47.473 13.005
47.473 13.01
47.481 13.022
47.49 13.028
47.493 13.041
47.498 13.047
47.508 13.049
47.524 13.044
47.537 13.036
47.547 13.04
47.564 13.059
47.566 13.057
47.569 13.044
47.578 13.042
47.584 13.046
47.583 13.064
47.588 13.07
47.597 13.073
47.612 13.072
47.619 13.077
47.626 13.091
47.637 13.099
47.647 13.097
47.669 13.084
47.69 13.076
47.715 13.041
47.721 13.025
47.72 13.017
47.712 12.993
47.707 12.982
47.712 12.933
47.712 12.931
47.725 12.916
47.73 12.908
47.736 12.91
47.752 12.939
47.757 12.944
47.767 12.945
47.773 12.942
47.778 12.945
47.792 12.964
47.824 12.988
47.83 12.995
47.836 13.002
47.85 13.012
47.855 13.006
47.865 12.996
47.904 12.968
47.916 12.957
47.929 12.942
47.933 12.94
47.938 12.939
47.945 12.942
47.947 12.94
47.947 12.937
47.943 12.93
47.944 12.924
47.957 12.92
47.96 12.91
47.962 12.895
47.962 12.884
47.967 12.877
47.978 12.87
48 12.862
48.01 12.86
48.018 12.856
48.019 12.852
48.032 12.826
48.042 12.815
48.062 12.778
48.068 12.768
48.073 12.76
48.083 12.755
48.107 12.747
48.111 12.749
48.117 12.757
48.125 12.757
48.129 12.762
48.128 12.772
48.122 12.782
48.122 12.786
48.144 12.798
48.15 12.806
48.151 12.816
48.152 12.819
48.153 12.827
48.155 12.828
48.159 12.831
48.166 12.836
48.167 12.844
48.171 12.848
48.176 12.849
48.183 12.856
48.186 12.861
48.196 12.865
48.199 12.866
48.204 12.878
48.204 12.893
48.209 12.927
48.208 12.945
48.212 12.957
48.231 12.991
48.241 13.004
48.252 13.009
48.255 13.013
48.259 13.019
48.259 13.027
48.262 13.032
48.269 13.057
48.28 13.087
48.279 13.123
48.281 13.136
48.293 13.166
48.294 13.177
48.297 13.19
48.293 13.25
48.295 13.257
48.313 13.306
48.325 13.33
48.335 13.345
48.34 13.351
48.351 13.361
48.368 13.396
48.379 13.413
48.406 13.421
48.434 13.439
48.437 13.438
48.444 13.435
48.449 13.432
48.457 13.425
48.466 13.43
48.49 13.446
48.494 13.449
48.502 13.45
48.513 13.453
48.518 13.453
48.529 13.445
48.537 13.449
48.543 13.446
48.548 13.439
48.555 13.436
48.561 13.438
48.565 13.448
48.57 13.46
48.575 13.476
48.577 13.49
48.583 13.501
48.594 13.502
48.596 13.518
48.589 13.53
48.584 13.537
48.569 13.558
48.562 13.574
48.562 13.579
48.571 13.587
48.572 13.594
48.57 13.604
48.561 13.618
48.557 13.629
48.554 13.651
48.55 13.656
48.538 13.662
48.535 13.666
48.532 13.68
48.517 13.714
48.517 13.724
48.52 13.73
48.528 13.732
48.535 13.747
48.539 13.748
48.548 13.745
48.554 13.751
48.562 13.75
48.566 13.752
48.567 13.754
48.566 13.758
48.558 13.762
48.557 13.768
48.571 13.782
48.575 13.797
48.581 13.806
48.593 13.807
48.594 13.805
48.598 13.802
48.604 13.802
48.608 13.806
48.612 13.816
48.619 13.821
48.633 13.822
48.638 13.827
48.647 13.824
48.653 13.816
48.665 13.819
48.673 13.818
48.684 13.814
48.692 13.815
48.701 13.819
48.707 13.814
48.712 13.813
48.717 13.798
48.729 13.808
48.734 13.821
48.74 13.819
48.749 13.822
48.756 13.822
48.766 13.836
48.774 13.842
48.773 13.858
48.77 13.868
48.761 13.891
48.73 13.933
48.725 13.936
48.722 13.952
48.716 13.955
48.712 13.978
48.713 13.983
48.712 13.994
48.711 13.999
48.709 14.006
48.701 14.008
48.69 14.023
48.685 14.025
48.68 14.034
48.679 14.049
48.676 14.052
48.669 14.057
48.661 14.056
48.656 14.048
48.658 14.034
48.656 14.025
48.643 14.012
48.641 14.013
48.633 14.025
48.632 14.027
48.631 14.033
48.633 14.04
48.63 14.045
48.627 14.046
48.618 14.039
48.609 14.051
48.608 14.056
48.611 14.063
48.602 14.065
48.602 14.094
48.594 14.094
48.592 14.109
48.599 14.126
48.598 14.139
48.598 14.151
48.598 14.152
48.595 14.164
48.595 14.174
48.596 14.179
48.595 14.193
48.589 14.215
48.588 14.225
48.582 14.238
48.581 14.243
48.585 14.254
48.585 14.266
48.577 14.275
48.574 14.282
48.563 14.294
48.561 14.298
48.559 14.312
48.556 14.313
48.543 14.319
48.544 14.328
48.554 14.341
48.571 14.356
48.575 14.365
48.574 14.37
48.567 14.374
48.572 14.385
48.577 14.39
48.588 14.381
48.592 14.381
48.596 14.386
48.595 14.412
48.595 14.413
48.593 14.418
48.597 14.427
48.604 14.438
48.626 14.451
48.631 14.452
48.643 14.441
48.646 14.443
48.647 14.446
48.649 14.468
48.637 14.481
48.635 14.489
48.632 14.493
48.627 14.493
48.62 14.502
48.623 14.512
48.622 14.518
48.62 14.52
48.618 14.524
48.618 14.54
48.609 14.553
48.607 14.559
48.612 14.564
48.622 14.591
48.631 14.604
48.627 14.614
48.606 14.623
48.607 14.631
48.611 14.64
48.611 14.646
48.606 14.651
48.602 14.653
48.585 14.662
48.587 14.692
48.586 14.7
48.59 14.706
48.594 14.705
48.609 14.718
48.62 14.714
48.632 14.717
48.641 14.717
48.646 14.718
48.65 14.716
48.653 14.712
48.662 14.715
48.674 14.718
48.682 14.725
48.688 14.724
48.702 14.736
48.706 14.743
48.709 14.755
48.712 14.757
48.713 14.77
48.718 14.782
48.726 14.787
48.733 14.796
48.736 14.807
48.749 14.801
48.754 14.802
48.756 14.804
48.764 14.811
48.768 14.811
48.773 14.806
48.776 14.809
48.779 14.808
48.785 14.823
48.782 14.833
48.784 14.842
48.779 14.851
48.779 14.857
48.782 14.87
48.781 14.879
48.78 14.884
48.774 14.885
48.774 14.895
48.771 14.918
48.768 14.93
48.763 14.939
48.762 14.94
48.761 14.957
48.76 14.97
48.767 14.989
48.769 14.988
48.773 14.991
48.779 14.989
48.784 14.98
48.786 14.968
48.789 14.958
48.792 14.955
48.8 14.955
48.806 14.958
48.813 14.956
48.834 14.969
48.841 14.972
48.847 14.982
48.855 14.973
48.871 14.972
48.874 14.974
48.874 14.98
48.874 14.982
48.888 14.983
48.892 14.989
48.895 14.988
48.901 14.992
48.914 14.989
48.934 14.975
48.94 14.981
48.954 14.976
48.963 14.979
48.979 14.978
48.984 14.98
48.988 14.985
48.989 14.989
48.989 14.99
48.993 14.996
48.998 15
49.001 15.002
49.006 15
49.009 14.999
49.01 15
49.011 15.001
49.012 15.011
