segment Estonia
59.086 22.663
59.072 22.7
59.065 22.694
59.044 22.692
59.04 22.695
59.031 22.692
59.015 22.706
59.009 22.715
59.009 22.723
59.005 22.732
59.01 22.755
59.004 22.769
59.004 22.778
59.007 22.793
59.007 22.806
59.004 22.817
58.997 22.829
58.997 22.837
59.003 22.835
59.006 22.841
59.002 22.848
59.003 22.862
58.997 22.866
58.993 22.876
58.985 22.877
58.983 22.883
58.978 22.887
58.977 22.892
58.981 22.898
58.977 22.924
58.978 22.926
58.98 22.928
58.98 22.935
58.984 22.939
58.984 22.946
58.979 22.94
58.972 22.937
58.968 22.939
58.959 22.96
58.957 22.959
58.956 22.945
58.955 22.942
58.95 22.942
58.94 22.952
58.938 22.958
58.929 22.972
58.921 22.978
58.916 22.989
58.916 22.996
58.91 23.012
58.904 23.021
58.898 23.031
58.891 23.033
58.882 23.03
58.877 23.035
58.868 23.052
58.861 23.054
58.845 23.074
58.839 23.075
58.833 23.063
58.83 23.051
58.823 23.04
58.824 23.036
58.842 23.035
58.847 23.031
58.847 23.022
58.842 23.012
58.845 22.994
58.851 22.973
58.851 22.961
58.845 22.956
58.836 22.964
58.829 22.965
58.828 22.96
58.828 22.951
58.834 22.94
58.843 22.935
58.847 22.937
58.851 22.93
58.845 22.927
58.842 22.921
58.838 22.928
58.832 22.928
58.829 22.923
58.826 22.923
58.825 22.923
58.824 22.917
58.839 22.868
segment Estonia
59.027 23.127
59.032 23.129
59.038 23.144
59.037 23.153
59.046 23.165
59.05 23.167
59.046 23.178
59.045 23.199
59.047 23.201
59.051 23.194
59.052 23.201
59.047 23.206
59.043 23.206
59.039 23.216
59.037 23.231
59.041 23.241
59.037 23.249
59.037 23.262
59.034 23.264
59.028 23.263
59.025 23.272
59.02 23.274
59.019 23.278
59.028 23.288
59.028 23.291
59.024 23.295
59.023 23.298
59.033 23.304
59.034 23.313
59.027 23.321
59.027 23.329
59.029 23.332
59.032 23.329
59.038 23.333
59.036 23.341
59.024 23.352
59.022 23.36
59.01 23.371
59.002 23.375
58.998 23.388
58.994 23.394
58.986 23.387
58.975 23.388
58.974 23.383
58.975 23.367
58.981 23.362
58.984 23.351
58.982 23.342
58.976 23.337
58.974 23.319
58.976 23.311
58.974 23.303
58.966 23.297
58.963 23.301
58.962 23.314
58.959 23.321
58.956 23.317
58.956 23.311
58.962 23.29
58.975 23.266
58.984 23.251
58.986 23.237
58.985 23.228
58.982 23.224
58.976 23.223
58.967 23.229
58.967 23.22
58.963 23.214
58.967 23.208
58.971 23.206
58.972 23.2
58.968 23.196
58.963 23.199
58.961 23.198
58.963 23.191
58.968 23.189
58.963 23.185
58.966 23.17
58.974 23.161
58.98 23.162
58.98 23.173
58.982 23.175
58.983 23.176
58.991 23.155
59.002 23.14
59.009 23.136
59.014 23.125
59.017 23.124
59.027 23.127
segment Estonia
58.9 23.038
58.91 23.022
58.916 23.016
58.923 23.018
58.927 23.013
58.931 23.013
58.932 23.016
58.924 23.039
58.912 23.052
58.908 23.052
58.906 23.044
58.901 23.041
58.9 23.038
segment Estonia
58.832 23.414
58.837 23.397
58.84 23.398
58.842 23.402
58.841 23.413
58.838 23.416
58.832 23.414
segment Estonia
58.827 23.14
58.826 23.127
58.828 23.122
58.834 23.117
58.841 23.12
58.835 23.144
58.832 23.15
58.827 23.14
segment Estonia
58.813 23.472
58.816 23.462
58.823 23.452
58.833 23.447
58.834 23.453
58.826 23.472
58.819 23.481
58.815 23.482
58.813 23.472
segment Estonia
58.807 23.069
58.81 23.065
58.813 23.066
58.819 23.073
58.829 23.069
58.828 23.079
58.823 23.082
58.818 23.081
58.813 23.078
58.807 23.069
segment Estonia
58.794 23.015
58.814 22.989
58.817 22.991
58.819 22.998
58.813 23.002
58.809 23.012
58.798 23.018
58.794 23.015
segment Estonia
58.774 23.057
58.775 23.043
58.783 23.049
58.785 23.057
58.781 23.061
58.774 23.057
segment Estonia
58.752 23.185
58.753 23.178
58.751 23.168
58.756 23.169
58.759 23.18
58.758 23.187
58.755 23.191
58.752 23.191
58.752 23.185
segment Estonia
58.528 23.247
58.528 23.231
58.532 23.227
58.539 23.228
58.54 23.219
58.545 23.222
58.547 23.214
58.552 23.21
58.553 23.207
58.55 23.202
58.55 23.196
58.558 23.174
58.561 23.177
58.56 23.193
58.573 23.174
58.574 23.165
58.58 23.157
58.583 23.149
58.578 23.146
58.575 23.139
58.575 23.133
58.577 23.128
58.584 23.109
58.583 23.102
58.594 23.09
58.603 23.074
58.615 23.079
58.623 23.077
58.624 23.088
58.631 23.103
58.63 23.113
58.623 23.135
58.623 23.14
58.628 23.152
58.632 23.155
58.642 23.142
58.645 23.142
58.667 23.142
58.677 23.149
58.682 23.157
58.682 23.168
58.68 23.173
58.68 23.184
58.685 23.205
58.681 23.211
58.679 23.238
58.676 23.244
58.665 23.287
58.662 23.295
58.66 23.305
58.658 23.314
58.653 23.33
58.653 23.352
58.651 23.358
58.636 23.373
58.633 23.372
58.625 23.358
58.62 23.355
58.609 23.362
58.588 23.381
58.581 23.391
58.566 23.399
58.563 23.401
58.556 23.411
58.552 23.412
58.548 23.41
58.539 23.395
58.531 23.373
58.535 23.366
58.536 23.343
58.541 23.338
58.547 23.341
58.552 23.336
58.556 23.336
58.558 23.331
58.557 23.328
58.549 23.328
58.538 23.319
58.541 23.313
58.548 23.314
58.547 23.309
58.546 23.307
58.543 23.305
58.542 23.301
58.55 23.283
58.551 23.271
58.548 23.259
58.544 23.254
58.528 23.247
segment Estonia
58.629 23.047
58.629 23.034
58.631 23.025
58.636 23.017
58.643 23.02
58.648 23.025
58.649 23.031
58.648 23.036
58.629 23.047
segment Estonia
58.627 23.442
58.634 23.427
58.636 23.418
58.642 23.425
58.644 23.434
58.643 23.44
58.641 23.439
58.636 23.447
58.627 23.442
segment Estonia
58.392 22
58.392 21.998
58.398 21.994
58.4 21.998
58.402 21.998
58.403 21.998
58.405 21.992
58.404 21.988
58.4 21.984
58.403 21.97
58.409 21.965
58.41 21.959
58.414 21.955
58.418 21.956
58.423 21.948
58.432 21.95
58.435 21.949
58.449 21.924
58.456 21.917
58.47 21.914
58.474 21.909
58.476 21.895
58.471 21.867
58.472 21.866
58.476 21.861
58.479 21.861
58.483 21.869
58.488 21.865
58.489 21.863
58.487 21.862
58.483 21.864
58.481 21.862
58.484 21.855
58.492 21.852
58.498 21.844
58.499 21.846
58.497 21.859
58.491 21.876
58.483 21.886
58.482 21.896
58.484 21.913
58.487 21.929
58.49 21.935
58.492 21.937
58.504 21.929
58.506 21.917
58.509 21.913
58.517 21.921
58.518 21.926
58.516 21.94
58.511 21.956
58.51 21.971
58.512 21.991
58.511 22
58.508 22.011
58.498 22.023
58.497 22.029
58.493 22.032
58.484 22.03
58.47 22.043
58.44 22.06
58.421 22.083
58.418 22.089
58.419 22.103
58.42 22.107
58.423 22.114
58.428 22.117
58.437 22.112
58.442 22.116
58.46 22.111
58.48 22.115
58.491 22.122
58.502 22.135
58.508 22.164
58.516 22.178
58.515 22.198
58.516 22.198
58.519 22.202
58.529 22.204
58.536 22.195
58.549 22.208
58.548 22.214
58.543 22.221
58.539 22.233
58.526 22.238
58.519 22.234
58.509 22.242
58.494 22.238
58.489 22.243
58.485 22.254
58.485 22.262
58.489 22.273
58.488 22.277
58.487 22.281
58.489 22.292
58.493 22.297
58.505 22.302
58.516 22.302
58.52 22.314
58.524 22.315
58.534 22.306
58.541 22.303
58.544 22.298
58.544 22.291
58.539 22.289
58.541 22.282
58.553 22.29
58.558 22.284
58.568 22.284
58.571 22.287
58.571 22.294
58.568 22.306
58.566 22.31
58.571 22.317
58.574 22.33
58.576 22.357
58.58 22.363
58.579 22.368
58.575 22.375
58.575 22.383
58.58 22.409
58.579 22.425
58.582 22.462
58.588 22.481
58.588 22.488
58.594 22.502
58.601 22.506
58.603 22.512
58.605 22.516
58.611 22.52
58.616 22.528
58.617 22.534
58.627 22.544
58.634 22.548
58.642 22.561
58.643 22.564
58.633 22.574
58.629 22.582
58.616 22.595
58.585 22.635
58.582 22.646
58.581 22.65
58.584 22.678
58.595 22.693
58.599 22.69
58.6 22.691
58.599 22.7
58.594 22.716
58.582 22.726
58.582 22.735
58.577 22.743
58.577 22.748
58.581 22.756
58.587 22.762
58.598 22.768
58.604 22.776
58.613 22.776
58.617 22.775
58.626 22.801
58.627 22.813
58.621 22.833
58.621 22.843
58.617 22.849
58.623 22.858
58.628 22.885
58.617 22.902
58.619 22.91
58.618 22.929
58.619 22.938
58.615 22.959
58.612 22.962
58.609 22.972
58.601 23.003
58.594 23.024
58.58 23.042
58.575 23.066
58.571 23.065
58.567 23.074
58.564 23.073
58.563 23.076
58.566 23.094
58.56 23.109
58.561 23.116
58.559 23.126
58.558 23.135
58.552 23.141
58.548 23.138
58.545 23.142
58.542 23.145
58.54 23.144
58.541 23.137
58.531 23.142
58.527 23.145
58.52 23.161
58.517 23.191
58.508 23.219
58.502 23.227
58.498 23.252
58.498 23.264
58.493 23.278
58.49 23.278
58.487 23.283
58.486 23.287
58.489 23.297
58.482 23.298
58.481 23.3
58.478 23.305
58.466 23.31
58.464 23.326
58.46 23.332
58.453 23.33
58.449 23.323
58.439 23.319
58.435 23.313
58.434 23.308
58.44 23.305
58.452 23.309
58.455 23.307
58.449 23.295
58.449 23.286
58.452 23.282
58.455 23.284
58.456 23.29
58.459 23.29
58.462 23.287
58.469 23.288
58.472 23.285
58.473 23.28
58.471 23.278
58.467 23.273
58.463 23.28
58.455 23.27
58.458 23.266
58.46 23.256
58.46 23.245
58.46 23.234
58.455 23.23
58.448 23.244
58.443 23.247
58.443 23.255
58.445 23.257
58.446 23.261
58.441 23.262
58.436 23.268
58.431 23.266
58.43 23.255
58.432 23.243
58.437 23.234
58.433 23.226
58.435 23.22
58.445 23.218
58.444 23.216
58.442 23.211
58.444 23.208
58.451 23.21
58.456 23.204
58.456 23.2
58.452 23.189
58.456 23.188
58.46 23.193
58.467 23.212
58.467 23.223
58.469 23.226
58.475 23.222
58.473 23.198
58.476 23.19
58.474 23.182
58.463 23.178
58.456 23.181
58.456 23.177
58.465 23.173
58.466 23.169
58.473 23.167
58.478 23.166
58.475 23.161
58.469 23.16
58.465 23.153
58.459 23.152
58.451 23.155
58.445 23.161
58.442 23.153
58.443 23.145
58.437 23.148
58.432 23.138
58.429 23.142
58.426 23.134
58.423 23.134
58.417 23.116
58.416 23.109
58.418 23.107
58.425 23.115
58.429 23.116
58.43 23.107
58.428 23.103
58.428 23.096
58.43 23.09
58.429 23.082
58.429 23.08
58.43 23.075
58.424 23.076
58.42 23.071
58.411 23.079
58.409 23.075
58.403 23.073
58.391 23.078
58.389 23.077
58.388 23.08
58.39 23.088
58.388 23.089
58.38 23.084
58.38 23.067
58.384 23.068
58.381 23.056
58.381 23.046
58.384 23.042
58.389 23.042
58.388 23.057
58.392 23.063
58.395 23.061
58.395 23.054
58.392 23.042
58.391 23.039
58.386 23.033
58.37 23.036
58.366 23.028
58.364 23.031
58.364 23.039
58.361 23.04
58.361 23.028
58.364 23.018
58.368 23.015
58.363 23.009
58.361 23.001
58.362 22.994
58.367 22.983
58.382 22.969
58.391 22.952
58.39 22.948
58.387 22.947
58.383 22.952
58.381 22.947
58.377 22.945
58.377 22.943
58.38 22.934
58.378 22.928
58.375 22.932
58.372 22.924
58.37 22.923
58.371 22.936
58.369 22.939
58.361 22.96
58.353 22.967
58.352 22.962
58.356 22.956
58.352 22.953
58.351 22.947
58.342 22.939
58.34 22.934
58.334 22.928
58.331 22.931
58.328 22.924
58.325 22.933
58.321 22.921
58.309 22.919
58.305 22.923
58.303 22.899
58.305 22.884
58.305 22.873
58.31 22.88
58.314 22.881
58.323 22.868
58.325 22.869
58.327 22.876
58.332 22.869
58.336 22.87
58.342 22.857
58.34 22.855
58.336 22.85
58.333 22.853
58.324 22.858
58.323 22.851
58.32 22.849
58.315 22.853
58.3 22.855
58.299 22.847
58.295 22.841
58.29 22.831
58.286 22.829
58.28 22.833
58.277 22.83
58.273 22.83
58.262 22.824
58.262 22.821
58.265 22.817
58.271 22.797
58.27 22.77
58.271 22.761
58.281 22.734
58.279 22.716
58.275 22.702
58.271 22.698
58.263 22.697
58.26 22.701
58.245 22.72
58.239 22.739
58.234 22.736
58.23 22.744
58.225 22.746
58.222 22.744
58.214 22.718
58.213 22.706
58.217 22.692
58.224 22.676
58.226 22.676
58.227 22.665
58.229 22.663
58.234 22.664
58.235 22.657
58.228 22.655
58.222 22.648
58.222 22.641
58.23 22.634
58.236 22.636
58.236 22.644
58.245 22.652
58.248 22.652
58.255 22.642
58.257 22.634
58.255 22.623
58.245 22.612
58.238 22.612
58.225 22.598
58.235 22.591
58.233 22.581
58.221 22.562
58.222 22.557
58.224 22.557
58.232 22.554
58.236 22.543
58.242 22.54
58.249 22.54
58.252 22.535
58.25 22.53
58.219 22.507
58.218 22.499
58.222 22.494
58.229 22.492
58.233 22.487
58.236 22.477
58.234 22.47
58.239 22.472
58.242 22.468
58.243 22.461
58.236 22.448
58.233 22.446
58.231 22.445
58.224 22.444
58.216 22.419
58.22 22.415
58.223 22.408
58.221 22.403
58.222 22.363
58.22 22.352
58.213 22.33
58.205 22.299
58.196 22.28
58.186 22.266
58.182 22.263
58.174 22.258
58.159 22.253
58.151 22.251
58.141 22.254
58.13 22.265
58.127 22.263
58.127 22.256
58.125 22.253
58.089 22.249
58.079 22.229
58.069 22.224
58.065 22.222
58.059 22.221
58.049 22.227
58.044 22.224
58.032 22.204
58.018 22.199
58.001 22.186
57.991 22.199
57.986 22.204
57.982 22.202
57.966 22.174
57.966 22.16
57.965 22.153
57.962 22.146
57.952 22.135
57.947 22.123
57.933 22.102
57.924 22.093
57.923 22.08
57.916 22.069
57.901 22.055
57.9 22.05
57.903 22.043
57.922 22.047
57.926 22.032
57.929 22.02
57.932 22.016
57.938 22.018
57.942 22.014
57.943 22
57.943 21.999
57.948 21.992
57.956 21.987
57.972 21.985
57.977 21.996
57.98 22
57.979 22.003
57.979 22.008
57.985 22.014
57.996 22.012
58 22.017
58.006 22.035
58.012 22.045
58.014 22.046
58.02 22.04
58.023 22.042
58.024 22.048
58.028 22.056
58.036 22.055
58.047 22.067
58.051 22.066
58.059 22.069
58.077 22.084
58.078 22.089
58.08 22.093
58.08 22.104
58.084 22.112
58.081 22.125
58.072 22.131
58.068 22.141
58.067 22.16
58.068 22.161
58.069 22.164
58.084 22.171
58.092 22.168
58.097 22.17
58.104 22.18
58.115 22.184
58.129 22.197
58.13 22.207
58.136 22.211
58.136 22.216
58.138 22.219
58.15 22.209
58.156 22.211
58.159 22.207
58.158 22.199
58.155 22.19
58.156 22.171
58.156 22.168
58.154 22.153
58.157 22.147
58.167 22.146
58.169 22.14
58.168 22.128
58.175 22.116
58.171 22.11
58.175 22.105
58.173 22.099
58.181 22.097
58.182 22.081
58.184 22.075
58.184 22.072
58.181 22.072
58.176 22.079
58.177 22.072
58.176 22.065
58.188 22.057
58.19 22.053
58.193 22.054
58.2 22.04
58.204 22.045
58.203 22.051
58.206 22.051
58.211 22.042
58.22 22.036
58.227 22.021
58.233 22.021
58.238 22.011
58.24 22.015
58.245 22.001
58.246 22
58.253 22
58.253 21.999
58.253 21.99
58.264 21.986
58.266 21.971
58.264 21.969
58.259 21.975
58.248 21.989
58.246 21.999
58.243 21.998
58.241 21.991
58.239 21.978
58.242 21.962
58.246 21.951
58.249 21.928
58.255 21.908
58.256 21.901
58.255 21.894
58.255 21.89
58.258 21.889
58.263 21.895
58.268 21.885
58.274 21.881
58.271 21.877
58.266 21.877
58.275 21.863
58.278 21.859
58.285 21.859
58.285 21.848
58.288 21.844
58.294 21.853
58.301 21.84
58.307 21.838
58.31 21.841
58.314 21.848
58.313 21.857
58.307 21.868
58.307 21.884
58.301 21.896
58.311 21.905
58.313 21.912
58.317 21.912
58.327 21.888
58.33 21.884
58.334 21.883
58.338 21.883
58.339 21.875
58.343 21.872
58.345 21.874
58.345 21.881
58.343 21.887
58.344 21.89
58.343 21.898
58.336 21.908
58.332 21.923
58.324 21.923
58.322 21.927
58.322 21.932
58.315 21.931
58.316 21.953
58.318 21.956
58.324 21.953
58.331 21.961
58.334 21.96
58.343 21.945
58.354 21.938
58.355 21.942
58.356 21.945
58.351 21.96
58.347 21.975
58.343 21.981
58.342 21.986
58.349 22
58.362 22
58.364 21.987
58.367 21.984
58.371 21.988
58.37 21.995
58.372 22
58.392 22
segment Estonia
58.542 23.433
58.544 23.427
58.55 23.431
58.554 23.438
58.548 23.457
58.547 23.449
58.543 23.442
58.542 23.433
segment Estonia
58.522 23.262
58.526 23.256
58.536 23.259
58.541 23.272
58.534 23.282
58.522 23.262
segment Estonia
58.509 23.375
58.511 23.364
58.515 23.359
58.525 23.368
58.528 23.379
58.514 23.397
58.512 23.394
58.513 23.386
58.509 23.375
segment Estonia
58.425 23.284
58.428 23.276
58.434 23.273
58.436 23.275
58.43 23.283
58.433 23.288
58.433 23.297
58.426 23.291
58.425 23.284
segment Estonia
58.372 21.837
58.381 21.81
58.385 21.807
58.387 21.808
58.388 21.813
58.388 21.816
58.387 21.824
58.391 21.826
58.391 21.85
58.389 21.879
58.39 21.883
58.397 21.879
58.399 21.883
58.392 21.899
58.397 21.909
58.395 21.914
58.386 21.916
58.376 21.891
58.375 21.873
58.376 21.851
58.372 21.837
segment Estonia
58.331 23.789
58.333 23.783
58.346 23.773
58.348 23.776
58.347 23.78
58.335 23.791
58.331 23.789
segment Estonia
58.331 21.8
58.334 21.795
58.337 21.778
58.339 21.773
58.342 21.774
58.343 21.781
58.338 21.799
58.335 21.801
58.331 21.8
segment Estonia
58.221 24.143
58.207 24.129
58.205 24.121
58.206 24.114
58.204 24.101
58.206 24.098
58.213 24.108
58.213 24.113
58.219 24.122
58.222 24.123
58.225 24.13
58.234 24.143
58.235 24.146
58.23 24.149
58.221 24.143
segment Estonia
58.192 22.586
58.195 22.583
58.198 22.588
58.201 22.587
58.201 22.581
58.203 22.578
58.205 22.58
58.207 22.588
58.201 22.6
58.197 22.599
58.192 22.586
segment Estonia
58.144 22.481
58.154 22.491
58.158 22.494
58.165 22.496
58.172 22.492
58.178 22.492
58.179 22.512
58.176 22.519
58.174 22.518
58.172 22.514
58.17 22.519
58.155 22.526
58.151 22.535
58.136 22.519
58.132 22.509
58.126 22.503
58.128 22.499
58.134 22.5
58.136 22.492
58.143 22.488
58.144 22.481
segment Estonia
58.097 23.975
58.097 23.966
58.098 23.964
58.113 23.96
58.122 23.951
58.123 23.952
58.131 23.96
58.144 23.961
58.148 23.968
58.149 23.978
58.155 23.993
58.154 24.016
58.15 24.02
58.146 24.017
58.141 24.018
58.132 24.01
58.123 24.01
58.121 24.006
58.117 24.004
58.108 23.994
58.103 23.998
58.1 23.995
58.099 23.99
58.1 23.983
58.097 23.975
segment Estonia
58.146 22.477
58.136 22.469
58.138 22.466
58.144 22.468
58.151 22.475
58.149 22.478
58.146 22.477
segment Estonia
57.779 23.26
57.781 23.249
57.782 23.247
57.787 23.234
57.787 23.229
57.785 23.224
57.785 23.218
57.787 23.212
57.795 23.221
57.795 23.212
57.805 23.204
57.809 23.213
57.811 23.216
57.818 23.216
57.821 23.223
57.821 23.232
57.811 23.255
57.806 23.258
57.803 23.266
57.785 23.271
57.781 23.268
57.779 23.26
segment Estonia
59.54 24.547
59.542 24.526
59.549 24.506
59.554 24.497
59.569 24.482
59.571 24.483
59.573 24.484
59.576 24.49
59.578 24.492
59.585 24.488
59.588 24.497
59.605 24.512
59.606 24.518
59.604 24.521
59.597 24.523
59.589 24.538
59.581 24.541
59.574 24.55
59.567 24.553
59.561 24.561
59.554 24.558
59.543 24.568
59.541 24.565
59.54 24.547
segment Estonia
59.575 24.769
59.574 24.76
59.576 24.752
59.586 24.741
59.592 24.76
59.59 24.769
59.586 24.774
59.585 24.781
59.592 24.785
59.593 24.789
59.589 24.792
59.585 24.789
59.575 24.769
segment Estonia
59.315 23.992
59.321 23.976
59.326 23.973
59.332 23.971
59.333 23.963
59.347 23.95
59.347 23.94
59.349 23.935
59.351 23.934
59.351 23.941
59.362 23.957
59.365 23.967
59.357 23.995
59.335 24.014
59.32 24.011
59.319 24.002
59.315 23.992
segment Estonia
59.306 23.947
59.305 23.937
59.308 23.92
59.315 23.914
59.322 23.901
59.323 23.9
59.348 23.866
59.351 23.867
59.351 23.873
59.348 23.878
59.348 23.887
59.352 23.91
59.346 23.927
59.342 23.926
59.343 23.919
59.341 23.915
59.335 23.926
59.329 23.946
59.326 23.95
59.322 23.947
59.313 23.952
59.306 23.947
segment Estonia
59.279 23.428
59.279 23.423
59.287 23.408
59.287 23.39
59.29 23.375
59.303 23.36
59.306 23.362
59.306 23.375
59.3 23.399
59.291 23.416
59.283 23.427
59.279 23.428
segment Estonia
58.933 23.39
58.94 23.383
58.955 23.394
58.953 23.397
58.938 23.394
58.933 23.39
segment Estonia
59.675 25.818
59.677 25.801
59.685 25.788
59.688 25.791
59.687 25.798
59.682 25.805
59.677 25.823
59.675 25.818
segment Estonia
59.594 25.104
59.602 25.085
59.609 25.088
59.597 25.108
59.594 25.107
59.594 25.104
segment Estonia
59.565 25.244
59.569 25.233
59.569 25.225
59.571 25.218
59.58 25.204
59.579 25.223
59.58 25.227
59.578 25.235
59.574 25.235
59.567 25.244
59.565 25.244
segment Estonia
59.508 25.381
59.508 25.377
59.511 25.378
59.516 25.374
59.518 25.367
59.521 25.37
59.522 25.382
59.518 25.384
59.513 25.389
59.508 25.381
segment Estonia
58.976 23.666
58.987 23.66
58.988 23.649
58.99 23.645
58.994 23.654
58.998 23.65
58.997 23.644
59 23.636
59.004 23.633
59.005 23.618
58.998 23.614
58.983 23.632
58.98 23.63
58.984 23.621
58.998 23.604
59.002 23.599
59 23.59
59.006 23.582
58.999 23.571
58.975 23.574
58.967 23.565
58.965 23.555
58.974 23.552
58.976 23.546
58.976 23.53
58.986 23.515
58.984 23.503
58.98 23.492
58.98 23.485
58.983 23.473
58.985 23.47
58.988 23.462
59.004 23.443
59.011 23.428
59.026 23.417
59.028 23.419
59.029 23.428
59.022 23.448
59.023 23.452
59.027 23.454
59.029 23.452
59.033 23.457
59.036 23.456
59.042 23.443
59.048 23.44
59.051 23.435
59.057 23.441
59.071 23.441
59.075 23.441
59.075 23.446
59.074 23.464
59.075 23.472
59.074 23.483
59.078 23.486
59.08 23.492
59.086 23.491
59.085 23.502
59.086 23.51
59.094 23.522
59.09 23.541
59.092 23.547
59.096 23.547
59.123 23.53
59.123 23.525
59.125 23.523
59.128 23.526
59.133 23.525
59.132 23.538
59.138 23.532
59.144 23.519
59.157 23.522
59.165 23.517
59.181 23.492
59.187 23.489
59.21 23.499
59.213 23.514
59.216 23.518
59.223 23.518
59.228 23.514
59.23 23.515
59.231 23.521
59.223 23.529
59.217 23.536
59.216 23.554
59.218 23.59
59.223 23.614
59.233 23.629
59.233 23.638
59.236 23.645
59.244 23.656
59.245 23.667
59.234 23.672
59.235 23.68
59.229 23.698
59.23 23.707
59.234 23.73
59.242 23.742
59.254 23.749
59.258 23.748
59.262 23.735
59.274 23.731
59.274 23.738
59.271 23.74
59.27 23.747
59.273 23.76
59.27 23.77
59.272 23.78
59.282 23.786
59.285 23.799
59.286 23.805
59.285 23.816
59.287 23.819
59.288 23.827
59.286 23.842
59.28 23.857
59.279 23.865
59.276 23.877
59.27 23.885
59.272 23.896
59.278 23.91
59.278 23.916
59.274 23.926
59.274 23.938
59.27 23.951
59.27 23.958
59.272 23.964
59.278 23.974
59.282 23.999
59.283 24.014
59.287 24.022
59.287 24.036
59.289 24.043
59.284 24.053
59.285 24.062
59.282 24.072
59.283 24.082
59.281 24.084
59.277 24.081
59.275 24.077
59.275 24.076
59.266 24.08
59.27 24.087
59.27 24.093
59.276 24.095
59.279 24.102
59.308 24.129
59.308 24.123
59.315 24.123
59.313 24.117
59.316 24.109
59.327 24.103
59.331 24.095
59.333 24.083
59.332 24.078
59.334 24.073
59.34 24.069
59.348 24.051
59.358 24.036
59.376 24.033
59.391 24.037
59.391 24.044
59.388 24.06
59.386 24.068
59.386 24.081
