segment Belarus
52.824 31.541
52.811 31.556
52.796 31.581
52.787 31.596
52.778 31.6
52.765 31.6
52.754 31.603
52.738 31.611
52.732 31.602
52.717 31.581
52.705 31.567
52.702 31.558
52.697 31.529
52.691 31.514
52.685 31.516
52.667 31.535
52.658 31.547
52.637 31.568
52.626 31.575
52.607 31.575
52.598 31.576
52.585 31.59
52.568 31.615
52.563 31.642
52.56 31.668
52.556 31.676
52.548 31.677
52.541 31.668
52.54 31.657
52.54 31.629
52.538 31.617
52.531 31.61
52.52 31.606
52.509 31.605
52.497 31.611
52.485 31.629
52.475 31.63
52.465 31.617
52.455 31.611
52.449 31.612
52.441 31.617
52.433 31.612
52.422 31.61
52.415 31.612
52.413 31.617
52.41 31.629
52.405 31.636
52.388 31.636
52.361 31.635
52.343 31.634
52.336 31.627
52.329 31.613
52.32 31.609
52.302 31.616
52.294 31.629
52.294 31.649
52.291 31.656
52.282 31.659
52.273 31.668
52.273 31.685
52.275 31.706
52.275 31.712
52.266 31.718
52.248 31.716
52.231 31.718
52.222 31.717
52.203 31.705
52.197 31.703
52.192 31.71
52.191 31.723
52.191 31.739
52.189 31.76
52.186 31.78
52.175 31.787
52.161 31.788
52.14 31.789
52.127 31.799
52.117 31.805
52.107 31.797
52.095 31.747
52.1 31.717
52.104 31.705
52.109 31.659
52.114 31.609
52.119 31.547
52.12 31.502
52.121 31.491
52.135 31.466
52.14 31.447
52.141 31.422
52.135 31.395
52.12 31.383
52.109 31.377
52.106 31.356
52.1 31.333
52.09 31.321
52.071 31.317
52.059 31.312
52.05 31.306
52.046 31.298
52.042 31.28
52.045 31.263
52.057 31.235
52.067 31.202
52.078 31.169
52.086 31.158
52.094 31.137
52.092 31.119
52.085 31.089
52.08 31.047
52.075 30.997
52.078 30.974
52.074 30.941
52.067 30.944
52.06 30.953
52.053 30.952
52.049 30.947
52.038 30.939
52.032 30.944
52.024 30.948
52.02 30.94
52.01 30.909
52.007 30.902
52.003 30.894
51.998 30.906
51.99 30.913
51.986 30.906
51.984 30.895
51.978 30.899
51.976 30.902
51.97 30.899
51.971 30.883
51.965 30.881
51.969 30.875
51.961 30.865
51.965 30.844
51.959 30.845
51.959 30.837
51.951 30.829
51.951 30.818
51.944 30.817
51.939 30.824
51.923 30.831
51.914 30.823
51.904 30.808
51.901 30.796
51.903 30.771
51.905 30.761
51.903 30.755
51.879 30.733
51.875 30.726
51.874 30.719
51.869 30.714
51.849 30.706
51.839 30.703
51.837 30.696
51.836 30.677
51.832 30.667
51.826 30.664
51.812 30.674
51.802 30.68
51.784 30.669
51.779 30.662
51.778 30.659
51.78 30.649
51.777 30.632
51.771 30.629
51.766 30.63
51.765 30.635
51.765 30.643
51.767 30.649
51.765 30.656
51.757 30.66
51.748 30.65
51.742 30.644
51.742 30.637
51.734 30.634
51.724 30.63
51.716 30.634
51.714 30.628
51.709 30.622
51.711 30.608
51.712 30.585
51.711 30.577
51.702 30.568
51.698 30.568
51.692 30.578
51.68 30.584
51.672 30.582
51.669 30.584
51.661 30.591
51.656 30.586
51.652 30.578
51.648 30.564
51.642 30.563
51.636 30.574
51.63 30.574
51.626 30.567
51.628 30.558
51.629 30.549
51.626 30.544
51.623 30.544
51.621 30.548
51.618 30.548
51.613 30.541
51.61 30.532
51.605 30.523
51.6 30.519
51.593 30.525
51.587 30.538
51.586 30.551
51.584 30.558
51.583 30.56
51.581 30.561
51.58 30.558
51.575 30.546
51.573 30.54
51.568 30.538
51.561 30.54
51.554 30.548
51.546 30.554
51.545 30.556
51.551 30.578
51.552 30.586
51.549 30.593
51.544 30.595
51.54 30.596
51.538 30.591
51.529 30.587
51.526 30.585
51.519 30.572
51.517 30.571
51.509 30.584
51.504 30.593
51.498 30.594
51.483 30.594
51.481 30.594
51.479 30.597
51.476 30.615
51.471 30.625
51.463 30.627
51.459 30.624
51.46 30.602
51.456 30.597
51.456 30.595
51.449 30.592
51.439 30.594
51.428 30.593
51.426 30.601
51.43 30.619
51.424 30.634
51.406 30.642
51.395 30.649
51.391 30.652
51.387 30.663
51.38 30.663
51.375 30.659
51.37 30.651
51.363 30.648
51.354 30.651
51.352 30.664
51.348 30.672
51.345 30.671
51.337 30.655
51.335 30.652
51.334 30.636
51.327 30.625
51.318 30.602
51.311 30.59
51.312 30.576
51.314 30.567
51.308 30.566
51.301 30.575
51.292 30.584
51.28 30.583
51.263 30.574
51.256 30.564
51.26 30.55
51.267 30.543
51.267 30.53
51.277 30.52
51.286 30.507
51.285 30.494
51.278 30.484
51.277 30.472
51.282 30.458
51.291 30.459
51.298 30.465
51.304 30.464
51.31 30.458
51.31 30.446
51.306 30.426
51.307 30.417
51.308 30.41
51.327 30.377
51.349 30.35
51.353 30.346
51.357 30.343
51.362 30.345
51.372 30.354
51.38 30.362
51.389 30.364
51.399 30.359
51.404 30.356
51.413 30.35
51.435 30.327
51.451 30.303
51.466 30.281
51.482 30.256
51.486 30.247
51.488 30.236
51.499 30.216
51.508 30.185
51.51 30.162
51.51 30.153
51.506 30.135
51.504 30.12
51.502 30.087
51.502 30.073
51.504 30.064
51.503 30.049
51.499 30.026
51.489 30
51.487 29.953
51.487 29.929
51.484 29.904
51.474 29.889
51.459 29.88
51.448 29.877
51.447 29.871
51.449 29.855
51.458 29.82
51.456 29.809
51.451 29.806
51.446 29.8
51.448 29.785
51.461 29.767
51.475 29.747
51.497 29.739
51.512 29.734
51.518 29.729
51.52 29.716
51.516 29.687
51.508 29.659
51.505 29.635
51.495 29.621
51.479 29.601
51.468 29.593
51.464 29.583
51.467 29.569
51.474 29.556
51.475 29.548
51.475 29.542
51.461 29.533
51.445 29.529
51.415 29.526
51.407 29.519
51.401 29.505
51.401 29.495
51.401 29.48
51.411 29.459
51.416 29.443
51.42 29.428
51.417 29.406
51.408 29.39
51.393 29.379
51.387 29.362
51.389 29.343
51.398 29.323
51.417 29.319
51.444 29.307
51.469 29.289
51.492 29.263
51.504 29.26
51.52 29.266
51.544 29.277
51.555 29.274
51.569 29.264
51.578 29.247
51.588 29.221
51.594 29.213
51.602 29.215
51.613 29.227
51.621 29.23
51.627 29.229
51.634 29.205
51.643 29.175
51.646 29.163
51.648 29.132
51.649 29.112
51.64 29.095
51.628 29.086
51.613 29.074
51.575 29.018
51.565 29.008
51.566 29
51.583 28.992
51.593 28.968
51.591 28.932
51.591 28.911
51.58 28.892
51.568 28.864
51.557 28.834
51.548 28.821
51.495 28.787
51.481 28.786
51.461 28.799
51.445 28.801
51.431 28.8
51.418 28.785
51.417 28.773
51.431 28.755
51.448 28.752
51.463 28.749
51.469 28.739
51.462 28.728
51.446 28.708
51.44 28.685
51.443 28.678
51.467 28.675
51.485 28.67
51.513 28.653
51.523 28.645
51.534 28.646
51.549 28.662
51.554 28.677
51.56 28.685
51.564 28.682
51.567 28.679
51.569 28.659
51.562 28.629
51.56 28.614
51.56 28.601
51.58 28.547
51.586 28.524
51.586 28.503
51.58 28.468
51.564 28.44
51.546 28.404
51.548 28.395
51.551 28.388
51.567 28.379
51.582 28.364
51.593 28.347
51.62 28.31
51.625 28.294
51.633 28.271
51.64 28.266
51.645 28.268
51.673 28.283
51.681 28.286
51.688 28.28
51.683 28.264
51.671 28.247
51.661 28.22
51.652 28.19
51.64 28.178
51.618 28.161
51.613 28.153
51.614 28.14
51.611 28.127
51.6 28.119
51.59 28.109
51.584 28.103
51.586 28.088
51.587 28.078
51.582 28.068
51.572 28.055
51.567 28.042
51.563 28.026
51.56 27.999
51.558 27.957
51.564 27.939
51.575 27.924
51.59 27.925
51.614 27.921
51.627 27.891
51.623 27.867
51.604 27.845
51.586 27.835
51.565 27.833
51.554 27.841
51.545 27.841
51.537 27.823
51.526 27.802
51.51 27.781
51.5 27.77
51.482 27.763
51.475 27.75
51.482 27.738
51.496 27.72
51.503 27.682
51.509 27.675
51.52 27.673
51.528 27.681
51.535 27.676
51.545 27.687
51.564 27.726
51.581 27.734
51.59 27.737
51.607 27.736
51.617 27.732
51.622 27.721
51.619 27.704
51.62 27.682
51.627 27.665
51.63 27.65
51.624 27.64
51.622 27.632
51.624 27.625
51.637 27.597
51.647 27.572
51.644 27.562
51.635 27.565
51.636 27.551
51.644 27.538
51.649 27.529
51.659 27.535
51.666 27.532
51.668 27.524
51.659 27.513
51.64 27.516
51.627 27.51
51.62 27.492
51.619 27.467
51.622 27.457
51.631 27.437
51.629 27.423
51.626 27.398
51.629 27.373
51.626 27.335
51.618 27.284
51.607 27.262
51.599 27.252
51.598 27.243
51.599 27.234
51.604 27.226
51.612 27.23
51.617 27.243
51.626 27.243
51.635 27.246
51.638 27.255
51.652 27.267
51.668 27.276
51.674 27.274
51.677 27.26
51.676 27.25
51.67 27.233
51.669 27.222
51.673 27.202
51.681 27.199
51.718 27.199
51.759 27.2
51.777 27.198
51.785 27.192
51.786 27.174
51.785 27.144
51.782 27.122
51.786 27.116
51.789 27.103
51.79 27.089
51.791 27.064
51.79 27.043
51.788 27.032
51.787 27.017
51.789 27.003
51.775 26.984
51.759 26.973
51.758 26.947
51.756 26.922
51.761 26.894
51.787 26.848
51.794 26.83
51.791 26.815
51.784 26.794
51.785 26.775
51.795 26.767
51.803 26.745
51.821 26.711
51.822 26.702
51.823 26.674
51.826 26.664
51.832 26.631
51.828 26.614
51.812 26.552
51.805 26.519
51.806 26.511
51.81 26.49
51.84 26.448
51.859 26.419
51.869 26.412
51.871 26.406
51.868 26.397
51.86 26.377
51.861 26.351
51.864 26.333
51.869 26.307
51.872 26.305
51.876 26.3
51.876 26.292
51.869 26.277
51.871 26.258
51.875 26.223
51.88 26.195
51.888 26.179
51.898 26.175
51.9 26.148
51.902 26.138
51.909 26.126
51.921 26.11
51.925 26.103
51.928 26.091
51.925 26.07
51.921 26.044
51.923 26.034
51.93 26.019
51.932 26.002
51.922 25.987
51.918 25.975
51.917 25.963
51.921 25.946
51.926 25.928
51.927 25.913
51.924 25.894
51.927 25.879
51.93 25.86
51.934 25.832
51.941 25.823
51.948 25.816
51.952 25.802
51.945 25.784
51.933 25.779
51.926 25.772
51.923 25.749
51.919 25.711
51.914 25.68
51.918 25.644
51.923 25.598
51.928 25.574
51.929 25.54
51.93 25.528
51.935 25.505
51.933 25.487
51.928 25.464
51.926 25.455
51.924 25.442
51.926 25.422
51.928 25.4
51.938 25.369
51.951 25.354
51.959 25.339
51.969 25.313
51.975 25.298
51.977 25.281
51.971 25.261
51.969 25.224
51.973 25.204
51.975 25.18
51.97 25.142
51.951 25.095
51.931 25.051
51.918 25.028
51.916 25.003
51.916 25
51.918 24.946
51.923 24.9
51.926 24.842
51.923 24.793
51.916 24.769
51.902 24.754
51.9 24.715
51.905 24.688
51.915 24.67
51.92 24.646
51.923 24.594
51.927 24.537
51.93 24.468
51.926 24.419
51.913 24.385
51.893 24.37
51.866 24.375
51.84 24.376
51.808 24.368
51.785 24.365
51.755 24.351
51.702 24.279
51.604 24.099
51.583 24.057
51.579 24.034
51.585 23.974
51.589 23.944
51.597 23.928
51.61 23.923
51.624 23.93
51.635 23.928
51.644 23.903
51.65 23.878
51.651 23.862
51.634 23.83
51.636 23.819
51.644 23.803
51.655 23.793
51.663 23.767
51.66 23.739
51.643 23.688
51.629 23.65
51.621 23.645
51.614 23.65
51.599 23.662
51.591 23.659
51.573 23.641
51.564 23.648
51.551 23.671
51.535 23.689
51.516 23.683
51.505 23.668
51.497 23.631
51.499 23.628
51.505 23.623
51.516 23.626
51.524 23.618
51.527 23.619
51.531 23.616
51.531 23.606
51.537 23.599
51.532 23.589
51.534 23.579
51.539 23.573
51.55 23.571
51.559 23.579
51.568 23.57
51.581 23.566
51.586 23.557
51.596 23.554
51.601 23.548
51.606 23.546
51.62 23.55
51.628 23.549
51.635 23.546
51.642 23.551
51.649 23.54
51.655 23.547
51.66 23.544
51.664 23.549
51.665 23.557
51.668 23.56
51.675 23.557
51.682 23.558
51.683 23.561
51.684 23.564
51.685 23.562
51.686 23.554
51.689 23.552
51.701 23.561
51.703 23.561
51.706 23.556
51.707 23.553
51.71 23.558
51.714 23.554
51.716 23.557
51.718 23.557
51.727 23.549
51.723 23.545
51.724 23.54
51.727 23.54
51.731 23.534
51.733 23.536
51.745 23.537
51.749 23.541
51.751 23.551
51.763 23.565
51.76 23.58
51.766 23.597
51.777 23.608
51.776 23.616
51.778 23.621
51.786 23.628
51.786 23.634
51.787 23.635
51.795 23.636
51.804 23.643
51.816 23.639
51.827 23.631
51.831 23.63
51.834 23.625
51.835 23.608
51.837 23.61
51.842 23.615
51.842 23.607
51.844 23.605
51.846 23.608
51.85 23.618
51.858 23.621
51.861 23.62
51.864 23.616
51.874 23.612
51.879 23.613
51.881 23.617
51.881 23.622
51.878 23.633
51.878 23.637
51.89 23.63
51.897 23.642
51.9 23.642
51.903 23.637
51.905 23.627
51.909 23.623
51.914 23.626
51.922 23.617
51.927 23.622
51.927 23.628
51.925 23.635
51.936 23.64
51.937 23.648
51.941 23.65
51.949 23.646
51.952 23.644
51.954 23.634
51.956 23.632
51.957 23.635
51.957 23.646
51.967 23.656
51.968 23.665
51.966 23.669
51.969 23.673
51.973 23.674
51.981 23.67
51.985 23.674
51.986 23.68
51.991 23.69
51.999 23.696
52.003 23.692
52.005 23.682
52.011 23.677
52.017 23.666
52.02 23.663
52.023 23.666
52.042 23.663
52.048 23.658
52.052 23.659
52.056 23.657
52.079 23.654
52.084 23.648
52.085 23.647
52.085 23.635
52.088 23.631
52.098 23.614
52.102 23.615
52.107 23.624
52.11 23.62
52.111 23.612
52.119 23.602
52.117 23.591
52.121 23.584
52.117 23.575
52.121 23.566
52.121 23.562
52.112 23.558
52.112 23.554
52.113 23.552
52.127 23.548
52.132 23.545
52.131 23.534
52.131 23.528
52.137 23.524
52.136 23.52
52.137 23.517
52.143 23.52
52.147 23.519
52.148 23.516
52.147 23.51
52.147 23.504
52.149 23.498
52.153 23.493
52.164 23.49
52.168 23.497
52.172 23.497
52.171 23.509
52.176 23.509
52.179 23.5
52.18 23.49
52.174 23.48
52.174 23.472
52.178 23.466
52.18 23.466
52.182 23.467
52.184 23.453
52.171 23.435
52.172 23.427
52.181 23.422
52.181 23.42
52.176 23.412
52.177 23.404
52.181 23.401
52.189 23.406
52.191 23.406
52.194 23.398
52.197 23.399
52.199 23.397
52.194 23.39
52.194 23.381
52.196 23.374
52.205 23.374
52.205 23.369
52.202 23.365
52.203 23.359
52.206 23.36
52.212 23.353
52.211 23.35
52.205 23.345
52.207 23.329
52.206 23.306
52.21 23.305
52.215 23.314
52.219 23.31
52.218 23.299
52.218 23.298
52.214 23.286
52.214 23.273
52.216 23.254
52.221 23.229
52.221 23.214
52.226 23.206
52.238 23.2
52.246 23.203
52.254 23.212
52.258 23.213
52.262 23.206
52.265 23.206
52.272 23.211
52.275 23.209
52.279 23.191
52.28 23.188
52.283 23.177
52.321 23.204
52.361 23.243
52.389 23.26
52.417 23.274
52.447 23.291
52.461 23.308
52.486 23.334
52.504 23.356
52.548 23.407
52.574 23.454
52.587 23.497
52.598 23.523
52.603 23.544
52.606 23.563
52.622 23.645
52.633 23.711
52.641 23.784
52.66 23.881
52.667 23.915
52.673 23.918
52.718 23.925
52.827 23.928
52.892 23.933
52.935 23.941
52.948 23.956
52.967 23.95
53.019 23.939
53.033 23.926
53.044 23.919
53.048 23.91
53.055 23.913
53.059 23.908
53.061 23.897
53.064 23.89
53.071 23.888
53.084 23.876
53.087 23.879
53.091 23.887
53.099 23.889
53.103 23.894
53.112 23.891
53.115 23.891
53.122 23.897
53.129 23.903
53.137 23.916
53.141 23.919
53.147 23.917
53.153 23.921
53.158 23.92
53.172 23.909
53.187 23.878
53.194 23.871
53.208 23.865
53.217 23.866
53.223 23.871
53.229 23.868
53.231 23.863
53.241 23.832
53.249 23.82
53.271 23.803
53.306 23.779
53.364 23.748
53.411 23.721
53.453 23.701
53.467 23.692
53.475 23.688
53.481 23.681
53.508 23.662
53.536 23.654
53.566 23.644
53.584 23.638
53.593 23.633
53.597 23.621
53.601 23.614
53.614 23.614
53.653 23.608
53.685 23.607
53.703 23.608
53.716 23.609
53.727 23.611
53.742 23.611
53.754 23.599
53.765 23.577
53.776 23.566
53.783 23.564
53.818 23.563
53.846 23.559
53.858 23.554
53.874 23.545
53.882 23.54
53.934 23.527
53.956 23.513
53.967 23.506
53.948 23.555
53.941 23.578
53.931 23.601
53.917 23.614
53.917 23.636
53.925 23.667
53.934 23.687
53.933 23.742
53.925 23.765
53.905 23.787
53.901 23.806
53.906 23.823
53.915 23.826
53.924 23.815
53.933 23.801
53.936 23.808
53.939 23.821
53.948 23.835
53.957 23.846
53.956 23.852
