segment Svalbard
77.577 15.703
77.582 15.65
77.58 15.589
77.588 15.521
77.587 15.479
77.594 15.443
77.6 15.363
77.599 15.324
77.597 15.282
77.605 15.24
77.607 15.208
77.607 15.154
77.608 15.153
77.606 15.034
77.605 15.035
77.61 15
77.619 14.94
77.61 14.924
77.613 14.9
77.636 14.858
77.638 14.853
77.646 14.775
77.654 14.748
77.66 14.763
77.665 14.843
77.665 14.844
77.679 14.89
77.685 15
77.688 15.059
77.719 15.268
77.722 15.345
77.724 15.388
77.735 15.44
77.738 15.533
77.744 15.623
77.745 15.622
77.748 15.677
77.747 15.769
77.758 15.841
77.759 15.879
77.76 15.913
77.759 15.964
77.76 16
77.768 16.027
77.77 16.057
77.766 16.081
77.77 16.148
77.773 16.162
77.774 16.2
77.776 16.231
77.787 16.295
77.798 16.322
77.806 16.353
77.807 16.374
77.807 16.394
77.803 16.41
77.798 16.462
77.795 16.528
77.8 16.544
77.802 16.559
77.804 16.605
77.803 16.647
77.808 16.663
77.81 16.696
77.81 16.788
77.806 16.841
77.787 16.975
77.785 17.029
77.782 17.05
77.782 17.077
77.783 17.1
77.786 17.102
77.792 17.091
77.8 17.066
77.805 17.031
77.811 17.008
77.813 16.976
77.817 16.954
77.82 16.923
77.825 16.893
77.825 16.887
77.834 16.849
77.846 16.819
77.848 16.814
77.872 16.806
77.878 16.767
77.881 16.759
77.887 16.757
77.89 16.763
77.892 16.781
77.891 16.795
77.885 16.827
77.872 16.868
77.873 16.882
77.89 16.942
77.904 16.984
77.907 16.98
77.911 16.952
77.916 16.951
77.925 16.999
77.93 17.02
77.93 16.937
77.928 16.906
77.915 16.856
77.912 16.797
77.906 16.767
77.889 16.714
77.868 16.691
77.861 16.677
77.859 16.638
77.859 16.557
77.86 16.535
77.859 16.513
77.854 16.5
77.851 16.472
77.847 16.409
77.852 16.366
77.857 16.324
77.852 16.284
77.851 16.221
77.853 16.199
77.849 16.127
77.845 16.113
77.841 16.099
77.841 16.07
77.84 16.07
77.839 16.04
77.845 16.023
77.842 15.992
77.83 15.915
77.83 15.877
77.835 15.755
77.843 15.691
77.854 15.64
77.86 15.628
77.868 15.62
77.876 15.626
77.885 15.595
77.885 15.568
77.881 15.549
77.877 15.54
77.868 15.504
77.868 15.482
77.874 15.464
77.873 15.417
77.871 15.378
77.864 15.343
77.838 15.282
77.83 15.251
77.825 15.207
77.818 15.186
77.809 15.138
77.81 15.137
77.8 15.102
77.797 15.052
77.791 15.011
77.791 15
77.788 14.921
77.789 14.92
77.788 14.842
77.785 14.795
77.78 14.759
77.765 14.722
77.764 14.697
77.79 14.593
77.793 14.566
77.791 14.548
77.788 14.537
77.781 14.542
77.767 14.61
77.761 14.654
77.759 14.622
77.757 14.6
77.759 14.554
77.758 14.531
77.752 14.457
77.756 14.405
77.758 14.352
77.757 14.278
77.766 14.251
77.773 14.209
77.773 14.202
77.772 14.161
77.769 14.119
77.765 14.09
77.758 14.054
77.754 14.052
77.748 14.061
77.739 14.006
77.736 14.003
77.732 14.009
77.725 14
77.721 13.985
77.72 13.972
77.722 13.949
