segment Yugoslavia
43.878 15.422
43.883 15.421
43.887 15.416
43.889 15.426
43.888 15.43
43.881 15.426
43.878 15.422
segment Yugoslavia
43.737 15.455
43.74 15.45
43.742 15.44
43.75 15.43
43.767 15.386
43.775 15.371
43.783 15.361
43.783 15.35
43.79 15.339
43.79 15.33
43.792 15.326
43.805 15.304
43.809 15.301
43.814 15.302
43.816 15.3
43.815 15.296
43.816 15.292
43.819 15.291
43.82 15.285
43.824 15.284
43.828 15.274
43.826 15.271
43.828 15.263
43.839 15.255
43.843 15.248
43.849 15.242
43.857 15.241
43.875 15.22
43.876 15.221
43.88 15.232
43.879 15.237
43.875 15.242
43.873 15.248
43.874 15.255
43.872 15.263
43.87 15.264
43.867 15.261
43.867 15.255
43.864 15.252
43.852 15.268
43.814 15.333
43.805 15.348
43.785 15.366
43.774 15.393
43.765 15.405
43.746 15.452
43.741 15.46
43.737 15.458
43.737 15.455
segment Yugoslavia
43.863 15.445
43.871 15.429
43.872 15.431
43.87 15.441
43.868 15.445
43.863 15.445
segment Yugoslavia
43.849 15.506
43.86 15.486
43.862 15.488
43.861 15.495
43.863 15.499
43.866 15.498
43.867 15.503
43.859 15.507
43.856 15.514
43.852 15.518
43.851 15.509
43.849 15.506
segment Yugoslavia
43.855 15.544
43.865 15.531
43.866 15.533
43.863 15.547
43.856 15.547
43.855 15.544
segment Yugoslavia
43.854 15.228
43.859 15.22
43.861 15.224
43.861 15.227
43.856 15.236
43.854 15.228
segment Yugoslavia
43.766 15.651
43.774 15.637
43.778 15.631
43.777 15.625
43.779 15.622
43.785 15.62
43.795 15.613
43.797 15.61
43.797 15.602
43.813 15.581
43.818 15.58
43.834 15.565
43.839 15.566
43.84 15.569
43.839 15.572
43.83 15.582
43.827 15.589
43.829 15.592
43.835 15.59
43.84 15.593
43.84 15.597
43.837 15.6
43.833 15.598
43.83 15.599
43.831 15.605
43.828 15.606
43.823 15.604
43.815 15.609
43.814 15.613
43.81 15.618
43.803 15.622
43.804 15.628
43.799 15.628
43.798 15.632
43.802 15.636
43.802 15.639
43.797 15.646
43.792 15.648
43.788 15.645
43.786 15.646
43.784 15.651
43.77 15.665
43.767 15.664
43.77 15.657
43.766 15.651
segment Yugoslavia
43.83 15.522
43.833 15.514
43.836 15.509
43.838 15.51
43.838 15.514
43.834 15.523
43.831 15.525
43.83 15.522
segment Yugoslavia
43.819 15.25
43.822 15.248
43.823 15.242
43.832 15.232
43.834 15.232
43.825 15.261
43.822 15.264
43.82 15.263
43.821 15.256
43.819 15.25
segment Yugoslavia
43.801 15.274
43.803 15.265
43.806 15.261
43.807 15.266
43.803 15.273
43.806 15.276
43.803 15.277
43.801 15.274
segment Yugoslavia
43.779 15.306
43.783 15.293
43.785 15.294
43.786 15.297
43.783 15.306
43.785 15.31
43.783 15.311
43.779 15.306
segment Yugoslavia
43.763 15.347
43.774 15.324
43.773 15.318
43.776 15.315
43.779 15.317
43.78 15.32
43.78 15.325
43.773 15.34
43.77 15.354
43.768 15.356
43.764 15.356
43.763 15.353
43.763 15.347
segment Yugoslavia
43.748 15.367
43.752 15.358
43.755 15.358
43.764 15.362
43.765 15.367
43.763 15.369
43.76 15.366
43.759 15.368
43.761 15.373
43.761 15.379
43.759 15.381
43.748 15.367
segment Yugoslavia
43.721 15.795
43.729 15.786
43.733 15.789
43.739 15.785
43.742 15.78
43.746 15.781
43.746 15.784
43.739 15.794
43.727 15.805
43.725 15.804
43.726 15.801
43.724 15.797
43.721 15.799
43.721 15.795
segment Yugoslavia
43.725 15.47
43.733 15.466
43.735 15.469
43.736 15.473
43.73 15.478
43.727 15.478
43.727 15.474
43.725 15.47
segment Yugoslavia
43.709 15.774
43.709 15.77
43.714 15.763
43.722 15.76
43.727 15.753
43.731 15.751
43.735 15.753
43.734 15.759
43.721 15.778
43.716 15.781
43.718 15.769
43.711 15.775
43.709 15.774
segment Yugoslavia
43.719 15.46
43.719 15.454
43.729 15.443
43.731 15.444
43.731 15.45
43.727 15.457
43.719 15.46
segment Yugoslavia
43.676 15.717
43.683 15.707
43.686 15.697
43.689 15.697
43.691 15.706
43.692 15.704
43.707 15.68
43.71 15.685
43.714 15.684
43.718 15.68
43.719 15.672
43.72 15.671
43.722 15.674
43.719 15.686
43.721 15.691
43.713 15.693
43.712 15.698
43.708 15.704
43.703 15.705
43.696 15.712
43.694 15.716
43.694 15.726
43.692 15.728
43.686 15.721
43.684 15.722
43.681 15.719
43.676 15.722
43.676 15.717
segment Yugoslavia
43.711 15.466
43.714 15.47
43.708 15.475
43.705 15.482
43.699 15.497
43.698 15.507
43.693 15.515
43.691 15.517
43.691 15.509
43.695 15.501
43.696 15.491
43.699 15.487
43.7 15.482
43.711 15.468
43.711 15.466
segment Yugoslavia
43.666 15.866
43.671 15.861
43.676 15.856
43.695 15.824
43.701 15.818
43.703 15.82
43.702 15.832
43.704 15.834
43.71 15.833
43.712 15.837
43.709 15.843
43.685 15.866
43.679 15.869
43.673 15.867
43.667 15.872
43.666 15.866
segment Yugoslavia
43.685 15.767
43.688 15.761
43.687 15.751
43.692 15.747
43.693 15.741
43.702 15.736
43.705 15.737
43.711 15.745
43.706 15.746
43.699 15.764
43.693 15.771
43.689 15.773
43.685 15.771
43.685 15.767
segment Yugoslavia
43.681 15.679
43.688 15.67
43.693 15.658
43.702 15.646
43.705 15.647
43.705 15.65
43.696 15.663
43.695 15.676
43.691 15.679
43.688 15.688
43.684 15.693
43.682 15.692
43.681 15.679
segment Yugoslavia
43.689 15.475
43.69 15.472
43.695 15.469
43.697 15.464
43.7 15.464
43.7 15.47
43.697 15.475
43.692 15.477
43.689 15.475
segment Yugoslavia
43.673 15.916
43.675 15.906
43.678 15.908
43.68 15.907
43.682 15.909
43.677 15.917
43.674 15.919
43.673 15.916
segment Yugoslavia
43.632 15.687
43.642 15.664
43.642 15.659
43.644 15.654
43.649 15.651
43.653 15.641
43.664 15.627
43.666 15.622
43.664 15.62
43.662 15.62
43.661 15.617
43.666 15.607
43.67 15.603
43.673 15.604
43.676 15.602
43.679 15.603
43.68 15.606
43.674 15.619
43.674 15.633
43.672 15.639
43.67 15.647
43.665 15.654
43.668 15.657
43.663 15.668
43.648 15.688
43.647 15.697
43.636 15.731
43.633 15.732
43.631 15.731
43.631 15.726
43.634 15.708
43.636 15.705
43.636 15.7
43.638 15.694
43.637 15.691
43.633 15.692
43.632 15.69
43.632 15.687
segment Yugoslavia
43.439 16.181
43.442 16.177
43.441 16.171
43.437 16.172
43.434 16.167
43.437 16.154
43.434 16.15
43.432 16.151
43.429 16.147
43.431 16.141
43.427 16.126
43.433 16.108
43.441 16.117
43.442 16.124
43.446 16.121
43.449 16.122
43.452 16.126
43.449 16.142
43.452 16.142
43.456 16.135
43.46 16.134
43.46 16.136
43.459 16.142
43.46 16.156
43.458 16.166
43.451 16.176
43.449 16.176
43.444 16.18
43.439 16.181
segment Yugoslavia
43.438 16.085
43.44 16.082
43.443 16.084
43.447 16.083
43.444 16.07
43.448 16.054
43.451 16.052
43.453 16.056
43.453 16.066
43.457 16.069
43.456 16.078
43.459 16.083
43.459 16.089
43.453 16.093
43.447 16.1
43.444 16.092
43.439 16.089
43.438 16.085
segment Yugoslavia
43.326 16.39
43.327 16.386
43.33 16.382
43.332 16.373
43.336 16.371
43.34 16.374
43.343 16.37
43.337 16.364
43.338 16.357
43.347 16.335
43.349 16.326
43.353 16.323
43.356 16.314
43.36 16.317
43.361 16.316
43.361 16.308
43.365 16.299
43.364 16.293
43.366 16.289
43.368 16.291
43.372 16.288
43.373 16.283
43.368 16.28
43.372 16.267
43.375 16.261
43.376 16.253
43.38 16.249
43.38 16.241
43.385 16.231
43.382 16.228
43.385 16.219
43.384 16.207
43.387 16.205
43.392 16.208
43.399 16.205
43.402 16.202
43.405 16.205
43.41 16.2
43.413 16.201
43.414 16.206
43.414 16.212
43.413 16.217
43.416 16.225
43.416 16.236
43.415 16.263
43.412 16.268
43.412 16.281
43.408 16.286
43.405 16.296
43.398 16.301
43.396 16.304
43.397 16.308
43.401 16.311
43.402 16.317
43.398 16.321
43.394 16.323
43.381 16.317
43.378 16.323
43.381 16.325
43.385 16.323
43.386 16.327
43.387 16.33
43.395 16.333
43.397 16.337
43.385 16.345
43.38 16.352
43.374 16.356
43.375 16.362
43.373 16.366
43.366 16.37
43.362 16.376
43.358 16.375
43.356 16.378
43.35 16.38
43.346 16.387
43.344 16.394
43.34 16.4
43.336 16.402
43.329 16.401
43.327 16.398
43.334 16.397
43.334 16.394
43.333 16.392
43.326 16.39
segment Yugoslavia
43.4 16.175
43.401 16.166
43.408 16.17
43.409 16.173
43.402 16.18
43.4 16.179
43.4 16.175
