        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  1.574E+01  1.651E+01  2.943E+00  1.475E+00  5.871E+00  2.796E+01  1.401E+01  5.578E+01
  1.622E+01  1.697E+01  2.824E+00  1.415E+00  5.635E+00  2.710E+01  1.358E+01  5.408E+01
  1.671E+01  1.744E+01  2.710E+00  1.358E+00  5.407E+00  2.627E+01  1.317E+01  5.242E+01
  1.722E+01  1.793E+01  2.600E+00  1.303E+00  5.187E+00  2.546E+01  1.276E+01  5.080E+01
  1.774E+01  1.843E+01  2.494E+00  1.250E+00  4.976E+00  2.467E+01  1.236E+01  4.922E+01
  1.828E+01  1.895E+01  2.391E+00  1.199E+00  4.771E+00  2.390E+01  1.198E+01  4.769E+01
  1.884E+01  1.949E+01  2.293E+00  1.149E+00  4.575E+00  2.315E+01  1.160E+01  4.620E+01
  1.941E+01  2.004E+01  2.198E+00  1.102E+00  4.385E+00  2.243E+01  1.124E+01  4.474E+01
  2.000E+01  2.062E+01  2.107E+00  1.056E+00  4.203E+00  2.172E+01  1.088E+01  4.333E+01
  2.061E+01  2.121E+01  2.019E+00  1.012E+00  4.028E+00  2.103E+01  1.054E+01  4.196E+01
  2.123E+01  2.182E+01  1.934E+00  9.694E-01  3.859E+00  2.036E+01  1.020E+01  4.062E+01
  2.188E+01  2.244E+01  1.853E+00  9.287E-01  3.697E+00  1.971E+01  9.878E+00  3.932E+01
  2.255E+01  2.309E+01  1.775E+00  8.895E-01  3.541E+00  1.908E+01  9.561E+00  3.806E+01
  2.323E+01  2.376E+01  1.700E+00  8.519E-01  3.392E+00  1.846E+01  9.254E+00  3.684E+01
  2.394E+01  2.445E+01  1.628E+00  8.158E-01  3.248E+00  1.787E+01  8.955E+00  3.565E+01
  2.467E+01  2.517E+01  1.558E+00  7.811E-01  3.110E+00  1.729E+01  8.666E+00  3.450E+01
  2.542E+01  2.590E+01  1.492E+00  7.478E-01  2.977E+00  1.673E+01  8.385E+00  3.338E+01
  2.619E+01  2.666E+01  1.428E+00  7.158E-01  2.850E+00  1.618E+01  8.112E+00  3.229E+01
  2.699E+01  2.744E+01  1.367E+00  6.851E-01  2.727E+00  1.566E+01  7.847E+00  3.124E+01
  2.781E+01  2.825E+01  1.308E+00  6.556E-01  2.610E+00  1.514E+01  7.590E+00  3.022E+01
