s	name
24	Inversion Src #1155; 2 SECTIONS BETWEEN Channel Islands Thrust, Subsection 4 AND Channel Islands Thrust, Subsection 5
25	Inversion Src #1271; 8 SECTIONS BETWEEN Santa Rosa Island, Subsection 0 AND Santa Rosa Island, Subsection 7
26	Inversion Src #1273; 10 SECTIONS BETWEEN Santa Rosa Island, Subsection 0 AND Santa Rosa Island, Subsection 9
27	Inversion Src #1276; 13 SECTIONS BETWEEN Santa Rosa Island, Subsection 0 AND Santa Rosa Island, Subsection 12
28	Inversion Src #1277; 14 SECTIONS BETWEEN Santa Rosa Island, Subsection 0 AND Santa Rosa Island, Subsection 13
29	Inversion Src #1566; 8 SECTIONS BETWEEN Santa Rosa Island, Subsection 1 AND Santa Rosa Island, Subsection 8
30	Inversion Src #1569; 11 SECTIONS BETWEEN Santa Rosa Island, Subsection 1 AND Santa Rosa Island, Subsection 11
31	Inversion Src #1571; 13 SECTIONS BETWEEN Santa Rosa Island, Subsection 1 AND Santa Rosa Island, Subsection 13
32	Inversion Src #1749; 9 SECTIONS BETWEEN Santa Rosa Island, Subsection 2 AND Santa Rosa Island, Subsection 10
33	Inversion Src #1751; 11 SECTIONS BETWEEN Santa Rosa Island, Subsection 2 AND Santa Rosa Island, Subsection 12
34	Inversion Src #2109; 8 SECTIONS BETWEEN Santa Rosa Island, Subsection 4 AND Santa Rosa Island, Subsection 11
35	Inversion Src #2111; 10 SECTIONS BETWEEN Santa Rosa Island, Subsection 4 AND Santa Rosa Island, Subsection 13
36	Inversion Src #2288; 8 SECTIONS BETWEEN Santa Rosa Island, Subsection 5 AND Santa Rosa Island, Subsection 12
37	Inversion Src #2466; 8 SECTIONS BETWEEN Santa Rosa Island, Subsection 6 AND Santa Rosa Island, Subsection 13
38	Inversion Src #3561; 4 SECTIONS BETWEEN Santa Cruz Island, Subsection 1 AND Santa Cruz Island, Subsection 4
39	Inversion Src #3563; 6 SECTIONS BETWEEN Santa Cruz Island, Subsection 1 AND Santa Cruz Island, Subsection 6
40	Inversion Src #3564; 7 SECTIONS BETWEEN Santa Cruz Island, Subsection 1 AND Santa Cruz Island, Subsection 7
41	Inversion Src #3565; 8 SECTIONS BETWEEN Santa Cruz Island, Subsection 1 AND Santa Cruz Island, Subsection 8
42	Inversion Src #3567; 10 SECTIONS BETWEEN Santa Cruz Island, Subsection 1 AND Santa Cruz Island, Subsection 10
43	Inversion Src #3643; 4 SECTIONS BETWEEN Santa Cruz Island, Subsection 0 AND Santa Cruz Island, Subsection 3
44	Inversion Src #3644; 5 SECTIONS BETWEEN Santa Cruz Island, Subsection 0 AND Santa Cruz Island, Subsection 4
45	Inversion Src #3645; 6 SECTIONS BETWEEN Santa Cruz Island, Subsection 0 AND Santa Cruz Island, Subsection 5
46	Inversion Src #3646; 7 SECTIONS BETWEEN Santa Cruz Island, Subsection 0 AND Santa Cruz Island, Subsection 6
47	Inversion Src #3648; 9 SECTIONS BETWEEN Santa Cruz Island, Subsection 0 AND Santa Cruz Island, Subsection 8
48	Inversion Src #3649; 10 SECTIONS BETWEEN Santa Cruz Island, Subsection 0 AND Santa Cruz Island, Subsection 9
49	Inversion Src #3650; 11 SECTIONS BETWEEN Santa Cruz Island, Subsection 0 AND Santa Cruz Island, Subsection 10
50	Inversion Src #3723; 3 SECTIONS BETWEEN Santa Cruz Island, Subsection 2 AND Santa Cruz Island, Subsection 4
51	Inversion Src #3724; 4 SECTIONS BETWEEN Santa Cruz Island, Subsection 2 AND Santa Cruz Island, Subsection 5
52	Inversion Src #3725; 5 SECTIONS BETWEEN Santa Cruz Island, Subsection 2 AND Santa Cruz Island, Subsection 6
53	Inversion Src #3726; 6 SECTIONS BETWEEN Santa Cruz Island, Subsection 2 AND Santa Cruz Island, Subsection 7
54	Inversion Src #3727; 7 SECTIONS BETWEEN Santa Cruz Island, Subsection 2 AND Santa Cruz Island, Subsection 8
55	Inversion Src #3728; 8 SECTIONS BETWEEN Santa Cruz Island, Subsection 2 AND Santa Cruz Island, Subsection 9
56	Inversion Src #3729; 9 SECTIONS BETWEEN Santa Cruz Island, Subsection 2 AND Santa Cruz Island, Subsection 10
57	Inversion Src #3809; 4 SECTIONS BETWEEN Santa Cruz Island, Subsection 3 AND Santa Cruz Island, Subsection 6
58	Inversion Src #3810; 5 SECTIONS BETWEEN Santa Cruz Island, Subsection 3 AND Santa Cruz Island, Subsection 7
59	Inversion Src #3811; 6 SECTIONS BETWEEN Santa Cruz Island, Subsection 3 AND Santa Cruz Island, Subsection 8
60	Inversion Src #3812; 7 SECTIONS BETWEEN Santa Cruz Island, Subsection 3 AND Santa Cruz Island, Subsection 9
61	Inversion Src #3893; 4 SECTIONS BETWEEN Santa Cruz Island, Subsection 4 AND Santa Cruz Island, Subsection 7
62	Inversion Src #3894; 5 SECTIONS BETWEEN Santa Cruz Island, Subsection 4 AND Santa Cruz Island, Subsection 8
63	Inversion Src #3895; 6 SECTIONS BETWEEN Santa Cruz Island, Subsection 4 AND Santa Cruz Island, Subsection 9
64	Inversion Src #3896; 7 SECTIONS BETWEEN Santa Cruz Island, Subsection 4 AND Santa Cruz Island, Subsection 10
65	Inversion Src #4061; 4 SECTIONS BETWEEN Santa Cruz Island, Subsection 5 AND Santa Cruz Island, Subsection 8
66	Inversion Src #4062; 5 SECTIONS BETWEEN Santa Cruz Island, Subsection 5 AND Santa Cruz Island, Subsection 9
67	Inversion Src #4063; 6 SECTIONS BETWEEN Santa Cruz Island, Subsection 5 AND Santa Cruz Island, Subsection 10
68	Inversion Src #4147; 4 SECTIONS BETWEEN Santa Cruz Island, Subsection 6 AND Santa Cruz Island, Subsection 9
69	Inversion Src #4148; 5 SECTIONS BETWEEN Santa Cruz Island, Subsection 6 AND Santa Cruz Island, Subsection 10
70	Inversion Src #4231; 4 SECTIONS BETWEEN Santa Cruz Island, Subsection 7 AND Santa Cruz Island, Subsection 10
71	Inversion Src #4891; 10 SECTIONS BETWEEN Malibu Coast, alt 1, Subsection 0 AND Malibu Coast, alt 1, Subsection 9
72	Inversion Src #4966; 2 SECTIONS BETWEEN Santa Monica, alt 1, Subsection 1 AND Santa Monica, alt 1, Subsection 0
73	Inversion Src #5123; 2 SECTIONS BETWEEN Hollywood, Subsection 1 AND Hollywood, Subsection 0
74	Inversion Src #5244; 3 SECTIONS BETWEEN Elysian Park (Upper), Subsection 2 AND Elysian Park (Upper), Subsection 0
75	Inversion Src #5805; 2 SECTIONS BETWEEN Puente Hills, Subsection 4 AND Puente Hills, Subsection 3
76	Inversion Src #5806; 3 SECTIONS BETWEEN Puente Hills, Subsection 4 AND Puente Hills, Subsection 2
77	Inversion Src #5807; 4 SECTIONS BETWEEN Puente Hills, Subsection 4 AND Puente Hills, Subsection 1
78	Inversion Src #5808; 5 SECTIONS BETWEEN Puente Hills, Subsection 4 AND Puente Hills, Subsection 0
79	Inversion Src #6183; 2 SECTIONS BETWEEN Puente Hills, Subsection 3 AND Puente Hills, Subsection 2
80	Inversion Src #6184; 3 SECTIONS BETWEEN Puente Hills, Subsection 3 AND Puente Hills, Subsection 1
81	Inversion Src #6185; 4 SECTIONS BETWEEN Puente Hills, Subsection 3 AND Puente Hills, Subsection 0
82	Inversion Src #6979; 2 SECTIONS BETWEEN Puente Hills, Subsection 2 AND Puente Hills, Subsection 1
83	Inversion Src #6980; 3 SECTIONS BETWEEN Puente Hills, Subsection 2 AND Puente Hills, Subsection 0
84	Inversion Src #7317; 2 SECTIONS BETWEEN Puente Hills, Subsection 1 AND Puente Hills, Subsection 0
85	Inversion Src #7995; 5 SECTIONS BETWEEN Chino, alt 1, Subsection 0 AND Chino, alt 1, Subsection 4
86	Inversion Src #8612; 3 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Glen Ivy) rev, Subsection 2
87	Inversion Src #8613; 4 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Glen Ivy) rev, Subsection 3
88	Inversion Src #8614; 5 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Stepovers Combined), Subsection 0
89	Inversion Src #8615; 6 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Stepovers Combined), Subsection 1
90	Inversion Src #8616; 7 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Temecula) rev, Subsection 0
91	Inversion Src #8618; 9 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Temecula) rev, Subsection 2
92	Inversion Src #8620; 11 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Temecula) rev, Subsection 4
93	Inversion Src #8621; 12 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Temecula) rev, Subsection 5
94	Inversion Src #8622; 13 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Julian), Subsection 7
95	Inversion Src #8623; 14 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Julian), Subsection 6
96	Inversion Src #8626; 17 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Julian), Subsection 3
97	Inversion Src #8629; 20 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Julian), Subsection 0
98	Inversion Src #8634; 25 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Coyote Mountain), Subsection 1
99	Inversion Src #8635; 26 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Elsinore (Coyote Mountain), Subsection 0
100	Inversion Src #8743; 3 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Whittier, alt 2, Subsection 1
101	Inversion Src #8744; 4 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Whittier, alt 2, Subsection 2
102	Inversion Src #8745; 5 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Whittier, alt 2, Subsection 3
103	Inversion Src #8746; 6 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Whittier, alt 2, Subsection 4
104	Inversion Src #8747; 7 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 0 AND Whittier, alt 2, Subsection 5
105	Inversion Src #8866; 3 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Whittier, alt 2, Subsection 0
106	Inversion Src #8867; 4 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Whittier, alt 2, Subsection 1
107	Inversion Src #8868; 5 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Whittier, alt 2, Subsection 2
108	Inversion Src #8869; 6 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Whittier, alt 2, Subsection 3
109	Inversion Src #8870; 7 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Whittier, alt 2, Subsection 4
110	Inversion Src #8871; 8 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Whittier, alt 2, Subsection 5
111	Inversion Src #8872; 9 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Whittier, alt 2, Subsection 6
112	Inversion Src #8955; 3 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Glen Ivy) rev, Subsection 3
113	Inversion Src #8956; 4 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Stepovers Combined), Subsection 0
114	Inversion Src #8957; 5 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Stepovers Combined), Subsection 1
115	Inversion Src #8958; 6 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Temecula) rev, Subsection 0
116	Inversion Src #8959; 7 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Temecula) rev, Subsection 1
117	Inversion Src #8960; 8 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Temecula) rev, Subsection 2
118	Inversion Src #8961; 9 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Temecula) rev, Subsection 3
119	Inversion Src #8963; 11 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Temecula) rev, Subsection 5
120	Inversion Src #8964; 12 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Julian), Subsection 7
121	Inversion Src #8966; 14 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Julian), Subsection 5
122	Inversion Src #8967; 15 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Julian), Subsection 4
123	Inversion Src #8969; 17 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Julian), Subsection 2
124	Inversion Src #8971; 19 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Julian), Subsection 0
125	Inversion Src #8972; 20 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Coyote Mountain), Subsection 5
126	Inversion Src #8976; 24 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Coyote Mountain), Subsection 1
127	Inversion Src #8977; 25 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 1 AND Elsinore (Coyote Mountain), Subsection 0
128	Inversion Src #9016; 4 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Whittier, alt 2, Subsection 0
129	Inversion Src #9017; 5 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Whittier, alt 2, Subsection 1
130	Inversion Src #9018; 6 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Whittier, alt 2, Subsection 2
131	Inversion Src #9019; 7 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Whittier, alt 2, Subsection 3
132	Inversion Src #9021; 9 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Whittier, alt 2, Subsection 5
133	Inversion Src #9061; 4 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Stepovers Combined), Subsection 1
134	Inversion Src #9062; 5 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Temecula) rev, Subsection 0
135	Inversion Src #9063; 6 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Temecula) rev, Subsection 1
136	Inversion Src #9064; 7 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Temecula) rev, Subsection 2
137	Inversion Src #9066; 9 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Temecula) rev, Subsection 4
138	Inversion Src #9067; 10 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Temecula) rev, Subsection 5
139	Inversion Src #9069; 12 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Julian), Subsection 6
140	Inversion Src #9071; 14 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Julian), Subsection 4
141	Inversion Src #9073; 16 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Julian), Subsection 2
142	Inversion Src #9074; 17 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Julian), Subsection 1
143	Inversion Src #9076; 19 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 2 AND Elsinore (Coyote Mountain), Subsection 5
144	Inversion Src #9187; 5 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Whittier, alt 2, Subsection 0
145	Inversion Src #9188; 6 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Whittier, alt 2, Subsection 1
146	Inversion Src #9189; 7 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Whittier, alt 2, Subsection 2
147	Inversion Src #9191; 9 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Whittier, alt 2, Subsection 4
148	Inversion Src #9193; 11 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Whittier, alt 2, Subsection 6
149	Inversion Src #9298; 3 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Stepovers Combined), Subsection 1
150	Inversion Src #9299; 4 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Temecula) rev, Subsection 0
151	Inversion Src #9300; 5 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Temecula) rev, Subsection 1
152	Inversion Src #9301; 6 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Temecula) rev, Subsection 2
153	Inversion Src #9302; 7 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Temecula) rev, Subsection 3
154	Inversion Src #9304; 9 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Temecula) rev, Subsection 5
155	Inversion Src #9305; 10 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Julian), Subsection 7
156	Inversion Src #9306; 11 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Julian), Subsection 6
157	Inversion Src #9307; 12 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Julian), Subsection 5
158	Inversion Src #9309; 14 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Julian), Subsection 3
159	Inversion Src #9311; 16 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Julian), Subsection 1
160	Inversion Src #9314; 19 SECTIONS BETWEEN Elsinore (Glen Ivy) rev, Subsection 3 AND Elsinore (Coyote Mountain), Subsection 4
161	Inversion Src #9322; 3 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Temecula) rev, Subsection 0
162	Inversion Src #9323; 4 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Temecula) rev, Subsection 1
163	Inversion Src #9324; 5 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Temecula) rev, Subsection 2
164	Inversion Src #9325; 6 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Temecula) rev, Subsection 3
165	Inversion Src #9326; 7 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Temecula) rev, Subsection 4
166	Inversion Src #9327; 8 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Temecula) rev, Subsection 5
167	Inversion Src #9328; 9 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Julian), Subsection 7
168	Inversion Src #9329; 10 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Julian), Subsection 6
169	Inversion Src #9331; 12 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Julian), Subsection 4
170	Inversion Src #9332; 13 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Julian), Subsection 3
171	Inversion Src #9333; 14 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Julian), Subsection 2
172	Inversion Src #9335; 16 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Julian), Subsection 0
173	Inversion Src #9338; 19 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Coyote Mountain), Subsection 3
174	Inversion Src #9339; 20 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Coyote Mountain), Subsection 2
175	Inversion Src #9341; 22 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Elsinore (Coyote Mountain), Subsection 0
176	Inversion Src #9425; 6 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Whittier, alt 2, Subsection 0
177	Inversion Src #9426; 7 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Whittier, alt 2, Subsection 1
178	Inversion Src #9428; 9 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Whittier, alt 2, Subsection 3
179	Inversion Src #9430; 11 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 0 AND Whittier, alt 2, Subsection 5
180	Inversion Src #9549; 7 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Whittier, alt 2, Subsection 0
181	Inversion Src #9550; 8 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Whittier, alt 2, Subsection 1
182	Inversion Src #9551; 9 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Whittier, alt 2, Subsection 2
183	Inversion Src #9552; 10 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Whittier, alt 2, Subsection 3
184	Inversion Src #9553; 11 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Whittier, alt 2, Subsection 4
185	Inversion Src #9555; 13 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Whittier, alt 2, Subsection 6
186	Inversion Src #9593; 3 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Temecula) rev, Subsection 1
187	Inversion Src #9594; 4 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Temecula) rev, Subsection 2
188	Inversion Src #9595; 5 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Temecula) rev, Subsection 3
189	Inversion Src #9596; 6 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Temecula) rev, Subsection 4
190	Inversion Src #9597; 7 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Temecula) rev, Subsection 5
191	Inversion Src #9598; 8 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Julian), Subsection 7
192	Inversion Src #9599; 9 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Julian), Subsection 6
193	Inversion Src #9601; 11 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Julian), Subsection 4
194	Inversion Src #9603; 13 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Julian), Subsection 2
195	Inversion Src #9605; 15 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Julian), Subsection 0
196	Inversion Src #9610; 20 SECTIONS BETWEEN Elsinore (Stepovers Combined), Subsection 1 AND Elsinore (Coyote Mountain), Subsection 1
197	Inversion Src #9615; 3 SECTIONS BETWEEN Elsinore (Temecula) rev, Subsection 0 AND Elsinore (Temecula) rev, Subsection 2
198	Inversion Src #9616; 4 SECTIONS BETWEEN Elsinore (Temecula) rev, Subsection 0 AND Elsinore (Temecula) rev, Subsection 3
199	Inversion Src #9617; 5 SECTIONS BETWEEN Elsinore (Temecula) rev, Subsection 0 AND Elsinore (Temecula) rev, Subsection 4
200	Inversion Src #9618; 6 SECTIONS BETWEEN Elsinore (Temecula) rev, Subsection 0 AND Elsinore (Temecula) rev, Subsection 5
201	Inversion Src #9619; 7 SECTIONS BETWEEN Elsinore (Temecula) rev, Subsection 0 AND Elsinore (Julian), Subsection 7
202	Inversion Src #9620; 8 SECTIONS BETWEEN Elsinore (Temecula) rev, Subsection 0 AND Elsinore (Julian), Subsection 6
203	Inversion Src #9621; 9 SECTIONS BETWEEN Elsinore (Temecula) rev, Subsection 0 AND Elsinore (Julian), Subsection 5
204	Inversion Src #9623; 11 SECTIONS BETWEEN Elsinore (Temecula) rev, Subsection 0 AND Elsinore (Julian), Subsection 3
