#FaultName, Index, RELM Region,North Region,San Francisco Region,Central Coast Region,Los Angeles Region,Mojave Region,Mid Region,Northeast Region,Rest of state
Santa Susana, alt 1,103,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Holser, alt 1,104,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chino, alt 1,105,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Puente Hills,106,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
San Gabriel,107,1.0,0.0,0.0,0.0,0.7361111,0.25,0.0,0.0,0.013888889
Earthquake Valley,108,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
White Wolf,109,1.0,0.0,0.0,0.0,0.0,0.921875,0.0,0.0,0.078125
West Tahoe,110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
North Tahoe,111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Great Valley 4b, Gordon Valley,112,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Palos Verdes Connected,113,1.0,0.0,0.0,0.0,0.1958042,0.0,0.0,0.0,0.8041958
Newport Inglewood Connected alt 1,114,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Santa Monica Connected alt 1,115,1.0,0.0,0.0,0.0,0.3625,0.0,0.0,0.0,0.6375
Santa Ynez Connected,116,1.0,0.0,0.0,0.28467155,0.71532845,0.0,0.0,0.0,0.0
Sierra Madre Connected,117,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Death Valley Connected,118,1.0,0.0,0.0,0.0,0.0,0.0,0.2019544,0.0,0.7980456
Hunter Mountain Connected,119,1.0,0.0,0.0,0.0,0.0,0.171123,0.2513369,0.0,0.5775401
Greenville Connected,120,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Valley Connected,121,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Salmon Connected,122,1.0,0.9259259,0.0,0.0,0.0,0.0,0.0,0.0,0.074074075
San Gregorio Connected,123,1.0,0.0,0.8361582,0.15254237,0.0,0.0,0.0,0.0,0.011299435
