lat, long, log10(Mo_nk), log10(Mo_zeng), log10(Mo_abm)
31.8,-116.3,-1000,14.983,15.338
31.8,-116.2,-1000,15.002,15.299
31.8,-116.1,-1000,15.031,15.286
31.8,-116,-1000,15.058,15.283
31.8,-115.9,-1000,15.077,15.325
31.8,-115.8,-1000,15.093,15.323
31.8,-115.7,-1000,15.114,15.298
31.8,-115.6,-1000,15.121,15.291
31.8,-115.5,-1000,15.127,15.31
31.8,-115.4,-1000,15.139,15.362
31.8,-115.3,-1000,15.172,15.404
31.8,-115.2,-1000,15.197,15.39
31.8,-115.1,-1000,15.215,15.275
31.8,-115,-1000,15.223,14.852
31.8,-114.9,-1000,15.219,15.267
31.8,-114.8,-1000,15.241,16.102
31.8,-114.7,-1000,15.273,16.185
31.8,-114.6,-1000,14.937,15.968
31.8,-114.5,-1000,14.879,16.076
31.8,-114.4,-1000,14.884,16.03
31.9,-117.9,14.786,14.624,14.676
31.9,-117.8,14.771,14.967,14.821
31.9,-117.7,14.911,14.908,14.956
31.9,-117.6,15.015,14.887,15.013
31.9,-117.5,15.004,14.889,15.029
31.9,-117.4,15.009,14.891,15.113
31.9,-117.3,15.116,14.896,15.272
31.9,-117.2,15.132,14.903,15.32
31.9,-117.1,15.011,14.911,15.181
31.9,-117,14.977,14.918,15.105
31.9,-116.9,15.06,14.925,15.209
31.9,-116.8,14.765,14.932,15.37
31.9,-116.7,14.912,14.939,15.439
31.9,-116.6,14.894,14.947,15.436
31.9,-116.5,14.797,14.955,15.346
31.9,-116.4,14.693,14.963,15.347
31.9,-116.3,14.599,14.972,15.305
31.9,-116.2,14.627,15.002,15.274
31.9,-116.1,14.396,15.033,15.266
31.9,-116,14.33,15.064,15.263
31.9,-115.9,14.157,15.094,15.27
31.9,-115.8,-1000,15.123,15.253
31.9,-115.7,-1000,15.151,15.252
31.9,-115.6,-1000,15.182,15.275
31.9,-115.5,-1000,15.206,15.328
31.9,-115.4,-1000,15.225,15.43
31.9,-115.3,-1000,15.242,15.547
31.9,-115.2,-1000,15.263,15.611
31.9,-115.1,-1000,15.288,15.616
31.9,-115,-1000,15.314,15.717
31.9,-114.9,-1000,15.421,16.173
31.9,-114.8,-1000,15.328,16.202
31.9,-114.7,-1000,14.743,16
31.9,-114.6,-1000,14.774,16.08
31.9,-114.5,-1000,14.87,16.035
31.9,-114.4,-1000,14.995,15.744
31.9,-114.3,-1000,15.126,15.709
31.9,-114.2,-1000,15.201,15.597
32,-117.9,14.775,14.621,14.838
32,-117.8,14.775,14.945,14.979
32,-117.7,14.93,14.892,14.979
32,-117.6,14.979,14.877,14.939
32,-117.5,14.816,14.881,14.878
32,-117.4,14.945,14.886,14.973
32,-117.3,15.146,14.893,15.296
32,-117.2,14.987,14.898,15.184
32,-117.1,14.815,14.904,15.118
32,-117,15.077,14.91,15.118
32,-116.9,14.817,14.916,15.212
32,-116.8,15.079,14.923,15.377
32,-116.7,15.217,14.929,15.377
32,-116.6,15.186,14.937,15.288
32,-116.5,15.22,14.944,15.281
32,-116.4,15.258,14.951,15.201
32,-116.3,15.34,14.965,15.151
32,-116.2,15.377,14.995,15.177
32,-116.1,15.366,15.027,15.174
32,-116,15.339,15.058,15.168
32,-115.9,15.241,15.09,15.164
32,-115.8,15.234,15.123,15.175
32,-115.7,15.176,15.157,15.201
32,-115.6,15.101,15.193,15.245
32,-115.5,14.925,15.227,15.313
32,-115.4,14.716,15.257,15.426
32,-115.3,13.978,15.288,15.603
32,-115.2,14.615,15.319,15.729
32,-115.1,14.932,15.328,15.787
32,-115,14.982,15.328,16.069
32,-114.9,14.582,15.46,16.254
32,-114.8,14.32,14.865,16.145
32,-114.7,14.802,14.857,15.549
32,-114.6,14.562,14.829,15.536
32,-114.5,14.31,14.969,15.351
32,-114.4,14.281,15.057,15.478
32,-114.3,14.169,15.133,15.494
32,-114.2,13.73,15.193,15.445
32,-114.1,-1000,15.222,15.336
32,-114,-1000,15.245,15.23
32.1,-118,14.687,14.645,14.774
32.1,-117.9,14.675,14.724,14.951
32.1,-117.8,14.812,14.915,15.015
32.1,-117.7,14.938,14.877,14.941
32.1,-117.6,14.839,14.871,14.853
32.1,-117.5,14.716,14.876,14.871
32.1,-117.4,14.928,14.881,15.017
32.1,-117.3,14.651,14.886,15.294
32.1,-117.2,14.817,14.891,15.136
32.1,-117.1,15.041,14.896,15.114
32.1,-117,14.962,14.902,15.13
32.1,-116.9,15.123,14.907,15.381
32.1,-116.8,15.108,14.913,15.382
32.1,-116.7,15.169,14.919,15.374
32.1,-116.6,15.198,14.925,15.283
32.1,-116.5,15.196,14.932,15.201
32.1,-116.4,15.318,14.939,15.123
32.1,-116.3,15.403,14.96,15.122
32.1,-116.2,15.395,14.992,15.087
32.1,-116.1,15.338,15.024,15.044
32.1,-116,15.23,15.055,15.035
32.1,-115.9,15.242,15.086,15.063
32.1,-115.8,15.237,15.118,15.116
32.1,-115.7,15.241,15.152,15.178
32.1,-115.6,15.234,15.19,15.237
32.1,-115.5,15.253,15.229,15.288
32.1,-115.4,15.621,15.265,15.36
32.1,-115.3,15.535,15.311,15.364
32.1,-115.2,15.312,15.372,15.53
32.1,-115.1,15.548,15.416,15.749
32.1,-115,15.393,15.457,15.749
32.1,-114.9,15.154,15.208,15.556
32.1,-114.8,15.174,15.289,16.042
32.1,-114.7,15.393,15.187,16.029
32.1,-114.6,15.376,15.06,15.547
32.1,-114.5,15.344,15.059,15.232
32.1,-114.4,15.258,15.115,15.224
32.1,-114.3,15.223,15.17,15.25
32.1,-114.2,15.175,15.196,15.219
32.1,-114.1,-1000,15.207,15.149
32.1,-114,-1000,15.228,15.073
32.1,-113.9,-1000,15.252,14.994
32.1,-113.8,-1000,15.346,14.918
32.2,-118,14.678,14.678,14.796
32.2,-117.9,14.663,14.952,14.885
32.2,-117.8,14.846,14.888,14.888
32.2,-117.7,14.686,14.866,14.885
32.2,-117.6,14.697,14.865,14.983
32.2,-117.5,14.738,14.87,15.001
32.2,-117.4,14.545,14.874,15.14
32.2,-117.3,14.978,14.878,15.226
32.2,-117.2,14.807,14.883,15.123
32.2,-117.1,14.763,14.888,15.123
32.2,-117,15.131,14.892,15.347
32.2,-116.9,15.186,14.897,15.345
32.2,-116.8,15.168,14.902,15.344
32.2,-116.7,15.154,14.907,15.319
32.2,-116.6,15.148,14.913,15.215
32.2,-116.5,15.171,14.919,15.136
32.2,-116.4,15.314,14.927,15.113
32.2,-116.3,15.358,14.959,15.029
32.2,-116.2,15.383,14.992,14.934
32.2,-116.1,15.2,15.025,14.884
32.2,-116,15.184,15.056,14.898
32.2,-115.9,15.194,15.083,14.951
32.2,-115.8,15.205,15.11,15.038
32.2,-115.7,15.222,15.14,15.157
32.2,-115.6,15.238,15.178,15.302
32.2,-115.5,15.362,15.221,15.46
32.2,-115.4,15.598,15.257,15.471
32.2,-115.3,15.54,15.305,15.383
32.2,-115.2,15.62,15.405,15.505
32.2,-115.1,15.896,15.551,15.738
32.2,-115,15.865,15.264,15.454
32.2,-114.9,15.536,15.296,16.08
32.2,-114.8,15.528,15.257,16.069
32.2,-114.7,15.406,15.202,15.869
32.2,-114.6,15.369,15.147,15.676
32.2,-114.5,15.287,15.12,15.473
32.2,-114.4,15.211,15.136,15.225
32.2,-114.3,15.316,15.176,15.072
32.2,-114.2,15.34,15.212,14.989
32.2,-114.1,14.436,15.232,14.929
32.2,-114,-1000,15.232,14.883
32.2,-113.9,-1000,15.224,14.843
32.2,-113.8,-1000,15.301,14.793
32.2,-113.7,-1000,15.252,14.736
32.3,-118.1,14.707,14.669,14.543
32.3,-118,14.709,14.992,14.593
32.3,-117.9,14.681,14.907,14.638
32.3,-117.8,14.692,14.866,14.953
32.3,-117.7,14.548,14.857,15.086
32.3,-117.6,14.689,14.86,15.125
32.3,-117.5,14.499,14.863,15.16
32.3,-117.4,13.882,14.867,15.173
32.3,-117.3,14.834,14.871,15.218
32.3,-117.2,14.954,14.875,15.197
32.3,-117.1,15.168,14.879,15.273
32.3,-117,15.289,14.882,15.312
32.3,-116.9,15.289,14.886,15.312
32.3,-116.8,15.272,14.89,15.293
32.3,-116.7,15.239,14.895,15.279
32.3,-116.6,15.22,14.9,15.181
32.3,-116.5,15.253,14.905,15.142
32.3,-116.4,15.255,14.925,15.021
32.3,-116.3,15.324,14.959,14.872
32.3,-116.2,15.351,14.996,14.742
32.3,-116.1,15.292,15.031,14.698
32.3,-116,15.262,15.062,14.838
32.3,-115.9,15.189,15.085,15
32.3,-115.8,15.17,15.103,15.103
32.3,-115.7,15.203,15.123,15.178
32.3,-115.6,15.256,15.158,15.369
32.3,-115.5,15.278,15.209,15.394
32.3,-115.4,15.514,15.246,15.214
32.3,-115.3,15.286,15.282,15.208
32.3,-115.2,15.671,15.472,15.413
32.3,-115.1,16.233,15.267,15.485
32.3,-115,15.94,15.194,15.677
32.3,-114.9,15.739,15.188,15.651
32.3,-114.8,15.494,15.18,15.868
32.3,-114.7,15.493,15.159,15.811
32.3,-114.6,15.459,15.134,15.663
32.3,-114.5,15.426,15.124,15.482
32.3,-114.4,15.362,15.134,15.276
32.3,-114.3,15.344,15.161,15.033
32.3,-114.2,15.344,15.193,14.815
32.3,-114.1,14.838,15.221,14.743
32.3,-114,-1000,15.24,14.701
32.3,-113.9,-1000,15.22,14.67
32.3,-113.8,-1000,15.252,14.639
32.3,-113.7,-1000,15.169,14.6
32.3,-113.6,-1000,15.105,14.548
32.4,-118.1,14.692,14.68,14.711
32.4,-118,14.725,14.939,14.771
32.4,-117.9,14.625,14.873,14.967
32.4,-117.8,14.67,14.852,14.969
32.4,-117.7,14.585,14.85,15.075
32.4,-117.6,14.493,14.854,15.123
32.4,-117.5,14.018,14.857,15.184
32.4,-117.4,15.184,14.86,15.293
32.4,-117.3,14.996,14.863,15.294
32.4,-117.2,14.88,14.866,15.214
32.4,-117.1,15.11,14.869,15.297
32.4,-117,15.307,14.872,15.315
32.4,-116.9,15.363,14.874,15.306
32.4,-116.8,15.337,14.877,15.294
32.4,-116.7,15.293,14.881,15.266
32.4,-116.6,15.291,14.885,15.185
32.4,-116.5,15.271,14.89,15.057
32.4,-116.4,15.253,14.921,14.9
32.4,-116.3,15.285,14.96,14.707
32.4,-116.2,15.325,15.002,14.504
32.4,-116.1,15.358,15.042,14.571
32.4,-116,15.356,15.075,14.835
32.4,-115.9,15.288,15.095,15.014
32.4,-115.8,15.185,15.103,15.1
32.4,-115.7,15.217,15.109,15.178
32.4,-115.6,15.091,15.136,15.401
32.4,-115.5,15.134,15.197,15.207
32.4,-115.4,15.368,15.243,15.326
32.4,-115.3,16.063,15.285,15.326
32.4,-115.2,16.327,15.538,15.369
32.4,-115.1,16.26,15.205,15.5
32.4,-115,15.74,15.163,15.526
32.4,-114.9,15.534,15.129,15.518
32.4,-114.8,15.406,15.109,15.68
32.4,-114.7,15.344,15.101,15.647
32.4,-114.6,15.36,15.098,15.555
32.4,-114.5,15.378,15.102,15.421
32.4,-114.4,15.453,15.116,15.256
32.4,-114.3,15.356,15.138,15.052
32.4,-114.2,15.113,15.165,14.822
32.4,-114.1,-1000,15.191,14.631
32.4,-114,-1000,15.213,14.549
32.4,-113.9,-1000,15.213,14.495
32.4,-113.8,-1000,15.201,14.465
32.4,-113.7,-1000,15.204,14.444
32.4,-113.6,-1000,15.159,14.423
32.5,-118.2,14.76,14.681,14.95
32.5,-118.1,14.661,14.959,14.954
32.5,-118,14.718,14.893,14.974
32.5,-117.9,14.602,14.849,15.086
32.5,-117.8,14.682,14.843,15.09
32.5,-117.7,14.495,14.845,15.104
32.5,-117.6,14.09,14.848,15.164
32.5,-117.5,14.192,14.851,15.276
32.5,-117.4,14.975,14.854,15.331
32.5,-117.3,14.823,14.856,15.33
32.5,-117.2,14.942,14.857,15.337
32.5,-117.1,15.416,14.859,15.311
32.5,-117,15.428,14.86,15.325
32.5,-116.9,15.375,14.862,15.327
32.5,-116.8,15.342,14.864,15.304
32.5,-116.7,15.334,14.866,15.217
32.5,-116.6,15.32,14.869,15.104
32.5,-116.5,15.287,14.881,14.982
32.5,-116.4,15.239,14.915,14.832
32.5,-116.3,15.261,14.959,14.631
32.5,-116.2,15.311,15.01,14.356
32.5,-116.1,15.429,15.058,14.354
32.5,-116,15.427,15.095,14.785
32.5,-115.9,15.468,15.113,15.122
32.5,-115.8,15.371,15.112,15.131
32.5,-115.7,15.371,15.101,15.379
32.5,-115.6,15.075,15.113,15.176
32.5,-115.5,14.882,15.188,15.08
32.5,-115.4,15.919,15.24,15.248
32.5,-115.3,15.92,15.393,15.418
32.5,-115.2,15.61,15.275,15.455
32.5,-115.1,16.042,15.218,15.461
32.5,-115,15.702,15.162,15.461
32.5,-114.9,15.509,15.115,15.492
32.5,-114.8,15.4,15.079,15.516
32.5,-114.7,15.296,15.063,15.498
32.5,-114.6,15.278,15.062,15.427
32.5,-114.5,15.298,15.073,15.32
32.5,-114.4,15.314,15.09,15.193
32.5,-114.3,15.216,15.112,15.028
32.5,-114.2,13.562,15.136,14.84
32.5,-114.1,-1000,15.159,14.623
32.5,-114,-1000,15.18,14.459
32.5,-113.9,-1000,15.185,14.365
32.5,-113.8,-1000,15.15,14.3
32.5,-113.7,-1000,15.19,14.289
32.5,-113.6,-1000,15.16,14.298
32.6,-118.2,14.818,14.953,14.977
32.6,-118.1,14.708,14.905,14.947
32.6,-118,14.599,14.861,14.738
32.6,-117.9,14.552,14.836,14.768
32.6,-117.8,14.564,14.837,14.953
32.6,-117.7,14.536,14.84,15.058
32.6,-117.6,14.74,14.843,15.044
32.6,-117.5,15.035,14.845,15.027
32.6,-117.4,15.036,14.847,15.019
32.6,-117.3,14.984,14.848,15.323
32.6,-117.2,15.011,14.849,15.251
32.6,-117.1,15.414,14.849,15.287
32.6,-117,15.391,14.849,15.324
32.6,-116.9,15.358,14.849,15.303
32.6,-116.8,15.351,14.849,15.223
32.6,-116.7,15.344,14.849,15.132
32.6,-116.6,15.325,14.853,15.048
32.6,-116.5,15.278,14.869,14.962
32.6,-116.4,15.238,14.903,14.862
32.6,-116.3,15.263,14.955,14.73
32.6,-116.2,15.355,15.016,14.642
32.6,-116.1,15.462,15.075,14.629
32.6,-116,15.617,15.118,14.971
32.6,-115.9,15.669,15.131,15.186
32.6,-115.8,15.677,15.115,15.425
32.6,-115.7,15.792,15.077,15.447
32.6,-115.6,15.439,15.032,15.749
32.6,-115.5,16.102,15.123,15.672
32.6,-115.4,16.06,15.25,15.611
32.6,-115.3,15.743,15.058,15.604
32.6,-115.2,15.933,15.282,15.206
32.6,-115.1,15.785,15.214,15.501
32.6,-115,15.705,15.153,15.466
32.6,-114.9,15.62,15.106,15.37
32.6,-114.8,15.322,15.07,15.391
32.6,-114.7,15.239,15.048,15.374
32.6,-114.6,15.364,15.043,15.314
32.6,-114.5,15.192,15.051,15.233
32.6,-114.4,15.103,15.067,15.124
32.6,-114.3,13.94,15.088,14.977
32.6,-114.2,-1000,15.11,14.811
32.6,-114.1,-1000,15.131,14.621
32.6,-114,-1000,15.15,14.398
32.6,-113.9,-1000,15.156,14.287
32.6,-113.8,-1000,15.101,14.19
32.6,-113.7,-1000,15.161,14.124
32.6,-113.6,-1000,15.137,14.163
32.7,-118.3,14.778,14.899,14.724
32.7,-118.2,14.831,14.892,14.759
32.7,-118.1,14.725,14.86,14.829
32.7,-118,14.691,14.839,14.795
32.7,-117.9,14.431,14.831,14.789
32.7,-117.8,14.47,14.833,14.976
32.7,-117.7,14.612,14.836,15.125
32.7,-117.6,15.021,14.838,15.198
32.7,-117.5,15.2,14.84,15.202
32.7,-117.4,14.848,14.84,15.006
32.7,-117.3,14.991,14.84,15.229
32.7,-117.2,14.988,14.84,15.226
32.7,-117.1,15.27,14.839,15.247
32.7,-117,15.286,14.837,15.247
32.7,-116.9,15.3,14.844,15.227
32.7,-116.8,15.309,14.848,15.144
32.7,-116.7,15.301,14.847,15.083
32.7,-116.6,15.267,14.845,15.04
32.7,-116.5,15.234,14.853,15.001
32.7,-116.4,15.264,14.887,14.951
32.7,-116.3,15.305,14.947,14.927
32.7,-116.2,15.413,15.02,14.968
32.7,-116.1,15.614,15.086,14.96
32.7,-116,15.743,15.128,14.903
32.7,-115.9,15.831,15.127,15.375
32.7,-115.8,15.87,15.087,15.518
32.7,-115.7,16.011,15.003,15.601
32.7,-115.6,16.137,14.944,16.001
32.7,-115.5,16.098,14.954,15.68
32.7,-115.4,15.927,14.685,15.652
32.7,-115.3,15.379,15.292,14.83
32.7,-115.2,15.579,15.23,15.207
32.7,-115.1,15.647,15.167,15.215
32.7,-115,15.602,15.114,15.306
32.7,-114.9,15.456,15.077,15.308
32.7,-114.8,15.296,15.056,15.299
32.7,-114.7,15.276,15.041,15.268
32.7,-114.6,15.327,15.036,15.214
32.7,-114.5,15.232,15.041,15.141
32.7,-114.4,14.325,15.054,15.04
32.7,-114.3,-1000,15.071,14.911
32.7,-114.2,-1000,15.09,14.763
32.7,-114.1,-1000,15.108,14.595
32.7,-114,-1000,15.125,14.399
32.7,-113.9,-1000,15.131,14.247
32.7,-113.8,-1000,15.087,14.133
32.7,-113.7,-1000,15.132,14.026
32.7,-113.6,-1000,15.107,14.026
32.8,-118.4,14.844,14.833,14.472
32.8,-118.3,14.682,14.848,14.349
32.8,-118.2,14.852,14.846,14.904
32.8,-118.1,14.777,14.834,14.932
32.8,-118,14.622,14.828,14.925
32.8,-117.9,14.455,14.827,14.91
32.8,-117.8,14.278,14.83,15.01
32.8,-117.7,15.073,14.832,15.227
32.8,-117.6,15.154,14.834,15.401
32.8,-117.5,15.18,14.835,15.361
32.8,-117.4,14.821,14.834,15.342
32.8,-117.3,14.934,14.834,15.305
32.8,-117.2,15.317,14.832,15.239
32.8,-117.1,15.177,14.83,15.2
32.8,-117,15.195,14.845,15.202
32.8,-116.9,15.206,14.857,15.167
32.8,-116.8,15.255,14.861,15.1
32.8,-116.7,15.279,14.855,15.064
32.8,-116.6,15.301,14.843,15.068
32.8,-116.5,15.301,14.838,15.086
32.8,-116.4,15.308,14.87,15.066
32.8,-116.3,15.42,14.941,15.047
32.8,-116.2,15.481,15.022,15.062
32.8,-116.1,15.588,15.08,15.217
32.8,-116,15.71,15.101,14.979
32.8,-115.9,15.858,15.072,15.327
32.8,-115.8,15.932,14.992,15.323
32.8,-115.7,16.127,14.928,15.358
32.8,-115.6,15.975,14.798,15.993
32.8,-115.5,15.844,14.908,15.627
32.8,-115.4,14.853,15.12,15.433
32.8,-115.3,15.222,15.168,15.734
32.8,-115.2,15.33,15.157,15.641
32.8,-115.1,15.44,15.13,15.5
32.8,-115,15.449,15.1,15.399
32.8,-114.9,15.402,15.073,15.294
32.8,-114.8,15.311,15.059,15.208
32.8,-114.7,15.273,15.049,15.168
32.8,-114.6,15.249,15.044,15.113
32.8,-114.5,15.202,15.045,15.043
32.8,-114.4,-1000,15.052,14.949
32.8,-114.3,-1000,15.063,14.832
32.8,-114.2,-1000,15.077,14.7
32.8,-114.1,-1000,15.091,14.555
32.8,-114,-1000,15.104,14.391
32.8,-113.9,-1000,15.114,14.219
32.8,-113.8,-1000,15.079,14.101
32.8,-113.7,-1000,15.106,13.986
32.8,-113.6,-1000,15.079,13.89
32.9,-118.6,14.84,14.729,14.149
32.9,-118.5,14.843,14.779,14.795
32.9,-118.4,14.968,14.808,14.75
32.9,-118.3,14.871,14.818,14.875
32.9,-118.2,14.858,14.822,14.927
32.9,-118.1,14.718,14.821,14.903
32.9,-118,14.26,14.822,14.817
32.9,-117.9,14.302,14.825,14.842
32.9,-117.8,14.148,14.827,15.06
32.9,-117.7,15.061,14.829,15.375
32.9,-117.6,15.083,14.83,15.381
32.9,-117.5,14.973,14.831,15.343
32.9,-117.4,14.323,14.83,15.329
32.9,-117.3,14.988,14.828,15.305
32.9,-117.2,15.105,14.825,15.261
32.9,-117.1,15.12,14.832,15.261
32.9,-117,15.077,14.856,15.23
32.9,-116.9,15.1,14.874,15.155
32.9,-116.8,15.114,14.881,15.087
32.9,-116.7,15.14,14.874,15.035
32.9,-116.6,15.214,14.85,15.017
32.9,-116.5,15.326,14.829,15.016
32.9,-116.4,15.369,14.861,14.919
32.9,-116.3,15.431,14.944,15.136
32.9,-116.2,15.125,15.021,15.21
32.9,-116.1,15.18,15.046,15.337
32.9,-116,15.604,15.024,15.145
32.9,-115.9,15.775,14.942,14.976
32.9,-115.8,15.809,14.8,15.392
32.9,-115.7,15.563,15.116,15.994
32.9,-115.6,15.556,15.046,16.008
32.9,-115.5,14.724,14.967,15.968
32.9,-115.4,14.834,14.985,15.987
32.9,-115.3,14.934,15.07,15.935
32.9,-115.2,14.989,15.131,15.813
32.9,-115.1,15.052,15.146,15.635
32.9,-115,15.189,15.135,15.475
32.9,-114.9,15.261,15.111,15.339
32.9,-114.8,15.203,15.091,15.208
32.9,-114.7,15.229,15.075,15.082
32.9,-114.6,15.274,15.065,15.009
32.9,-114.5,15.294,15.059,14.941
32.9,-114.4,14.689,15.059,14.849
32.9,-114.3,-1000,15.064,14.743
32.9,-114.2,-1000,15.071,14.631
32.9,-114.1,-1000,15.08,14.505
32.9,-114,-1000,15.089,14.36
32.9,-113.9,-1000,15.096,14.185
32.9,-113.8,-1000,15.097,14.069
32.9,-113.7,-1000,15.085,13.955
32.9,-113.6,-1000,15.056,13.843
33,-118.9,14.78,14.628,14.742
33,-118.8,14.799,14.666,14.698
33,-118.7,14.821,14.705,14.177
33,-118.6,14.806,14.751,14.296
33,-118.5,14.765,14.784,14.393
33,-118.4,14.871,14.802,14.781
33,-118.3,14.842,14.809,14.812
33,-118.2,14.8,14.814,14.794
33,-118.1,14.011,14.818,14.799
33,-118,14.324,14.821,14.869
33,-117.9,14.301,14.823,15.043
33,-117.8,14.684,14.826,15.265
33,-117.7,14.348,14.827,15.272
33,-117.6,14.248,14.828,15.21
33,-117.5,14.624,14.828,15.191
33,-117.4,14.963,14.826,15.19
33,-117.3,14.827,14.824,15.27
33,-117.2,14.901,14.821,15.273
33,-117.1,14.856,14.831,15.242
33,-117,14.908,14.867,15.202
33,-116.9,14.931,14.895,15.154
33,-116.8,14.934,14.908,15.085
33,-116.7,14.993,14.903,15.034
33,-116.6,15.078,14.871,14.99
33,-116.5,15.242,14.827,14.927
33,-116.4,15.409,14.841,15.074
33,-116.3,15.105,14.944,15.497
33,-116.2,15.048,15.003,15.54
33,-116.1,15.201,15.034,15.551
33,-116,15.639,15.041,15.461
33,-115.9,15.87,15.016,15.465
33,-115.8,15.531,15.181,16.023
33,-115.7,15.581,15.135,16.056
33,-115.6,15.576,15.108,16.056
33,-115.5,14.99,14.772,15.835
33,-115.4,14.845,14.991,15.686
33,-115.3,14.931,15.106,15.618
33,-115.2,14.935,15.169,15.59
33,-115.1,14.979,15.191,15.527
33,-115,15.099,15.182,15.411
33,-114.9,15.236,15.157,15.29
33,-114.8,15.208,15.131,15.163
33,-114.7,15.222,15.109,15.036
33,-114.6,15.301,15.091,14.915
33,-114.5,15.281,15.079,14.828
33,-114.4,15.031,15.072,14.744
33,-114.3,-1000,15.069,14.654
33,-114.2,-1000,15.07,14.553
33,-114.1,-1000,15.073,14.439
33,-114,-1000,15.077,14.309
33,-113.9,-1000,15.081,14.152
33,-113.8,-1000,15.081,14.025
33,-113.7,-1000,14.999,13.915
33,-113.6,-1000,15.043,13.811
33,-113.5,-1000,15.003,13.708
33.1,-119.2,14.699,14.622,14.507
33.1,-119.1,14.708,14.272,14.614
33.1,-119,14.729,14.135,14.75
33.1,-118.9,14.75,14.382,14.955
33.1,-118.8,14.783,14.55,14.802
33.1,-118.7,14.804,14.754,14.441
33.1,-118.6,14.842,14.776,14.363
33.1,-118.5,14.766,14.793,14.935
33.1,-118.4,14.77,14.803,14.964
33.1,-118.3,14.795,14.808,14.858
33.1,-118.2,14.764,14.813,14.943
33.1,-118.1,14.637,14.816,15.029
33.1,-118,14.726,14.82,15.131
33.1,-117.9,14.742,14.823,15.335
33.1,-117.8,14.695,14.825,15.341
33.1,-117.7,13.935,14.827,15.192
33.1,-117.6,14.516,14.827,15.118
33.1,-117.5,14.98,14.827,15.11
33.1,-117.4,14.773,14.825,15.128
33.1,-117.3,14.865,14.822,15.118
33.1,-117.2,14.799,14.82,15.113
33.1,-117.1,14.831,14.826,15.106
33.1,-117,14.851,14.878,15.11
33.1,-116.9,14.847,14.919,15.115
33.1,-116.8,14.92,14.942,15.055
33.1,-116.7,14.917,14.938,15.043
33.1,-116.6,15.003,14.899,14.916
33.1,-116.5,15.023,14.835,15.159
33.1,-116.4,15.044,14.799,15.372
33.1,-116.3,14.93,14.859,15.542
33.1,-116.2,15.178,14.946,15.656
33.1,-116.1,15.582,15.081,15.638
33.1,-116,15.825,15.216,15.519
33.1,-115.9,15.718,15.226,15.791
33.1,-115.8,15.649,15.228,15.899
33.1,-115.7,15.658,15.214,15.889
33.1,-115.6,15.635,14.826,15.714
33.1,-115.5,15.042,15.015,15.254
33.1,-115.4,14.941,15.126,15.221
33.1,-115.3,14.924,15.192,15.222
33.1,-115.2,14.916,15.219,15.255
33.1,-115.1,14.956,15.23,15.254
33.1,-115,15.089,15.216,15.178
33.1,-114.9,15.145,15.19,15.095
33.1,-114.8,15.154,15.162,15.004
33.1,-114.7,15.162,15.136,14.905
